0, 0, Header, 1, 10, 480
1, 0, Start_track
1, 0, Tempo, 666666
1, 0, Title_t, "All I Need"
1, 0, Time_signature, 4, 2, 10, 44
1, 0, Marker_t, "Intro"
1, 23040, Marker_t, "Verse 1"
1, 55680, Marker_t, "Chorus 1"
1, 71040, Marker_t, "Verse 2"
1, 99840, Marker_t, "Chorus 2"
1, 115200, Marker_t, "Piano Break"
1, 134400, Marker_t, "Outro Verse"
1, 134400, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@TAll I Need"
3, 0, Text_t, "@TRadiohead"
3, 0, Text_t, "@T-Fly-"
3, 23520, Text_t, "\\I\222m"
3, 23760, Text_t, " the"
3, 24000, Text_t, " next"
3, 24720, Text_t, " act"
3, 26580, Text_t, "/Wait"
3, 27120, Text_t, "ing"
3, 27600, Text_t, " in"
3, 28080, Text_t, " the"
3, 28500, Text_t, " wings"
3, 33120, Text_t, "/I\222m"
3, 33360, Text_t, " an"
3, 33600, Text_t, " an"
3, 33840, Text_t, "i"
3, 34080, Text_t, "mal"
3, 36180, Text_t, "/Trapped"
3, 36720, Text_t, " in"
3, 37200, Text_t, " your"
3, 37680, Text_t, " hot"
3, 38100, Text_t, " car"
3, 42720, Text_t, "/I"
3, 42960, Text_t, " am"
3, 43200, Text_t, " all"
3, 43680, Text_t, " the"
3, 43920, Text_t, " days"
3, 45600, Text_t, "/that"
3, 45780, Text_t, " you"
3, 46320, Text_t, " choose"
3, 46800, Text_t, " to"
3, 47280, Text_t, " ig"
3, 47700, Text_t, "nore"
3, 56160, Text_t, "\\You're"
3, 56640, Text_t, " all"
3, 56880, Text_t, " I"
3, 57360, Text_t, " need"
3, 60000, Text_t, "/You're"
3, 60480, Text_t, " all"
3, 60641, Text_t, " I"
3, 61200, Text_t, " need"
3, 63600, Text_t, "/I\222m"
3, 63840, Text_t, " in"
3, 64080, Text_t, " the"
3, 64320, Text_t, " mid"
3, 64560, Text_t, "dle"
3, 64800, Text_t, " of"
3, 65040, Text_t, " your"
3, 65280, Text_t, " pic"
3, 66000, Text_t, "ture"
3, 67680, Text_t, "/Ly"
3, 67920, Text_t, "ing"
3, 68160, Text_t, " in"
3, 68400, Text_t, " the"
3, 68880, Text_t, " reeds"
3, 71520, Text_t, "\\I"
3, 71760, Text_t, " am"
3, 72000, Text_t, " a"
3, 72240, Text_t, " moth"
3, 74400, Text_t, "/who"
3, 74580, Text_t, " just"
3, 75120, Text_t, " wants"
3, 75600, Text_t, " to.share"
3, 76080, Text_t, " your"
3, 76500, Text_t, " light"
3, 80880, Text_t, "/I\222m"
3, 81120, Text_t, " just"
3, 81360, Text_t, " an"
3, 81600, Text_t, " in"
3, 82080, Text_t, "sect"
3, 84000, Text_t, "/trying.to"
3, 84180, Text_t, " get"
3, 84720, Text_t, " out"
3, 85200, Text_t, " of"
3, 85680, Text_t, " the"
3, 86100, Text_t, " night"
3, 90480, Text_t, "/I"
3, 90720, Text_t, " on"
3, 90960, Text_t, "ly"
