0, 0, Header, 1, 17, 120
1, 0, Start_track
1, 0, Title_t, "The Man Machine"
1, 0, Copyright_t, "Copyright © 1978 Klingklang"
1, 0, Text_t, "J. Talbert"
1, 0, Text_t, "From the Resonance Underground Musik Lab\012"
1, 0, Text_t, "   http://www.ameritech.net/users/jtalbert/mainpage.htm\012"
1, 0, MIDI_port, 0
1, 0, System_exclusive, 5, 126, 127, 9, 1, 247
1, 0, MIDI_port, 0
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 666667
1, 480, Marker_t, "Main"
1, 480, Marker_t, "Intro"
1, 10080, Marker_t, "Main Riff"
1, 10080, Marker_t, "Verse"
1, 10080, Marker_t, "Verse              "
1, 13920, Marker_t, "Chorus"
1, 21600, Marker_t, "Breakdown"
1, 25440, Marker_t, "Main Riff"
1, 25440, Marker_t, "Verse"
1, 25440, Marker_t, "Verse              "
1, 29280, Marker_t, "Chorus"
1, 36960, Marker_t, "Breakdown"
1, 52320, Marker_t, "Coda"
1, 52320, End_track
2, 0, Start_track
2, 0, MIDI_port, 0
2, 0, Title_t, "Vox"
2, 0, Control_c, 0, 91, 90
2, 122, Program_c, 0, 81
2, 123, Control_c, 0, 7, 127
2, 123, Control_c, 0, 10, 64
2, 10080, Note_on_c, 0, 41, 100
2, 10388, Note_on_c, 0, 41, 0
2, 10503, Note_on_c, 0, 44, 79
2, 10523, Note_on_c, 0, 44, 0
2, 10560, Note_on_c, 0, 46, 87
2, 10968, Note_on_c, 0, 46, 0
2, 11040, Note_on_c, 0, 41, 60
2, 11045, Note_on_c, 0, 41, 0
2, 11160, Note_on_c, 0, 41, 84
2, 11273, Note_on_c, 0, 41, 0
2, 11280, Note_on_c, 0, 41, 84
2, 11457, Note_on_c, 0, 41, 0
2, 11460, Note_on_c, 0, 44, 69
2, 11496, Note_on_c, 0, 44, 0
2, 11520, Note_on_c, 0, 46, 79
2, 11925, Note_on_c, 0, 46, 0
2, 12000, Note_on_c, 0, 41, 100
2, 12308, Note_on_c, 0, 41, 0
2, 12423, Note_on_c, 0, 44, 79
2, 12443, Note_on_c, 0, 44, 0
2, 12480, Note_on_c, 0, 46, 79
2, 12904, Note_on_c, 0, 46, 0
2, 12960, Note_on_c, 0, 41, 69
2, 12973, Note_on_c, 0, 41, 0
2, 13080, Note_on_c, 0, 41, 75
2, 13191, Note_on_c, 0, 41, 0
2, 13200, Note_on_c, 0, 41, 75
2, 13371, Note_on_c, 0, 41, 0
2, 13380, Note_on_c, 0, 44, 72
2, 13419, Note_on_c, 0, 44, 0
2, 13440, Note_on_c, 0, 46, 72
2, 13814, Note_on_c, 0, 46, 0
2, 13860, Note_on_c, 0, 36, 87
2, 13917, Note_on_c, 0, 36, 0
2, 13920, Note_on_c, 0, 41, 65
2, 13965, Note_on_c, 0, 41, 0
2, 13980, Note_on_c, 0, 41, 87
2, 14023, Note_on_c, 0, 41, 0
2, 14040, Note_on_c, 0, 44, 60
2, 14080, Note_on_c, 0, 44, 0
2, 14100, Note_on_c, 0, 44, 94
2, 14100, Note_on_c, 0, 41, 52
2, 14128, Note_on_c, 0, 41, 0
2, 14137, Note_on_c, 0, 44, 0
2, 14160, Note_on_c, 0, 48, 45
2, 14160, Note_on_c, 0, 44, 59
2, 14160, Note_on_c, 0, 41, 65
2, 14196, Note_on_c, 0, 41, 0
2, 14201, Note_on_c, 0, 44, 0
2, 14202, Note_on_c, 0, 48, 0
2, 14220, Note_on_c, 0, 48, 100
2, 14220, Note_on_c, 0, 44, 56
2, 14220, Note_on_c, 0, 41, 58
2, 14253, Note_on_c, 0, 44, 0
2, 14257, Note_on_c, 0, 41, 0
2, 14262, Note_on_c, 0, 48, 0
2, 14280, Note_on_c, 0, 48, 65
2, 14280, Note_on_c, 0, 44, 56
2, 14280, Note_on_c, 0, 41, 58
2, 14316, Note_on_c, 0, 44, 0
2, 14320, Note_on_c, 0, 41, 0
2, 14325, Note_on_c, 0, 48, 0
2, 14340, Note_on_c, 0, 48, 100
2, 14340, Note_on_c, 0, 44, 50
2, 14340, Note_on_c, 0, 41, 53
2, 14371, Note_on_c, 0, 44, 0
2, 14376, Note_on_c, 0, 41, 0
2, 14383, Note_on_c, 0, 48, 0
2, 14400, Note_on_c, 0, 53, 59
2, 14400, Note_on_c, 0, 48, 55
2, 14400, Note_on_c, 0, 44, 63
2, 14436, Note_on_c, 0, 48, 0
2, 14438, Note_on_c, 0, 44, 0
2, 14442, Note_on_c, 0, 53, 0
2, 14460, Note_on_c, 0, 53, 100
2, 14460, Note_on_c, 0, 48, 47
2, 14460, Note_on_c, 0, 44, 59
2, 14493, Note_on_c, 0, 44, 0
2, 14498, Note_on_c, 0, 48, 0
2, 14505, Note_on_c, 0, 53, 0
2, 14520, Note_on_c, 0, 56, 65
2, 14520, Note_on_c, 0, 53, 58
2, 14520, Note_on_c, 0, 48, 58
2, 14560, Note_on_c, 0, 48, 0
2, 14560, Note_on_c, 0, 53, 0
2, 14561, Note_on_c, 0, 56, 0
2, 14580, Note_on_c, 0, 56, 87
2, 14580, Note_on_c, 0, 53, 58
2, 14580, Note_on_c, 0, 48, 69
2, 14615, Note_on_c, 0, 48, 0
2, 14616, Note_on_c, 0, 53, 0
2, 14623, Note_on_c, 0, 56, 0
2, 14640, Note_on_c, 0, 60, 48
2, 14640, Note_on_c, 0, 56, 65
2, 14640, Note_on_c, 0, 53, 51
2, 14679, Note_on_c, 0, 56, 0
2, 14680, Note_on_c, 0, 53, 0
2, 14681, Note_on_c, 0, 60, 0
2, 14700, Note_on_c, 0, 60, 84
2, 14700, Note_on_c, 0, 56, 51
2, 14700, Note_on_c, 0, 53, 75
2, 14735, Note_on_c, 0, 53, 0
2, 14735, Note_on_c, 0, 56, 0
2, 14742, Note_on_c, 0, 60, 0
2, 14760, Note_on_c, 0, 60, 65
2, 14760, Note_on_c, 0, 56, 65
2, 14760, Note_on_c, 0, 53, 55
2, 14796, Note_on_c, 0, 56, 0
2, 14804, Note_on_c, 0, 53, 0
2, 14806, Note_on_c, 0, 60, 0
2, 14820, Note_on_c, 0, 63, 84
2, 14820, Note_on_c, 0, 60, 53
2, 14820, Note_on_c, 0, 56, 65
2, 14852, Note_on_c, 0, 60, 0
2, 14854, Note_on_c, 0, 56, 0
2, 14858, Note_on_c, 0, 63, 0
2, 14880, Note_on_c, 0, 60, 58
2, 14880, Note_on_c, 0, 56, 58
2, 14880, Note_on_c, 0, 53, 60
2, 15240, Note_on_c, 0, 44, 84
2, 15318, Note_on_c, 0, 44, 0
2, 15360, Note_on_c, 0, 46, 100
2, 15741, Note_on_c, 0, 46, 0
2, 15746, Note_on_c, 0, 60, 0
2, 15752, Note_on_c, 0, 56, 0
2, 15780, Note_on_c, 0, 38, 60
2, 15809, Note_on_c, 0, 53, 0
2, 15833, Note_on_c, 0, 38, 0
2, 15840, Note_on_c, 0, 43, 62
2, 15883, Note_on_c, 0, 43, 0
2, 15900, Note_on_c, 0, 43, 67
2, 15942, Note_on_c, 0, 43, 0
