['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 32', ' 0']
['2', ' 0', ' 3', ' 0', ' 1']
['2', ' 0', ' 2', ' 0', ' 7', ' 100']
['2', ' 0', ' 1', ' 0', ' 81', ' 100']
['2', ' 30', ' 1', ' 0', ' 76', ' 100']
['2', ' 60', ' 1', ' 0', ' 76', ' 0']
['2', ' 60', ' 1', ' 0', ' 81', ' 0']
['2', ' 60', ' 1', ' 0', ' 69', ' 100']
['2', ' 90', ' 1', ' 0', ' 69', ' 0']
['2', ' 120', ' 1', ' 0', ' 69', ' 100']
['2', ' 180', ' 1', ' 0', ' 69', ' 0']
['2', ' 180', ' 1', ' 0', ' 73', ' 100']
['2', ' 240', ' 1', ' 0', ' 73', ' 0']
['2', ' 240', ' 1', ' 0', ' 69', ' 100']
['2', ' 300', ' 1', ' 0', ' 69', ' 0']
['2', ' 300', ' 1', ' 0', ' 76', ' 100']
['2', ' 360', ' 1', ' 0', ' 76', ' 0']
['2', ' 360', ' 1', ' 0', ' 81', ' 100']
['2', ' 420', ' 1', ' 0', ' 81', ' 0']
['2', ' 420', ' 1', ' 0', ' 69', ' 100']
['2', ' 480', ' 1', ' 0', ' 69', ' 0']
['2', ' 480', ' 1', ' 0', ' 81', ' 100']
['2', ' 510', ' 1', ' 0', ' 76', ' 100']
['2', ' 540', ' 1', ' 0', ' 76', ' 0']
['2', ' 540', ' 1', ' 0', ' 81', ' 0']
['2', ' 540', ' 1', ' 0', ' 69', ' 100']
['2', ' 570', ' 1', ' 0', ' 69', ' 0']
['2', ' 600', ' 1', ' 0', ' 69', ' 100']
['2', ' 660', ' 1', ' 0', ' 69', ' 0']
['2', ' 660', ' 1', ' 0', ' 69', ' 100']
['2', ' 720', ' 1', ' 0', ' 69', ' 0']
['2', ' 720', ' 1', ' 0', ' 69', ' 100']
['2', ' 780', ' 1', ' 0', ' 69', ' 0']
['2', ' 780', ' 1', ' 0', ' 76', ' 100']
['2', ' 840', ' 1', ' 0', ' 76', ' 0']
['2', ' 840', ' 1', ' 0', ' 81', ' 100']
['2', ' 900', ' 1', ' 0', ' 81', ' 0']
['2', ' 900', ' 1', ' 0', ' 69', ' 100']
['2', ' 960', ' 1', ' 0', ' 69', ' 0']
['2', ' 960', ' 1', ' 0', ' 81', ' 100']
['2', ' 990', ' 1', ' 0', ' 76', ' 100']
['2', ' 1020', ' 1', ' 0', ' 76', ' 0']
['2', ' 1020', ' 1', ' 0', ' 81', ' 0']
['2', ' 1020', ' 1', ' 0', ' 69', ' 100']
['2', ' 1050', ' 1', ' 0', ' 69', ' 0']
['2', ' 1080', ' 1', ' 0', ' 69', ' 100']
['2', ' 1140', ' 1', ' 0', ' 69', ' 0']
['2', ' 1140', ' 1', ' 0', ' 73', ' 100']
['2', ' 1200', ' 1', ' 0', ' 73', ' 0']
