['3', ' 96', ' 2', ' 9', ' 121', ' 0']
['3', ' 97', ' 2', ' 9', ' 7', ' 100']
['3', ' 98', ' 2', ' 9', ' 10', ' 64']
['3', ' 99', ' 2', ' 9', ' 91', ' 64']
['3', ' 100', ' 2', ' 9', ' 93', ' 11']
['3', ' 101', ' 2', ' 9', ' 32', ' 0']
['3', ' 101', ' 2', ' 9', ' 0', ' 0']
['3', ' 101', ' 3', ' 9', ' 0']
['3', ' 384', ' 1', ' 9', ' 42', ' 105']
['3', ' 384', ' 1', ' 9', ' 35', ' 115']
['3', ' 393', ' 1', ' 9', ' 42', ' 0']
['3', ' 393', ' 1', ' 9', ' 35', ' 0']
['3', ' 480', ' 1', ' 9', ' 42', ' 105']
['3', ' 480', ' 1', ' 9', ' 38', ' 100']
['3', ' 489', ' 1', ' 9', ' 42', ' 0']
['3', ' 489', ' 1', ' 9', ' 38', ' 0']
['3', ' 576', ' 1', ' 9', ' 42', ' 105']
['3', ' 576', ' 1', ' 9', ' 35', ' 115']
['3', ' 585', ' 1', ' 9', ' 42', ' 0']
['3', ' 585', ' 1', ' 9', ' 35', ' 0']
['3', ' 624', ' 1', ' 9', ' 35', ' 115']
['3', ' 633', ' 1', ' 9', ' 35', ' 0']
['3', ' 672', ' 1', ' 9', ' 42', ' 105']
['3', ' 672', ' 1', ' 9', ' 38', ' 100']
['3', ' 681', ' 1', ' 9', ' 42', ' 0']
['3', ' 681', ' 1', ' 9', ' 38', ' 0']
['3', ' 720', ' 1', ' 9', ' 35', ' 115']
['3', ' 729', ' 1', ' 9', ' 35', ' 0']
['3', ' 768', ' 1', ' 9', ' 42', ' 105']
['3', ' 768', ' 1', ' 9', ' 35', ' 115']
['3', ' 777', ' 1', ' 9', ' 42', ' 0']
['3', ' 777', ' 1', ' 9', ' 35', ' 0']
['3', ' 864', ' 1', ' 9', ' 42', ' 105']
['3', ' 864', ' 1', ' 9', ' 38', ' 100']
['3', ' 873', ' 1', ' 9', ' 42', ' 0']
['3', ' 873', ' 1', ' 9', ' 38', ' 0']
['3', ' 960', ' 1', ' 9', ' 42', ' 105']
['3', ' 960', ' 1', ' 9', ' 35', ' 115']
['3', ' 969', ' 1', ' 9', ' 42', ' 0']
['3', ' 969', ' 1', ' 9', ' 35', ' 0']
['3', ' 1008', ' 1', ' 9', ' 35', ' 115']
['3', ' 1017', ' 1', ' 9', ' 35', ' 0']
['3', ' 1056', ' 1', ' 9', ' 42', ' 105']
['3', ' 1056', ' 1', ' 9', ' 38', ' 100']
['3', ' 1065', ' 1', ' 9', ' 42', ' 0']
['3', ' 1065', ' 1', ' 9', ' 38', ' 0']
['3', ' 1104', ' 1', ' 9', ' 35', ' 115']
['3', ' 1113', ' 1', ' 9', ' 35', ' 0']
['3', ' 1152', ' 1', ' 9', ' 42', ' 105']
['3', ' 1152', ' 1', ' 9', ' 35', ' 115']
['3', ' 1161', ' 1', ' 9', ' 42', ' 0']
['3', ' 1161', ' 1', ' 9', ' 35', ' 0']
['3', ' 1248', ' 1', ' 9', ' 42', ' 105']
['3', ' 1248', ' 1', ' 9', ' 38', ' 100']
['3', ' 1257', ' 1', ' 9', ' 42', ' 0']
['3', ' 1257', ' 1', ' 9', ' 38', ' 0']
['3', ' 1344', ' 1', ' 9', ' 42', ' 105']
['3', ' 1344', ' 1', ' 9', ' 35', ' 115']
['3', ' 1353', ' 1', ' 9', ' 42', ' 0']
['3', ' 1353', ' 1', ' 9', ' 35', ' 0']
['3', ' 1392', ' 1', ' 9', ' 35', ' 115']
['3', ' 1401', ' 1', ' 9', ' 35', ' 0']
['3', ' 1440', ' 1', ' 9', ' 42', ' 105']
['3', ' 1440', ' 1', ' 9', ' 38', ' 100']
['3', ' 1449', ' 1', ' 9', ' 42', ' 0']
['3', ' 1449', ' 1', ' 9', ' 38', ' 0']
['3', ' 1488', ' 1', ' 9', ' 35', ' 115']
['3', ' 1497', ' 1', ' 9', ' 35', ' 0']
['3', ' 1536', ' 1', ' 9', ' 42', ' 105']
['3', ' 1536', ' 1', ' 9', ' 35', ' 115']
['3', ' 1545', ' 1', ' 9', ' 42', ' 0']
['3', ' 1545', ' 1', ' 9', ' 35', ' 0']
['3', ' 1632', ' 1', ' 9', ' 42', ' 105']
['3', ' 1632', ' 1', ' 9', ' 38', ' 100']
['3', ' 1641', ' 1', ' 9', ' 42', ' 0']
['3', ' 1641', ' 1', ' 9', ' 38', ' 0']
['3', ' 1728', ' 1', ' 9', ' 42', ' 105']
['3', ' 1728', ' 1', ' 9', ' 35', ' 115']
['3', ' 1737', ' 1', ' 9', ' 42', ' 0']
['3', ' 1737', ' 1', ' 9', ' 35', ' 0']
['3', ' 1776', ' 1', ' 9', ' 54', ' 80']
['3', ' 1776', ' 1', ' 9', ' 35', ' 115']
['3', ' 1785', ' 1', ' 9', ' 54', ' 0']
['3', ' 1785', ' 1', ' 9', ' 35', ' 0']
['3', ' 1824', ' 1', ' 9', ' 42', ' 105']
['3', ' 1824', ' 1', ' 9', ' 54', ' 115']
['3', ' 1824', ' 1', ' 9', ' 38', ' 100']
['3', ' 1833', ' 1', ' 9', ' 42', ' 0']
['3', ' 1833', ' 1', ' 9', ' 54', ' 0']
['3', ' 1833', ' 1', ' 9', ' 38', ' 0']
['3', ' 1872', ' 1', ' 9', ' 54', ' 80']
['3', ' 1872', ' 1', ' 9', ' 35', ' 115']
['3', ' 1881', ' 1', ' 9', ' 54', ' 0']
['3', ' 1881', ' 1', ' 9', ' 35', ' 0']
['3', ' 1920', ' 1', ' 9', ' 42', ' 105']
['3', ' 1920', ' 1', ' 9', ' 35', ' 115']
['3', ' 1929', ' 1', ' 9', ' 42', ' 0']
['3', ' 1929', ' 1', ' 9', ' 35', ' 0']
['3', ' 2016', ' 1', ' 9', ' 42', ' 105']
['3', ' 2016', ' 1', ' 9', ' 38', ' 100']
['3', ' 2025', ' 1', ' 9', ' 42', ' 0']
['3', ' 2025', ' 1', ' 9', ' 38', ' 0']
['3', ' 2112', ' 1', ' 9', ' 42', ' 105']
['3', ' 2112', ' 1', ' 9', ' 35', ' 115']
['3', ' 2121', ' 1', ' 9', ' 42', ' 0']
['3', ' 2121', ' 1', ' 9', ' 35', ' 0']
['3', ' 2160', ' 1', ' 9', ' 35', ' 115']
['3', ' 2169', ' 1', ' 9', ' 35', ' 0']
['3', ' 2208', ' 1', ' 9', ' 42', ' 105']
['3', ' 2208', ' 1', ' 9', ' 38', ' 100']
['3', ' 2217', ' 1', ' 9', ' 42', ' 0']
['3', ' 2217', ' 1', ' 9', ' 38', ' 0']
['3', ' 2256', ' 1', ' 9', ' 35', ' 115']
['3', ' 2265', ' 1', ' 9', ' 35', ' 0']
['3', ' 2304', ' 1', ' 9', ' 42', ' 105']
['3', ' 2304', ' 1', ' 9', ' 35', ' 115']
['3', ' 2313', ' 1', ' 9', ' 42', ' 0']
['3', ' 2313', ' 1', ' 9', ' 35', ' 0']
['3', ' 2400', ' 1', ' 9', ' 42', ' 105']
['3', ' 2400', ' 1', ' 9', ' 38', ' 100']
['3', ' 2409', ' 1', ' 9', ' 42', ' 0']
['3', ' 2409', ' 1', ' 9', ' 38', ' 0']
['3', ' 2496', ' 1', ' 9', ' 42', ' 105']
['3', ' 2496', ' 1', ' 9', ' 35', ' 115']
['3', ' 2505', ' 1', ' 9', ' 42', ' 0']
['3', ' 2505', ' 1', ' 9', ' 35', ' 0']
['3', ' 2544', ' 1', ' 9', ' 35', ' 115']
['3', ' 2553', ' 1', ' 9', ' 35', ' 0']
['3', ' 2592', ' 1', ' 9', ' 42', ' 105']
['3', ' 2592', ' 1', ' 9', ' 38', ' 100']
['3', ' 2601', ' 1', ' 9', ' 42', ' 0']
['3', ' 2601', ' 1', ' 9', ' 38', ' 0']
['3', ' 2640', ' 1', ' 9', ' 35', ' 115']
['3', ' 2649', ' 1', ' 9', ' 35', ' 0']
['3', ' 2688', ' 1', ' 9', ' 42', ' 105']
['3', ' 2688', ' 1', ' 9', ' 35', ' 115']
['3', ' 2697', ' 1', ' 9', ' 42', ' 0']
['3', ' 2697', ' 1', ' 9', ' 35', ' 0']
['3', ' 2784', ' 1', ' 9', ' 42', ' 105']
['3', ' 2784', ' 1', ' 9', ' 38', ' 100']
['3', ' 2793', ' 1', ' 9', ' 42', ' 0']
['3', ' 2793', ' 1', ' 9', ' 38', ' 0']
['3', ' 2880', ' 1', ' 9', ' 42', ' 105']
['3', ' 2880', ' 1', ' 9', ' 35', ' 115']
['3', ' 2889', ' 1', ' 9', ' 42', ' 0']
['3', ' 2889', ' 1', ' 9', ' 35', ' 0']
['3', ' 2928', ' 1', ' 9', ' 35', ' 115']
['3', ' 2937', ' 1', ' 9', ' 35', ' 0']
['3', ' 2976', ' 1', ' 9', ' 42', ' 105']
['3', ' 2976', ' 1', ' 9', ' 38', ' 100']
['3', ' 2985', ' 1', ' 9', ' 42', ' 0']
['3', ' 2985', ' 1', ' 9', ' 38', ' 0']
['3', ' 3024', ' 1', ' 9', ' 35', ' 115']
['3', ' 3033', ' 1', ' 9', ' 35', ' 0']
['3', ' 3072', ' 1', ' 9', ' 42', ' 105']
['3', ' 3072', ' 1', ' 9', ' 35', ' 115']
['3', ' 3081', ' 1', ' 9', ' 42', ' 0']
['3', ' 3081', ' 1', ' 9', ' 35', ' 0']
['3', ' 3168', ' 1', ' 9', ' 42', ' 105']
['3', ' 3168', ' 1', ' 9', ' 38', ' 100']
['3', ' 3177', ' 1', ' 9', ' 42', ' 0']
['3', ' 3177', ' 1', ' 9', ' 38', ' 0']
['3', ' 3264', ' 1', ' 9', ' 42', ' 105']
['3', ' 3264', ' 1', ' 9', ' 35', ' 115']
['3', ' 3273', ' 1', ' 9', ' 42', ' 0']
['3', ' 3273', ' 1', ' 9', ' 35', ' 0']
['3', ' 3312', ' 1', ' 9', ' 35', ' 115']
['3', ' 3321', ' 1', ' 9', ' 35', ' 0']
['3', ' 3360', ' 1', ' 9', ' 42', ' 105']
['3', ' 3360', ' 1', ' 9', ' 38', ' 100']
['3', ' 3369', ' 1', ' 9', ' 42', ' 0']
['3', ' 3369', ' 1', ' 9', ' 38', ' 0']
['3', ' 3408', ' 1', ' 9', ' 35', ' 115']
['3', ' 3417', ' 1', ' 9', ' 35', ' 0']
['3', ' 3456', ' 1', ' 9', ' 42', ' 105']
['3', ' 3456', ' 1', ' 9', ' 35', ' 115']
['3', ' 3465', ' 1', ' 9', ' 42', ' 0']
['3', ' 3465', ' 1', ' 9', ' 35', ' 0']
['3', ' 3552', ' 1', ' 9', ' 42', ' 105']
['3', ' 3552', ' 1', ' 9', ' 38', ' 100']
['3', ' 3561', ' 1', ' 9', ' 42', ' 0']
['3', ' 3561', ' 1', ' 9', ' 38', ' 0']
['3', ' 3648', ' 1', ' 9', ' 42', ' 105']
['3', ' 3648', ' 1', ' 9', ' 35', ' 115']
['3', ' 3657', ' 1', ' 9', ' 42', ' 0']
['3', ' 3657', ' 1', ' 9', ' 35', ' 0']
['3', ' 3696', ' 1', ' 9', ' 35', ' 115']
['3', ' 3705', ' 1', ' 9', ' 35', ' 0']
['3', ' 3744', ' 1', ' 9', ' 42', ' 105']
['3', ' 3744', ' 1', ' 9', ' 38', ' 100']
['3', ' 3753', ' 1', ' 9', ' 42', ' 0']
['3', ' 3753', ' 1', ' 9', ' 38', ' 0']
['3', ' 3792', ' 1', ' 9', ' 35', ' 115']
['3', ' 3801', ' 1', ' 9', ' 35', ' 0']
['3', ' 3840', ' 1', ' 9', ' 42', ' 105']
['3', ' 3840', ' 1', ' 9', ' 35', ' 115']
['3', ' 3849', ' 1', ' 9', ' 42', ' 0']
['3', ' 3849', ' 1', ' 9', ' 35', ' 0']
['3', ' 3936', ' 1', ' 9', ' 42', ' 105']
['3', ' 3936', ' 1', ' 9', ' 38', ' 100']
['3', ' 3945', ' 1', ' 9', ' 42', ' 0']
