['2', ' 9', ' 3', ' 0', ' 35']
['2', ' 14', ' 1', ' 0', ' 34', ' 88']
['2', ' 43', ' 1', ' 0', ' 34', ' 0']
['2', ' 69', ' 1', ' 0', ' 34', ' 88']
['2', ' 127', ' 1', ' 0', ' 34', ' 0']
['2', ' 189', ' 1', ' 0', ' 46', ' 88']
['2', ' 240', ' 1', ' 0', ' 46', ' 0']
['2', ' 429', ' 1', ' 0', ' 30', ' 88']
['2', ' 487', ' 1', ' 0', ' 30', ' 0']
['2', ' 489', ' 1', ' 0', ' 32', ' 88']
['2', ' 520', ' 1', ' 0', ' 32', ' 0']
['2', ' 549', ' 1', ' 0', ' 32', ' 88']
['2', ' 609', ' 1', ' 0', ' 32', ' 0']
['2', ' 669', ' 1', ' 0', ' 44', ' 88']
['2', ' 712', ' 1', ' 0', ' 44', ' 0']
['2', ' 909', ' 1', ' 0', ' 37', ' 88']
['2', ' 955', ' 1', ' 0', ' 37', ' 0']
['2', ' 969', ' 1', ' 0', ' 39', ' 88']
['2', ' 1012', ' 1', ' 0', ' 39', ' 0']
['2', ' 1029', ' 1', ' 0', ' 39', ' 88']
['2', ' 1070', ' 1', ' 0', ' 39', ' 0']
['2', ' 1149', ' 1', ' 0', ' 51', ' 88']
['2', ' 1188', ' 1', ' 0', ' 51', ' 0']
['2', ' 1269', ' 1', ' 0', ' 30', ' 88']
['2', ' 1317', ' 1', ' 0', ' 30', ' 0']
['2', ' 1389', ' 1', ' 0', ' 32', ' 88']
['2', ' 1437', ' 1', ' 0', ' 32', ' 0']
['2', ' 1449', ' 1', ' 0', ' 34', ' 88']
['2', ' 1483', ' 1', ' 0', ' 34', ' 0']
['2', ' 1509', ' 1', ' 0', ' 34', ' 88']
['2', ' 1567', ' 1', ' 0', ' 34', ' 0']
['2', ' 1629', ' 1', ' 0', ' 46', ' 88']
['2', ' 1680', ' 1', ' 0', ' 46', ' 0']
['2', ' 1929', ' 1', ' 0', ' 32', ' 88']
['2', ' 1968', ' 1', ' 0', ' 32', ' 0']
['2', ' 1989', ' 1', ' 0', ' 32', ' 88']
['2', ' 2037', ' 1', ' 0', ' 32', ' 0']
['2', ' 2109', ' 1', ' 0', ' 44', ' 88']
['2', ' 2155', ' 1', ' 0', ' 44', ' 0']
['2', ' 2409', ' 1', ' 0', ' 39', ' 88']
['2', ' 2452', ' 1', ' 0', ' 39', ' 0']
['2', ' 2469', ' 1', ' 0', ' 39', ' 88']
['2', ' 2510', ' 1', ' 0', ' 39', ' 0']
['2', ' 2589', ' 1', ' 0', ' 51', ' 88']
['2', ' 2628', ' 1', ' 0', ' 51', ' 0']
['2', ' 2709', ' 1', ' 0', ' 30', ' 88']
['2', ' 2757', ' 1', ' 0', ' 30', ' 0']
['2', ' 2829', ' 1', ' 0', ' 32', ' 88']
['2', ' 2877', ' 1', ' 0', ' 32', ' 0']
['2', ' 2889', ' 1', ' 0', ' 34', ' 88']
['2', ' 2930', ' 1', ' 0', ' 34', ' 0']
['2', ' 2949', ' 1', ' 0', ' 34', ' 88']
['2', ' 2995', ' 1', ' 0', ' 34', ' 0']
['2', ' 3069', ' 1', ' 0', ' 46', ' 88']
['2', ' 3103', ' 1', ' 0', ' 46', ' 0']
['2', ' 3367', ' 1', ' 0', ' 32', ' 88']
['2', ' 3400', ' 1', ' 0', ' 32', ' 0']
['2', ' 3429', ' 1', ' 0', ' 32', ' 88']
['2', ' 3484', ' 1', ' 0', ' 32', ' 0']
['2', ' 3549', ' 1', ' 0', ' 44', ' 88']
['2', ' 3585', ' 1', ' 0', ' 44', ' 0']
['2', ' 3849', ' 1', ' 0', ' 39', ' 88']
['2', ' 3892', ' 1', ' 0', ' 39', ' 0']
['2', ' 3909', ' 1', ' 0', ' 39', ' 88']
['2', ' 3950', ' 1', ' 0', ' 39', ' 0']
['2', ' 4029', ' 1', ' 0', ' 51', ' 88']
['2', ' 4068', ' 1', ' 0', ' 51', ' 0']
['2', ' 4149', ' 1', ' 0', ' 30', ' 88']
['2', ' 4197', ' 1', ' 0', ' 30', ' 0']
['2', ' 4269', ' 1', ' 0', ' 32', ' 88']
['2', ' 4317', ' 1', ' 0', ' 32', ' 0']
['2', ' 4329', ' 1', ' 0', ' 34', ' 88']
['2', ' 4370', ' 1', ' 0', ' 34', ' 0']
['2', ' 4389', ' 1', ' 0', ' 34', ' 88']
['2', ' 4435', ' 1', ' 0', ' 34', ' 0']
['2', ' 4509', ' 1', ' 0', ' 46', ' 88']
['2', ' 4543', ' 1', ' 0', ' 46', ' 0']
['2', ' 4807', ' 1', ' 0', ' 32', ' 88']
['2', ' 4840', ' 1', ' 0', ' 32', ' 0']
['2', ' 4869', ' 1', ' 0', ' 32', ' 88']
['2', ' 4924', ' 1', ' 0', ' 32', ' 0']
['2', ' 4989', ' 1', ' 0', ' 44', ' 88']
['2', ' 5025', ' 1', ' 0', ' 44', ' 0']
['2', ' 5289', ' 1', ' 0', ' 39', ' 88']
['2', ' 5332', ' 1', ' 0', ' 39', ' 0']
['2', ' 5349', ' 1', ' 0', ' 39', ' 88']
['2', ' 5390', ' 1', ' 0', ' 39', ' 0']
['2', ' 5469', ' 1', ' 0', ' 51', ' 88']
['2', ' 5508', ' 1', ' 0', ' 51', ' 0']
['2', ' 5589', ' 1', ' 0', ' 30', ' 88']
['2', ' 5637', ' 1', ' 0', ' 30', ' 0']
['2', ' 5709', ' 1', ' 0', ' 32', ' 88']
['2', ' 5757', ' 1', ' 0', ' 32', ' 0']
['2', ' 5769', ' 1', ' 0', ' 34', ' 88']
['2', ' 5803', ' 1', ' 0', ' 34', ' 0']
['2', ' 5829', ' 1', ' 0', ' 34', ' 88']
['2', ' 5887', ' 1', ' 0', ' 34', ' 0']
['2', ' 5949', ' 1', ' 0', ' 46', ' 88']
['2', ' 6002', ' 1', ' 0', ' 46', ' 0']
['2', ' 6189', ' 1', ' 0', ' 30', ' 88']
['2', ' 6247', ' 1', ' 0', ' 30', ' 0']
['2', ' 6247', ' 1', ' 0', ' 32', ' 88']
['2', ' 6280', ' 1', ' 0', ' 32', ' 0']
['2', ' 6309', ' 1', ' 0', ' 32', ' 88']
['2', ' 6369', ' 1', ' 0', ' 32', ' 0']
['2', ' 6429', ' 1', ' 0', ' 44', ' 88']
['2', ' 6472', ' 1', ' 0', ' 44', ' 0']
['2', ' 6669', ' 1', ' 0', ' 37', ' 88']
['2', ' 6715', ' 1', ' 0', ' 37', ' 0']
['2', ' 6732', ' 1', ' 0', ' 39', ' 88']
['2', ' 6772', ' 1', ' 0', ' 39', ' 0']
['2', ' 6789', ' 1', ' 0', ' 39', ' 88']
['2', ' 6832', ' 1', ' 0', ' 39', ' 0']
['2', ' 6909', ' 1', ' 0', ' 51', ' 88']
['2', ' 6948', ' 1', ' 0', ' 51', ' 0']
['2', ' 7029', ' 1', ' 0', ' 30', ' 88']
['2', ' 7077', ' 1', ' 0', ' 30', ' 0']
['2', ' 7149', ' 1', ' 0', ' 32', ' 88']
['2', ' 7197', ' 1', ' 0', ' 32', ' 0']
['2', ' 7209', ' 1', ' 0', ' 34', ' 88']
['2', ' 7243', ' 1', ' 0', ' 34', ' 0']
['2', ' 7269', ' 1', ' 0', ' 34', ' 88']
['2', ' 7327', ' 1', ' 0', ' 34', ' 0']
['2', ' 7389', ' 1', ' 0', ' 46', ' 88']
['2', ' 7440', ' 1', ' 0', ' 46', ' 0']
['2', ' 7689', ' 1', ' 0', ' 32', ' 88']
['2', ' 7723', ' 1', ' 0', ' 32', ' 0']
