['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 3', ' 0', ' 0']
['2', ' 0', ' 1', ' 0', ' 67', ' 100']
['2', ' 0', ' 1', ' 0', ' 55', ' 100']
['2', ' 0', ' 1', ' 0', ' 59', ' 100']
['2', ' 0', ' 1', ' 0', ' 62', ' 100']
['2', ' 0', ' 1', ' 0', ' 55', ' 100']
['2', ' 88', ' 0', ' 0', ' 55', ' 100']
['2', ' 192', ' 1', ' 0', ' 55', ' 100']
['2', ' 280', ' 0', ' 0', ' 55', ' 100']
['2', ' 364', ' 0', ' 0', ' 67', ' 100']
['2', ' 364', ' 0', ' 0', ' 59', ' 100']
['2', ' 364', ' 0', ' 0', ' 62', ' 100']
['2', ' 364', ' 0', ' 0', ' 55', ' 100']
['2', ' 384', ' 1', ' 0', ' 55', ' 100']
['2', ' 472', ' 0', ' 0', ' 55', ' 100']
['2', ' 576', ' 1', ' 0', ' 55', ' 100']
['2', ' 664', ' 0', ' 0', ' 55', ' 100']
['2', ' 768', ' 1', ' 0', ' 55', ' 100']
['2', ' 856', ' 0', ' 0', ' 55', ' 100']
['2', ' 960', ' 1', ' 0', ' 55', ' 100']
['2', ' 1048', ' 0', ' 0', ' 55', ' 100']
['2', ' 1152', ' 1', ' 0', ' 55', ' 100']
['2', ' 1240', ' 0', ' 0', ' 55', ' 100']
['2', ' 1344', ' 1', ' 0', ' 55', ' 100']
['2', ' 1432', ' 0', ' 0', ' 55', ' 100']
['2', ' 1536', ' 1', ' 0', ' 67', ' 100']
['2', ' 1536', ' 1', ' 0', ' 64', ' 100']
['2', ' 1536', ' 1', ' 0', ' 60', ' 100']
['2', ' 1536', ' 1', ' 0', ' 55', ' 100']
['2', ' 1536', ' 1', ' 0', ' 55', ' 100']
['2', ' 1624', ' 0', ' 0', ' 55', ' 100']
['2', ' 1728', ' 1', ' 0', ' 55', ' 100']
['2', ' 1816', ' 0', ' 0', ' 55', ' 100']
['2', ' 1900', ' 0', ' 0', ' 67', ' 100']
['2', ' 1900', ' 0', ' 0', ' 64', ' 100']
['2', ' 1900', ' 0', ' 0', ' 60', ' 100']
['2', ' 1900', ' 0', ' 0', ' 55', ' 100']
