['2', ' 0', ' 1', ' 0', ' 45', ' 87']
['2', ' 0', ' 1', ' 0', ' 52', ' 87']
['2', ' 0', ' 1', ' 0', ' 57', ' 87']
['2', ' 0', ' 1', ' 0', ' 60', ' 87']
['2', ' 0', ' 1', ' 0', ' 64', ' 87']
['2', ' 384', ' 0', ' 0', ' 64', ' 22']
['2', ' 384', ' 0', ' 0', ' 60', ' 45']
['2', ' 384', ' 0', ' 0', ' 57', ' 30']
['2', ' 384', ' 0', ' 0', ' 52', ' 36']
['2', ' 384', ' 0', ' 0', ' 45', ' 42']
['2', ' 384', ' 1', ' 0', ' 45', ' 87']
['2', ' 384', ' 1', ' 0', ' 52', ' 87']
['2', ' 384', ' 1', ' 0', ' 55', ' 87']
['2', ' 384', ' 1', ' 0', ' 59', ' 87']
['2', ' 384', ' 1', ' 0', ' 64', ' 87']
['2', ' 768', ' 0', ' 0', ' 64', ' 30']
['2', ' 768', ' 0', ' 0', ' 59', ' 33']
['2', ' 768', ' 0', ' 0', ' 55', ' 37']
['2', ' 768', ' 0', ' 0', ' 52', ' 38']
['2', ' 768', ' 0', ' 0', ' 45', ' 41']
['2', ' 768', ' 1', ' 0', ' 45', ' 79']
['2', ' 768', ' 1', ' 0', ' 52', ' 75']
['2', ' 768', ' 1', ' 0', ' 55', ' 73']
['2', ' 768', ' 1', ' 0', ' 57', ' 74']
['2', ' 768', ' 1', ' 0', ' 64', ' 74']
['2', ' 816', ' 0', ' 0', ' 64', ' 33']
['2', ' 816', ' 0', ' 0', ' 57', ' 57']
['2', ' 816', ' 0', ' 0', ' 55', ' 44']
['2', ' 816', ' 0', ' 0', ' 52', ' 35']
['2', ' 816', ' 0', ' 0', ' 45', ' 42']
['2', ' 960', ' 1', ' 0', ' 45', ' 85']
['2', ' 960', ' 1', ' 0', ' 52', ' 85']
['2', ' 960', ' 1', ' 0', ' 55', ' 85']
['2', ' 960', ' 1', ' 0', ' 64', ' 85']
['2', ' 1344', ' 0', ' 0', ' 64', ' 32']
['2', ' 1344', ' 0', ' 0', ' 55', ' 41']
['2', ' 1344', ' 0', ' 0', ' 52', ' 37']
['2', ' 1344', ' 0', ' 0', ' 45', ' 42']
['2', ' 1344', ' 1', ' 0', ' 38', ' 78']
['2', ' 1344', ' 1', ' 0', ' 50', ' 76']
['2', ' 1344', ' 1', ' 0', ' 54', ' 77']
['2', ' 1344', ' 1', ' 0', ' 57', ' 79']
['2', ' 1344', ' 1', ' 0', ' 62', ' 76']
['2', ' 3072', ' 0', ' 0', ' 62', ' 39']
['2', ' 3072', ' 0', ' 0', ' 57', ' 40']
['2', ' 3072', ' 0', ' 0', ' 54', ' 18']
['2', ' 3072', ' 0', ' 0', ' 50', ' 27']
['2', ' 3072', ' 0', ' 0', ' 38', ' 35']
['2', ' 3072', ' 1', ' 0', ' 48', ' 61']
['2', ' 3072', ' 1', ' 0', ' 55', ' 79']
['2', ' 3072', ' 1', ' 0', ' 60', ' 73']
['2', ' 3072', ' 1', ' 0', ' 64', ' 75']
['2', ' 3456', ' 0', ' 0', ' 64', ' 36']
['2', ' 3456', ' 0', ' 0', ' 60', ' 48']
['2', ' 3456', ' 0', ' 0', ' 55', ' 38']
['2', ' 3456', ' 0', ' 0', ' 48', ' 52']
['2', ' 3456', ' 1', ' 0', ' 48', ' 83']
['2', ' 3456', ' 1', ' 0', ' 54', ' 84']
['2', ' 3456', ' 1', ' 0', ' 60', ' 83']
['2', ' 3456', ' 1', ' 0', ' 64', ' 78']
['2', ' 3840', ' 0', ' 0', ' 64', ' 34']
['2', ' 3840', ' 0', ' 0', ' 60', ' 53']
['2', ' 3840', ' 0', ' 0', ' 54', ' 46']
['2', ' 3840', ' 0', ' 0', ' 48', ' 45']
['2', ' 3840', ' 1', ' 0', ' 48', ' 93']
['2', ' 3840', ' 1', ' 0', ' 52', ' 93']
['2', ' 3840', ' 1', ' 0', ' 55', ' 66']
['2', ' 3840', ' 1', ' 0', ' 60', ' 66']
['2', ' 3840', ' 1', ' 0', ' 64', ' 66']
['2', ' 3888', ' 0', ' 0', ' 64', ' 64']
['2', ' 3888', ' 0', ' 0', ' 60', ' 64']
['2', ' 3888', ' 0', ' 0', ' 55', ' 64']
['2', ' 3888', ' 0', ' 0', ' 52', ' 64']
['2', ' 3888', ' 0', ' 0', ' 48', ' 58']
['2', ' 4032', ' 1', ' 0', ' 48', ' 81']
['2', ' 4032', ' 1', ' 0', ' 52', ' 83']
['2', ' 4032', ' 1', ' 0', ' 55', ' 86']
['2', ' 4032', ' 1', ' 0', ' 60', ' 80']
['2', ' 4032', ' 1', ' 0', ' 64', ' 78']
['2', ' 4416', ' 0', ' 0', ' 64', ' 25']
['2', ' 4416', ' 0', ' 0', ' 60', ' 34']
['2', ' 4416', ' 0', ' 0', ' 55', ' 41']
['2', ' 4416', ' 0', ' 0', ' 52', ' 34']
['2', ' 4416', ' 0', ' 0', ' 48', ' 38']
['2', ' 4416', ' 1', ' 0', ' 45', ' 85']
['2', ' 4416', ' 1', ' 0', ' 52', ' 85']
['2', ' 4416', ' 1', ' 0', ' 57', ' 79']
['2', ' 4416', ' 1', ' 0', ' 61', ' 75']
['2', ' 4416', ' 1', ' 0', ' 64', ' 79']
['2', ' 7680', ' 0', ' 0', ' 64', ' 22']
['2', ' 7680', ' 0', ' 0', ' 61', ' 2']
['2', ' 7680', ' 0', ' 0', ' 57', ' 25']
['2', ' 7680', ' 0', ' 0', ' 52', ' 36']
['2', ' 7680', ' 0', ' 0', ' 45', ' 32']
['2', ' 7680', ' 1', ' 0', ' 43', ' 72']
['2', ' 7872', ' 1', ' 0', ' 50', ' 60']
['2', ' 8064', ' 1', ' 0', ' 55', ' 76']
['2', ' 8064', ' 1', ' 0', ' 59', ' 67']
['2', ' 8191', ' 0', ' 0', ' 50', ' 10']
['2', ' 8640', ' 1', ' 0', ' 50', ' 53']
['2', ' 8683', ' 0', ' 0', ' 55', ' 31']
['2', ' 8684', ' 0', ' 0', ' 59', ' 31']
['2', ' 8832', ' 1', ' 0', ' 55', ' 83']
['2', ' 8832', ' 1', ' 0', ' 59', ' 76']
['2', ' 8884', ' 0', ' 0', ' 43', ' 24']
['2', ' 8898', ' 0', ' 0', ' 50', ' 30']
['2', ' 9024', ' 1', ' 0', ' 50', ' 67']
['2', ' 9216', ' 1', ' 0', ' 43', ' 76']
