['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 3', ' 0', ' 29']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 24']
['2', ' 0', ' 2', ' 1', ' 7', ' 127']
['2', ' 0', ' 3', ' 1', ' 29']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 24']
['2', ' 0', ' 1', ' 0', ' 40', ' 104']
['2', ' 0', ' 1', ' 0', ' 45', ' 104']
['2', ' 0', ' 1', ' 0', ' 50', ' 104']
['2', ' 0', ' 1', ' 0', ' 55', ' 104']
['2', ' 15', ' 0', ' 0', ' 55', ' 0']
['2', ' 15', ' 0', ' 0', ' 50', ' 0']
['2', ' 15', ' 0', ' 0', ' 45', ' 0']
['2', ' 15', ' 0', ' 0', ' 40', ' 0']
['2', ' 360', ' 1', ' 0', ' 40', ' 104']
['2', ' 360', ' 1', ' 0', ' 45', ' 104']
['2', ' 360', ' 1', ' 0', ' 50', ' 104']
['2', ' 360', ' 1', ' 0', ' 55', ' 104']
['2', ' 375', ' 0', ' 0', ' 55', ' 0']
['2', ' 375', ' 0', ' 0', ' 50', ' 0']
['2', ' 375', ' 0', ' 0', ' 45', ' 0']
['2', ' 375', ' 0', ' 0', ' 40', ' 0']
['2', ' 720', ' 1', ' 0', ' 40', ' 104']
['2', ' 720', ' 1', ' 0', ' 45', ' 104']
['2', ' 720', ' 1', ' 0', ' 50', ' 104']
['2', ' 720', ' 1', ' 0', ' 55', ' 104']
['2', ' 735', ' 0', ' 0', ' 55', ' 0']
['2', ' 735', ' 0', ' 0', ' 50', ' 0']
['2', ' 735', ' 0', ' 0', ' 45', ' 0']
['2', ' 735', ' 0', ' 0', ' 40', ' 0']
['2', ' 1080', ' 1', ' 0', ' 40', ' 104']
['2', ' 1080', ' 1', ' 0', ' 45', ' 104']
['2', ' 1080', ' 1', ' 0', ' 50', ' 104']
['2', ' 1080', ' 1', ' 0', ' 55', ' 104']
['2', ' 1095', ' 0', ' 0', ' 55', ' 0']
['2', ' 1095', ' 0', ' 0', ' 50', ' 0']
['2', ' 1095', ' 0', ' 0', ' 45', ' 0']
['2', ' 1095', ' 0', ' 0', ' 40', ' 0']
['2', ' 1440', ' 1', ' 0', ' 40', ' 104']
['2', ' 1440', ' 1', ' 0', ' 45', ' 104']
['2', ' 1440', ' 1', ' 0', ' 50', ' 104']
['2', ' 1440', ' 1', ' 0', ' 55', ' 104']
['2', ' 1455', ' 0', ' 0', ' 55', ' 0']
['2', ' 1455', ' 0', ' 0', ' 50', ' 0']
['2', ' 1455', ' 0', ' 0', ' 45', ' 0']
['2', ' 1455', ' 0', ' 0', ' 40', ' 0']
['2', ' 1800', ' 1', ' 0', ' 40', ' 104']
['2', ' 1800', ' 1', ' 0', ' 45', ' 104']
['2', ' 1800', ' 1', ' 0', ' 50', ' 104']
['2', ' 1800', ' 1', ' 0', ' 55', ' 104']
['2', ' 1815', ' 0', ' 0', ' 55', ' 0']
['2', ' 1815', ' 0', ' 0', ' 50', ' 0']
['2', ' 1815', ' 0', ' 0', ' 45', ' 0']
['2', ' 1815', ' 0', ' 0', ' 40', ' 0']
['2', ' 2160', ' 1', ' 0', ' 40', ' 104']
['2', ' 2160', ' 1', ' 0', ' 45', ' 104']
['2', ' 2160', ' 1', ' 0', ' 50', ' 104']
['2', ' 2160', ' 1', ' 0', ' 55', ' 104']
['2', ' 2175', ' 0', ' 0', ' 55', ' 0']
['2', ' 2175', ' 0', ' 0', ' 50', ' 0']
['2', ' 2175', ' 0', ' 0', ' 45', ' 0']
['2', ' 2175', ' 0', ' 0', ' 40', ' 0']
['2', ' 2520', ' 1', ' 0', ' 40', ' 104']
['2', ' 2520', ' 1', ' 0', ' 45', ' 104']
['2', ' 2520', ' 1', ' 0', ' 50', ' 104']
['2', ' 2520', ' 1', ' 0', ' 55', ' 104']
['2', ' 2535', ' 0', ' 0', ' 55', ' 0']
['2', ' 2535', ' 0', ' 0', ' 50', ' 0']
['2', ' 2535', ' 0', ' 0', ' 45', ' 0']
['2', ' 2535', ' 0', ' 0', ' 40', ' 0']
['2', ' 2880', ' 1', ' 0', ' 40', ' 104']
['2', ' 2880', ' 1', ' 0', ' 45', ' 104']
['2', ' 2880', ' 1', ' 0', ' 50', ' 104']
['2', ' 2880', ' 1', ' 0', ' 55', ' 104']
['2', ' 2895', ' 0', ' 0', ' 55', ' 0']
['2', ' 2895', ' 0', ' 0', ' 50', ' 0']
['2', ' 2895', ' 0', ' 0', ' 45', ' 0']
['2', ' 2895', ' 0', ' 0', ' 40', ' 0']
['2', ' 3240', ' 1', ' 0', ' 40', ' 104']
['2', ' 3240', ' 1', ' 0', ' 45', ' 104']
['2', ' 3240', ' 1', ' 0', ' 50', ' 104']
['2', ' 3240', ' 1', ' 0', ' 55', ' 104']
['2', ' 3255', ' 0', ' 0', ' 55', ' 0']
['2', ' 3255', ' 0', ' 0', ' 50', ' 0']
['2', ' 3255', ' 0', ' 0', ' 45', ' 0']
['2', ' 3255', ' 0', ' 0', ' 40', ' 0']
['2', ' 3600', ' 1', ' 0', ' 40', ' 104']
['2', ' 3600', ' 1', ' 0', ' 45', ' 104']
['2', ' 3600', ' 1', ' 0', ' 50', ' 104']
['2', ' 3600', ' 1', ' 0', ' 55', ' 104']
['2', ' 3615', ' 0', ' 0', ' 55', ' 0']
['2', ' 3615', ' 0', ' 0', ' 50', ' 0']
['2', ' 3615', ' 0', ' 0', ' 45', ' 0']
['2', ' 3615', ' 0', ' 0', ' 40', ' 0']
['2', ' 3960', ' 1', ' 0', ' 40', ' 104']
['2', ' 3960', ' 1', ' 0', ' 45', ' 104']
['2', ' 3960', ' 1', ' 0', ' 50', ' 104']
