['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 30']
['2', ' 0', ' 3', ' 0', ' 30']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 88']
['2', ' 0', ' 2', ' 0', ' 7', ' 88']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 9360', ' 1', ' 0', ' 55', ' 95']
['2', ' 9360', ' 1', ' 0', ' 50', ' 95']
['2', ' 9360', ' 1', ' 0', ' 43', ' 95']
['2', ' 9600', ' 0', ' 0', ' 55', ' 80']
['2', ' 9600', ' 0', ' 0', ' 50', ' 80']
['2', ' 9600', ' 0', ' 0', ' 43', ' 80']
['2', ' 9600', ' 1', ' 0', ' 58', ' 95']
['2', ' 9600', ' 1', ' 0', ' 53', ' 95']
['2', ' 9600', ' 1', ' 0', ' 46', ' 95']
['2', ' 10320', ' 0', ' 0', ' 58', ' 80']
['2', ' 10320', ' 0', ' 0', ' 53', ' 80']
['2', ' 10320', ' 0', ' 0', ' 46', ' 80']
['2', ' 10320', ' 1', ' 0', ' 58', ' 95']
['2', ' 10320', ' 1', ' 0', ' 53', ' 95']
['2', ' 10320', ' 1', ' 0', ' 46', ' 95']
['2', ' 10560', ' 0', ' 0', ' 58', ' 80']
['2', ' 10560', ' 0', ' 0', ' 53', ' 80']
['2', ' 10560', ' 0', ' 0', ' 46', ' 80']
['2', ' 10560', ' 1', ' 0', ' 55', ' 95']
['2', ' 10560', ' 1', ' 0', ' 50', ' 95']
['2', ' 10560', ' 1', ' 0', ' 43', ' 95']
['2', ' 14160', ' 0', ' 0', ' 55', ' 80']
['2', ' 14160', ' 0', ' 0', ' 50', ' 80']
['2', ' 14160', ' 0', ' 0', ' 43', ' 80']
['2', ' 14160', ' 1', ' 0', ' 55', ' 95']
['2', ' 14160', ' 1', ' 0', ' 50', ' 95']
['2', ' 14160', ' 1', ' 0', ' 43', ' 95']
['2', ' 14280', ' 0', ' 0', ' 55', ' 80']
