['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 1', ' 2', ' 0', ' 32', ' 0']
['2', ' 2', ' 3', ' 0', ' 73']
['2', ' 9360', ' 1', ' 0', ' 84', ' 92']
['2', ' 9408', ' 1', ' 0', ' 84', ' 0']
['2', ' 9420', ' 1', ' 0', ' 82', ' 92']
['2', ' 9468', ' 1', ' 0', ' 82', ' 0']
['2', ' 9480', ' 1', ' 0', ' 79', ' 92']
['2', ' 9528', ' 1', ' 0', ' 79', ' 0']
['2', ' 9540', ' 1', ' 0', ' 77', ' 92']
['2', ' 9588', ' 1', ' 0', ' 77', ' 0']
['2', ' 11280', ' 1', ' 0', ' 84', ' 92']
['2', ' 11328', ' 1', ' 0', ' 84', ' 0']
['2', ' 11340', ' 1', ' 0', ' 82', ' 92']
['2', ' 11388', ' 1', ' 0', ' 82', ' 0']
['2', ' 11400', ' 1', ' 0', ' 79', ' 92']
['2', ' 11448', ' 1', ' 0', ' 79', ' 0']
['2', ' 11460', ' 1', ' 0', ' 77', ' 92']
['2', ' 11508', ' 1', ' 0', ' 77', ' 0']
['2', ' 13200', ' 1', ' 0', ' 84', ' 92']
['2', ' 13248', ' 1', ' 0', ' 84', ' 0']
['2', ' 13260', ' 1', ' 0', ' 82', ' 92']
['2', ' 13308', ' 1', ' 0', ' 82', ' 0']
['2', ' 13320', ' 1', ' 0', ' 79', ' 92']
['2', ' 13368', ' 1', ' 0', ' 79', ' 0']
['2', ' 13380', ' 1', ' 0', ' 77', ' 92']
['2', ' 13428', ' 1', ' 0', ' 77', ' 0']
['2', ' 15120', ' 1', ' 0', ' 84', ' 92']
['2', ' 15168', ' 1', ' 0', ' 84', ' 0']
['2', ' 15180', ' 1', ' 0', ' 82', ' 92']
['2', ' 15228', ' 1', ' 0', ' 82', ' 0']
['2', ' 15240', ' 1', ' 0', ' 79', ' 92']
['2', ' 15288', ' 1', ' 0', ' 79', ' 0']
['2', ' 15300', ' 1', ' 0', ' 77', ' 92']
['2', ' 15348', ' 1', ' 0', ' 77', ' 0']
['2', ' 15600', ' 1', ' 0', ' 79', ' 95']
['2', ' 15815', ' 1', ' 0', ' 79', ' 0']
['2', ' 15840', ' 1', ' 0', ' 67', ' 93']
['2', ' 16015', ' 1', ' 0', ' 67', ' 0']
['2', ' 16440', ' 1', ' 0', ' 79', ' 95']
['2', ' 16540', ' 1', ' 0', ' 79', ' 0']
['2', ' 16560', ' 1', ' 0', ' 79', ' 95']
['2', ' 16635', ' 1', ' 0', ' 79', ' 0']
['2', ' 16680', ' 1', ' 0', ' 77', ' 93']
['2', ' 16755', ' 1', ' 0', ' 77', ' 0']
['2', ' 16800', ' 1', ' 0', ' 79', ' 95']
['2', ' 16875', ' 1', ' 0', ' 79', ' 0']
['2', ' 16920', ' 1', ' 0', ' 80', ' 94']
['2', ' 17002', ' 1', ' 0', ' 80', ' 0']
