['3', ' 0', ' 2', ' 0', ' 7', ' 84']
['3', ' 0', ' 3', ' 0', ' 0']
['3', ' 191', ' 2', ' 0', ' 6', ' 64']
['3', ' 191', ' 2', ' 0', ' 38', ' 0']
['3', ' 191', ' 2', ' 0', ' 91', ' 80']
['3', ' 191', ' 2', ' 0', ' 93', ' 20']
['3', ' 191', ' 2', ' 0', ' 100', ' 1']
['3', ' 191', ' 2', ' 0', ' 100', ' 2']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 6', ' 64']
['3', ' 191', ' 2', ' 0', ' 7', ' 100']
['3', ' 191', ' 2', ' 0', ' 10', ' 64']
['3', ' 191', ' 2', ' 0', ' 38', ' 0']
['3', ' 191', ' 2', ' 0', ' 91', ' 10']
['3', ' 191', ' 2', ' 0', ' 93', ' 10']
['3', ' 191', ' 2', ' 0', ' 100', ' 1']
['3', ' 191', ' 2', ' 0', ' 100', ' 2']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 6', ' 64']
['3', ' 191', ' 2', ' 0', ' 7', ' 100']
['3', ' 191', ' 2', ' 0', ' 10', ' 64']
['3', ' 191', ' 2', ' 0', ' 38', ' 0']
['3', ' 191', ' 2', ' 0', ' 91', ' 100']
['3', ' 191', ' 2', ' 0', ' 93', ' 0']
['3', ' 191', ' 2', ' 0', ' 100', ' 1']
['3', ' 191', ' 2', ' 0', ' 100', ' 2']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 6', ' 64']
['3', ' 191', ' 2', ' 0', ' 7', ' 100']
['3', ' 191', ' 2', ' 0', ' 10', ' 64']
['3', ' 191', ' 2', ' 0', ' 38', ' 0']
['3', ' 191', ' 2', ' 0', ' 91', ' 50']
['3', ' 191', ' 2', ' 0', ' 93', ' 50']
['3', ' 191', ' 2', ' 0', ' 100', ' 1']
['3', ' 191', ' 2', ' 0', ' 100', ' 2']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 101', ' 0']
['3', ' 191', ' 2', ' 0', ' 6', ' 64']
['3', ' 191', ' 2', ' 0', ' 7', ' 100']
['3', ' 191', ' 2', ' 0', ' 10', ' 64']
['3', ' 191', ' 2', ' 0', ' 38', ' 0']
['3', ' 191', ' 2', ' 0', ' 91', ' 100']
['3', ' 191', ' 2', ' 0', ' 93', ' 0']
