['1', ' 80', ' 2', ' 0', ' 121', ' 0']
['1', ' 81', ' 2', ' 1', ' 121', ' 0']
['1', ' 82', ' 2', ' 2', ' 121', ' 0']
['1', ' 83', ' 2', ' 3', ' 121', ' 0']
['1', ' 84', ' 2', ' 4', ' 121', ' 0']
['1', ' 85', ' 2', ' 5', ' 121', ' 0']
['1', ' 86', ' 2', ' 6', ' 121', ' 0']
['1', ' 87', ' 2', ' 7', ' 121', ' 0']
['1', ' 88', ' 2', ' 8', ' 121', ' 0']
['1', ' 89', ' 2', ' 9', ' 121', ' 0']
['1', ' 96', ' 2', ' 0', ' 0', ' 0']
['1', ' 97', ' 2', ' 0', ' 32', ' 0']
['1', ' 98', ' 3', ' 0', ' 5']
['1', ' 99', ' 2', ' 0', ' 7', ' 110']
['1', ' 99', ' 2', ' 0', ' 10', ' 94']
['1', ' 99', ' 2', ' 0', ' 11', ' 127']
['1', ' 100', ' 2', ' 0', ' 91', ' 70']
['1', ' 100', ' 2', ' 0', ' 93', ' 120']
['1', ' 101', ' 2', ' 1', ' 0', ' 0']
['1', ' 102', ' 2', ' 1', ' 32', ' 0']
['1', ' 103', ' 3', ' 1', ' 33']
['1', ' 104', ' 2', ' 1', ' 7', ' 110']
['1', ' 104', ' 2', ' 1', ' 10', ' 64']
['1', ' 104', ' 2', ' 1', ' 11', ' 120']
['1', ' 105', ' 2', ' 1', ' 91', ' 50']
['1', ' 105', ' 2', ' 1', ' 93', ' 70']
['1', ' 106', ' 2', ' 2', ' 0', ' 0']
['1', ' 107', ' 2', ' 2', ' 32', ' 0']
['1', ' 108', ' 3', ' 2', ' 30']
['1', ' 109', ' 2', ' 2', ' 7', ' 110']
['1', ' 109', ' 2', ' 2', ' 10', ' 44']
['1', ' 109', ' 2', ' 2', ' 11', ' 90']
['1', ' 110', ' 2', ' 2', ' 91', ' 127']
['1', ' 110', ' 2', ' 2', ' 93', ' 70']
['1', ' 111', ' 2', ' 3', ' 0', ' 0']
['1', ' 112', ' 2', ' 3', ' 32', ' 0']
['1', ' 113', ' 3', ' 3', ' 66']
['1', ' 114', ' 2', ' 3', ' 7', ' 110']
['1', ' 114', ' 2', ' 3', ' 10', ' 64']
['1', ' 114', ' 2', ' 3', ' 11', ' 127']
['1', ' 115', ' 2', ' 3', ' 91', ' 127']
['1', ' 115', ' 2', ' 3', ' 93', ' 40']
['1', ' 116', ' 2', ' 4', ' 0', ' 0']
['1', ' 117', ' 2', ' 4', ' 32', ' 0']
['1', ' 118', ' 3', ' 4', ' 29']
['1', ' 119', ' 2', ' 4', ' 7', ' 110']
['1', ' 119', ' 2', ' 4', ' 10', ' 24']
['1', ' 119', ' 2', ' 4', ' 11', ' 110']
['1', ' 120', ' 2', ' 4', ' 91', ' 127']
['1', ' 120', ' 2', ' 4', ' 93', ' 50']
['1', ' 121', ' 2', ' 5', ' 0', ' 0']
['1', ' 122', ' 2', ' 5', ' 32', ' 0']
['1', ' 123', ' 3', ' 5', ' 62']
['1', ' 124', ' 2', ' 5', ' 7', ' 110']
['1', ' 124', ' 2', ' 5', ' 10', ' 114']
['1', ' 124', ' 2', ' 5', ' 11', ' 127']
['1', ' 125', ' 2', ' 5', ' 91', ' 127']
['1', ' 125', ' 2', ' 5', ' 93', ' 127']
['1', ' 126', ' 2', ' 6', ' 0', ' 0']
['1', ' 127', ' 2', ' 6', ' 32', ' 0']
['1', ' 128', ' 3', ' 6', ' 11']
['1', ' 129', ' 2', ' 6', ' 7', ' 110']
['1', ' 129', ' 2', ' 6', ' 10', ' 44']
['1', ' 129', ' 2', ' 6', ' 11', ' 95']
['1', ' 130', ' 2', ' 6', ' 91', ' 127']
['1', ' 130', ' 2', ' 6', ' 93', ' 80']
['1', ' 131', ' 2', ' 7', ' 0', ' 0']
['1', ' 132', ' 2', ' 7', ' 32', ' 0']
['1', ' 133', ' 3', ' 7', ' 29']
['1', ' 134', ' 2', ' 7', ' 7', ' 110']
['1', ' 134', ' 2', ' 7', ' 10', ' 124']
['1', ' 134', ' 2', ' 7', ' 11', ' 120']
['1', ' 135', ' 2', ' 7', ' 91', ' 127']
['1', ' 135', ' 2', ' 7', ' 93', ' 80']
['1', ' 136', ' 2', ' 8', ' 0', ' 0']
['1', ' 137', ' 2', ' 8', ' 32', ' 0']
['1', ' 138', ' 3', ' 8', ' 17']
['1', ' 139', ' 2', ' 8', ' 7', ' 110']
['1', ' 139', ' 2', ' 8', ' 10', ' 64']
['1', ' 139', ' 2', ' 8', ' 11', ' 60']
['1', ' 140', ' 2', ' 8', ' 93', ' 127']
['1', ' 141', ' 2', ' 9', ' 0', ' 0']
['1', ' 142', ' 2', ' 9', ' 32', ' 0']
['1', ' 143', ' 3', ' 9', ' 0']
['1', ' 144', ' 2', ' 9', ' 7', ' 110']
['1', ' 144', ' 2', ' 9', ' 10', ' 64']
['1', ' 144', ' 2', ' 9', ' 11', ' 120']
['1', ' 145', ' 2', ' 9', ' 91', ' 127']
['1', ' 145', ' 2', ' 9', ' 93', ' 20']
['1', ' 384', ' 1', ' 1', ' 26', ' 125']
['1', ' 384', ' 1', ' 9', ' 35', ' 127']
['1', ' 384', ' 1', ' 9', ' 49', ' 126']
['1', ' 384', ' 0', ' 9', ' 35', ' 64']
['1', ' 384', ' 0', ' 9', ' 49', ' 64']
['1', ' 408', ' 0', ' 1', ' 26', ' 64']
['1', ' 432', ' 1', ' 1', ' 26', ' 126']
['1', ' 432', ' 1', ' 9', ' 35', ' 127']
['1', ' 432', ' 0', ' 9', ' 35', ' 64']
['1', ' 480', ' 1', ' 0', ' 55', ' 89']
['1', ' 480', ' 1', ' 1', ' 31', ' 126']
['1', ' 480', ' 1', ' 2', ' 55', ' 110']
['1', ' 480', ' 1', ' 9', ' 46', ' 126']
['1', ' 480', ' 0', ' 1', ' 26', ' 64']
['1', ' 480', ' 0', ' 9', ' 46', ' 64']
['1', ' 496', ' 1', ' 9', ' 46', ' 122']
['1', ' 496', ' 0', ' 9', ' 46', ' 64']
['1', ' 512', ' 1', ' 9', ' 46', ' 124']
['1', ' 512', ' 0', ' 9', ' 46', ' 64']
['1', ' 528', ' 1', ' 0', ' 60', ' 89']
['1', ' 528', ' 1', ' 0', ' 65', ' 89']
['1', ' 528', ' 0', ' 1', ' 31', ' 64']
['1', ' 528', ' 1', ' 1', ' 41', ' 126']
['1', ' 528', ' 1', ' 2', ' 60', ' 97']
['1', ' 528', ' 1', ' 2', ' 65', ' 91']
['1', ' 534', ' 0', ' 0', ' 55', ' 64']
['1', ' 534', ' 0', ' 2', ' 55', ' 64']
['1', ' 576', ' 1', ' 9', ' 48', ' 99']
['1', ' 576', ' 0', ' 9', ' 48', ' 64']
['1', ' 592', ' 1', ' 9', ' 48', ' 100']
['1', ' 592', ' 0', ' 9', ' 48', ' 64']
['1', ' 608', ' 1', ' 9', ' 48', ' 102']
['1', ' 608', ' 0', ' 9', ' 48', ' 64']
['1', ' 619', ' 2', ' 0', ' 1', ' 23']
['1', ' 619', ' 2', ' 2', ' 1', ' 23']
['1', ' 624', ' 1', ' 9', ' 48', ' 102']
['1', ' 624', ' 0', ' 9', ' 48', ' 64']
['1', ' 627', ' 2', ' 0', ' 1', ' 53']
['1', ' 627', ' 2', ' 2', ' 1', ' 53']
['1', ' 636', ' 2', ' 0', ' 1', ' 107']
['1', ' 636', ' 2', ' 2', ' 1', ' 107']
['1', ' 639', ' 1', ' 9', ' 48', ' 103']
['1', ' 640', ' 0', ' 9', ' 48', ' 64']
['1', ' 644', ' 2', ' 0', ' 1', ' 127']
