['2', ' 192', ' 2', ' 3', ' 91', ' 104']
['2', ' 384', ' 2', ' 3', ' 93', ' 28']
['2', ' 672', ' 3', ' 3', ' 65']
['2', ' 3744', ' 1', ' 3', ' 63', ' 127']
['2', ' 3826', ' 1', ' 3', ' 63', ' 0']
['2', ' 3840', ' 1', ' 3', ' 67', ' 127']
['2', ' 4018', ' 1', ' 3', ' 67', ' 0']
['2', ' 4032', ' 1', ' 3', ' 65', ' 125']
['2', ' 4126', ' 1', ' 3', ' 65', ' 0']
['2', ' 4128', ' 1', ' 3', ' 63', ' 127']
['2', ' 4224', ' 1', ' 3', ' 65', ' 127']
['2', ' 4227', ' 1', ' 3', ' 63', ' 0']
['2', ' 4342', ' 1', ' 3', ' 65', ' 0']
['2', ' 4352', ' 1', ' 3', ' 63', ' 127']
['2', ' 4493', ' 1', ' 3', ' 63', ' 0']
['2', ' 4512', ' 1', ' 3', ' 65', ' 127']
['2', ' 4589', ' 1', ' 3', ' 65', ' 0']
['2', ' 4608', ' 1', ' 3', ' 67', ' 127']
['2', ' 4782', ' 1', ' 3', ' 67', ' 0']
['2', ' 4800', ' 1', ' 3', ' 65', ' 125']
['2', ' 4896', ' 1', ' 3', ' 63', ' 127']
['2', ' 4910', ' 1', ' 3', ' 65', ' 0']
['2', ' 4992', ' 1', ' 3', ' 65', ' 127']
['2', ' 4995', ' 1', ' 3', ' 63', ' 0']
['2', ' 5088', ' 1', ' 3', ' 63', ' 127']
['2', ' 5096', ' 1', ' 3', ' 65', ' 0']
['2', ' 5164', ' 1', ' 3', ' 63', ' 0']
['2', ' 5184', ' 1', ' 3', ' 65', ' 127']
['2', ' 5280', ' 1', ' 3', ' 63', ' 127']
['2', ' 5299', ' 1', ' 3', ' 65', ' 0']
['2', ' 5364', ' 1', ' 3', ' 63', ' 0']
['2', ' 5376', ' 1', ' 3', ' 67', ' 127']
['2', ' 5494', ' 1', ' 3', ' 67', ' 0']
['2', ' 5520', ' 1', ' 3', ' 67', ' 127']
['2', ' 5663', ' 1', ' 3', ' 67', ' 0']
['2', ' 5664', ' 1', ' 3', ' 63', ' 127']
['2', ' 5760', ' 1', ' 3', ' 65', ' 117']
['2', ' 5762', ' 1', ' 3', ' 63', ' 0']
['2', ' 5856', ' 1', ' 3', ' 63', ' 127']
['2', ' 5867', ' 1', ' 3', ' 65', ' 0']
['2', ' 5925', ' 1', ' 3', ' 63', ' 0']
['2', ' 5952', ' 1', ' 3', ' 65', ' 125']
['2', ' 6048', ' 1', ' 3', ' 63', ' 127']
['2', ' 6063', ' 1', ' 3', ' 65', ' 0']
['2', ' 6144', ' 1', ' 3', ' 67', ' 127']
['2', ' 6154', ' 1', ' 3', ' 63', ' 0']
['2', ' 6270', ' 1', ' 3', ' 67', ' 0']
['2', ' 6288', ' 1', ' 3', ' 67', ' 127']
['2', ' 6384', ' 1', ' 3', ' 67', ' 0']
['2', ' 6432', ' 1', ' 3', ' 67', ' 117']
['2', ' 6497', ' 1', ' 3', ' 67', ' 0']
['2', ' 6528', ' 1', ' 3', ' 65', ' 100']
['2', ' 6624', ' 1', ' 3', ' 63', ' 119']
['2', ' 6629', ' 1', ' 3', ' 65', ' 0']
['2', ' 6710', ' 1', ' 3', ' 63', ' 0']
['2', ' 6720', ' 1', ' 3', ' 60', ' 117']
['2', ' 6774', ' 1', ' 3', ' 60', ' 0']
['2', ' 6816', ' 1', ' 3', ' 60', ' 104']
['2', ' 6912', ' 1', ' 3', ' 63', ' 119']
['2', ' 6919', ' 1', ' 3', ' 60', ' 0']
['2', ' 7075', ' 1', ' 3', ' 63', ' 0']
['2', ' 7104', ' 1', ' 3', ' 60', ' 125']
['2', ' 7148', ' 1', ' 3', ' 60', ' 0']
['2', ' 7200', ' 1', ' 3', ' 60', ' 106']
['2', ' 7256', ' 1', ' 3', ' 60', ' 0']
['2', ' 7296', ' 1', ' 3', ' 63', ' 127']
['2', ' 7417', ' 1', ' 3', ' 63', ' 0']
['2', ' 7440', ' 1', ' 3', ' 60', ' 110']
['2', ' 7571', ' 1', ' 3', ' 60', ' 0']
['2', ' 7584', ' 1', ' 3', ' 58', ' 110']
['2', ' 7662', ' 1', ' 3', ' 58', ' 0']
['2', ' 7680', ' 1', ' 3', ' 55', ' 112']
['2', ' 7780', ' 1', ' 3', ' 55', ' 0']
['2', ' 7824', ' 1', ' 3', ' 55', ' 110']
['2', ' 7949', ' 1', ' 3', ' 55', ' 0']
['2', ' 7968', ' 1', ' 3', ' 67', ' 125']
['2', ' 8054', ' 1', ' 3', ' 67', ' 0']
['2', ' 8064', ' 1', ' 3', ' 65', ' 122']
['2', ' 8152', ' 1', ' 3', ' 65', ' 0']
['2', ' 8160', ' 1', ' 3', ' 63', ' 127']
['2', ' 8256', ' 1', ' 3', ' 65', ' 125']
['2', ' 8260', ' 1', ' 3', ' 63', ' 0']
['2', ' 8345', ' 1', ' 3', ' 65', ' 0']
['2', ' 8352', ' 1', ' 3', ' 63', ' 127']
['2', ' 8448', ' 1', ' 3', ' 67', ' 127']
['2', ' 8454', ' 1', ' 3', ' 63', ' 0']
['2', ' 8574', ' 1', ' 3', ' 67', ' 0']
['2', ' 8592', ' 1', ' 3', ' 67', ' 127']
['2', ' 8708', ' 1', ' 3', ' 67', ' 0']
['2', ' 8736', ' 1', ' 3', ' 67', ' 114']
['2', ' 8816', ' 1', ' 3', ' 67', ' 0']
['2', ' 8832', ' 1', ' 3', ' 65', ' 110']
['2', ' 8918', ' 1', ' 3', ' 65', ' 0']
['2', ' 8928', ' 1', ' 3', ' 63', ' 116']
['2', ' 9014', ' 1', ' 3', ' 63', ' 0']
['2', ' 9024', ' 1', ' 3', ' 60', ' 102']
['2', ' 9111', ' 1', ' 3', ' 60', ' 0']
['2', ' 9120', ' 1', ' 3', ' 58', ' 127']
['2', ' 9201', ' 1', ' 3', ' 58', ' 0']
['2', ' 9216', ' 1', ' 3', ' 65', ' 110']
['2', ' 9355', ' 1', ' 3', ' 65', ' 0']
['2', ' 9408', ' 1', ' 3', ' 63', ' 110']
['2', ' 9540', ' 1', ' 3', ' 63', ' 0']
['2', ' 9600', ' 1', ' 3', ' 60', ' 112']
