['3', ' 0', ' 2', ' 0', ' 7', ' 88']
['3', ' 0', ' 2', ' 0', ' 10', ' 1']
['3', ' 0', ' 3', ' 0', ' 18']
['3', ' 0', ' 2', ' 0', ' 121', ' 0']
['3', ' 0', ' 2', ' 0', ' 64', ' 0']
['3', ' 17280', ' 1', ' 0', ' 68', ' 74']
['3', ' 17280', ' 1', ' 0', ' 76', ' 86']
['3', ' 17280', ' 1', ' 0', ' 71', ' 86']
['3', ' 17280', ' 1', ' 0', ' 74', ' 74']
['3', ' 20280', ' 0', ' 0', ' 74', ' 64']
['3', ' 20290', ' 0', ' 0', ' 76', ' 64']
['3', ' 20315', ' 0', ' 0', ' 71', ' 64']
['3', ' 20340', ' 0', ' 0', ' 68', ' 64']
['3', ' 20400', ' 1', ' 0', ' 40', ' 127']
['3', ' 20470', ' 0', ' 0', ' 40', ' 64']
['3', ' 20520', ' 1', ' 0', ' 40', ' 127']
['3', ' 20610', ' 0', ' 0', ' 40', ' 64']
['3', ' 20640', ' 1', ' 0', ' 74', ' 124']
['3', ' 20640', ' 1', ' 0', ' 71', ' 127']
['3', ' 20640', ' 1', ' 0', ' 76', ' 118']
['3', ' 20640', ' 1', ' 0', ' 68', ' 106']
['3', ' 20880', ' 1', ' 0', ' 40', ' 127']
['3', ' 20900', ' 0', ' 0', ' 76', ' 64']
['3', ' 20920', ' 0', ' 0', ' 74', ' 64']
['3', ' 20920', ' 0', ' 0', ' 68', ' 64']
['3', ' 20930', ' 0', ' 0', ' 71', ' 64']
['3', ' 20960', ' 0', ' 0', ' 40', ' 64']
['3', ' 21120', ' 1', ' 0', ' 71', ' 112']
['3', ' 21120', ' 1', ' 0', ' 68', ' 74']
['3', ' 21120', ' 1', ' 0', ' 74', ' 104']
['3', ' 21120', ' 1', ' 0', ' 76', ' 84']
['3', ' 24200', ' 0', ' 0', ' 74', ' 64']
['3', ' 24205', ' 0', ' 0', ' 76', ' 64']
['3', ' 24210', ' 0', ' 0', ' 71', ' 64']
['3', ' 24240', ' 0', ' 0', ' 68', ' 64']
['3', ' 24240', ' 1', ' 0', ' 40', ' 84']
['3', ' 24295', ' 0', ' 0', ' 40', ' 64']
['3', ' 24360', ' 1', ' 0', ' 40', ' 122']
['3', ' 24480', ' 0', ' 0', ' 40', ' 64']
['3', ' 24480', ' 1', ' 0', ' 71', ' 127']
['3', ' 24480', ' 1', ' 0', ' 74', ' 116']
['3', ' 24480', ' 1', ' 0', ' 68', ' 96']
['3', ' 24720', ' 1', ' 0', ' 40', ' 127']
['3', ' 24760', ' 0', ' 0', ' 74', ' 64']
