['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 2', ' 0', ' 10', ' 66']
['2', ' 0', ' 3', ' 0', ' 53']
['2', ' 0', ' 1', ' 0', ' 65', ' 120']
['2', ' 228', ' 0', ' 0', ' 65', ' 0']
['2', ' 240', ' 1', ' 0', ' 68', ' 120']
['2', ' 468', ' 0', ' 0', ' 68', ' 0']
['2', ' 480', ' 1', ' 0', ' 65', ' 120']
['2', ' 708', ' 0', ' 0', ' 65', ' 0']
['2', ' 720', ' 1', ' 0', ' 61', ' 120']
['2', ' 1440', ' 1', ' 0', ' 59', ' 120']
['2', ' 1447', ' 0', ' 0', ' 61', ' 0']
['2', ' 2153', ' 0', ' 0', ' 59', ' 0']
['2', ' 2160', ' 1', ' 0', ' 58', ' 120']
['2', ' 2880', ' 1', ' 0', ' 57', ' 120']
['2', ' 2887', ' 0', ' 0', ' 58', ' 0']
['2', ' 3360', ' 0', ' 0', ' 57', ' 0']
['2', ' 3360', ' 1', ' 0', ' 56', ' 120']
['2', ' 3840', ' 0', ' 0', ' 56', ' 0']
['2', ' 3840', ' 1', ' 0', ' 65', ' 120']
['2', ' 4068', ' 0', ' 0', ' 65', ' 0']
['2', ' 4080', ' 1', ' 0', ' 68', ' 120']
['2', ' 4308', ' 0', ' 0', ' 68', ' 0']
['2', ' 4320', ' 1', ' 0', ' 65', ' 120']
['2', ' 4548', ' 0', ' 0', ' 65', ' 0']
['2', ' 4560', ' 1', ' 0', ' 61', ' 120']
['2', ' 5280', ' 1', ' 0', ' 59', ' 120']
['2', ' 5287', ' 0', ' 0', ' 61', ' 0']
['2', ' 5993', ' 0', ' 0', ' 59', ' 0']
['2', ' 6000', ' 1', ' 0', ' 58', ' 120']
['2', ' 6720', ' 1', ' 0', ' 57', ' 120']
['2', ' 6727', ' 0', ' 0', ' 58', ' 0']
['2', ' 7200', ' 0', ' 0', ' 57', ' 0']
['2', ' 7200', ' 1', ' 0', ' 56', ' 120']
['2', ' 7680', ' 0', ' 0', ' 56', ' 0']
['2', ' 7680', ' 1', ' 0', ' 65', ' 120']
['2', ' 7908', ' 0', ' 0', ' 65', ' 0']
['2', ' 7920', ' 1', ' 0', ' 68', ' 120']
['2', ' 8148', ' 0', ' 0', ' 68', ' 0']
['2', ' 8160', ' 1', ' 0', ' 65', ' 120']
['2', ' 8388', ' 0', ' 0', ' 65', ' 0']
['2', ' 8400', ' 1', ' 0', ' 61', ' 120']
['2', ' 9120', ' 1', ' 0', ' 59', ' 120']
['2', ' 9127', ' 0', ' 0', ' 61', ' 0']
['2', ' 9833', ' 0', ' 0', ' 59', ' 0']
['2', ' 9840', ' 1', ' 0', ' 58', ' 120']
['2', ' 10560', ' 1', ' 0', ' 57', ' 120']
['2', ' 10567', ' 0', ' 0', ' 58', ' 0']
['2', ' 11040', ' 0', ' 0', ' 57', ' 0']
['2', ' 11040', ' 1', ' 0', ' 56', ' 120']
['2', ' 11520', ' 0', ' 0', ' 56', ' 0']
['2', ' 11520', ' 1', ' 0', ' 65', ' 120']
['2', ' 11748', ' 0', ' 0', ' 65', ' 0']
['2', ' 11760', ' 1', ' 0', ' 68', ' 120']
['2', ' 11988', ' 0', ' 0', ' 68', ' 0']
['2', ' 12000', ' 1', ' 0', ' 65', ' 120']
['2', ' 12228', ' 0', ' 0', ' 65', ' 0']
['2', ' 12240', ' 1', ' 0', ' 61', ' 120']
['2', ' 12960', ' 1', ' 0', ' 59', ' 120']
['2', ' 12967', ' 0', ' 0', ' 61', ' 0']
['2', ' 13673', ' 0', ' 0', ' 59', ' 0']
['2', ' 13680', ' 1', ' 0', ' 58', ' 120']
['2', ' 14400', ' 1', ' 0', ' 57', ' 120']
['2', ' 14407', ' 0', ' 0', ' 58', ' 0']
['2', ' 14880', ' 0', ' 0', ' 57', ' 0']
['2', ' 14880', ' 1', ' 0', ' 56', ' 120']
['2', ' 15360', ' 0', ' 0', ' 56', ' 0']
['2', ' 34560', ' 1', ' 0', ' 65', ' 120']
['2', ' 34788', ' 0', ' 0', ' 65', ' 0']
['2', ' 34800', ' 1', ' 0', ' 68', ' 120']
['2', ' 35028', ' 0', ' 0', ' 68', ' 0']
['2', ' 35040', ' 1', ' 0', ' 65', ' 120']
['2', ' 35268', ' 0', ' 0', ' 65', ' 0']
['2', ' 35280', ' 1', ' 0', ' 61', ' 120']
['2', ' 35527', ' 0', ' 0', ' 61', ' 0']
['2', ' 42240', ' 1', ' 0', ' 65', ' 120']
['2', ' 42468', ' 0', ' 0', ' 65', ' 0']
['2', ' 42480', ' 1', ' 0', ' 68', ' 120']
['2', ' 42708', ' 0', ' 0', ' 68', ' 0']
['2', ' 42720', ' 1', ' 0', ' 65', ' 120']
['2', ' 42948', ' 0', ' 0', ' 65', ' 0']
['2', ' 42960', ' 1', ' 0', ' 61', ' 120']
['2', ' 43207', ' 0', ' 0', ' 61', ' 0']
['2', ' 46080', ' 1', ' 0', ' 65', ' 120']
['2', ' 46308', ' 0', ' 0', ' 65', ' 0']
['2', ' 46320', ' 1', ' 0', ' 68', ' 120']
['2', ' 46548', ' 0', ' 0', ' 68', ' 0']
['2', ' 46560', ' 1', ' 0', ' 65', ' 120']
['2', ' 46788', ' 0', ' 0', ' 65', ' 0']
['2', ' 46800', ' 1', ' 0', ' 61', ' 120']
['2', ' 47520', ' 1', ' 0', ' 59', ' 120']
['2', ' 47527', ' 0', ' 0', ' 61', ' 0']
['2', ' 48233', ' 0', ' 0', ' 59', ' 0']
['2', ' 48240', ' 1', ' 0', ' 58', ' 120']
['2', ' 48960', ' 1', ' 0', ' 57', ' 120']
['2', ' 48967', ' 0', ' 0', ' 58', ' 0']
['2', ' 49440', ' 0', ' 0', ' 57', ' 0']
['2', ' 49440', ' 1', ' 0', ' 56', ' 120']
['2', ' 49920', ' 0', ' 0', ' 56', ' 0']
['2', ' 49920', ' 1', ' 0', ' 65', ' 120']
['2', ' 50148', ' 0', ' 0', ' 65', ' 0']
['2', ' 50160', ' 1', ' 0', ' 68', ' 120']
['2', ' 50388', ' 0', ' 0', ' 68', ' 0']
['2', ' 50400', ' 1', ' 0', ' 65', ' 120']
['2', ' 50628', ' 0', ' 0', ' 65', ' 0']
['2', ' 50640', ' 1', ' 0', ' 61', ' 120']
['2', ' 51360', ' 1', ' 0', ' 59', ' 120']
['2', ' 51367', ' 0', ' 0', ' 61', ' 0']
['2', ' 52073', ' 0', ' 0', ' 59', ' 0']
['2', ' 52080', ' 1', ' 0', ' 58', ' 120']
['2', ' 52800', ' 1', ' 0', ' 57', ' 120']
['2', ' 52807', ' 0', ' 0', ' 58', ' 0']
['2', ' 53280', ' 0', ' 0', ' 57', ' 0']
['2', ' 53280', ' 1', ' 0', ' 56', ' 120']
['2', ' 53760', ' 0', ' 0', ' 56', ' 0']
['2', ' 53760', ' 1', ' 0', ' 65', ' 120']
['2', ' 53988', ' 0', ' 0', ' 65', ' 0']
['2', ' 54000', ' 1', ' 0', ' 68', ' 120']
['2', ' 54228', ' 0', ' 0', ' 68', ' 0']
['2', ' 54240', ' 1', ' 0', ' 65', ' 120']
['2', ' 54468', ' 0', ' 0', ' 65', ' 0']
['2', ' 54480', ' 1', ' 0', ' 61', ' 120']
['2', ' 55200', ' 1', ' 0', ' 59', ' 120']
['2', ' 55207', ' 0', ' 0', ' 61', ' 0']
['2', ' 55913', ' 0', ' 0', ' 59', ' 0']
['2', ' 55920', ' 1', ' 0', ' 58', ' 120']
['2', ' 56640', ' 1', ' 0', ' 57', ' 120']
['2', ' 56647', ' 0', ' 0', ' 58', ' 0']
['2', ' 57120', ' 0', ' 0', ' 57', ' 0']
['2', ' 57120', ' 1', ' 0', ' 56', ' 120']
['2', ' 57600', ' 0', ' 0', ' 56', ' 0']
['2', ' 57600', ' 1', ' 0', ' 65', ' 120']
['2', ' 57828', ' 0', ' 0', ' 65', ' 0']
['2', ' 57840', ' 1', ' 0', ' 68', ' 120']
['2', ' 58068', ' 0', ' 0', ' 68', ' 0']
['2', ' 58080', ' 1', ' 0', ' 65', ' 120']
