['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 27']
['2', ' 0', ' 3', ' 0', ' 27']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 88']
['2', ' 0', ' 2', ' 0', ' 7', ' 88']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 0', ' 1', ' 1', ' 71', ' 95']
['2', ' 240', ' 0', ' 1', ' 71', ' 80']
['2', ' 240', ' 1', ' 1', ' 79', ' 95']
['2', ' 240', ' 1', ' 1', ' 74', ' 95']
['2', ' 720', ' 0', ' 1', ' 79', ' 80']
['2', ' 720', ' 0', ' 1', ' 74', ' 80']
['2', ' 720', ' 1', ' 0', ' 77', ' 95']
['2', ' 720', ' 1', ' 0', ' 74', ' 95']
['2', ' 960', ' 0', ' 0', ' 77', ' 80']
['2', ' 960', ' 0', ' 0', ' 74', ' 80']
['2', ' 960', ' 1', ' 1', ' 69', ' 95']
['2', ' 1440', ' 0', ' 1', ' 69', ' 80']
['2', ' 1440', ' 1', ' 1', ' 69', ' 95']
['2', ' 1680', ' 0', ' 1', ' 69', ' 80']
['2', ' 1680', ' 1', ' 1', ' 77', ' 95']
['2', ' 1680', ' 1', ' 1', ' 72', ' 95']
['2', ' 2160', ' 0', ' 1', ' 77', ' 80']
['2', ' 2160', ' 0', ' 1', ' 72', ' 80']
['2', ' 2160', ' 1', ' 1', ' 76', ' 95']
['2', ' 2160', ' 1', ' 1', ' 72', ' 95']
['2', ' 2400', ' 0', ' 1', ' 76', ' 80']
['2', ' 2400', ' 0', ' 1', ' 72', ' 80']
['2', ' 2400', ' 1', ' 1', ' 67', ' 95']
['2', ' 2400', ' 1', ' 0', ' 64', ' 95']
['2', ' 2880', ' 0', ' 1', ' 67', ' 80']
['2', ' 2880', ' 0', ' 0', ' 64', ' 80']
['2', ' 2880', ' 1', ' 1', ' 71', ' 95']
['2', ' 3120', ' 0', ' 1', ' 71', ' 80']
['2', ' 3120', ' 1', ' 1', ' 79', ' 95']
