['2', ' 0', ' 3', ' 1', ' 35']
['2', ' 0', ' 2', ' 1', ' 7', ' 116']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 91', ' 26']
['2', ' 2304', ' 1', ' 1', ' 41', ' 127']
['2', ' 2496', ' 1', ' 1', ' 41', ' 0']
['2', ' 2688', ' 1', ' 1', ' 36', ' 127']
['2', ' 2880', ' 1', ' 1', ' 36', ' 0']
['2', ' 3072', ' 1', ' 1', ' 41', ' 127']
['2', ' 3264', ' 1', ' 1', ' 41', ' 0']
['2', ' 3456', ' 1', ' 1', ' 36', ' 127']
['2', ' 3648', ' 1', ' 1', ' 36', ' 0']
['2', ' 3840', ' 1', ' 1', ' 41', ' 127']
['2', ' 4032', ' 1', ' 1', ' 41', ' 0']
['2', ' 4224', ' 1', ' 1', ' 36', ' 127']
['2', ' 4416', ' 1', ' 1', ' 36', ' 0']
['2', ' 4608', ' 1', ' 1', ' 41', ' 127']
['2', ' 4992', ' 1', ' 1', ' 41', ' 0']
['2', ' 4992', ' 1', ' 1', ' 36', ' 127']
['2', ' 5184', ' 1', ' 1', ' 36', ' 0']
['2', ' 5376', ' 1', ' 1', ' 41', ' 127']
['2', ' 5568', ' 1', ' 1', ' 41', ' 0']
['2', ' 5712', ' 1', ' 1', ' 36', ' 127']
['2', ' 5760', ' 1', ' 1', ' 36', ' 0']
['2', ' 5904', ' 1', ' 1', ' 41', ' 127']
['2', ' 5952', ' 1', ' 1', ' 41', ' 0']
['2', ' 5952', ' 1', ' 1', ' 44', ' 127']
['2', ' 6336', ' 1', ' 1', ' 44', ' 0']
['2', ' 6480', ' 1', ' 1', ' 36', ' 127']
['2', ' 6592', ' 1', ' 1', ' 36', ' 0']
['2', ' 6672', ' 1', ' 1', ' 41', ' 127']
['2', ' 6720', ' 1', ' 1', ' 41', ' 0']
['2', ' 6720', ' 1', ' 1', ' 44', ' 127']
['2', ' 7104', ' 1', ' 1', ' 44', ' 0']
['2', ' 7248', ' 1', ' 1', ' 36', ' 127']
['2', ' 7296', ' 1', ' 1', ' 36', ' 0']
['2', ' 7440', ' 1', ' 1', ' 41', ' 127']
['2', ' 7488', ' 1', ' 1', ' 41', ' 0']
['2', ' 7488', ' 1', ' 1', ' 44', ' 127']
['2', ' 7872', ' 1', ' 1', ' 44', ' 0']
['2', ' 8016', ' 1', ' 1', ' 36', ' 127']
['2', ' 8128', ' 1', ' 1', ' 36', ' 0']
['2', ' 8208', ' 1', ' 1', ' 41', ' 127']
['2', ' 8256', ' 1', ' 1', ' 41', ' 0']
['2', ' 8256', ' 1', ' 1', ' 44', ' 127']
['2', ' 8448', ' 1', ' 1', ' 44', ' 0']
['2', ' 8448', ' 1', ' 1', ' 41', ' 127']
['2', ' 8640', ' 1', ' 1', ' 41', ' 0']
['2', ' 8832', ' 1', ' 1', ' 36', ' 127']
['2', ' 9024', ' 1', ' 1', ' 36', ' 0']
['2', ' 9216', ' 1', ' 1', ' 41', ' 127']
['2', ' 9408', ' 1', ' 1', ' 41', ' 0']
['2', ' 9600', ' 1', ' 1', ' 36', ' 127']
['2', ' 9792', ' 1', ' 1', ' 36', ' 0']
['2', ' 9984', ' 1', ' 1', ' 41', ' 127']
['2', ' 10176', ' 1', ' 1', ' 41', ' 0']
['2', ' 10368', ' 1', ' 1', ' 36', ' 127']
['2', ' 10560', ' 1', ' 1', ' 36', ' 0']
['2', ' 10752', ' 1', ' 1', ' 41', ' 127']
['2', ' 10944', ' 1', ' 1', ' 41', ' 0']
['2', ' 11136', ' 1', ' 1', ' 36', ' 127']
['2', ' 11328', ' 1', ' 1', ' 36', ' 0']
['2', ' 11520', ' 1', ' 1', ' 41', ' 127']
['2', ' 11712', ' 1', ' 1', ' 41', ' 0']
['2', ' 11856', ' 1', ' 1', ' 36', ' 127']
['2', ' 11968', ' 1', ' 1', ' 36', ' 0']
['2', ' 12048', ' 1', ' 1', ' 41', ' 127']
['2', ' 12096', ' 1', ' 1', ' 41', ' 0']
['2', ' 12096', ' 1', ' 1', ' 44', ' 127']
['2', ' 12480', ' 1', ' 1', ' 44', ' 0']
['2', ' 12624', ' 1', ' 1', ' 36', ' 127']
['2', ' 12736', ' 1', ' 1', ' 36', ' 0']
['2', ' 12816', ' 1', ' 1', ' 41', ' 127']
['2', ' 12864', ' 1', ' 1', ' 41', ' 0']
['2', ' 12864', ' 1', ' 1', ' 44', ' 127']
['2', ' 13248', ' 1', ' 1', ' 44', ' 0']
['2', ' 13392', ' 1', ' 1', ' 36', ' 127']
['2', ' 13504', ' 1', ' 1', ' 36', ' 0']
['2', ' 13584', ' 1', ' 1', ' 41', ' 127']
['2', ' 13632', ' 1', ' 1', ' 41', ' 0']
['2', ' 13632', ' 1', ' 1', ' 44', ' 127']
['2', ' 13824', ' 1', ' 1', ' 44', ' 0']
['2', ' 13824', ' 1', ' 1', ' 41', ' 127']
['2', ' 14464', ' 1', ' 1', ' 41', ' 0']
['2', ' 14592', ' 1', ' 1', ' 41', ' 127']
['2', ' 14784', ' 1', ' 1', ' 41', ' 0']
['2', ' 14784', ' 1', ' 1', ' 41', ' 127']
['2', ' 14976', ' 1', ' 1', ' 41', ' 0']
['2', ' 14976', ' 1', ' 1', ' 36', ' 127']
['2', ' 15168', ' 1', ' 1', ' 36', ' 0']
['2', ' 15168', ' 1', ' 1', ' 38', ' 127']
['2', ' 15312', ' 1', ' 1', ' 40', ' 127']
['2', ' 15344', ' 1', ' 1', ' 40', ' 0']
['2', ' 15360', ' 1', ' 1', ' 38', ' 0']
['2', ' 15360', ' 1', ' 1', ' 41', ' 127']
['2', ' 15552', ' 1', ' 1', ' 41', ' 0']
['2', ' 15552', ' 1', ' 1', ' 41', ' 127']
['2', ' 15632', ' 1', ' 1', ' 41', ' 0']
['2', ' 15696', ' 1', ' 1', ' 41', ' 127']
['2', ' 15736', ' 1', ' 1', ' 41', ' 0']
['2', ' 15744', ' 1', ' 1', ' 36', ' 127']
['2', ' 15936', ' 1', ' 1', ' 36', ' 0']
['2', ' 15936', ' 1', ' 1', ' 38', ' 127']
['2', ' 16056', ' 1', ' 1', ' 38', ' 0']
['2', ' 16080', ' 1', ' 1', ' 40', ' 127']
['2', ' 16120', ' 1', ' 1', ' 40', ' 0']
['2', ' 16128', ' 1', ' 1', ' 41', ' 127']
['2', ' 16320', ' 1', ' 1', ' 41', ' 0']
['2', ' 16320', ' 1', ' 1', ' 41', ' 127']
['2', ' 16400', ' 1', ' 1', ' 41', ' 0']
['2', ' 16464', ' 1', ' 1', ' 41', ' 127']
