['2', ' 0', ' 2', ' 0', ' 7', ' 120']
['2', ' 0', ' 2', ' 0', ' 10', ' 62']
['2', ' 0', ' 3', ' 0', ' 66']
['2', ' 3704', ' 1', ' 0', ' 64', ' 100']
['2', ' 3824', ' 0', ' 0', ' 64', ' 64']
['2', ' 3840', ' 1', ' 0', ' 67', ' 100']
['2', ' 4560', ' 0', ' 0', ' 67', ' 64']
['2', ' 4560', ' 1', ' 0', ' 64', ' 100']
['2', ' 4676', ' 0', ' 0', ' 64', ' 64']
['2', ' 4680', ' 1', ' 0', ' 66', ' 100']
['2', ' 5520', ' 0', ' 0', ' 66', ' 64']
['2', ' 5520', ' 1', ' 0', ' 64', ' 100']
['2', ' 5636', ' 0', ' 0', ' 64', ' 64']
['2', ' 5640', ' 1', ' 0', ' 66', ' 100']
['2', ' 5880', ' 0', ' 0', ' 66', ' 64']
['2', ' 5880', ' 1', ' 0', ' 67', ' 100']
['2', ' 6120', ' 0', ' 0', ' 67', ' 64']
['2', ' 6120', ' 1', ' 0', ' 64', ' 100']
['2', ' 6480', ' 0', ' 0', ' 64', ' 64']
['2', ' 7920', ' 1', ' 0', ' 64', ' 100']
['2', ' 8036', ' 0', ' 0', ' 64', ' 64']
['2', ' 8040', ' 1', ' 0', ' 66', ' 100']
['2', ' 8156', ' 0', ' 0', ' 66', ' 64']
['2', ' 8160', ' 1', ' 0', ' 67', ' 100']
['2', ' 8276', ' 0', ' 0', ' 67', ' 64']
['2', ' 8280', ' 1', ' 0', ' 69', ' 100']
['2', ' 8396', ' 0', ' 0', ' 69', ' 64']
['2', ' 8400', ' 1', ' 0', ' 67', ' 100']
['2', ' 8516', ' 0', ' 0', ' 67', ' 64']
['2', ' 8520', ' 1', ' 0', ' 66', ' 100']
['2', ' 9120', ' 0', ' 0', ' 66', ' 64']
['2', ' 9960', ' 1', ' 0', ' 66', ' 100']
['2', ' 10200', ' 0', ' 0', ' 66', ' 64']
['2', ' 10212', ' 1', ' 0', ' 64', ' 100']
['2', ' 10572', ' 0', ' 0', ' 64', ' 64']
['2', ' 11640', ' 1', ' 0', ' 71', ' 100']
['2', ' 11756', ' 0', ' 0', ' 71', ' 64']
['2', ' 11760', ' 1', ' 0', ' 71', ' 100']
['2', ' 11876', ' 0', ' 0', ' 71', ' 64']
['2', ' 11880', ' 1', ' 0', ' 69', ' 100']
['2', ' 11996', ' 0', ' 0', ' 69', ' 64']
['2', ' 12000', ' 1', ' 0', ' 71', ' 100']
['2', ' 12116', ' 0', ' 0', ' 71', ' 64']
['2', ' 12120', ' 1', ' 0', ' 69', ' 100']
['2', ' 12236', ' 0', ' 0', ' 69', ' 64']
['2', ' 12240', ' 1', ' 0', ' 71', ' 100']
['2', ' 12356', ' 0', ' 0', ' 71', ' 64']
['2', ' 12360', ' 1', ' 0', ' 69', ' 100']
['2', ' 12476', ' 0', ' 0', ' 69', ' 64']
['2', ' 12480', ' 1', ' 0', ' 71', ' 100']
['2', ' 12596', ' 0', ' 0', ' 71', ' 64']
['2', ' 12720', ' 1', ' 0', ' 71', ' 100']
['2', ' 12836', ' 0', ' 0', ' 71', ' 64']
['2', ' 12840', ' 1', ' 0', ' 69', ' 100']
['2', ' 12956', ' 0', ' 0', ' 69', ' 64']
['2', ' 12960', ' 1', ' 0', ' 71', ' 100']
['2', ' 13200', ' 0', ' 0', ' 71', ' 64']
['2', ' 13200', ' 1', ' 0', ' 69', ' 100']
['2', ' 13316', ' 0', ' 0', ' 69', ' 64']
['2', ' 13320', ' 1', ' 0', ' 71', ' 100']
['2', ' 13680', ' 0', ' 0', ' 71', ' 64']
['2', ' 13680', ' 1', ' 0', ' 71', ' 100']
['2', ' 13796', ' 0', ' 0', ' 71', ' 64']
['2', ' 13800', ' 1', ' 0', ' 69', ' 100']
['2', ' 13916', ' 0', ' 0', ' 69', ' 64']
['2', ' 13920', ' 1', ' 0', ' 71', ' 100']
['2', ' 14036', ' 0', ' 0', ' 71', ' 64']
['2', ' 14040', ' 1', ' 0', ' 69', ' 100']
['2', ' 14156', ' 0', ' 0', ' 69', ' 64']
['2', ' 14160', ' 1', ' 0', ' 71', ' 100']
['2', ' 14276', ' 0', ' 0', ' 71', ' 64']
['2', ' 14280', ' 1', ' 0', ' 69', ' 100']
['2', ' 14396', ' 0', ' 0', ' 69', ' 64']
['2', ' 14400', ' 1', ' 0', ' 71', ' 100']
['2', ' 14640', ' 0', ' 0', ' 71', ' 64']
['2', ' 14640', ' 1', ' 0', ' 69', ' 100']
['2', ' 14756', ' 0', ' 0', ' 69', ' 64']
['2', ' 14760', ' 1', ' 0', ' 72', ' 100']
['2', ' 15480', ' 0', ' 0', ' 72', ' 64']
['2', ' 16200', ' 1', ' 0', ' 64', ' 100']
['2', ' 16316', ' 0', ' 0', ' 64', ' 64']
