['2', ' 0', ' 3', ' 0', ' 33']
['2', ' 0', ' 2', ' 0', ' 7', ' 104']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 1', ' 2', ' 0', ' 100', ' 0']
['2', ' 2', ' 2', ' 0', ' 6', ' 12']
['2', ' 3', ' 2', ' 0', ' 38', ' 0']
['2', ' 3', ' 2', ' 0', ' 101', ' 0']
['2', ' 4', ' 2', ' 0', ' 100', ' 0']
['2', ' 5', ' 2', ' 0', ' 6', ' 12']
['2', ' 6', ' 2', ' 0', ' 38', ' 0']
['2', ' 6', ' 3', ' 0', ' 33']
['2', ' 6', ' 2', ' 0', ' 7', ' 104']
['2', ' 6', ' 2', ' 0', ' 10', ' 64']
['2', ' 6', ' 2', ' 0', ' 93', ' 0']
['2', ' 6', ' 2', ' 0', ' 93', ' 0']
['2', ' 6', ' 2', ' 0', ' 91', ' 0']
['2', ' 6', ' 2', ' 0', ' 91', ' 0']
['2', ' 6', ' 2', ' 0', ' 92', ' 0']
['2', ' 6', ' 2', ' 0', ' 92', ' 0']
['2', ' 6', ' 2', ' 0', ' 95', ' 0']
['2', ' 6', ' 2', ' 0', ' 95', ' 0']
['2', ' 1920', ' 1', ' 0', ' 42', ' 95']
['2', ' 3840', ' 1', ' 0', ' 42', ' 0']
['2', ' 3840', ' 1', ' 0', ' 45', ' 95']
['2', ' 4080', ' 1', ' 0', ' 45', ' 0']
['2', ' 4080', ' 1', ' 0', ' 46', ' 95']
['2', ' 4320', ' 1', ' 0', ' 46', ' 0']
['2', ' 4320', ' 1', ' 0', ' 47', ' 95']
['2', ' 4800', ' 1', ' 0', ' 47', ' 0']
['2', ' 5040', ' 1', ' 0', ' 47', ' 95']
['2', ' 5520', ' 1', ' 0', ' 47', ' 0']
['2', ' 5520', ' 1', ' 0', ' 47', ' 95']
['2', ' 5760', ' 1', ' 0', ' 47', ' 0']
['2', ' 5760', ' 1', ' 0', ' 48', ' 95']
['2', ' 6000', ' 1', ' 0', ' 48', ' 0']
['2', ' 6000', ' 1', ' 0', ' 49', ' 95']
['2', ' 6240', ' 1', ' 0', ' 49', ' 0']
['2', ' 6240', ' 1', ' 0', ' 50', ' 95']
['2', ' 6720', ' 1', ' 0', ' 50', ' 0']
['2', ' 6960', ' 1', ' 0', ' 50', ' 95']
['2', ' 7440', ' 1', ' 0', ' 50', ' 0']
['2', ' 7440', ' 1', ' 0', ' 50', ' 95']
['2', ' 7680', ' 1', ' 0', ' 50', ' 0']
['2', ' 7680', ' 1', ' 0', ' 40', ' 95']
['2', ' 7920', ' 1', ' 0', ' 40', ' 0']
['2', ' 7920', ' 1', ' 0', ' 42', ' 95']
['2', ' 8160', ' 1', ' 0', ' 42', ' 0']
['2', ' 8160', ' 1', ' 0', ' 43', ' 95']
['2', ' 8640', ' 1', ' 0', ' 43', ' 0']
['2', ' 8880', ' 1', ' 0', ' 43', ' 95']
['2', ' 9360', ' 1', ' 0', ' 43', ' 0']
['2', ' 9360', ' 1', ' 0', ' 43', ' 95']
['2', ' 9600', ' 1', ' 0', ' 43', ' 0']
['2', ' 9600', ' 1', ' 0', ' 40', ' 95']
['2', ' 9840', ' 1', ' 0', ' 40', ' 0']
['2', ' 9840', ' 1', ' 0', ' 41', ' 95']
['2', ' 10080', ' 1', ' 0', ' 41', ' 0']
['2', ' 10080', ' 1', ' 0', ' 42', ' 95']
['2', ' 10560', ' 1', ' 0', ' 42', ' 0']
['2', ' 10800', ' 1', ' 0', ' 42', ' 95']
['2', ' 11280', ' 1', ' 0', ' 42', ' 0']
['2', ' 11280', ' 1', ' 0', ' 42', ' 95']
['2', ' 11520', ' 1', ' 0', ' 42', ' 0']
['2', ' 11520', ' 1', ' 0', ' 45', ' 95']
['2', ' 11760', ' 1', ' 0', ' 45', ' 0']
['2', ' 11760', ' 1', ' 0', ' 46', ' 95']
['2', ' 12000', ' 1', ' 0', ' 46', ' 0']
['2', ' 12000', ' 1', ' 0', ' 47', ' 95']
['2', ' 12480', ' 1', ' 0', ' 47', ' 0']
['2', ' 12720', ' 1', ' 0', ' 47', ' 95']
['2', ' 13200', ' 1', ' 0', ' 47', ' 0']
['2', ' 13200', ' 1', ' 0', ' 47', ' 95']
['2', ' 13440', ' 1', ' 0', ' 47', ' 0']
['2', ' 13440', ' 1', ' 0', ' 48', ' 95']
['2', ' 13680', ' 1', ' 0', ' 48', ' 0']
['2', ' 13680', ' 1', ' 0', ' 49', ' 95']
['2', ' 13920', ' 1', ' 0', ' 49', ' 0']
['2', ' 13920', ' 1', ' 0', ' 50', ' 95']
['2', ' 14400', ' 1', ' 0', ' 50', ' 0']
['2', ' 14640', ' 1', ' 0', ' 50', ' 95']
['2', ' 15120', ' 1', ' 0', ' 50', ' 0']
['2', ' 15120', ' 1', ' 0', ' 50', ' 95']
['2', ' 15360', ' 1', ' 0', ' 50', ' 0']
['2', ' 15360', ' 1', ' 0', ' 40', ' 95']
['2', ' 15600', ' 1', ' 0', ' 40', ' 0']
['2', ' 15600', ' 1', ' 0', ' 42', ' 95']
['2', ' 15840', ' 1', ' 0', ' 42', ' 0']
['2', ' 15840', ' 1', ' 0', ' 43', ' 95']
['2', ' 16320', ' 1', ' 0', ' 43', ' 0']
['2', ' 16560', ' 1', ' 0', ' 43', ' 95']
['2', ' 17040', ' 1', ' 0', ' 43', ' 0']
['2', ' 17040', ' 1', ' 0', ' 43', ' 95']
['2', ' 17280', ' 1', ' 0', ' 43', ' 0']
['2', ' 17280', ' 1', ' 0', ' 40', ' 95']
['2', ' 17520', ' 1', ' 0', ' 40', ' 0']
['2', ' 17520', ' 1', ' 0', ' 41', ' 95']
['2', ' 17760', ' 1', ' 0', ' 41', ' 0']
['2', ' 17760', ' 1', ' 0', ' 42', ' 95']
['2', ' 18240', ' 1', ' 0', ' 42', ' 0']
['2', ' 18480', ' 1', ' 0', ' 42', ' 95']
['2', ' 18960', ' 1', ' 0', ' 42', ' 0']
['2', ' 18960', ' 1', ' 0', ' 42', ' 95']
['2', ' 19200', ' 1', ' 0', ' 42', ' 0']
['2', ' 19200', ' 1', ' 0', ' 45', ' 95']
['2', ' 19440', ' 1', ' 0', ' 45', ' 0']
['2', ' 19440', ' 1', ' 0', ' 46', ' 95']
['2', ' 19680', ' 1', ' 0', ' 46', ' 0']
['2', ' 19680', ' 1', ' 0', ' 47', ' 95']
['2', ' 20160', ' 1', ' 0', ' 47', ' 0']
['2', ' 20400', ' 1', ' 0', ' 47', ' 95']
['2', ' 20880', ' 1', ' 0', ' 47', ' 0']
['2', ' 20880', ' 1', ' 0', ' 47', ' 95']
['2', ' 21120', ' 1', ' 0', ' 47', ' 0']
['2', ' 21120', ' 1', ' 0', ' 48', ' 95']
['2', ' 21360', ' 1', ' 0', ' 48', ' 0']
['2', ' 21360', ' 1', ' 0', ' 49', ' 95']
['2', ' 21600', ' 1', ' 0', ' 49', ' 0']
['2', ' 21600', ' 1', ' 0', ' 50', ' 95']
['2', ' 22080', ' 1', ' 0', ' 50', ' 0']
['2', ' 22320', ' 1', ' 0', ' 50', ' 95']
['2', ' 22800', ' 1', ' 0', ' 50', ' 0']
['2', ' 22800', ' 1', ' 0', ' 50', ' 95']
['2', ' 23040', ' 1', ' 0', ' 50', ' 0']
['2', ' 23040', ' 1', ' 0', ' 40', ' 95']
['2', ' 23280', ' 1', ' 0', ' 40', ' 0']
['2', ' 23280', ' 1', ' 0', ' 42', ' 95']
['2', ' 23520', ' 1', ' 0', ' 42', ' 0']
['2', ' 23520', ' 1', ' 0', ' 43', ' 95']
['2', ' 24000', ' 1', ' 0', ' 43', ' 0']
['2', ' 24240', ' 1', ' 0', ' 43', ' 95']
['2', ' 24720', ' 1', ' 0', ' 43', ' 0']
['2', ' 24720', ' 1', ' 0', ' 43', ' 95']
['2', ' 24960', ' 1', ' 0', ' 43', ' 0']
['2', ' 24960', ' 1', ' 0', ' 40', ' 95']
['2', ' 25200', ' 1', ' 0', ' 40', ' 0']
['2', ' 25200', ' 1', ' 0', ' 41', ' 95']
['2', ' 25440', ' 1', ' 0', ' 41', ' 0']
['2', ' 25440', ' 1', ' 0', ' 42', ' 95']
['2', ' 25920', ' 1', ' 0', ' 42', ' 0']
['2', ' 26160', ' 1', ' 0', ' 42', ' 95']
['2', ' 26640', ' 1', ' 0', ' 42', ' 0']
['2', ' 26640', ' 1', ' 0', ' 42', ' 95']
['2', ' 26880', ' 1', ' 0', ' 42', ' 0']
['2', ' 26880', ' 1', ' 0', ' 45', ' 95']
['2', ' 27120', ' 1', ' 0', ' 45', ' 0']
['2', ' 27120', ' 1', ' 0', ' 46', ' 95']
['2', ' 27360', ' 1', ' 0', ' 46', ' 0']
['2', ' 27360', ' 1', ' 0', ' 47', ' 95']
['2', ' 27840', ' 1', ' 0', ' 47', ' 0']
['2', ' 28080', ' 1', ' 0', ' 47', ' 95']
['2', ' 28560', ' 1', ' 0', ' 47', ' 0']
['2', ' 28560', ' 1', ' 0', ' 47', ' 95']
['2', ' 28800', ' 1', ' 0', ' 47', ' 0']
['2', ' 28800', ' 1', ' 0', ' 48', ' 95']
['2', ' 29040', ' 1', ' 0', ' 48', ' 0']
['2', ' 29040', ' 1', ' 0', ' 49', ' 95']
['2', ' 29280', ' 1', ' 0', ' 49', ' 0']
['2', ' 29280', ' 1', ' 0', ' 50', ' 95']
['2', ' 29760', ' 1', ' 0', ' 50', ' 0']
