['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 490', ' 3', ' 0', ' 26']
['2', ' 495', ' 2', ' 0', ' 7', ' 120']
['2', ' 495', ' 2', ' 0', ' 10', ' 84']
['2', ' 495', ' 2', ' 0', ' 11', ' 85']
['2', ' 500', ' 2', ' 0', ' 91', ' 100']
['2', ' 500', ' 2', ' 0', ' 93', ' 32']
['2', ' 960', ' 2', ' 0', ' 101', ' 0']
['2', ' 965', ' 2', ' 0', ' 100', ' 0']
['2', ' 970', ' 2', ' 0', ' 6', ' 12']
['2', ' 975', ' 2', ' 0', ' 101', ' 127']
['2', ' 980', ' 2', ' 0', ' 100', ' 127']
['2', ' 2890', ' 1', ' 0', ' 62', ' 127']
['2', ' 3120', ' 0', ' 0', ' 62', ' 64']
['2', ' 3145', ' 1', ' 0', ' 62', ' 123']
['2', ' 3300', ' 0', ' 0', ' 62', ' 64']
['2', ' 3325', ' 1', ' 0', ' 58', ' 95']
['2', ' 3615', ' 0', ' 0', ' 58', ' 64']
['2', ' 3625', ' 1', ' 0', ' 51', ' 116']
['2', ' 3825', ' 0', ' 0', ' 51', ' 64']
['2', ' 3845', ' 1', ' 0', ' 40', ' 119']
['2', ' 4320', ' 1', ' 0', ' 59', ' 70']
['2', ' 4330', ' 1', ' 0', ' 64', ' 70']
['2', ' 4545', ' 0', ' 0', ' 40', ' 64']
['2', ' 4580', ' 1', ' 0', ' 40', ' 75']
['2', ' 4750', ' 0', ' 0', ' 59', ' 64']
['2', ' 4760', ' 0', ' 0', ' 64', ' 64']
['2', ' 4790', ' 0', ' 0', ' 40', ' 64']
['2', ' 4795', ' 1', ' 0', ' 49', ' 105']
['2', ' 5025', ' 0', ' 0', ' 49', ' 64']
['2', ' 5055', ' 1', ' 0', ' 47', ' 71']
['2', ' 5135', ' 0', ' 0', ' 47', ' 64']
['2', ' 5145', ' 1', ' 0', ' 49', ' 80']
['2', ' 5365', ' 0', ' 0', ' 49', ' 64']
['2', ' 5415', ' 1', ' 0', ' 47', ' 66']
['2', ' 5470', ' 0', ' 0', ' 47', ' 64']
['2', ' 5505', ' 1', ' 0', ' 49', ' 88']
['2', ' 5715', ' 0', ' 0', ' 49', ' 64']
['2', ' 5755', ' 1', ' 0', ' 47', ' 100']
['2', ' 6230', ' 0', ' 0', ' 47', ' 64']
['2', ' 6250', ' 1', ' 0', ' 40', ' 108']
['2', ' 6720', ' 1', ' 0', ' 57', ' 127']
['2', ' 6795', ' 0', ' 0', ' 40', ' 64']
['2', ' 6950', ' 0', ' 0', ' 57', ' 64']
['2', ' 6960', ' 1', ' 0', ' 62', ' 127']
['2', ' 7080', ' 1', ' 0', ' 57', ' 127']
['2', ' 7180', ' 0', ' 0', ' 57', ' 64']
['2', ' 7190', ' 1', ' 0', ' 59', ' 116']
['2', ' 7315', ' 0', ' 0', ' 59', ' 64']
['2', ' 7320', ' 0', ' 0', ' 62', ' 64']
['2', ' 7320', ' 1', ' 0', ' 62', ' 127']
['2', ' 7465', ' 1', ' 0', ' 59', ' 95']
['2', ' 7475', ' 0', ' 0', ' 62', ' 64']
['2', ' 7640', ' 0', ' 0', ' 59', ' 64']
['2', ' 19200', ' 2', ' 0', ' 11', ' 100']
['2', ' 20420', ' 1', ' 0', ' 44', ' 113']
['2', ' 20550', ' 0', ' 0', ' 44', ' 64']
['2', ' 20560', ' 1', ' 0', ' 50', ' 127']
['2', ' 20780', ' 1', ' 0', ' 47', ' 95']
['2', ' 20815', ' 0', ' 0', ' 50', ' 64']
['2', ' 20875', ' 0', ' 0', ' 47', ' 64']
['2', ' 20880', ' 1', ' 0', ' 50', ' 127']
['2', ' 21115', ' 0', ' 0', ' 50', ' 64']
['2', ' 21140', ' 1', ' 0', ' 50', ' 124']
['2', ' 21630', ' 0', ' 0', ' 50', ' 64']
['2', ' 22105', ' 1', ' 0', ' 57', ' 123']
['2', ' 22330', ' 0', ' 0', ' 57', ' 64']
['2', ' 22340', ' 1', ' 0', ' 62', ' 117']
['2', ' 22435', ' 0', ' 0', ' 62', ' 64']
['2', ' 22455', ' 1', ' 0', ' 62', ' 127']
['2', ' 22670', ' 0', ' 0', ' 62', ' 64']
['2', ' 22675', ' 1', ' 0', ' 64', ' 113']
['2', ' 22810', ' 0', ' 0', ' 64', ' 64']
['2', ' 22825', ' 1', ' 0', ' 59', ' 94']
['2', ' 22875', ' 0', ' 0', ' 59', ' 64']
['2', ' 22895', ' 1', ' 0', ' 57', ' 107']
['2', ' 23000', ' 0', ' 0', ' 57', ' 64']
['2', ' 28080', ' 1', ' 0', ' 44', ' 101']
['2', ' 28200', ' 0', ' 0', ' 44', ' 64']
['2', ' 28210', ' 1', ' 0', ' 50', ' 127']
['2', ' 28450', ' 1', ' 0', ' 47', ' 90']
['2', ' 28480', ' 0', ' 0', ' 50', ' 64']
['2', ' 28550', ' 0', ' 0', ' 47', ' 64']
['2', ' 28550', ' 1', ' 0', ' 55', ' 127']
['2', ' 28815', ' 0', ' 0', ' 55', ' 64']
['2', ' 28825', ' 1', ' 0', ' 52', ' 127']
['2', ' 29725', ' 0', ' 0', ' 52', ' 64']
['2', ' 43460', ' 1', ' 0', ' 45', ' 114']
['2', ' 43600', ' 0', ' 0', ' 45', ' 64']
['2', ' 43605', ' 1', ' 0', ' 50', ' 127']
['2', ' 43820', ' 1', ' 0', ' 47', ' 113']
['2', ' 43830', ' 0', ' 0', ' 50', ' 64']
['2', ' 43910', ' 0', ' 0', ' 47', ' 64']
['2', ' 43920', ' 1', ' 0', ' 55', ' 127']
['2', ' 44175', ' 0', ' 0', ' 55', ' 64']
['2', ' 44180', ' 1', ' 0', ' 52', ' 127']
['2', ' 44805', ' 0', ' 0', ' 52', ' 64']
['2', ' 45145', ' 1', ' 0', ' 62', ' 120']
['2', ' 45150', ' 1', ' 0', ' 67', ' 126']
['2', ' 45205', ' 0', ' 0', ' 62', ' 64']
['2', ' 45210', ' 1', ' 0', ' 64', ' 120']
['2', ' 45380', ' 0', ' 0', ' 64', ' 64']
['2', ' 45400', ' 0', ' 0', ' 67', ' 64']
['2', ' 45400', ' 1', ' 0', ' 62', ' 125']
['2', ' 45405', ' 1', ' 0', ' 67', ' 78']
['2', ' 45615', ' 0', ' 0', ' 62', ' 64']
['2', ' 45640', ' 0', ' 0', ' 67', ' 64']
['2', ' 45640', ' 1', ' 0', ' 59', ' 127']
['2', ' 45915', ' 0', ' 0', ' 59', ' 64']
['2', ' 45920', ' 1', ' 0', ' 52', ' 123']
['2', ' 46060', ' 0', ' 0', ' 52', ' 64']
['2', ' 46060', ' 1', ' 0', ' 47', ' 60']
['2', ' 46115', ' 0', ' 0', ' 47', ' 64']
['2', ' 58810', ' 1', ' 0', ' 67', ' 123']
['2', ' 58820', ' 1', ' 0', ' 71', ' 125']
['2', ' 58980', ' 0', ' 0', ' 71', ' 64']
['2', ' 59065', ' 0', ' 0', ' 67', ' 64']
['2', ' 59065', ' 1', ' 0', ' 64', ' 120']
['2', ' 59165', ' 0', ' 0', ' 64', ' 64']
['2', ' 59185', ' 1', ' 0', ' 67', ' 121']
['2', ' 59250', ' 0', ' 0', ' 67', ' 64']
['2', ' 59275', ' 1', ' 0', ' 64', ' 124']
['2', ' 59765', ' 0', ' 0', ' 64', ' 64']
['2', ' 66485', ' 1', ' 0', ' 45', ' 109']
['2', ' 66635', ' 0', ' 0', ' 45', ' 64']
['2', ' 66640', ' 1', ' 0', ' 50', ' 127']
