['2', ' 0', ' 3', ' 0', ' 48']
['2', ' 0', ' 2', ' 0', ' 91', ' 26']
['2', ' 0', ' 2', ' 0', ' 7', ' 84']
['2', ' 12', ' 2', ' 0', ' 100', ' 0']
['2', ' 12', ' 2', ' 0', ' 101', ' 0']
['2', ' 12', ' 2', ' 0', ' 93', ' 64']
['2', ' 24', ' 2', ' 0', ' 100', ' 0']
['2', ' 132', ' 2', ' 0', ' 6', ' 12']
['2', ' 240', ' 2', ' 0', ' 10', ' 127']
['2', ' 1894', ' 1', ' 0', ' 75', ' 117']
['2', ' 2208', ' 2', ' 0', ' 5', ' 60']
['2', ' 2264', ' 2', ' 0', ' 65', ' 64']
['2', ' 2400', ' 1', ' 0', ' 73', ' 117']
['2', ' 2408', ' 0', ' 0', ' 75', ' 64']
['2', ' 2608', ' 0', ' 0', ' 73', ' 64']
['2', ' 2608', ' 1', ' 0', ' 78', ' 117']
['2', ' 2808', ' 2', ' 0', ' 5', ' 46']
['2', ' 2830', ' 0', ' 0', ' 78', ' 64']
['2', ' 2832', ' 1', ' 0', ' 71', ' 117']
['2', ' 2863', ' 2', ' 0', ' 5', ' 46']
['2', ' 3347', ' 0', ' 0', ' 71', ' 64']
['2', ' 3348', ' 1', ' 0', ' 69', ' 117']
['2', ' 3554', ' 2', ' 0', ' 5', ' 74']
['2', ' 3568', ' 0', ' 0', ' 69', ' 64']
['2', ' 3568', ' 1', ' 0', ' 74', ' 117']
['2', ' 3792', ' 0', ' 0', ' 74', ' 64']
['2', ' 3796', ' 1', ' 0', ' 71', ' 117']
['2', ' 4632', ' 0', ' 0', ' 71', ' 64']
['2', ' 4722', ' 2', ' 0', ' 5', ' 2']
['2', ' 4748', ' 1', ' 0', ' 73', ' 118']
['2', ' 4778', ' 0', ' 0', ' 73', ' 64']
['2', ' 4800', ' 1', ' 0', ' 74', ' 118']
['2', ' 5600', ' 2', ' 0', ' 5', ' 70']
['2', ' 5683', ' 0', ' 0', ' 74', ' 64']
['2', ' 5685', ' 1', ' 0', ' 69', ' 118']
['2', ' 6553', ' 0', ' 0', ' 69', ' 64']
['2', ' 6668', ' 1', ' 0', ' 71', ' 118']
['2', ' 6705', ' 0', ' 0', ' 71', ' 64']
['2', ' 6720', ' 1', ' 0', ' 72', ' 118']
['2', ' 7675', ' 0', ' 0', ' 72', ' 64']
['2', ' 47964', ' 2', ' 0', ' 5', ' 0']
['2', ' 47996', ' 2', ' 0', ' 7', ' 62']
['2', ' 48000', ' 1', ' 0', ' 69', ' 110']
['2', ' 48000', ' 1', ' 0', ' 63', ' 110']
['2', ' 48047', ' 0', ' 0', ' 69', ' 64']
['2', ' 48047', ' 0', ' 0', ' 63', ' 64']
['2', ' 48120', ' 1', ' 0', ' 69', ' 110']
['2', ' 48120', ' 1', ' 0', ' 63', ' 110']
['2', ' 48167', ' 0', ' 0', ' 69', ' 64']
['2', ' 48167', ' 0', ' 0', ' 63', ' 64']
['2', ' 48240', ' 1', ' 0', ' 69', ' 110']
['2', ' 48240', ' 1', ' 0', ' 63', ' 110']
['2', ' 48287', ' 0', ' 0', ' 69', ' 64']
['2', ' 48287', ' 0', ' 0', ' 63', ' 64']
['2', ' 48360', ' 1', ' 0', ' 69', ' 110']
['2', ' 48360', ' 1', ' 0', ' 63', ' 110']
['2', ' 48407', ' 0', ' 0', ' 69', ' 64']
['2', ' 48407', ' 0', ' 0', ' 63', ' 64']
['2', ' 48480', ' 1', ' 0', ' 69', ' 110']
['2', ' 48480', ' 1', ' 0', ' 63', ' 110']
['2', ' 48527', ' 0', ' 0', ' 69', ' 64']
['2', ' 48527', ' 0', ' 0', ' 63', ' 64']
['2', ' 48600', ' 1', ' 0', ' 69', ' 110']
['2', ' 48600', ' 1', ' 0', ' 63', ' 110']
['2', ' 48647', ' 0', ' 0', ' 69', ' 64']
['2', ' 48647', ' 0', ' 0', ' 63', ' 64']
['2', ' 48720', ' 1', ' 0', ' 69', ' 110']
['2', ' 48720', ' 1', ' 0', ' 63', ' 110']
['2', ' 48767', ' 0', ' 0', ' 69', ' 64']
['2', ' 48767', ' 0', ' 0', ' 63', ' 64']
['2', ' 48840', ' 1', ' 0', ' 69', ' 110']
['2', ' 48840', ' 1', ' 0', ' 63', ' 110']
['2', ' 48887', ' 0', ' 0', ' 69', ' 64']
['2', ' 48887', ' 0', ' 0', ' 63', ' 64']
['2', ' 48960', ' 1', ' 0', ' 69', ' 110']
['2', ' 48960', ' 1', ' 0', ' 63', ' 110']
['2', ' 49007', ' 0', ' 0', ' 69', ' 64']
['2', ' 49007', ' 0', ' 0', ' 63', ' 64']
['2', ' 49080', ' 1', ' 0', ' 69', ' 110']
['2', ' 49080', ' 1', ' 0', ' 63', ' 110']
['2', ' 49127', ' 0', ' 0', ' 69', ' 64']
['2', ' 49127', ' 0', ' 0', ' 63', ' 64']
['2', ' 49200', ' 1', ' 0', ' 69', ' 110']
['2', ' 49200', ' 1', ' 0', ' 63', ' 110']
['2', ' 49247', ' 0', ' 0', ' 69', ' 64']
['2', ' 49247', ' 0', ' 0', ' 63', ' 64']
['2', ' 49320', ' 1', ' 0', ' 69', ' 110']
['2', ' 49320', ' 1', ' 0', ' 63', ' 110']
['2', ' 49367', ' 0', ' 0', ' 69', ' 64']
['2', ' 49367', ' 0', ' 0', ' 63', ' 64']
['2', ' 49440', ' 1', ' 0', ' 69', ' 110']
['2', ' 49440', ' 1', ' 0', ' 63', ' 110']
['2', ' 49487', ' 0', ' 0', ' 69', ' 64']
['2', ' 49487', ' 0', ' 0', ' 63', ' 64']
['2', ' 49560', ' 1', ' 0', ' 69', ' 110']
['2', ' 49560', ' 1', ' 0', ' 63', ' 110']
['2', ' 49607', ' 0', ' 0', ' 69', ' 64']
['2', ' 49607', ' 0', ' 0', ' 63', ' 64']
['2', ' 49680', ' 1', ' 0', ' 69', ' 110']
['2', ' 49680', ' 1', ' 0', ' 63', ' 110']
['2', ' 49727', ' 0', ' 0', ' 69', ' 64']
['2', ' 49727', ' 0', ' 0', ' 63', ' 64']
['2', ' 49800', ' 1', ' 0', ' 69', ' 110']
['2', ' 49800', ' 1', ' 0', ' 63', ' 110']
['2', ' 49847', ' 0', ' 0', ' 69', ' 64']
['2', ' 49847', ' 0', ' 0', ' 63', ' 64']
['2', ' 49920', ' 1', ' 0', ' 70', ' 110']
['2', ' 49920', ' 1', ' 0', ' 64', ' 110']
['2', ' 49967', ' 0', ' 0', ' 70', ' 64']
['2', ' 49967', ' 0', ' 0', ' 64', ' 64']
['2', ' 50040', ' 1', ' 0', ' 70', ' 110']
['2', ' 50040', ' 1', ' 0', ' 64', ' 110']
['2', ' 50087', ' 0', ' 0', ' 70', ' 64']
['2', ' 50087', ' 0', ' 0', ' 64', ' 64']
['2', ' 50160', ' 1', ' 0', ' 70', ' 110']
['2', ' 50160', ' 1', ' 0', ' 64', ' 110']
['2', ' 50207', ' 0', ' 0', ' 70', ' 64']
['2', ' 50207', ' 0', ' 0', ' 64', ' 64']
['2', ' 50280', ' 1', ' 0', ' 70', ' 110']
['2', ' 50280', ' 1', ' 0', ' 64', ' 110']
['2', ' 50327', ' 0', ' 0', ' 70', ' 64']
['2', ' 50327', ' 0', ' 0', ' 64', ' 64']
['2', ' 50400', ' 1', ' 0', ' 70', ' 110']
['2', ' 50400', ' 1', ' 0', ' 64', ' 110']
['2', ' 50447', ' 0', ' 0', ' 70', ' 64']
['2', ' 50447', ' 0', ' 0', ' 64', ' 64']
['2', ' 50520', ' 1', ' 0', ' 70', ' 110']
['2', ' 50520', ' 1', ' 0', ' 64', ' 110']
['2', ' 50567', ' 0', ' 0', ' 70', ' 64']
['2', ' 50567', ' 0', ' 0', ' 64', ' 64']
['2', ' 50640', ' 1', ' 0', ' 70', ' 110']
['2', ' 50640', ' 1', ' 0', ' 64', ' 110']
['2', ' 50687', ' 0', ' 0', ' 70', ' 64']
['2', ' 50687', ' 0', ' 0', ' 64', ' 64']
['2', ' 50760', ' 1', ' 0', ' 70', ' 110']
['2', ' 50760', ' 1', ' 0', ' 64', ' 110']
['2', ' 50807', ' 0', ' 0', ' 70', ' 64']
['2', ' 50807', ' 0', ' 0', ' 64', ' 64']
['2', ' 50880', ' 1', ' 0', ' 69', ' 110']
['2', ' 50880', ' 1', ' 0', ' 66', ' 110']
['2', ' 50927', ' 0', ' 0', ' 69', ' 64']
['2', ' 50927', ' 0', ' 0', ' 66', ' 64']
['2', ' 51000', ' 1', ' 0', ' 69', ' 110']
['2', ' 51000', ' 1', ' 0', ' 66', ' 110']
['2', ' 51047', ' 0', ' 0', ' 69', ' 64']
['2', ' 51047', ' 0', ' 0', ' 66', ' 64']
['2', ' 51120', ' 1', ' 0', ' 69', ' 110']
['2', ' 51120', ' 1', ' 0', ' 66', ' 110']
['2', ' 51167', ' 0', ' 0', ' 69', ' 64']
['2', ' 51167', ' 0', ' 0', ' 66', ' 64']
['2', ' 51240', ' 1', ' 0', ' 69', ' 110']
['2', ' 51240', ' 1', ' 0', ' 66', ' 110']
['2', ' 51287', ' 0', ' 0', ' 69', ' 64']
['2', ' 51287', ' 0', ' 0', ' 66', ' 64']
['2', ' 51360', ' 1', ' 0', ' 69', ' 110']
['2', ' 51360', ' 1', ' 0', ' 66', ' 110']
['2', ' 51407', ' 0', ' 0', ' 69', ' 64']
['2', ' 51407', ' 0', ' 0', ' 66', ' 64']
['2', ' 51480', ' 1', ' 0', ' 69', ' 110']
['2', ' 51480', ' 1', ' 0', ' 66', ' 110']
['2', ' 51527', ' 0', ' 0', ' 69', ' 64']
['2', ' 51527', ' 0', ' 0', ' 66', ' 64']
['2', ' 51600', ' 1', ' 0', ' 69', ' 110']
['2', ' 51600', ' 1', ' 0', ' 66', ' 110']
['2', ' 51647', ' 0', ' 0', ' 69', ' 64']
['2', ' 51647', ' 0', ' 0', ' 66', ' 64']
['2', ' 51720', ' 1', ' 0', ' 69', ' 110']
['2', ' 51720', ' 1', ' 0', ' 66', ' 110']
['2', ' 51767', ' 0', ' 0', ' 69', ' 64']
['2', ' 51767', ' 0', ' 0', ' 66', ' 64']
['2', ' 51840', ' 1', ' 0', ' 71', ' 110']
['2', ' 51840', ' 1', ' 0', ' 68', ' 110']
['2', ' 51887', ' 0', ' 0', ' 71', ' 64']
['2', ' 51887', ' 0', ' 0', ' 68', ' 64']
['2', ' 51960', ' 1', ' 0', ' 71', ' 110']
['2', ' 51960', ' 1', ' 0', ' 68', ' 110']
['2', ' 52007', ' 0', ' 0', ' 71', ' 64']
['2', ' 52007', ' 0', ' 0', ' 68', ' 64']
['2', ' 52080', ' 1', ' 0', ' 71', ' 110']
['2', ' 52080', ' 1', ' 0', ' 68', ' 110']
['2', ' 52127', ' 0', ' 0', ' 71', ' 64']
['2', ' 52127', ' 0', ' 0', ' 68', ' 64']
['2', ' 52200', ' 1', ' 0', ' 71', ' 110']
['2', ' 52200', ' 1', ' 0', ' 68', ' 110']
['2', ' 52247', ' 0', ' 0', ' 71', ' 64']
['2', ' 52247', ' 0', ' 0', ' 68', ' 64']
['2', ' 52320', ' 1', ' 0', ' 71', ' 110']
['2', ' 52320', ' 1', ' 0', ' 68', ' 110']
['2', ' 52367', ' 0', ' 0', ' 71', ' 64']
['2', ' 52367', ' 0', ' 0', ' 68', ' 64']
['2', ' 52440', ' 1', ' 0', ' 71', ' 110']
['2', ' 52440', ' 1', ' 0', ' 68', ' 110']
['2', ' 52487', ' 0', ' 0', ' 71', ' 64']
['2', ' 52487', ' 0', ' 0', ' 68', ' 64']
['2', ' 52560', ' 1', ' 0', ' 71', ' 110']
['2', ' 52560', ' 1', ' 0', ' 68', ' 110']
['2', ' 52607', ' 0', ' 0', ' 71', ' 64']
['2', ' 52607', ' 0', ' 0', ' 68', ' 64']
['2', ' 52680', ' 1', ' 0', ' 71', ' 110']
['2', ' 52680', ' 1', ' 0', ' 68', ' 110']
['2', ' 52727', ' 0', ' 0', ' 71', ' 64']
['2', ' 52727', ' 0', ' 0', ' 68', ' 64']
['2', ' 52800', ' 1', ' 0', ' 69', ' 110']
['2', ' 52800', ' 1', ' 0', ' 66', ' 110']
['2', ' 52847', ' 0', ' 0', ' 69', ' 64']
['2', ' 52847', ' 0', ' 0', ' 66', ' 64']
['2', ' 52920', ' 1', ' 0', ' 69', ' 110']
['2', ' 52920', ' 1', ' 0', ' 66', ' 110']
['2', ' 52967', ' 0', ' 0', ' 69', ' 64']
['2', ' 52967', ' 0', ' 0', ' 66', ' 64']
['2', ' 53040', ' 1', ' 0', ' 69', ' 110']
['2', ' 53040', ' 1', ' 0', ' 66', ' 110']
['2', ' 53087', ' 0', ' 0', ' 69', ' 64']
['2', ' 53087', ' 0', ' 0', ' 66', ' 64']
['2', ' 53160', ' 1', ' 0', ' 69', ' 110']
['2', ' 53160', ' 1', ' 0', ' 66', ' 110']
['2', ' 53207', ' 0', ' 0', ' 69', ' 64']
['2', ' 53207', ' 0', ' 0', ' 66', ' 64']
['2', ' 53280', ' 1', ' 0', ' 69', ' 110']
['2', ' 53280', ' 1', ' 0', ' 66', ' 110']
['2', ' 53327', ' 0', ' 0', ' 69', ' 64']
['2', ' 53327', ' 0', ' 0', ' 66', ' 64']
['2', ' 53400', ' 1', ' 0', ' 69', ' 110']
['2', ' 53400', ' 1', ' 0', ' 66', ' 110']
['2', ' 53447', ' 0', ' 0', ' 69', ' 64']
['2', ' 53447', ' 0', ' 0', ' 66', ' 64']
['2', ' 53520', ' 1', ' 0', ' 69', ' 110']
['2', ' 53520', ' 1', ' 0', ' 66', ' 110']
['2', ' 53567', ' 0', ' 0', ' 69', ' 64']
['2', ' 53567', ' 0', ' 0', ' 66', ' 64']
['2', ' 53640', ' 1', ' 0', ' 69', ' 110']
['2', ' 53640', ' 1', ' 0', ' 66', ' 110']
['2', ' 53687', ' 0', ' 0', ' 69', ' 64']
['2', ' 53687', ' 0', ' 0', ' 66', ' 64']
['2', ' 59496', ' 2', ' 0', ' 7', ' 76']
['2', ' 59520', ' 1', ' 0', ' 69', ' 110']
['2', ' 59760', ' 1', ' 0', ' 64', ' 110']
['2', ' 59767', ' 0', ' 0', ' 69', ' 64']
['2', ' 59879', ' 0', ' 0', ' 64', ' 64']
['2', ' 59880', ' 1', ' 0', ' 66', ' 110']
['2', ' 59999', ' 0', ' 0', ' 66', ' 64']
['2', ' 60000', ' 1', ' 0', ' 69', ' 110']
['2', ' 60056', ' 2', ' 0', ' 65', ' 64']
['2', ' 60119', ' 0', ' 0', ' 69', ' 64']
['2', ' 60120', ' 1', ' 0', ' 72', ' 110']
['2', ' 60272', ' 2', ' 0', ' 65', ' 68']
['2', ' 60343', ' 0', ' 0', ' 72', ' 64']
['2', ' 60360', ' 1', ' 0', ' 69', ' 110']
['2', ' 60551', ' 2', ' 0', ' 65', ' 68']
['2', ' 60552', ' 2', ' 0', ' 65', ' 0']
['2', ' 60719', ' 0', ' 0', ' 69', ' 64']
['2', ' 60720', ' 1', ' 0', ' 64', ' 110']
['2', ' 60839', ' 0', ' 0', ' 64', ' 64']
['2', ' 60840', ' 1', ' 0', ' 66', ' 110']
['2', ' 60959', ' 0', ' 0', ' 66', ' 64']
['2', ' 60960', ' 1', ' 0', ' 69', ' 110']
['2', ' 61056', ' 2', ' 0', ' 65', ' 64']
['2', ' 61079', ' 0', ' 0', ' 69', ' 64']
['2', ' 61080', ' 1', ' 0', ' 72', ' 110']
['2', ' 61272', ' 2', ' 0', ' 65', ' 68']
['2', ' 61303', ' 0', ' 0', ' 72', ' 64']
['2', ' 61320', ' 1', ' 0', ' 69', ' 110']
['2', ' 61559', ' 2', ' 0', ' 65', ' 68']
['2', ' 61568', ' 2', ' 0', ' 65', ' 0']
['2', ' 61679', ' 0', ' 0', ' 69', ' 64']
['2', ' 61680', ' 1', ' 0', ' 64', ' 110']
['2', ' 61799', ' 0', ' 0', ' 64', ' 64']
['2', ' 61800', ' 1', ' 0', ' 66', ' 110']
['2', ' 61919', ' 0', ' 0', ' 66', ' 64']
['2', ' 61920', ' 1', ' 0', ' 69', ' 110']
['2', ' 62008', ' 2', ' 0', ' 65', ' 64']
['2', ' 62039', ' 0', ' 0', ' 69', ' 64']
['2', ' 62040', ' 1', ' 0', ' 72', ' 110']
['2', ' 62168', ' 2', ' 0', ' 65', ' 68']
['2', ' 62263', ' 0', ' 0', ' 72', ' 64']
['2', ' 62396', ' 2', ' 0', ' 7', ' 100']
['2', ' 62400', ' 1', ' 0', ' 74', ' 110']
['2', ' 62459', ' 0', ' 0', ' 74', ' 64']
['2', ' 62460', ' 1', ' 0', ' 72', ' 110']
['2', ' 62519', ' 0', ' 0', ' 72', ' 64']
['2', ' 62520', ' 1', ' 0', ' 74', ' 110']
['2', ' 62579', ' 0', ' 0', ' 74', ' 64']
['2', ' 62580', ' 1', ' 0', ' 72', ' 110']
['2', ' 62639', ' 0', ' 0', ' 72', ' 64']
['2', ' 62640', ' 1', ' 0', ' 74', ' 110']
['2', ' 62735', ' 0', ' 0', ' 74', ' 64']
['2', ' 62760', ' 1', ' 0', ' 72', ' 110']
['2', ' 62819', ' 0', ' 0', ' 72', ' 64']
['2', ' 62880', ' 1', ' 0', ' 74', ' 110']
['2', ' 62939', ' 0', ' 0', ' 74', ' 64']
['2', ' 62940', ' 1', ' 0', ' 72', ' 110']
['2', ' 62999', ' 0', ' 0', ' 72', ' 64']
['2', ' 63000', ' 1', ' 0', ' 74', ' 110']
['2', ' 63059', ' 0', ' 0', ' 74', ' 64']
['2', ' 63060', ' 1', ' 0', ' 72', ' 110']
['2', ' 63119', ' 0', ' 0', ' 72', ' 64']
['2', ' 63120', ' 1', ' 0', ' 74', ' 110']
['2', ' 63211', ' 0', ' 0', ' 74', ' 64']
['2', ' 63240', ' 1', ' 0', ' 72', ' 110']
['2', ' 63299', ' 0', ' 0', ' 72', ' 64']
['2', ' 63320', ' 2', ' 0', ' 7', ' 84']
['2', ' 63320', ' 1', ' 0', ' 75', ' 110']
['2', ' 63320', ' 1', ' 0', ' 71', ' 110']
['2', ' 63411', ' 0', ' 0', ' 75', ' 64']
['2', ' 63411', ' 0', ' 0', ' 71', ' 64']
['2', ' 63420', ' 1', ' 0', ' 73', ' 110']
['2', ' 63420', ' 1', ' 0', ' 69', ' 110']
['2', ' 63479', ' 0', ' 0', ' 73', ' 64']
['2', ' 63479', ' 0', ' 0', ' 69', ' 64']
['2', ' 63480', ' 1', ' 0', ' 75', ' 110']
['2', ' 63480', ' 1', ' 0', ' 71', ' 110']
['2', ' 63539', ' 0', ' 0', ' 75', ' 64']
['2', ' 63539', ' 0', ' 0', ' 71', ' 64']
['2', ' 63540', ' 1', ' 0', ' 73', ' 110']
['2', ' 63540', ' 1', ' 0', ' 69', ' 110']
['2', ' 63599', ' 0', ' 0', ' 73', ' 64']
['2', ' 63599', ' 0', ' 0', ' 69', ' 64']
['2', ' 63600', ' 1', ' 0', ' 75', ' 110']
['2', ' 63600', ' 1', ' 0', ' 71', ' 110']
['2', ' 63691', ' 0', ' 0', ' 75', ' 64']
['2', ' 63691', ' 0', ' 0', ' 71', ' 64']
['2', ' 63720', ' 1', ' 0', ' 73', ' 110']
['2', ' 63720', ' 1', ' 0', ' 69', ' 110']
['2', ' 63779', ' 0', ' 0', ' 73', ' 64']
['2', ' 63779', ' 0', ' 0', ' 69', ' 64']
['2', ' 63791', ' 1', ' 0', ' 75', ' 110']
['2', ' 63791', ' 1', ' 0', ' 71', ' 110']
['2', ' 63882', ' 0', ' 0', ' 75', ' 64']
['2', ' 63882', ' 0', ' 0', ' 71', ' 64']
['2', ' 63900', ' 1', ' 0', ' 73', ' 110']
['2', ' 63900', ' 1', ' 0', ' 69', ' 110']
['2', ' 63959', ' 0', ' 0', ' 73', ' 64']
['2', ' 63959', ' 0', ' 0', ' 69', ' 64']
['2', ' 63960', ' 1', ' 0', ' 75', ' 110']
['2', ' 63960', ' 1', ' 0', ' 71', ' 110']
['2', ' 64019', ' 0', ' 0', ' 75', ' 64']
['2', ' 64019', ' 0', ' 0', ' 71', ' 64']
['2', ' 64020', ' 1', ' 0', ' 73', ' 110']
['2', ' 64020', ' 1', ' 0', ' 69', ' 110']
['2', ' 64079', ' 0', ' 0', ' 73', ' 64']
['2', ' 64079', ' 0', ' 0', ' 69', ' 64']
['2', ' 64080', ' 1', ' 0', ' 75', ' 110']
['2', ' 64080', ' 1', ' 0', ' 71', ' 110']
['2', ' 64139', ' 0', ' 0', ' 75', ' 64']
['2', ' 64139', ' 0', ' 0', ' 71', ' 64']
['2', ' 64148', ' 1', ' 0', ' 73', ' 110']
['2', ' 64148', ' 1', ' 0', ' 69', ' 110']
['2', ' 64227', ' 0', ' 0', ' 73', ' 64']
['2', ' 64227', ' 0', ' 0', ' 69', ' 64']
['2', ' 64240', ' 1', ' 0', ' 69', ' 110']
['2', ' 64240', ' 1', ' 0', ' 66', ' 110']
['2', ' 64483', ' 0', ' 0', ' 69', ' 64']
['2', ' 64483', ' 0', ' 0', ' 66', ' 64']
['2', ' 65520', ' 1', ' 0', ' 67', ' 127']
['2', ' 66133', ' 0', ' 0', ' 67', ' 64']
['2', ' 66480', ' 1', ' 0', ' 69', ' 127']
['2', ' 67093', ' 0', ' 0', ' 69', ' 64']
['2', ' 67440', ' 1', ' 0', ' 71', ' 127']
['2', ' 71164', ' 0', ' 0', ' 71', ' 64']
['2', ' 71280', ' 1', ' 0', ' 69', ' 110']
['2', ' 71398', ' 0', ' 0', ' 69', ' 64']
['2', ' 71520', ' 1', ' 0', ' 69', ' 110']
['2', ' 71638', ' 0', ' 0', ' 69', ' 64']
['2', ' 71760', ' 1', ' 0', ' 69', ' 110']
['2', ' 71878', ' 0', ' 0', ' 69', ' 64']
['2', ' 72000', ' 1', ' 0', ' 71', ' 110']
['2', ' 72118', ' 0', ' 0', ' 71', ' 64']
['2', ' 72240', ' 1', ' 0', ' 71', ' 110']
['2', ' 72358', ' 0', ' 0', ' 71', ' 64']
['2', ' 72480', ' 1', ' 0', ' 71', ' 110']
['2', ' 72598', ' 0', ' 0', ' 71', ' 64']
['2', ' 72720', ' 1', ' 0', ' 71', ' 110']
['2', ' 72838', ' 0', ' 0', ' 71', ' 64']
['2', ' 72960', ' 1', ' 0', ' 72', ' 110']
['2', ' 73078', ' 0', ' 0', ' 72', ' 64']
['2', ' 73200', ' 1', ' 0', ' 72', ' 110']
['2', ' 73318', ' 0', ' 0', ' 72', ' 64']
['2', ' 73440', ' 1', ' 0', ' 72', ' 110']
['2', ' 73558', ' 0', ' 0', ' 72', ' 64']
['2', ' 73680', ' 1', ' 0', ' 72', ' 110']
['2', ' 73798', ' 0', ' 0', ' 72', ' 64']
['2', ' 73920', ' 1', ' 0', ' 74', ' 110']
['2', ' 74038', ' 0', ' 0', ' 74', ' 64']
['2', ' 74160', ' 1', ' 0', ' 74', ' 110']
['2', ' 74278', ' 0', ' 0', ' 74', ' 64']
['2', ' 74400', ' 1', ' 0', ' 74', ' 110']
['2', ' 74518', ' 0', ' 0', ' 74', ' 64']
['2', ' 74640', ' 1', ' 0', ' 74', ' 110']
['2', ' 74758', ' 0', ' 0', ' 74', ' 64']
['2', ' 74880', ' 1', ' 0', ' 76', ' 110']
['2', ' 74953', ' 0', ' 0', ' 76', ' 64']
['2', ' 75000', ' 1', ' 0', ' 76', ' 110']
['2', ' 75073', ' 0', ' 0', ' 76', ' 64']
['2', ' 75120', ' 1', ' 0', ' 76', ' 110']
['2', ' 75193', ' 0', ' 0', ' 76', ' 64']
['2', ' 75240', ' 1', ' 0', ' 76', ' 110']
['2', ' 75313', ' 0', ' 0', ' 76', ' 64']
['2', ' 75360', ' 1', ' 0', ' 76', ' 110']
['2', ' 75433', ' 0', ' 0', ' 76', ' 64']
['2', ' 75480', ' 1', ' 0', ' 76', ' 110']
['2', ' 75553', ' 0', ' 0', ' 76', ' 64']
['2', ' 75600', ' 1', ' 0', ' 76', ' 110']
['2', ' 75673', ' 0', ' 0', ' 76', ' 64']
['2', ' 75720', ' 1', ' 0', ' 76', ' 110']
['2', ' 75793', ' 0', ' 0', ' 76', ' 64']
['2', ' 75840', ' 1', ' 0', ' 78', ' 110']
['2', ' 75913', ' 0', ' 0', ' 78', ' 64']
['2', ' 75960', ' 1', ' 0', ' 78', ' 110']
['2', ' 76033', ' 0', ' 0', ' 78', ' 64']
['2', ' 76080', ' 1', ' 0', ' 78', ' 110']
['2', ' 76153', ' 0', ' 0', ' 78', ' 64']
['2', ' 76200', ' 1', ' 0', ' 78', ' 110']
['2', ' 76273', ' 0', ' 0', ' 78', ' 64']
['2', ' 76320', ' 1', ' 0', ' 78', ' 110']
['2', ' 76393', ' 0', ' 0', ' 78', ' 64']
['2', ' 76440', ' 1', ' 0', ' 78', ' 110']
['2', ' 76513', ' 0', ' 0', ' 78', ' 64']
['2', ' 76560', ' 1', ' 0', ' 78', ' 110']
['2', ' 76633', ' 0', ' 0', ' 78', ' 64']
['2', ' 76680', ' 1', ' 0', ' 78', ' 110']
['2', ' 76753', ' 0', ' 0', ' 78', ' 64']
['2', ' 76800', ' 1', ' 0', ' 79', ' 110']
['2', ' 76873', ' 0', ' 0', ' 79', ' 64']
['2', ' 76920', ' 1', ' 0', ' 79', ' 110']
['2', ' 76993', ' 0', ' 0', ' 79', ' 64']
['2', ' 77040', ' 1', ' 0', ' 79', ' 110']
['2', ' 77113', ' 0', ' 0', ' 79', ' 64']
['2', ' 77160', ' 1', ' 0', ' 79', ' 110']
['2', ' 77233', ' 0', ' 0', ' 79', ' 64']
