['2', ' 0', ' 2', ' 0', ' 7', ' 110']
['2', ' 0', ' 2', ' 0', ' 10', ' 63']
['2', ' 0', ' 3', ' 0', ' 60']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 15360', ' 1', ' 0', ' 74', ' 100']
['2', ' 15680', ' 0', ' 0', ' 74', ' 100']
['2', ' 15840', ' 1', ' 0', ' 77', ' 100']
['2', ' 16160', ' 0', ' 0', ' 77', ' 100']
['2', ' 16320', ' 1', ' 0', ' 72', ' 100']
['2', ' 16640', ' 0', ' 0', ' 72', ' 100']
['2', ' 16800', ' 1', ' 0', ' 71', ' 100']
['2', ' 16960', ' 0', ' 0', ' 71', ' 100']
['2', ' 17040', ' 1', ' 0', ' 72', ' 100']
['2', ' 17680', ' 0', ' 0', ' 72', ' 100']
['2', ' 17760', ' 1', ' 0', ' 71', ' 100']
['2', ' 18080', ' 0', ' 0', ' 71', ' 100']
['2', ' 18240', ' 1', ' 0', ' 72', ' 100']
['2', ' 18720', ' 1', ' 0', ' 72', ' 100']
['2', ' 18880', ' 0', ' 0', ' 72', ' 100']
['2', ' 19040', ' 0', ' 0', ' 72', ' 100']
['2', ' 19200', ' 1', ' 0', ' 74', ' 100']
['2', ' 19520', ' 0', ' 0', ' 74', ' 100']
['2', ' 19680', ' 1', ' 0', ' 77', ' 100']
['2', ' 20000', ' 0', ' 0', ' 77', ' 100']
['2', ' 20160', ' 1', ' 0', ' 72', ' 100']
['2', ' 20480', ' 0', ' 0', ' 72', ' 100']
['2', ' 20640', ' 1', ' 0', ' 71', ' 100']
['2', ' 20800', ' 0', ' 0', ' 71', ' 100']
['2', ' 20880', ' 1', ' 0', ' 72', ' 100']
['2', ' 21520', ' 0', ' 0', ' 72', ' 100']
['2', ' 21600', ' 1', ' 0', ' 71', ' 100']
['2', ' 21920', ' 0', ' 0', ' 71', ' 100']
['2', ' 22080', ' 1', ' 0', ' 72', ' 100']
['2', ' 22560', ' 1', ' 0', ' 72', ' 100']
['2', ' 22720', ' 0', ' 0', ' 72', ' 100']
['2', ' 22880', ' 0', ' 0', ' 72', ' 100']
['2', ' 23040', ' 1', ' 0', ' 74', ' 100']
['2', ' 23360', ' 0', ' 0', ' 74', ' 100']
['2', ' 23520', ' 1', ' 0', ' 74', ' 100']
['2', ' 23840', ' 0', ' 0', ' 74', ' 100']
['2', ' 26880', ' 1', ' 0', ' 74', ' 100']
['2', ' 27200', ' 0', ' 0', ' 74', ' 100']
['2', ' 27360', ' 1', ' 0', ' 74', ' 100']
['2', ' 27680', ' 0', ' 0', ' 74', ' 100']
['2', ' 27840', ' 1', ' 0', ' 74', ' 100']
['2', ' 28160', ' 0', ' 0', ' 74', ' 100']
['2', ' 28320', ' 1', ' 0', ' 72', ' 100']
['2', ' 28480', ' 0', ' 0', ' 72', ' 100']
['2', ' 28560', ' 1', ' 0', ' 72', ' 100']
['2', ' 29200', ' 0', ' 0', ' 72', ' 100']
['2', ' 29280', ' 1', ' 0', ' 72', ' 100']
['2', ' 29440', ' 0', ' 0', ' 72', ' 100']
['2', ' 29520', ' 1', ' 0', ' 70', ' 100']
['2', ' 29840', ' 0', ' 0', ' 70', ' 100']
['2', ' 30000', ' 1', ' 0', ' 72', ' 100']
['2', ' 30160', ' 0', ' 0', ' 72', ' 100']
['2', ' 30240', ' 1', ' 0', ' 70', ' 100']
['2', ' 30560', ' 0', ' 0', ' 70', ' 100']
['2', ' 30720', ' 1', ' 0', ' 67', ' 100']
['2', ' 32005', ' 0', ' 0', ' 67', ' 100']
['2', ' 34560', ' 1', ' 0', ' 74', ' 100']
['2', ' 34880', ' 0', ' 0', ' 74', ' 100']
['2', ' 35040', ' 1', ' 0', ' 77', ' 100']
['2', ' 35360', ' 0', ' 0', ' 77', ' 100']
['2', ' 35520', ' 1', ' 0', ' 72', ' 100']
['2', ' 35840', ' 0', ' 0', ' 72', ' 100']
['2', ' 36000', ' 1', ' 0', ' 71', ' 100']
['2', ' 36160', ' 0', ' 0', ' 71', ' 100']
['2', ' 36240', ' 1', ' 0', ' 72', ' 100']
['2', ' 36880', ' 0', ' 0', ' 72', ' 100']
['2', ' 36960', ' 1', ' 0', ' 71', ' 100']
['2', ' 37280', ' 0', ' 0', ' 71', ' 100']
['2', ' 37440', ' 1', ' 0', ' 72', ' 100']
['2', ' 37920', ' 1', ' 0', ' 72', ' 100']
['2', ' 38080', ' 0', ' 0', ' 72', ' 100']
['2', ' 38240', ' 0', ' 0', ' 72', ' 100']
['2', ' 38400', ' 1', ' 0', ' 74', ' 100']
['2', ' 38720', ' 0', ' 0', ' 74', ' 100']
['2', ' 38880', ' 1', ' 0', ' 77', ' 100']
['2', ' 39200', ' 0', ' 0', ' 77', ' 100']
['2', ' 39360', ' 1', ' 0', ' 72', ' 100']
['2', ' 39680', ' 0', ' 0', ' 72', ' 100']
['2', ' 39840', ' 1', ' 0', ' 71', ' 100']
['2', ' 40000', ' 0', ' 0', ' 71', ' 100']
['2', ' 40080', ' 1', ' 0', ' 72', ' 100']
['2', ' 40720', ' 0', ' 0', ' 72', ' 100']
['2', ' 40800', ' 1', ' 0', ' 71', ' 100']
['2', ' 41120', ' 0', ' 0', ' 71', ' 100']
['2', ' 41280', ' 1', ' 0', ' 72', ' 100']
['2', ' 41760', ' 1', ' 0', ' 72', ' 100']
['2', ' 41920', ' 0', ' 0', ' 72', ' 100']
['2', ' 42080', ' 0', ' 0', ' 72', ' 100']
['2', ' 42240', ' 1', ' 0', ' 74', ' 100']
['2', ' 42560', ' 0', ' 0', ' 74', ' 100']
['2', ' 42720', ' 1', ' 0', ' 74', ' 100']
['2', ' 43040', ' 0', ' 0', ' 74', ' 100']
['2', ' 46080', ' 1', ' 0', ' 74', ' 100']
['2', ' 46400', ' 0', ' 0', ' 74', ' 100']
['2', ' 46560', ' 1', ' 0', ' 74', ' 100']
['2', ' 46880', ' 0', ' 0', ' 74', ' 100']
['2', ' 47040', ' 1', ' 0', ' 74', ' 100']
['2', ' 47360', ' 0', ' 0', ' 74', ' 100']
['2', ' 47520', ' 1', ' 0', ' 72', ' 100']
['2', ' 47680', ' 0', ' 0', ' 72', ' 100']
['2', ' 47760', ' 1', ' 0', ' 72', ' 100']
['2', ' 48400', ' 0', ' 0', ' 72', ' 100']
['2', ' 48480', ' 1', ' 0', ' 72', ' 100']
['2', ' 48640', ' 0', ' 0', ' 72', ' 100']
['2', ' 48720', ' 1', ' 0', ' 70', ' 100']
['2', ' 49040', ' 0', ' 0', ' 70', ' 100']
['2', ' 49200', ' 1', ' 0', ' 72', ' 100']
['2', ' 49360', ' 0', ' 0', ' 72', ' 100']
['2', ' 49440', ' 1', ' 0', ' 70', ' 100']
['2', ' 49760', ' 0', ' 0', ' 70', ' 100']
['2', ' 49920', ' 1', ' 0', ' 67', ' 100']
['2', ' 51205', ' 0', ' 0', ' 67', ' 100']
['2', ' 53760', ' 1', ' 0', ' 71', ' 100']
['2', ' 54400', ' 0', ' 0', ' 71', ' 100']
['2', ' 54720', ' 1', ' 0', ' 71', ' 100']
['2', ' 55360', ' 0', ' 0', ' 71', ' 100']
['2', ' 55680', ' 1', ' 0', ' 71', ' 100']
['2', ' 56640', ' 0', ' 0', ' 71', ' 100']
['2', ' 57120', ' 1', ' 0', ' 74', ' 100']
['2', ' 57440', ' 0', ' 0', ' 74', ' 100']
['2', ' 57600', ' 1', ' 0', ' 72', ' 100']
['2', ' 57920', ' 0', ' 0', ' 72', ' 100']
['2', ' 58080', ' 1', ' 0', ' 72', ' 100']
['2', ' 58400', ' 0', ' 0', ' 72', ' 100']
['2', ' 58560', ' 1', ' 0', ' 74', ' 100']
['2', ' 58720', ' 0', ' 0', ' 74', ' 100']
['2', ' 58800', ' 1', ' 0', ' 76', ' 100']
['2', ' 59120', ' 0', ' 0', ' 76', ' 100']
['2', ' 59280', ' 1', ' 0', ' 76', ' 100']
['2', ' 59760', ' 0', ' 0', ' 76', ' 100']
['2', ' 59760', ' 1', ' 0', ' 74', ' 100']
['2', ' 60720', ' 0', ' 0', ' 74', ' 100']
['2', ' 61440', ' 1', ' 0', ' 71', ' 100']
['2', ' 62080', ' 0', ' 0', ' 71', ' 100']
['2', ' 62400', ' 1', ' 0', ' 71', ' 100']
['2', ' 63040', ' 0', ' 0', ' 71', ' 100']
['2', ' 63360', ' 1', ' 0', ' 71', ' 100']
['2', ' 64320', ' 0', ' 0', ' 71', ' 100']
['2', ' 64800', ' 1', ' 0', ' 74', ' 100']
['2', ' 65120', ' 0', ' 0', ' 74', ' 100']
['2', ' 65280', ' 1', ' 0', ' 76', ' 100']
['2', ' 65440', ' 0', ' 0', ' 76', ' 100']
['2', ' 65520', ' 1', ' 0', ' 72', ' 100']
['2', ' 65840', ' 0', ' 0', ' 72', ' 100']
['2', ' 66000', ' 1', ' 0', ' 69', ' 100']
['2', ' 66480', ' 0', ' 0', ' 69', ' 100']
['2', ' 66720', ' 1', ' 0', ' 67', ' 100']
['2', ' 66880', ' 0', ' 0', ' 67', ' 100']
['2', ' 66960', ' 1', ' 0', ' 66', ' 100']
['2', ' 67920', ' 0', ' 0', ' 66', ' 100']
['2', ' 68160', ' 1', ' 0', ' 71', ' 100']
['2', ' 68320', ' 0', ' 0', ' 71', ' 100']
['2', ' 68400', ' 1', ' 0', ' 72', ' 100']
['2', ' 68720', ' 0', ' 0', ' 72', ' 100']
['2', ' 68880', ' 1', ' 0', ' 74', ' 100']
['2', ' 69520', ' 0', ' 0', ' 74', ' 100']
['2', ' 69600', ' 1', ' 0', ' 77', ' 100']
['2', ' 69920', ' 0', ' 0', ' 77', ' 100']
['2', ' 70080', ' 1', ' 0', ' 72', ' 100']
['2', ' 70400', ' 0', ' 0', ' 72', ' 100']
['2', ' 70560', ' 1', ' 0', ' 71', ' 100']
['2', ' 70720', ' 0', ' 0', ' 71', ' 100']
['2', ' 70800', ' 1', ' 0', ' 72', ' 100']
['2', ' 71440', ' 0', ' 0', ' 72', ' 100']
['2', ' 71520', ' 1', ' 0', ' 71', ' 100']
['2', ' 71840', ' 0', ' 0', ' 71', ' 100']
['2', ' 72000', ' 1', ' 0', ' 72', ' 100']
['2', ' 72480', ' 1', ' 0', ' 72', ' 100']
['2', ' 72640', ' 0', ' 0', ' 72', ' 100']
['2', ' 72800', ' 0', ' 0', ' 72', ' 100']
['2', ' 72960', ' 1', ' 0', ' 74', ' 100']
['2', ' 73280', ' 0', ' 0', ' 74', ' 100']
['2', ' 73440', ' 1', ' 0', ' 77', ' 100']
['2', ' 73760', ' 0', ' 0', ' 77', ' 100']
['2', ' 73920', ' 1', ' 0', ' 72', ' 100']
['2', ' 74240', ' 0', ' 0', ' 72', ' 100']
['2', ' 74400', ' 1', ' 0', ' 71', ' 100']
['2', ' 74560', ' 0', ' 0', ' 71', ' 100']
['2', ' 74640', ' 1', ' 0', ' 72', ' 100']
['2', ' 75280', ' 0', ' 0', ' 72', ' 100']
['2', ' 75360', ' 1', ' 0', ' 71', ' 100']
['2', ' 75680', ' 0', ' 0', ' 71', ' 100']
['2', ' 75840', ' 1', ' 0', ' 72', ' 100']
['2', ' 76320', ' 1', ' 0', ' 72', ' 100']
['2', ' 76480', ' 0', ' 0', ' 72', ' 100']
['2', ' 76640', ' 0', ' 0', ' 72', ' 100']
['2', ' 76800', ' 1', ' 0', ' 74', ' 100']
['2', ' 77120', ' 0', ' 0', ' 74', ' 100']
['2', ' 77280', ' 1', ' 0', ' 74', ' 100']
['2', ' 77600', ' 0', ' 0', ' 74', ' 100']
['2', ' 80640', ' 1', ' 0', ' 74', ' 100']
['2', ' 80960', ' 0', ' 0', ' 74', ' 100']
['2', ' 81120', ' 1', ' 0', ' 74', ' 100']
['2', ' 81440', ' 0', ' 0', ' 74', ' 100']
['2', ' 81600', ' 1', ' 0', ' 74', ' 100']
['2', ' 81920', ' 0', ' 0', ' 74', ' 100']
['2', ' 82080', ' 1', ' 0', ' 72', ' 100']
['2', ' 82240', ' 0', ' 0', ' 72', ' 100']
['2', ' 82320', ' 1', ' 0', ' 72', ' 100']
