['2', ' 96', ' 2', ' 9', ' 121', ' 0']
['2', ' 97', ' 2', ' 9', ' 7', ' 105']
['2', ' 98', ' 2', ' 9', ' 10', ' 64']
['2', ' 99', ' 2', ' 9', ' 91', ' 51']
['2', ' 100', ' 2', ' 9', ' 93', ' 11']
['2', ' 101', ' 2', ' 9', ' 32', ' 0']
['2', ' 101', ' 2', ' 9', ' 0', ' 0']
['2', ' 101', ' 3', ' 9', ' 0']
['2', ' 384', ' 1', ' 9', ' 35', ' 120']
['2', ' 393', ' 1', ' 9', ' 35', ' 0']
['2', ' 432', ' 1', ' 9', ' 35', ' 120']
['2', ' 441', ' 1', ' 9', ' 35', ' 0']
['2', ' 480', ' 1', ' 9', ' 35', ' 120']
['2', ' 489', ' 1', ' 9', ' 35', ' 0']
['2', ' 528', ' 1', ' 9', ' 35', ' 120']
['2', ' 528', ' 1', ' 9', ' 38', ' 100']
['2', ' 537', ' 1', ' 9', ' 35', ' 0']
['2', ' 537', ' 1', ' 9', ' 38', ' 0']
['2', ' 576', ' 1', ' 9', ' 35', ' 120']
['2', ' 585', ' 1', ' 9', ' 35', ' 0']
['2', ' 624', ' 1', ' 9', ' 35', ' 120']
['2', ' 633', ' 1', ' 9', ' 35', ' 0']
['2', ' 672', ' 1', ' 9', ' 35', ' 120']
['2', ' 681', ' 1', ' 9', ' 35', ' 0']
['2', ' 720', ' 1', ' 9', ' 35', ' 120']
['2', ' 729', ' 1', ' 9', ' 35', ' 0']
['2', ' 768', ' 1', ' 9', ' 35', ' 120']
['2', ' 777', ' 1', ' 9', ' 35', ' 0']
['2', ' 816', ' 1', ' 9', ' 38', ' 100']
['2', ' 816', ' 1', ' 9', ' 35', ' 120']
['2', ' 825', ' 1', ' 9', ' 38', ' 0']
['2', ' 825', ' 1', ' 9', ' 35', ' 0']
['2', ' 864', ' 1', ' 9', ' 35', ' 120']
['2', ' 873', ' 1', ' 9', ' 35', ' 0']
['2', ' 912', ' 1', ' 9', ' 35', ' 120']
['2', ' 921', ' 1', ' 9', ' 35', ' 0']
['2', ' 960', ' 1', ' 9', ' 35', ' 120']
['2', ' 969', ' 1', ' 9', ' 35', ' 0']
['2', ' 1008', ' 1', ' 9', ' 35', ' 120']
['2', ' 1017', ' 1', ' 9', ' 35', ' 0']
['2', ' 1056', ' 1', ' 9', ' 35', ' 120']
['2', ' 1065', ' 1', ' 9', ' 35', ' 0']
['2', ' 1104', ' 1', ' 9', ' 42', ' 105']
['2', ' 1104', ' 1', ' 9', ' 35', ' 120']
['2', ' 1104', ' 1', ' 9', ' 38', ' 100']
['2', ' 1113', ' 1', ' 9', ' 42', ' 0']
['2', ' 1113', ' 1', ' 9', ' 35', ' 0']
['2', ' 1113', ' 1', ' 9', ' 38', ' 0']
['2', ' 1152', ' 1', ' 9', ' 42', ' 90']
['2', ' 1152', ' 1', ' 9', ' 35', ' 120']
['2', ' 1152', ' 1', ' 9', ' 38', ' 100']
['2', ' 1161', ' 1', ' 9', ' 42', ' 0']
['2', ' 1161', ' 1', ' 9', ' 35', ' 0']
['2', ' 1161', ' 1', ' 9', ' 38', ' 0']
['2', ' 1200', ' 1', ' 9', ' 42', ' 90']
['2', ' 1200', ' 1', ' 9', ' 38', ' 100']
['2', ' 1200', ' 1', ' 9', ' 35', ' 120']
['2', ' 1209', ' 1', ' 9', ' 42', ' 0']
['2', ' 1209', ' 1', ' 9', ' 38', ' 0']
['2', ' 1209', ' 1', ' 9', ' 35', ' 0']
['2', ' 1248', ' 1', ' 9', ' 42', ' 105']
['2', ' 1248', ' 1', ' 9', ' 35', ' 120']
['2', ' 1248', ' 1', ' 9', ' 38', ' 100']
['2', ' 1257', ' 1', ' 9', ' 42', ' 0']
['2', ' 1257', ' 1', ' 9', ' 35', ' 0']
['2', ' 1257', ' 1', ' 9', ' 38', ' 0']
['2', ' 1296', ' 1', ' 9', ' 35', ' 120']
['2', ' 1305', ' 1', ' 9', ' 35', ' 0']
['2', ' 1344', ' 1', ' 9', ' 35', ' 120']
['2', ' 1353', ' 1', ' 9', ' 35', ' 0']
['2', ' 1392', ' 1', ' 9', ' 38', ' 100']
['2', ' 1392', ' 1', ' 9', ' 35', ' 120']
['2', ' 1401', ' 1', ' 9', ' 38', ' 0']
['2', ' 1401', ' 1', ' 9', ' 35', ' 0']
['2', ' 1440', ' 1', ' 9', ' 42', ' 90']
['2', ' 1440', ' 1', ' 9', ' 35', ' 120']
['2', ' 1440', ' 1', ' 9', ' 38', ' 100']
['2', ' 1449', ' 1', ' 9', ' 42', ' 0']
['2', ' 1449', ' 1', ' 9', ' 35', ' 0']
['2', ' 1449', ' 1', ' 9', ' 38', ' 0']
['2', ' 1488', ' 1', ' 9', ' 42', ' 90']
['2', ' 1488', ' 1', ' 9', ' 38', ' 100']
['2', ' 1488', ' 1', ' 9', ' 35', ' 120']
