['2', ' 0', ' 2', ' 3', ' 100', ' 0']
['2', ' 0', ' 2', ' 3', ' 101', ' 0']
['2', ' 0', ' 2', ' 3', ' 6', ' 12']
['2', ' 0', ' 2', ' 3', ' 101', ' 0']
['2', ' 0', ' 2', ' 3', ' 100', ' 1']
['2', ' 0', ' 2', ' 3', ' 6', ' 64']
['2', ' 0', ' 2', ' 3', ' 38', ' 0']
['2', ' 0', ' 2', ' 3', ' 101', ' 127']
['2', ' 0', ' 2', ' 3', ' 100', ' 127']
['2', ' 0', ' 2', ' 2', ' 100', ' 0']
['2', ' 0', ' 2', ' 2', ' 101', ' 0']
['2', ' 0', ' 2', ' 2', ' 6', ' 12']
['2', ' 0', ' 2', ' 2', ' 101', ' 0']
['2', ' 0', ' 2', ' 2', ' 100', ' 1']
['2', ' 0', ' 2', ' 2', ' 6', ' 64']
['2', ' 0', ' 2', ' 2', ' 38', ' 0']
['2', ' 0', ' 2', ' 2', ' 101', ' 127']
['2', ' 0', ' 2', ' 2', ' 100', ' 127']
['2', ' 0', ' 2', ' 3', ' 101', ' 0']
['2', ' 0', ' 2', ' 3', ' 100', ' 2']
['2', ' 0', ' 2', ' 3', ' 6', ' 64']
['2', ' 0', ' 2', ' 3', ' 101', ' 127']
['2', ' 0', ' 2', ' 3', ' 100', ' 127']
['2', ' 0', ' 2', ' 2', ' 101', ' 0']
['2', ' 0', ' 2', ' 2', ' 100', ' 2']
['2', ' 0', ' 2', ' 2', ' 6', ' 64']
['2', ' 0', ' 2', ' 2', ' 101', ' 127']
['2', ' 0', ' 2', ' 2', ' 100', ' 127']
['2', ' 0', ' 3', ' 3', ' 29']
['2', ' 0', ' 3', ' 2', ' 29']
['2', ' 0', ' 2', ' 3', ' 0', ' 0']
['2', ' 0', ' 2', ' 2', ' 0', ' 0']
['2', ' 0', ' 2', ' 3', ' 7', ' 112']
['2', ' 0', ' 2', ' 2', ' 7', ' 112']
