['2', ' 60', ' 2', ' 0', ' 121', ' 0']
['2', ' 60', ' 2', ' 0', ' 123', ' 0']
['2', ' 60', ' 2', ' 0', ' 100', ' 0']
['2', ' 60', ' 2', ' 0', ' 38', ' 0']
['2', ' 60', ' 2', ' 0', ' 101', ' 0']
['2', ' 60', ' 2', ' 0', ' 6', ' 12']
['2', ' 120', ' 3', ' 0', ' 25']
['2', ' 120', ' 2', ' 0', ' 7', ' 48']
['2', ' 120', ' 2', ' 0', ' 10', ' 10']
['2', ' 1920', ' 1', ' 0', ' 47', ' 95']
['2', ' 2040', ' 2', ' 0', ' 10', ' 11']
['2', ' 2040', ' 2', ' 0', ' 7', ' 96']
['2', ' 2160', ' 2', ' 0', ' 10', ' 12']
['2', ' 2160', ' 2', ' 0', ' 7', ' 48']
['2', ' 2160', ' 1', ' 0', ' 59', ' 95']
['2', ' 2280', ' 2', ' 0', ' 10', ' 13']
['2', ' 2280', ' 2', ' 0', ' 7', ' 96']
['2', ' 2400', ' 2', ' 0', ' 10', ' 15']
['2', ' 2400', ' 2', ' 0', ' 7', ' 48']
['2', ' 2400', ' 1', ' 0', ' 62', ' 95']
['2', ' 2520', ' 2', ' 0', ' 10', ' 16']
['2', ' 2520', ' 2', ' 0', ' 7', ' 96']
['2', ' 2632', ' 0', ' 0', ' 47', ' 80']
['2', ' 2640', ' 2', ' 0', ' 10', ' 17']
['2', ' 2640', ' 1', ' 0', ' 47', ' 95']
['2', ' 2760', ' 2', ' 0', ' 10', ' 18']
['2', ' 2872', ' 0', ' 0', ' 59', ' 80']
['2', ' 2880', ' 2', ' 0', ' 10', ' 19']
['2', ' 2880', ' 1', ' 0', ' 59', ' 95']
['2', ' 3000', ' 2', ' 0', ' 10', ' 20']
['2', ' 3112', ' 0', ' 0', ' 62', ' 80']
['2', ' 3120', ' 2', ' 0', ' 10', ' 21']
['2', ' 3120', ' 1', ' 0', ' 62', ' 95']
['2', ' 3240', ' 2', ' 0', ' 10', ' 22']
['2', ' 3352', ' 0', ' 0', ' 47', ' 80']
['2', ' 3360', ' 2', ' 0', ' 10', ' 24']
['2', ' 3360', ' 1', ' 0', ' 47', ' 95']
['2', ' 3480', ' 2', ' 0', ' 10', ' 25']
['2', ' 3592', ' 0', ' 0', ' 59', ' 80']
['2', ' 3592', ' 0', ' 0', ' 62', ' 80']
['2', ' 3600', ' 2', ' 0', ' 10', ' 26']
['2', ' 3600', ' 1', ' 0', ' 59', ' 50']
['2', ' 3600', ' 1', ' 0', ' 62', ' 95']
['2', ' 3720', ' 2', ' 0', ' 10', ' 27']
['2', ' 3832', ' 0', ' 0', ' 47', ' 80']
['2', ' 3840', ' 2', ' 0', ' 10', ' 28']
['2', ' 3840', ' 1', ' 0', ' 47', ' 95']
['2', ' 3960', ' 2', ' 0', ' 10', ' 29']
['2', ' 4072', ' 0', ' 0', ' 59', ' 80']
['2', ' 4080', ' 2', ' 0', ' 10', ' 30']
['2', ' 4080', ' 1', ' 0', ' 59', ' 95']
['2', ' 4200', ' 2', ' 0', ' 10', ' 31']
['2', ' 4312', ' 0', ' 0', ' 62', ' 80']
['2', ' 4320', ' 2', ' 0', ' 10', ' 33']
['2', ' 4320', ' 1', ' 0', ' 62', ' 95']
['2', ' 4440', ' 2', ' 0', ' 10', ' 34']
['2', ' 4552', ' 0', ' 0', ' 47', ' 80']
['2', ' 4560', ' 2', ' 0', ' 10', ' 35']
['2', ' 4560', ' 1', ' 0', ' 47', ' 95']
['2', ' 4680', ' 2', ' 0', ' 10', ' 36']
['2', ' 4792', ' 0', ' 0', ' 59', ' 80']
['2', ' 4800', ' 2', ' 0', ' 10', ' 37']
['2', ' 4800', ' 1', ' 0', ' 59', ' 95']
['2', ' 4920', ' 2', ' 0', ' 10', ' 38']
['2', ' 5032', ' 0', ' 0', ' 62', ' 80']
['2', ' 5040', ' 2', ' 0', ' 10', ' 39']
['2', ' 5040', ' 1', ' 0', ' 62', ' 95']
['2', ' 5160', ' 2', ' 0', ' 10', ' 40']
['2', ' 5272', ' 0', ' 0', ' 47', ' 80']
['2', ' 5280', ' 2', ' 0', ' 10', ' 42']
['2', ' 5280', ' 1', ' 0', ' 47', ' 95']
['2', ' 5400', ' 2', ' 0', ' 10', ' 43']
['2', ' 5512', ' 0', ' 0', ' 59', ' 80']
['2', ' 5512', ' 0', ' 0', ' 62', ' 80']
['2', ' 5520', ' 2', ' 0', ' 10', ' 44']
['2', ' 5520', ' 1', ' 0', ' 59', ' 50']
['2', ' 5520', ' 1', ' 0', ' 62', ' 95']
['2', ' 5640', ' 2', ' 0', ' 10', ' 45']
['2', ' 5752', ' 0', ' 0', ' 47', ' 80']
['2', ' 5760', ' 2', ' 0', ' 10', ' 46']
['2', ' 5760', ' 1', ' 0', ' 47', ' 95']
['2', ' 5880', ' 2', ' 0', ' 10', ' 47']
['2', ' 5992', ' 0', ' 0', ' 59', ' 80']
['2', ' 6000', ' 2', ' 0', ' 10', ' 48']
['2', ' 6000', ' 1', ' 0', ' 59', ' 95']
['2', ' 6120', ' 2', ' 0', ' 10', ' 49']
['2', ' 6232', ' 0', ' 0', ' 62', ' 80']
['2', ' 6240', ' 2', ' 0', ' 10', ' 51']
['2', ' 6240', ' 1', ' 0', ' 62', ' 95']
['2', ' 6360', ' 2', ' 0', ' 10', ' 52']
['2', ' 6472', ' 0', ' 0', ' 47', ' 80']
['2', ' 6480', ' 2', ' 0', ' 10', ' 53']
['2', ' 6480', ' 1', ' 0', ' 47', ' 95']
['2', ' 6600', ' 2', ' 0', ' 10', ' 54']
['2', ' 6712', ' 0', ' 0', ' 59', ' 80']
['2', ' 6720', ' 2', ' 0', ' 10', ' 55']
['2', ' 6720', ' 1', ' 0', ' 59', ' 95']
['2', ' 6840', ' 2', ' 0', ' 10', ' 56']
['2', ' 6952', ' 0', ' 0', ' 62', ' 80']
['2', ' 6960', ' 2', ' 0', ' 10', ' 57']
['2', ' 6960', ' 1', ' 0', ' 62', ' 95']
['2', ' 7080', ' 2', ' 0', ' 10', ' 58']
['2', ' 7192', ' 0', ' 0', ' 47', ' 80']
['2', ' 7200', ' 2', ' 0', ' 10', ' 60']
['2', ' 7200', ' 1', ' 0', ' 47', ' 95']
['2', ' 7320', ' 2', ' 0', ' 10', ' 61']
['2', ' 7432', ' 0', ' 0', ' 59', ' 80']
['2', ' 7432', ' 0', ' 0', ' 62', ' 80']
['2', ' 7440', ' 2', ' 0', ' 10', ' 62']
['2', ' 7440', ' 1', ' 0', ' 59', ' 50']
['2', ' 7440', ' 1', ' 0', ' 62', ' 95']
['2', ' 7560', ' 2', ' 0', ' 10', ' 63']
['2', ' 7672', ' 0', ' 0', ' 47', ' 80']
['2', ' 7680', ' 2', ' 0', ' 10', ' 64']
['2', ' 7680', ' 1', ' 0', ' 47', ' 95']
['2', ' 7800', ' 2', ' 0', ' 10', ' 65']
['2', ' 7912', ' 0', ' 0', ' 59', ' 80']
['2', ' 7920', ' 2', ' 0', ' 10', ' 66']
['2', ' 7920', ' 1', ' 0', ' 59', ' 95']
['2', ' 8040', ' 2', ' 0', ' 10', ' 67']
['2', ' 8152', ' 0', ' 0', ' 62', ' 80']
['2', ' 8160', ' 2', ' 0', ' 10', ' 69']
['2', ' 8160', ' 1', ' 0', ' 62', ' 95']
['2', ' 8280', ' 2', ' 0', ' 10', ' 70']
['2', ' 8392', ' 0', ' 0', ' 47', ' 80']
['2', ' 8400', ' 2', ' 0', ' 10', ' 71']
['2', ' 8400', ' 1', ' 0', ' 47', ' 95']
['2', ' 8520', ' 2', ' 0', ' 10', ' 72']
['2', ' 8632', ' 0', ' 0', ' 59', ' 80']
['2', ' 8640', ' 2', ' 0', ' 10', ' 73']
['2', ' 8640', ' 1', ' 0', ' 59', ' 95']
['2', ' 8872', ' 0', ' 0', ' 62', ' 80']
['2', ' 8880', ' 1', ' 0', ' 62', ' 95']
['2', ' 9112', ' 0', ' 0', ' 47', ' 80']
['2', ' 9120', ' 1', ' 0', ' 47', ' 95']
['2', ' 9352', ' 0', ' 0', ' 59', ' 80']
['2', ' 9352', ' 0', ' 0', ' 62', ' 80']
['2', ' 9360', ' 1', ' 0', ' 59', ' 50']
['2', ' 9360', ' 1', ' 0', ' 62', ' 95']
['2', ' 9592', ' 0', ' 0', ' 47', ' 80']
['2', ' 9600', ' 1', ' 0', ' 46', ' 95']
['2', ' 9832', ' 0', ' 0', ' 59', ' 80']
['2', ' 9840', ' 1', ' 0', ' 58', ' 95']
['2', ' 10072', ' 0', ' 0', ' 62', ' 80']
['2', ' 10080', ' 1', ' 0', ' 61', ' 95']
['2', ' 10312', ' 0', ' 0', ' 46', ' 80']
['2', ' 10320', ' 1', ' 0', ' 46', ' 95']
['2', ' 10552', ' 0', ' 0', ' 58', ' 80']
['2', ' 10560', ' 1', ' 0', ' 58', ' 95']
['2', ' 10792', ' 0', ' 0', ' 61', ' 80']
['2', ' 10800', ' 1', ' 0', ' 61', ' 95']
['2', ' 11032', ' 0', ' 0', ' 46', ' 80']
['2', ' 11040', ' 1', ' 0', ' 46', ' 95']
['2', ' 11272', ' 0', ' 0', ' 58', ' 80']
['2', ' 11272', ' 0', ' 0', ' 61', ' 80']
['2', ' 11280', ' 1', ' 0', ' 58', ' 50']
['2', ' 11280', ' 1', ' 0', ' 61', ' 95']
['2', ' 11512', ' 0', ' 0', ' 46', ' 80']
['2', ' 11520', ' 1', ' 0', ' 46', ' 95']
['2', ' 11752', ' 0', ' 0', ' 58', ' 80']
['2', ' 11760', ' 1', ' 0', ' 58', ' 95']
['2', ' 11992', ' 0', ' 0', ' 61', ' 80']
['2', ' 12000', ' 1', ' 0', ' 61', ' 95']
