['2', ' 0', ' 2', ' 0', ' 7', ' 99']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 3', ' 0', ' 5']
['2', ' 96', ' 1', ' 0', ' 73', ' 64']
['2', ' 141', ' 0', ' 0', ' 73', ' 0']
['2', ' 144', ' 1', ' 0', ' 74', ' 64']
['2', ' 189', ' 0', ' 0', ' 74', ' 0']
['2', ' 192', ' 1', ' 0', ' 73', ' 64']
['2', ' 237', ' 0', ' 0', ' 73', ' 0']
['2', ' 240', ' 1', ' 0', ' 74', ' 64']
['2', ' 285', ' 0', ' 0', ' 74', ' 0']
['2', ' 288', ' 1', ' 0', ' 81', ' 64']
['2', ' 333', ' 0', ' 0', ' 81', ' 0']
['2', ' 336', ' 1', ' 0', ' 73', ' 64']
['2', ' 381', ' 0', ' 0', ' 73', ' 0']
['2', ' 384', ' 1', ' 0', ' 74', ' 64']
['2', ' 429', ' 0', ' 0', ' 74', ' 0']
['2', ' 432', ' 1', ' 0', ' 73', ' 64']
['2', ' 477', ' 0', ' 0', ' 73', ' 0']
['2', ' 480', ' 1', ' 0', ' 74', ' 64']
['2', ' 525', ' 0', ' 0', ' 74', ' 0']
['2', ' 528', ' 1', ' 0', ' 76', ' 64']
['2', ' 573', ' 0', ' 0', ' 76', ' 0']
['2', ' 576', ' 1', ' 0', ' 73', ' 64']
['2', ' 621', ' 0', ' 0', ' 73', ' 0']
['2', ' 624', ' 1', ' 0', ' 74', ' 64']
['2', ' 669', ' 0', ' 0', ' 74', ' 0']
['2', ' 672', ' 1', ' 0', ' 73', ' 64']
['2', ' 717', ' 0', ' 0', ' 73', ' 0']
['2', ' 720', ' 1', ' 0', ' 74', ' 64']
['2', ' 765', ' 0', ' 0', ' 74', ' 0']
['2', ' 768', ' 1', ' 0', ' 80', ' 64']
['2', ' 813', ' 0', ' 0', ' 80', ' 0']
['2', ' 816', ' 1', ' 0', ' 73', ' 64']
['2', ' 861', ' 0', ' 0', ' 73', ' 0']
['2', ' 864', ' 1', ' 0', ' 74', ' 64']
['2', ' 909', ' 0', ' 0', ' 74', ' 0']
['2', ' 912', ' 1', ' 0', ' 73', ' 64']
['2', ' 957', ' 0', ' 0', ' 73', ' 0']
['2', ' 960', ' 1', ' 0', ' 74', ' 64']
['2', ' 1005', ' 0', ' 0', ' 74', ' 0']
['2', ' 1008', ' 1', ' 0', ' 76', ' 64']
['2', ' 1053', ' 0', ' 0', ' 76', ' 0']
['2', ' 1056', ' 1', ' 0', ' 73', ' 64']
['2', ' 1101', ' 0', ' 0', ' 73', ' 0']
['2', ' 1104', ' 1', ' 0', ' 74', ' 64']
['2', ' 1149', ' 0', ' 0', ' 74', ' 0']
['2', ' 1152', ' 1', ' 0', ' 73', ' 64']
['2', ' 1197', ' 0', ' 0', ' 73', ' 0']
['2', ' 1200', ' 1', ' 0', ' 74', ' 64']
['2', ' 1245', ' 0', ' 0', ' 74', ' 0']
['2', ' 1248', ' 1', ' 0', ' 81', ' 64']
['2', ' 1293', ' 0', ' 0', ' 81', ' 0']
['2', ' 1296', ' 1', ' 0', ' 73', ' 64']
['2', ' 1341', ' 0', ' 0', ' 73', ' 0']
['2', ' 1344', ' 1', ' 0', ' 74', ' 64']
['2', ' 1389', ' 0', ' 0', ' 74', ' 0']
['2', ' 1392', ' 1', ' 0', ' 73', ' 64']
['2', ' 1437', ' 0', ' 0', ' 73', ' 0']
