['2', ' 0', ' 3', ' 0', ' 37']
['2', ' 717', ' 1', ' 0', ' 31', ' 99']
['2', ' 717', ' 2', ' 0', ' 7', ' 90']
['2', ' 893', ' 1', ' 0', ' 31', ' 0']
['2', ' 895', ' 1', ' 0', ' 35', ' 88']
['2', ' 981', ' 1', ' 0', ' 36', ' 71']
['2', ' 1001', ' 1', ' 0', ' 35', ' 0']
['2', ' 1059', ' 1', ' 0', ' 36', ' 0']
['2', ' 1075', ' 1', ' 0', ' 38', ' 71']
['2', ' 1247', ' 1', ' 0', ' 38', ' 0']
['2', ' 1251', ' 1', ' 0', ' 42', ' 88']
['2', ' 1320', ' 1', ' 0', ' 42', ' 0']
['2', ' 1341', ' 1', ' 0', ' 43', ' 88']
['2', ' 1415', ' 1', ' 0', ' 43', ' 0']
['2', ' 1431', ' 1', ' 0', ' 29', ' 88']
['2', ' 1599', ' 1', ' 0', ' 29', ' 0']
['2', ' 1609', ' 1', ' 0', ' 31', ' 71']
['2', ' 1697', ' 1', ' 0', ' 33', ' 60']
['2', ' 1701', ' 1', ' 0', ' 31', ' 0']
['2', ' 1787', ' 1', ' 0', ' 34', ' 56']
['2', ' 1789', ' 1', ' 0', ' 33', ' 0']
['2', ' 1949', ' 1', ' 0', ' 34', ' 0']
['2', ' 1967', ' 1', ' 0', ' 38', ' 64']
['2', ' 2057', ' 1', ' 0', ' 41', ' 71']
['2', ' 2067', ' 1', ' 0', ' 38', ' 0']
['2', ' 2115', ' 1', ' 0', ' 41', ' 0']
['2', ' 2145', ' 1', ' 0', ' 27', ' 99']
['2', ' 2323', ' 1', ' 0', ' 31', ' 71']
['2', ' 2330', ' 1', ' 0', ' 27', ' 0']
['2', ' 2409', ' 1', ' 0', ' 34', ' 80']
['2', ' 2419', ' 1', ' 0', ' 31', ' 0']
['2', ' 2493', ' 1', ' 0', ' 34', ' 0']
['2', ' 2503', ' 1', ' 0', ' 32', ' 99']
['2', ' 2675', ' 1', ' 0', ' 32', ' 0']
['2', ' 2679', ' 1', ' 0', ' 36', ' 80']
['2', ' 2769', ' 1', ' 0', ' 39', ' 113']
['2', ' 2773', ' 1', ' 0', ' 36', ' 0']
['2', ' 2843', ' 1', ' 0', ' 39', ' 0']
['2', ' 2859', ' 1', ' 0', ' 33', ' 99']
['2', ' 3193', ' 1', ' 0', ' 33', ' 0']
['2', ' 3215', ' 1', ' 0', ' 33', ' 80']
['2', ' 3537', ' 1', ' 0', ' 33', ' 0']
['2', ' 3573', ' 1', ' 0', ' 33', ' 80']
['2', ' 3895', ' 1', ' 0', ' 33', ' 0']
['2', ' 3931', ' 1', ' 0', ' 33', ' 80']
['2', ' 4231', ' 1', ' 0', ' 33', ' 0']
['2', ' 4288', ' 1', ' 0', ' 33', ' 113']
['2', ' 4519', ' 1', ' 0', ' 33', ' 0']
['2', ' 4557', ' 1', ' 0', ' 36', ' 113']
['2', ' 4633', ' 1', ' 0', ' 36', ' 0']
['2', ' 4645', ' 1', ' 0', ' 40', ' 88']
['2', ' 4799', ' 1', ' 0', ' 40', ' 0']
['2', ' 4823', ' 1', ' 0', ' 36', ' 99']
['2', ' 4955', ' 1', ' 0', ' 36', ' 0']
['2', ' 5003', ' 1', ' 0', ' 30', ' 88']
['2', ' 5231', ' 1', ' 0', ' 30', ' 0']
['2', ' 5269', ' 1', ' 0', ' 33', ' 52']
['2', ' 5343', ' 1', ' 0', ' 33', ' 0']
['2', ' 5357', ' 1', ' 0', ' 37', ' 99']
['2', ' 5537', ' 1', ' 0', ' 37', ' 0']
['2', ' 5539', ' 1', ' 0', ' 33', ' 71']
['2', ' 5605', ' 1', ' 0', ' 33', ' 0']
['2', ' 5627', ' 1', ' 0', ' 37', ' 88']
['2', ' 5701', ' 1', ' 0', ' 37', ' 0']
['2', ' 5717', ' 1', ' 0', ' 33', ' 113']
['2', ' 5948', ' 1', ' 0', ' 33', ' 0']
['2', ' 5983', ' 1', ' 0', ' 36', ' 113']
['2', ' 6061', ' 1', ' 0', ' 36', ' 0']
['2', ' 6073', ' 1', ' 0', ' 40', ' 88']
['2', ' 6227', ' 1', ' 0', ' 40', ' 0']
['2', ' 6251', ' 1', ' 0', ' 36', ' 99']
['2', ' 6383', ' 1', ' 0', ' 36', ' 0']
['2', ' 6431', ' 1', ' 0', ' 30', ' 88']
['2', ' 6661', ' 1', ' 0', ' 30', ' 0']
['2', ' 6698', ' 1', ' 0', ' 33', ' 52']
['2', ' 6777', ' 1', ' 0', ' 33', ' 0']
['2', ' 6787', ' 1', ' 0', ' 37', ' 99']
['2', ' 6967', ' 1', ' 0', ' 37', ' 0']
['2', ' 6969', ' 1', ' 0', ' 33', ' 71']
['2', ' 7037', ' 1', ' 0', ' 33', ' 0']
['2', ' 7055', ' 1', ' 0', ' 37', ' 88']
['2', ' 7130', ' 1', ' 0', ' 37', ' 0']
['2', ' 7145', ' 1', ' 0', ' 33', ' 113']
['2', ' 7373', ' 1', ' 0', ' 33', ' 0']
['2', ' 7413', ' 1', ' 0', ' 36', ' 113']
['2', ' 7493', ' 1', ' 0', ' 36', ' 0']
['2', ' 7503', ' 1', ' 0', ' 40', ' 88']
['2', ' 7655', ' 1', ' 0', ' 40', ' 0']
['2', ' 7679', ' 1', ' 0', ' 36', ' 99']
['2', ' 7811', ' 1', ' 0', ' 36', ' 0']
['2', ' 7859', ' 1', ' 0', ' 30', ' 88']
['2', ' 8090', ' 1', ' 0', ' 30', ' 0']
['2', ' 8127', ' 1', ' 0', ' 33', ' 52']
['2', ' 8207', ' 1', ' 0', ' 33', ' 0']
['2', ' 8216', ' 1', ' 0', ' 37', ' 99']
['2', ' 8398', ' 1', ' 0', ' 37', ' 0']
['2', ' 8398', ' 1', ' 0', ' 33', ' 71']
['2', ' 8466', ' 1', ' 0', ' 33', ' 0']
['2', ' 8485', ' 1', ' 0', ' 37', ' 88']
['2', ' 8557', ' 1', ' 0', ' 37', ' 0']
['2', ' 8573', ' 1', ' 0', ' 33', ' 113']
['2', ' 8803', ' 1', ' 0', ' 33', ' 0']
['2', ' 8840', ' 1', ' 0', ' 36', ' 113']
['2', ' 8921', ' 1', ' 0', ' 36', ' 0']
['2', ' 8931', ' 1', ' 0', ' 40', ' 88']
['2', ' 9085', ' 1', ' 0', ' 40', ' 0']
['2', ' 9109', ' 1', ' 0', ' 36', ' 99']
['2', ' 9241', ' 1', ' 0', ' 36', ' 0']
['2', ' 9289', ' 1', ' 0', ' 30', ' 88']
['2', ' 9518', ' 1', ' 0', ' 30', ' 0']
['2', ' 9556', ' 1', ' 0', ' 33', ' 52']
['2', ' 9636', ' 1', ' 0', ' 33', ' 0']
['2', ' 9646', ' 1', ' 0', ' 37', ' 99']
['2', ' 9821', ' 1', ' 0', ' 37', ' 0']
['2', ' 9823', ' 1', ' 0', ' 33', ' 71']
['2', ' 9894', ' 1', ' 0', ' 33', ' 0']
['2', ' 9916', ' 1', ' 0', ' 37', ' 88']
['2', ' 9990', ' 1', ' 0', ' 37', ' 0']
['2', ' 10003', ' 1', ' 0', ' 31', ' 99']
['2', ' 10181', ' 1', ' 0', ' 35', ' 80']
['2', ' 10197', ' 1', ' 0', ' 31', ' 0']
['2', ' 10259', ' 1', ' 0', ' 35', ' 0']
['2', ' 10269', ' 1', ' 0', ' 38', ' 80']
['2', ' 10347', ' 1', ' 0', ' 38', ' 0']
['2', ' 10361', ' 1', ' 0', ' 33', ' 99']
['2', ' 10539', ' 1', ' 0', ' 37', ' 113']
['2', ' 10544', ' 1', ' 0', ' 33', ' 0']
['2', ' 10621', ' 1', ' 0', ' 37', ' 0']
['2', ' 10627', ' 1', ' 0', ' 40', ' 64']
['2', ' 10701', ' 1', ' 0', ' 40', ' 0']
['2', ' 10717', ' 1', ' 0', ' 26', ' 113']
['2', ' 10886', ' 1', ' 0', ' 26', ' 0']
['2', ' 10893', ' 1', ' 0', ' 30', ' 99']
['2', ' 10978', ' 1', ' 0', ' 30', ' 0']
['2', ' 10985', ' 1', ' 0', ' 33', ' 71']
['2', ' 11061', ' 1', ' 0', ' 33', ' 0']
['2', ' 11075', ' 1', ' 0', ' 26', ' 99']
['2', ' 11241', ' 1', ' 0', ' 26', ' 0']
['2', ' 11251', ' 1', ' 0', ' 30', ' 113']
['2', ' 11339', ' 1', ' 0', ' 30', ' 0']
['2', ' 11341', ' 1', ' 0', ' 33', ' 64']
['2', ' 11404', ' 1', ' 0', ' 33', ' 0']
['2', ' 11432', ' 1', ' 0', ' 31', ' 99']
['2', ' 11609', ' 1', ' 0', ' 35', ' 80']
['2', ' 11625', ' 1', ' 0', ' 31', ' 0']
['2', ' 11689', ' 1', ' 0', ' 35', ' 0']
['2', ' 11699', ' 1', ' 0', ' 38', ' 80']
['2', ' 11775', ' 1', ' 0', ' 38', ' 0']
['2', ' 11787', ' 1', ' 0', ' 33', ' 99']
['2', ' 11967', ' 1', ' 0', ' 37', ' 113']
['2', ' 11971', ' 1', ' 0', ' 33', ' 0']
['2', ' 12049', ' 1', ' 0', ' 37', ' 0']
['2', ' 12055', ' 1', ' 0', ' 40', ' 64']
['2', ' 12130', ' 1', ' 0', ' 40', ' 0']
['2', ' 12145', ' 1', ' 0', ' 30', ' 127']
['2', ' 12309', ' 1', ' 0', ' 30', ' 0']
['2', ' 12321', ' 1', ' 0', ' 33', ' 80']
['2', ' 12415', ' 1', ' 0', ' 37', ' 113']
['2', ' 12423', ' 1', ' 0', ' 33', ' 0']
['2', ' 12491', ' 1', ' 0', ' 37', ' 0']
['2', ' 12503', ' 1', ' 0', ' 35', ' 99']
['2', ' 12677', ' 1', ' 0', ' 35', ' 0']
['2', ' 12681', ' 1', ' 0', ' 33', ' 88']
['2', ' 12813', ' 1', ' 0', ' 33', ' 0']
['2', ' 12859', ' 1', ' 0', ' 31', ' 99']
['2', ' 13039', ' 1', ' 0', ' 35', ' 71']
['2', ' 13042', ' 1', ' 0', ' 31', ' 0']
['2', ' 13113', ' 1', ' 0', ' 35', ' 0']
['2', ' 13127', ' 1', ' 0', ' 38', ' 71']
['2', ' 13201', ' 1', ' 0', ' 38', ' 0']
['2', ' 13215', ' 1', ' 0', ' 38', ' 88']
['2', ' 13397', ' 1', ' 0', ' 42', ' 113']
['2', ' 13402', ' 1', ' 0', ' 38', ' 0']
['2', ' 13476', ' 1', ' 0', ' 42', ' 0']
['2', ' 13486', ' 1', ' 0', ' 45', ' 56']
['2', ' 13559', ' 1', ' 0', ' 45', ' 0']
['2', ' 13575', ' 1', ' 0', ' 28', ' 88']
['2', ' 13736', ' 1', ' 0', ' 28', ' 0']
['2', ' 13752', ' 1', ' 0', ' 32', ' 113']
['2', ' 13835', ' 1', ' 0', ' 32', ' 0']
['2', ' 13841', ' 1', ' 0', ' 35', ' 69']
['2', ' 13910', ' 1', ' 0', ' 35', ' 0']
['2', ' 13930', ' 1', ' 0', ' 28', ' 71']
['2', ' 14087', ' 1', ' 0', ' 28', ' 0']
['2', ' 14111', ' 1', ' 0', ' 32', ' 113']
['2', ' 14189', ' 1', ' 0', ' 32', ' 0']
['2', ' 14199', ' 1', ' 0', ' 35', ' 71']
['2', ' 14289', ' 1', ' 0', ' 28', ' 80']
['2', ' 14291', ' 1', ' 0', ' 35', ' 0']
['2', ' 14448', ' 1', ' 0', ' 28', ' 0']
['2', ' 14467', ' 1', ' 0', ' 32', ' 127']
['2', ' 14539', ' 1', ' 0', ' 32', ' 0']
['2', ' 14557', ' 1', ' 0', ' 35', ' 52']
['2', ' 14638', ' 1', ' 0', ' 35', ' 0']
['2', ' 14645', ' 1', ' 0', ' 28', ' 71']
['2', ' 14813', ' 1', ' 0', ' 28', ' 0']
['2', ' 14824', ' 1', ' 0', ' 32', ' 99']
['2', ' 14893', ' 1', ' 0', ' 32', ' 0']
['2', ' 14916', ' 1', ' 0', ' 35', ' 46']
['2', ' 14975', ' 1', ' 0', ' 35', ' 0']
['2', ' 15003', ' 1', ' 0', ' 33', ' 113']
['2', ' 15234', ' 1', ' 0', ' 33', ' 0']
['2', ' 15269', ' 1', ' 0', ' 36', ' 113']
['2', ' 15348', ' 1', ' 0', ' 36', ' 0']
['2', ' 15359', ' 1', ' 0', ' 40', ' 88']
['2', ' 15514', ' 1', ' 0', ' 40', ' 0']
['2', ' 15539', ' 1', ' 0', ' 36', ' 99']
['2', ' 15669', ' 1', ' 0', ' 36', ' 0']
['2', ' 15717', ' 1', ' 0', ' 30', ' 88']
['2', ' 15946', ' 1', ' 0', ' 30', ' 0']
['2', ' 15985', ' 1', ' 0', ' 33', ' 52']
['2', ' 16063', ' 1', ' 0', ' 33', ' 0']
['2', ' 16075', ' 1', ' 0', ' 37', ' 99']
['2', ' 16251', ' 1', ' 0', ' 37', ' 0']
['2', ' 16253', ' 1', ' 0', ' 33', ' 71']
['2', ' 16321', ' 1', ' 0', ' 33', ' 0']
['2', ' 16341', ' 1', ' 0', ' 37', ' 88']
['2', ' 16415', ' 1', ' 0', ' 37', ' 0']
['2', ' 16431', ' 1', ' 0', ' 33', ' 113']
['2', ' 16661', ' 1', ' 0', ' 33', ' 0']
['2', ' 16699', ' 1', ' 0', ' 36', ' 113']
['2', ' 16777', ' 1', ' 0', ' 36', ' 0']
['2', ' 16787', ' 1', ' 0', ' 40', ' 88']
['2', ' 16937', ' 1', ' 0', ' 40', ' 0']
['2', ' 16965', ' 1', ' 0', ' 36', ' 99']
['2', ' 17099', ' 1', ' 0', ' 36', ' 0']
['2', ' 17145', ' 1', ' 0', ' 30', ' 88']
['2', ' 17375', ' 1', ' 0', ' 30', ' 0']
['2', ' 17413', ' 1', ' 0', ' 33', ' 52']
