['4', ' 24120', ' 1', ' 0', ' 64', ' 100']
['4', ' 24120', ' 1', ' 0', ' 76', ' 100']
['4', ' 24120', ' 1', ' 0', ' 76', ' 100']
['4', ' 24480', ' 1', ' 0', ' 64', ' 100']
['4', ' 24480', ' 1', ' 0', ' 74', ' 100']
['4', ' 24480', ' 1', ' 0', ' 76', ' 100']
['4', ' 24480', ' 1', ' 0', ' 76', ' 0']
['4', ' 24480', ' 1', ' 0', ' 64', ' 0']
['4', ' 24480', ' 1', ' 0', ' 76', ' 0']
['4', ' 24710', ' 1', ' 0', ' 76', ' 100']
['4', ' 24720', ' 1', ' 0', ' 78', ' 100']
['4', ' 24720', ' 1', ' 0', ' 76', ' 0']
['4', ' 24720', ' 1', ' 0', ' 74', ' 0']
['4', ' 24830', ' 1', ' 0', ' 76', ' 0']
['4', ' 24840', ' 1', ' 0', ' 67', ' 100']
['4', ' 24840', ' 1', ' 0', ' 79', ' 100']
['4', ' 24840', ' 1', ' 0', ' 79', ' 100']
['4', ' 24840', ' 1', ' 0', ' 78', ' 0']
['4', ' 24840', ' 1', ' 0', ' 64', ' 0']
['4', ' 25200', ' 1', ' 0', ' 67', ' 100']
['4', ' 25200', ' 1', ' 0', ' 79', ' 100']
['4', ' 25200', ' 1', ' 0', ' 79', ' 0']
['4', ' 25200', ' 1', ' 0', ' 79', ' 0']
['4', ' 25200', ' 1', ' 0', ' 67', ' 0']
['4', ' 25560', ' 1', ' 0', ' 71', ' 100']
['4', ' 25560', ' 1', ' 0', ' 83', ' 100']
['4', ' 25560', ' 1', ' 0', ' 83', ' 100']
['4', ' 25560', ' 1', ' 0', ' 67', ' 0']
['4', ' 25560', ' 1', ' 0', ' 79', ' 0']
['4', ' 25920', ' 1', ' 0', ' 71', ' 100']
['4', ' 25920', ' 1', ' 0', ' 81', ' 100']
['4', ' 25920', ' 1', ' 0', ' 83', ' 100']
['4', ' 25920', ' 1', ' 0', ' 83', ' 0']
['4', ' 25920', ' 1', ' 0', ' 83', ' 0']
['4', ' 25920', ' 1', ' 0', ' 71', ' 0']
['4', ' 26280', ' 1', ' 0', ' 71', ' 100']
['4', ' 26280', ' 1', ' 0', ' 86', ' 100']
['4', ' 26280', ' 1', ' 0', ' 86', ' 100']
['4', ' 26280', ' 1', ' 0', ' 71', ' 0']
['4', ' 26280', ' 1', ' 0', ' 83', ' 0']
['4', ' 26280', ' 1', ' 0', ' 81', ' 0']
['4', ' 26640', ' 1', ' 0', ' 86', ' 100']
['4', ' 26640', ' 1', ' 0', ' 71', ' 0']
['4', ' 26640', ' 1', ' 0', ' 86', ' 0']
['4', ' 26640', ' 1', ' 0', ' 86', ' 0']
['4', ' 26752', ' 1', ' 0', ' 84', ' 100']
['4', ' 26760', ' 1', ' 0', ' 86', ' 0']
['4', ' 26872', ' 1', ' 0', ' 84', ' 0']
['4', ' 26882', ' 1', ' 0', ' 84', ' 100']
['4', ' 27002', ' 1', ' 0', ' 84', ' 0']
['4', ' 27008', ' 1', ' 0', ' 86', ' 100']
['4', ' 27057', ' 1', ' 0', ' 87', ' 100']
['4', ' 27068', ' 1', ' 0', ' 86', ' 0']
['4', ' 27117', ' 1', ' 0', ' 87', ' 0']
['4', ' 27118', ' 1', ' 0', ' 64', ' 100']
['4', ' 27120', ' 1', ' 0', ' 88', ' 100']
['4', ' 27358', ' 1', ' 0', ' 64', ' 0']
['4', ' 27360', ' 1', ' 0', ' 79', ' 100']
['4', ' 27360', ' 1', ' 0', ' 88', ' 0']
['4', ' 27363', ' 1', ' 0', ' 84', ' 100']
['4', ' 27478', ' 1', ' 0', ' 81', ' 100']
['4', ' 27480', ' 1', ' 0', ' 79', ' 0']
['4', ' 27718', ' 1', ' 0', ' 81', ' 0']
['4', ' 27720', ' 1', ' 0', ' 81', ' 100']
['4', ' 27723', ' 1', ' 0', ' 84', ' 0']
['4', ' 27827', ' 1', ' 0', ' 79', ' 100']
['4', ' 27840', ' 1', ' 0', ' 81', ' 0']
['4', ' 27947', ' 1', ' 0', ' 79', ' 0']
['4', ' 27957', ' 1', ' 0', ' 86', ' 100']
['4', ' 28017', ' 1', ' 0', ' 86', ' 0']
['4', ' 28020', ' 1', ' 0', ' 87', ' 100']
['4', ' 28080', ' 1', ' 0', ' 63', ' 100']
['4', ' 28080', ' 1', ' 0', ' 75', ' 100']
['4', ' 28080', ' 1', ' 0', ' 87', ' 0']
