['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 30']
['2', ' 0', ' 3', ' 0', ' 30']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 104']
['2', ' 0', ' 2', ' 0', ' 7', ' 104']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 0', ' 1', ' 0', ' 52', ' 95']
['2', ' 0', ' 1', ' 0', ' 47', ' 95']
['2', ' 0', ' 1', ' 0', ' 40', ' 95']
['2', ' 480', ' 0', ' 0', ' 52', ' 80']
['2', ' 480', ' 0', ' 0', ' 47', ' 80']
['2', ' 480', ' 0', ' 0', ' 40', ' 80']
['2', ' 480', ' 1', ' 0', ' 54', ' 95']
['2', ' 480', ' 1', ' 0', ' 49', ' 95']
['2', ' 480', ' 1', ' 0', ' 42', ' 95']
['2', ' 960', ' 0', ' 0', ' 54', ' 80']
['2', ' 960', ' 0', ' 0', ' 49', ' 80']
['2', ' 960', ' 0', ' 0', ' 42', ' 80']
['2', ' 960', ' 1', ' 0', ' 54', ' 95']
['2', ' 960', ' 1', ' 0', ' 49', ' 95']
['2', ' 960', ' 1', ' 0', ' 42', ' 95']
['2', ' 1440', ' 0', ' 0', ' 54', ' 80']
['2', ' 1440', ' 0', ' 0', ' 49', ' 80']
['2', ' 1440', ' 0', ' 0', ' 42', ' 80']
['2', ' 1440', ' 1', ' 0', ' 57', ' 95']
['2', ' 1440', ' 1', ' 0', ' 52', ' 95']
['2', ' 1440', ' 1', ' 0', ' 45', ' 95']
['2', ' 1920', ' 0', ' 0', ' 57', ' 80']
['2', ' 1920', ' 0', ' 0', ' 52', ' 80']
['2', ' 1920', ' 0', ' 0', ' 45', ' 80']
['2', ' 1920', ' 1', ' 0', ' 62', ' 95']
['2', ' 1920', ' 1', ' 0', ' 57', ' 95']
['2', ' 1920', ' 1', ' 0', ' 50', ' 95']
['2', ' 3840', ' 0', ' 0', ' 62', ' 80']
['2', ' 3840', ' 0', ' 0', ' 57', ' 80']
