['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 30']
['2', ' 0', ' 3', ' 0', ' 30']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 104']
['2', ' 0', ' 2', ' 0', ' 7', ' 104']
['2', ' 0', ' 2', ' 1', ' 10', ' 0']
['2', ' 0', ' 2', ' 0', ' 10', ' 0']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 9120', ' 1', ' 0', ' 49', ' 95']
['2', ' 9120', ' 1', ' 0', ' 44', ' 95']
['2', ' 9120', ' 1', ' 0', ' 39', ' 95']
['2', ' 9140', ' 0', ' 0', ' 49', ' 80']
['2', ' 9140', ' 0', ' 0', ' 44', ' 80']
['2', ' 9140', ' 0', ' 0', ' 39', ' 80']
['2', ' 9360', ' 1', ' 0', ' 49', ' 95']
['2', ' 9360', ' 1', ' 0', ' 44', ' 95']
['2', ' 9360', ' 1', ' 0', ' 39', ' 95']
['2', ' 9380', ' 0', ' 0', ' 49', ' 80']
['2', ' 9380', ' 0', ' 0', ' 44', ' 80']
['2', ' 9380', ' 0', ' 0', ' 39', ' 80']
['2', ' 9480', ' 1', ' 0', ' 49', ' 95']
['2', ' 9480', ' 1', ' 0', ' 44', ' 95']
['2', ' 9480', ' 1', ' 0', ' 39', ' 95']
['2', ' 9500', ' 0', ' 0', ' 49', ' 80']
['2', ' 9500', ' 0', ' 0', ' 44', ' 80']
['2', ' 9500', ' 0', ' 0', ' 39', ' 80']
['2', ' 9600', ' 1', ' 0', ' 66', ' 95']
['2', ' 9600', ' 1', ' 0', ' 62', ' 95']
['2', ' 9600', ' 1', ' 0', ' 57', ' 95']
['2', ' 9720', ' 0', ' 0', ' 66', ' 80']
['2', ' 9720', ' 0', ' 0', ' 62', ' 80']
['2', ' 9720', ' 0', ' 0', ' 57', ' 80']
['2', ' 9720', ' 1', ' 0', ' 63', ' 76']
['2', ' 9840', ' 0', ' 0', ' 63', ' 80']
['2', ' 9840', ' 1', ' 0', ' 62', ' 95']
['2', ' 9960', ' 0', ' 0', ' 62', ' 80']
