['2', ' 2', ' 2', ' 0', ' 99', ' 1']
['2', ' 2', ' 2', ' 0', ' 98', ' 8']
['2', ' 2', ' 2', ' 0', ' 6', ' 64']
['2', ' 3', ' 2', ' 0', ' 99', ' 1']
['2', ' 3', ' 2', ' 0', ' 98', ' 9']
['2', ' 3', ' 2', ' 0', ' 6', ' 64']
['2', ' 4', ' 2', ' 0', ' 99', ' 1']
['2', ' 4', ' 2', ' 0', ' 98', ' 10']
['2', ' 4', ' 2', ' 0', ' 6', ' 64']
['2', ' 5', ' 2', ' 0', ' 99', ' 1']
['2', ' 5', ' 2', ' 0', ' 98', ' 32']
['2', ' 5', ' 2', ' 0', ' 6', ' 64']
['2', ' 6', ' 2', ' 0', ' 99', ' 1']
['2', ' 6', ' 2', ' 0', ' 98', ' 33']
['2', ' 6', ' 2', ' 0', ' 6', ' 64']
['2', ' 7', ' 2', ' 0', ' 99', ' 1']
['2', ' 7', ' 2', ' 0', ' 98', ' 99']
['2', ' 7', ' 2', ' 0', ' 6', ' 64']
['2', ' 8', ' 2', ' 0', ' 99', ' 1']
['2', ' 8', ' 2', ' 0', ' 98', ' 100']
['2', ' 8', ' 2', ' 0', ' 6', ' 64']
['2', ' 9', ' 2', ' 0', ' 99', ' 1']
['2', ' 9', ' 2', ' 0', ' 98', ' 102']
['2', ' 9', ' 2', ' 0', ' 6', ' 64']
['2', ' 10', ' 2', ' 0', ' 0', ' 0']
['2', ' 11', ' 3', ' 0', ' 0']
['2', ' 12', ' 2', ' 0', ' 101', ' 0']
['2', ' 12', ' 2', ' 0', ' 100', ' 0']
['2', ' 12', ' 2', ' 0', ' 6', ' 2']
['2', ' 2405', ' 2', ' 0', ' 32', ' 0']
['3', ' 1', ' 2', ' 1', ' 99', ' 1']
['3', ' 1', ' 2', ' 1', ' 98', ' 8']
['3', ' 1', ' 2', ' 1', ' 6', ' 64']
['3', ' 2', ' 2', ' 1', ' 99', ' 1']
['3', ' 2', ' 2', ' 1', ' 98', ' 9']
['3', ' 2', ' 2', ' 1', ' 6', ' 64']
['3', ' 3', ' 2', ' 1', ' 99', ' 1']
['3', ' 3', ' 2', ' 1', ' 98', ' 10']
['3', ' 3', ' 2', ' 1', ' 6', ' 64']
['3', ' 4', ' 2', ' 1', ' 99', ' 1']
['3', ' 4', ' 2', ' 1', ' 98', ' 32']
['3', ' 4', ' 2', ' 1', ' 6', ' 64']
['3', ' 5', ' 2', ' 1', ' 99', ' 1']
['3', ' 5', ' 2', ' 1', ' 98', ' 33']
['3', ' 5', ' 2', ' 1', ' 6', ' 64']
['3', ' 6', ' 2', ' 1', ' 99', ' 1']
['3', ' 6', ' 2', ' 1', ' 98', ' 99']
['3', ' 6', ' 2', ' 1', ' 6', ' 64']
['3', ' 7', ' 2', ' 1', ' 99', ' 1']
['3', ' 7', ' 2', ' 1', ' 98', ' 100']
['3', ' 7', ' 2', ' 1', ' 6', ' 64']
['3', ' 8', ' 2', ' 1', ' 99', ' 1']
['3', ' 8', ' 2', ' 1', ' 98', ' 102']
['3', ' 8', ' 2', ' 1', ' 6', ' 64']
['3', ' 9', ' 2', ' 1', ' 0', ' 0']
['3', ' 10', ' 3', ' 1', ' 33']
['3', ' 11', ' 2', ' 1', ' 7', ' 100']
['3', ' 12', ' 2', ' 1', ' 10', ' 64']
['3', ' 13', ' 2', ' 1', ' 91', ' 60']
['3', ' 14', ' 2', ' 1', ' 93', ' 50']
['3', ' 15', ' 2', ' 1', ' 101', ' 0']
['3', ' 15', ' 2', ' 1', ' 100', ' 0']
['3', ' 15', ' 2', ' 1', ' 6', ' 2']
['3', ' 2325', ' 2', ' 1', ' 121', ' 0']
['3', ' 2430', ' 2', ' 1', ' 32', ' 0']
['3', ' 2440', ' 2', ' 1', ' 11', ' 127']
['3', ' 2905', ' 2', ' 1', ' 101', ' 0']
['3', ' 2910', ' 2', ' 1', ' 100', ' 0']
['3', ' 2915', ' 2', ' 1', ' 6', ' 12']
['3', ' 2920', ' 2', ' 1', ' 101', ' 127']
['3', ' 2925', ' 2', ' 1', ' 100', ' 127']
['3', ' 21120', ' 1', ' 1', ' 28', ' 127']
['3', ' 22300', ' 0', ' 1', ' 28', ' 127']
['3', ' 22560', ' 1', ' 1', ' 40', ' 127']
['3', ' 23020', ' 0', ' 1', ' 40', ' 127']
['3', ' 23040', ' 1', ' 1', ' 29', ' 127']
['3', ' 24940', ' 0', ' 1', ' 29', ' 127']
['3', ' 24960', ' 1', ' 1', ' 28', ' 127']
['3', ' 26860', ' 0', ' 1', ' 28', ' 127']
['3', ' 26880', ' 1', ' 1', ' 36', ' 127']
['3', ' 27700', ' 0', ' 1', ' 36', ' 127']
['3', ' 27840', ' 1', ' 1', ' 36', ' 127']
['3', ' 28780', ' 0', ' 1', ' 36', ' 127']
['3', ' 28800', ' 1', ' 1', ' 35', ' 127']
['3', ' 29620', ' 0', ' 1', ' 35', ' 127']
['3', ' 29760', ' 1', ' 1', ' 35', ' 127']
['3', ' 30700', ' 0', ' 1', ' 35', ' 127']
['3', ' 30720', ' 1', ' 1', ' 36', ' 127']
['3', ' 31540', ' 0', ' 1', ' 36', ' 127']
['3', ' 31680', ' 1', ' 1', ' 36', ' 127']
['3', ' 32620', ' 0', ' 1', ' 36', ' 127']
['3', ' 32640', ' 1', ' 1', ' 35', ' 127']
['3', ' 33460', ' 0', ' 1', ' 35', ' 127']
['3', ' 33600', ' 1', ' 1', ' 35', ' 127']
['3', ' 34420', ' 0', ' 1', ' 35', ' 127']
['3', ' 34560', ' 1', ' 1', ' 33', ' 105']
['3', ' 35500', ' 0', ' 1', ' 33', ' 105']
['3', ' 35520', ' 1', ' 1', ' 31', ' 100']
['3', ' 36460', ' 0', ' 1', ' 31', ' 100']
['3', ' 36480', ' 1', ' 1', ' 30', ' 87']
['3', ' 38380', ' 0', ' 1', ' 30', ' 87']
['3', ' 38400', ' 1', ' 1', ' 36', ' 127']
['3', ' 39220', ' 0', ' 1', ' 36', ' 127']
['3', ' 39360', ' 1', ' 1', ' 36', ' 127']
['3', ' 40300', ' 0', ' 1', ' 36', ' 127']
['3', ' 40320', ' 1', ' 1', ' 35', ' 127']
['3', ' 41140', ' 0', ' 1', ' 35', ' 127']
['3', ' 41280', ' 1', ' 1', ' 35', ' 127']
['3', ' 42220', ' 0', ' 1', ' 35', ' 127']
['3', ' 42240', ' 1', ' 1', ' 36', ' 127']
['3', ' 43060', ' 0', ' 1', ' 36', ' 127']
['3', ' 43200', ' 1', ' 1', ' 36', ' 127']
['3', ' 44140', ' 0', ' 1', ' 36', ' 127']
['3', ' 44160', ' 1', ' 1', ' 35', ' 127']
['3', ' 44980', ' 0', ' 1', ' 35', ' 127']
['3', ' 45120', ' 1', ' 1', ' 35', ' 127']
['3', ' 45940', ' 0', ' 1', ' 35', ' 127']
['3', ' 46080', ' 1', ' 1', ' 33', ' 105']
['3', ' 47020', ' 0', ' 1', ' 33', ' 105']
['3', ' 47040', ' 1', ' 1', ' 31', ' 100']
['3', ' 47980', ' 0', ' 1', ' 31', ' 100']
['3', ' 48000', ' 1', ' 1', ' 30', ' 110']
['3', ' 49900', ' 0', ' 1', ' 30', ' 110']
['3', ' 55680', ' 1', ' 1', ' 36', ' 127']
['3', ' 55900', ' 0', ' 1', ' 36', ' 127']
['3', ' 56040', ' 1', ' 1', ' 36', ' 127']
['3', ' 56150', ' 0', ' 1', ' 36', ' 127']
['3', ' 56160', ' 1', ' 1', ' 31', ' 127']
['3', ' 56270', ' 0', ' 1', ' 31', ' 127']
['3', ' 56280', ' 1', ' 1', ' 33', ' 127']
['3', ' 56390', ' 0', ' 1', ' 33', ' 127']
['3', ' 56400', ' 1', ' 1', ' 36', ' 127']
['3', ' 56620', ' 0', ' 1', ' 36', ' 127']
['3', ' 56760', ' 1', ' 1', ' 36', ' 127']
['3', ' 56870', ' 0', ' 1', ' 36', ' 127']
['3', ' 56880', ' 1', ' 1', ' 31', ' 127']
['3', ' 56990', ' 0', ' 1', ' 31', ' 127']
['3', ' 57000', ' 1', ' 1', ' 33', ' 127']
['3', ' 57110', ' 0', ' 1', ' 33', ' 127']
['3', ' 57120', ' 1', ' 1', ' 36', ' 127']
['3', ' 57230', ' 0', ' 1', ' 36', ' 127']
['3', ' 57360', ' 1', ' 1', ' 36', ' 127']
['3', ' 57580', ' 0', ' 1', ' 36', ' 127']
['3', ' 57600', ' 1', ' 1', ' 40', ' 127']
['3', ' 57940', ' 0', ' 1', ' 40', ' 127']
['3', ' 57960', ' 1', ' 1', ' 40', ' 127']
['3', ' 58070', ' 0', ' 1', ' 40', ' 127']
['3', ' 58080', ' 1', ' 1', ' 40', ' 127']
['3', ' 58190', ' 0', ' 1', ' 40', ' 127']
['3', ' 58200', ' 1', ' 1', ' 41', ' 127']
['3', ' 58310', ' 0', ' 1', ' 41', ' 127']
['3', ' 58320', ' 1', ' 1', ' 40', ' 127']
['3', ' 58660', ' 0', ' 1', ' 40', ' 127']
['3', ' 58680', ' 1', ' 1', ' 40', ' 127']
['3', ' 58790', ' 0', ' 1', ' 40', ' 127']
['3', ' 58800', ' 1', ' 1', ' 41', ' 127']
