['2', ' 0', ' 3', ' 9', ' 0']
['2', ' 0', ' 2', ' 9', ' 32', ' 0']
['2', ' 500', ' 2', ' 9', ' 11', ' 127']
['2', ' 520', ' 2', ' 9', ' 1', ' 0']
['2', ' 960', ' 2', ' 9', ' 10', ' 64']
['2', ' 3840', ' 2', ' 9', ' 7', ' 47']
['2', ' 4887', ' 2', ' 9', ' 7', ' 48']
['2', ' 5934', ' 2', ' 9', ' 7', ' 49']
['2', ' 6981', ' 2', ' 9', ' 7', ' 50']
['2', ' 8029', ' 2', ' 9', ' 7', ' 51']
['2', ' 9076', ' 2', ' 9', ' 7', ' 52']
['2', ' 10123', ' 2', ' 9', ' 7', ' 53']
['2', ' 11170', ' 2', ' 9', ' 7', ' 54']
['2', ' 12218', ' 2', ' 9', ' 7', ' 55']
['2', ' 13265', ' 2', ' 9', ' 7', ' 56']
['2', ' 14312', ' 2', ' 9', ' 7', ' 57']
['2', ' 15360', ' 2', ' 9', ' 7', ' 58']
['2', ' 16407', ' 2', ' 9', ' 7', ' 59']
['2', ' 17454', ' 2', ' 9', ' 7', ' 60']
['2', ' 18501', ' 2', ' 9', ' 7', ' 61']
['2', ' 19549', ' 2', ' 9', ' 7', ' 62']
['2', ' 20596', ' 2', ' 9', ' 7', ' 63']
['2', ' 21643', ' 2', ' 9', ' 7', ' 64']
['2', ' 22690', ' 2', ' 9', ' 7', ' 65']
['2', ' 23738', ' 2', ' 9', ' 7', ' 66']
['2', ' 24785', ' 2', ' 9', ' 7', ' 65']
['2', ' 25832', ' 2', ' 9', ' 7', ' 63']
['2', ' 241920', ' 2', ' 9', ' 7', ' 63']
['2', ' 242976', ' 2', ' 9', ' 7', ' 62']
['2', ' 244032', ' 2', ' 9', ' 7', ' 61']
['2', ' 245088', ' 2', ' 9', ' 7', ' 60']
['2', ' 246144', ' 2', ' 9', ' 7', ' 59']
['2', ' 247200', ' 2', ' 9', ' 7', ' 58']
['2', ' 248256', ' 2', ' 9', ' 7', ' 57']
['2', ' 249312', ' 2', ' 9', ' 7', ' 56']
['2', ' 250368', ' 2', ' 9', ' 7', ' 55']
['2', ' 251424', ' 2', ' 9', ' 7', ' 54']
['2', ' 252480', ' 2', ' 9', ' 7', ' 53']
['2', ' 253536', ' 2', ' 9', ' 7', ' 52']
['2', ' 254592', ' 2', ' 9', ' 7', ' 51']
['2', ' 255648', ' 2', ' 9', ' 7', ' 50']
['2', ' 256704', ' 2', ' 9', ' 7', ' 46']
['2', ' 257760', ' 2', ' 9', ' 7', ' 45']
['2', ' 258816', ' 2', ' 9', ' 7', ' 44']
['2', ' 259872', ' 2', ' 9', ' 7', ' 43']
['2', ' 260928', ' 2', ' 9', ' 7', ' 42']
['2', ' 261984', ' 2', ' 9', ' 7', ' 41']
['2', ' 263040', ' 2', ' 9', ' 7', ' 40']
['2', ' 264096', ' 2', ' 9', ' 7', ' 39']
['2', ' 265152', ' 2', ' 9', ' 7', ' 38']
['2', ' 266208', ' 2', ' 9', ' 7', ' 37']
['2', ' 267264', ' 2', ' 9', ' 7', ' 36']
['2', ' 268320', ' 2', ' 9', ' 7', ' 35']
['2', ' 269376', ' 2', ' 9', ' 7', ' 34']
['2', ' 270432', ' 2', ' 9', ' 7', ' 33']
['2', ' 271488', ' 2', ' 9', ' 7', ' 32']
['2', ' 272544', ' 2', ' 9', ' 7', ' 31']
['2', ' 273600', ' 2', ' 9', ' 7', ' 30']
['2', ' 274656', ' 2', ' 9', ' 7', ' 29']
['2', ' 275712', ' 2', ' 9', ' 7', ' 28']
['2', ' 276768', ' 2', ' 9', ' 7', ' 27']
