['4', ' 0', ' 2', ' 2', ' 7', ' 120']
['4', ' 1920', ' 1', ' 2', ' 52', ' 100']
['4', ' 1980', ' 1', ' 2', ' 64', ' 100']
['4', ' 1980', ' 1', ' 2', ' 52', ' 0']
['4', ' 2040', ' 1', ' 2', ' 64', ' 100']
['4', ' 2040', ' 1', ' 2', ' 64', ' 0']
['4', ' 2100', ' 1', ' 2', ' 64', ' 100']
['4', ' 2100', ' 1', ' 2', ' 64', ' 0']
['4', ' 2160', ' 1', ' 2', ' 64', ' 0']
['4', ' 2340', ' 1', ' 2', ' 52', ' 100']
['4', ' 2400', ' 1', ' 2', ' 62', ' 100']
['4', ' 2400', ' 1', ' 2', ' 52', ' 0']
['4', ' 2430', ' 1', ' 2', ' 62', ' 100']
['4', ' 2430', ' 1', ' 2', ' 62', ' 0']
['4', ' 2460', ' 1', ' 2', ' 62', ' 100']
['4', ' 2460', ' 1', ' 2', ' 62', ' 0']
['4', ' 2520', ' 1', ' 2', ' 62', ' 100']
['4', ' 2520', ' 1', ' 2', ' 62', ' 0']
['4', ' 2580', ' 1', ' 2', ' 64', ' 100']
['4', ' 2580', ' 1', ' 2', ' 62', ' 0']
['4', ' 2640', ' 1', ' 2', ' 64', ' 0']
['4', ' 7680', ' 1', ' 2', ' 67', ' 100']
['4', ' 7920', ' 1', ' 2', ' 66', ' 100']
['4', ' 7920', ' 1', ' 2', ' 67', ' 0']
['4', ' 7980', ' 1', ' 2', ' 67', ' 100']
['4', ' 7980', ' 1', ' 2', ' 66', ' 0']
['4', ' 8040', ' 1', ' 2', ' 66', ' 100']
['4', ' 8040', ' 1', ' 2', ' 67', ' 0']
['4', ' 8100', ' 1', ' 2', ' 64', ' 100']
['4', ' 8100', ' 1', ' 2', ' 66', ' 0']
['4', ' 8160', ' 1', ' 2', ' 64', ' 100']
['4', ' 8160', ' 1', ' 2', ' 64', ' 0']
['4', ' 8280', ' 1', ' 2', ' 61', ' 100']
['4', ' 8280', ' 1', ' 2', ' 64', ' 0']
['4', ' 8340', ' 1', ' 2', ' 59', ' 100']
['4', ' 8340', ' 1', ' 2', ' 61', ' 0']
['4', ' 8400', ' 1', ' 2', ' 59', ' 0']
['4', ' 8880', ' 1', ' 2', ' 66', ' 100']
['4', ' 8940', ' 1', ' 2', ' 67', ' 100']
['4', ' 8940', ' 1', ' 2', ' 66', ' 0']
['4', ' 9000', ' 1', ' 2', ' 66', ' 100']
['4', ' 9000', ' 1', ' 2', ' 67', ' 0']
['4', ' 9060', ' 1', ' 2', ' 64', ' 100']
['4', ' 9060', ' 1', ' 2', ' 66', ' 0']
['4', ' 9120', ' 1', ' 2', ' 64', ' 100']
['4', ' 9120', ' 1', ' 2', ' 64', ' 0']
['4', ' 9240', ' 1', ' 2', ' 61', ' 100']
['4', ' 9240', ' 1', ' 2', ' 64', ' 0']
['4', ' 9300', ' 1', ' 2', ' 59', ' 100']
['4', ' 9300', ' 1', ' 2', ' 61', ' 0']
['4', ' 9360', ' 1', ' 2', ' 59', ' 0']
['4', ' 9840', ' 1', ' 2', ' 66', ' 100']
['4', ' 9900', ' 1', ' 2', ' 67', ' 100']
['4', ' 9900', ' 1', ' 2', ' 66', ' 0']
['4', ' 9960', ' 1', ' 2', ' 66', ' 100']
['4', ' 9960', ' 1', ' 2', ' 67', ' 0']
['4', ' 10020', ' 1', ' 2', ' 64', ' 100']
['4', ' 10020', ' 1', ' 2', ' 66', ' 0']
['4', ' 10080', ' 1', ' 2', ' 64', ' 100']
['4', ' 10080', ' 1', ' 2', ' 64', ' 0']
['4', ' 10200', ' 1', ' 2', ' 61', ' 100']
['4', ' 10200', ' 1', ' 2', ' 64', ' 0']
['4', ' 10260', ' 1', ' 2', ' 59', ' 100']
['4', ' 10260', ' 1', ' 2', ' 61', ' 0']
['4', ' 10320', ' 1', ' 2', ' 59', ' 0']
['4', ' 10800', ' 1', ' 2', ' 66', ' 100']
['4', ' 10860', ' 1', ' 2', ' 67', ' 100']
['4', ' 10860', ' 1', ' 2', ' 66', ' 0']
['4', ' 10920', ' 1', ' 2', ' 66', ' 100']
['4', ' 10920', ' 1', ' 2', ' 67', ' 0']
['4', ' 10980', ' 1', ' 2', ' 64', ' 100']
['4', ' 10980', ' 1', ' 2', ' 66', ' 0']
['4', ' 11040', ' 1', ' 2', ' 64', ' 100']
['4', ' 11040', ' 1', ' 2', ' 64', ' 0']
['4', ' 11160', ' 1', ' 2', ' 61', ' 100']
['4', ' 11160', ' 1', ' 2', ' 64', ' 0']
['4', ' 11220', ' 1', ' 2', ' 59', ' 100']
['4', ' 11220', ' 1', ' 2', ' 61', ' 0']
['4', ' 11280', ' 1', ' 2', ' 67', ' 100']
['4', ' 11280', ' 1', ' 2', ' 59', ' 0']
['4', ' 11340', ' 1', ' 2', ' 66', ' 100']
['4', ' 11340', ' 1', ' 2', ' 67', ' 0']
['4', ' 11400', ' 1', ' 2', ' 64', ' 100']
['4', ' 11400', ' 1', ' 2', ' 66', ' 0']
['4', ' 11460', ' 1', ' 2', ' 64', ' 100']
['4', ' 11460', ' 1', ' 2', ' 64', ' 0']
['4', ' 11520', ' 1', ' 2', ' 64', ' 100']
['4', ' 11520', ' 1', ' 2', ' 64', ' 0']
['4', ' 11640', ' 1', ' 2', ' 64', ' 0']
['4', ' 11760', ' 1', ' 2', ' 67', ' 100']
['4', ' 11820', ' 1', ' 2', ' 66', ' 100']
['4', ' 11820', ' 1', ' 2', ' 67', ' 0']
['4', ' 11880', ' 1', ' 2', ' 64', ' 100']
['4', ' 11880', ' 1', ' 2', ' 66', ' 0']
['4', ' 11940', ' 1', ' 2', ' 76', ' 100']
['4', ' 11940', ' 1', ' 2', ' 64', ' 0']
['4', ' 12000', ' 1', ' 2', ' 76', ' 100']
['4', ' 12000', ' 1', ' 2', ' 76', ' 0']
['4', ' 12360', ' 1', ' 2', ' 76', ' 0']
['5', ' 0', ' 2', ' 4', ' 7', ' 90']
['5', ' 0', ' 1', ' 4', ' 64', ' 100']
['5', ' 0', ' 1', ' 4', ' 71', ' 100']
['5', ' 60', ' 1', ' 4', ' 64', ' 100']
['5', ' 60', ' 1', ' 4', ' 71', ' 100']
['5', ' 60', ' 1', ' 4', ' 71', ' 0']
['5', ' 60', ' 1', ' 4', ' 64', ' 0']
['5', ' 120', ' 1', ' 4', ' 66', ' 100']
['5', ' 120', ' 1', ' 4', ' 73', ' 100']
['5', ' 120', ' 1', ' 4', ' 64', ' 0']
['5', ' 120', ' 1', ' 4', ' 71', ' 0']
['5', ' 180', ' 1', ' 4', ' 66', ' 0']
['5', ' 180', ' 1', ' 4', ' 73', ' 0']
['5', ' 240', ' 1', ' 4', ' 67', ' 100']
['5', ' 240', ' 1', ' 4', ' 74', ' 100']
['5', ' 300', ' 1', ' 4', ' 74', ' 0']
['5', ' 300', ' 1', ' 4', ' 67', ' 0']
['5', ' 420', ' 1', ' 4', ' 64', ' 100']
['5', ' 420', ' 1', ' 4', ' 71', ' 100']
['5', ' 480', ' 1', ' 4', ' 64', ' 100']
['5', ' 480', ' 1', ' 4', ' 71', ' 100']
['5', ' 480', ' 1', ' 4', ' 71', ' 0']
['5', ' 480', ' 1', ' 4', ' 64', ' 0']
['5', ' 540', ' 1', ' 4', ' 64', ' 100']
['5', ' 540', ' 1', ' 4', ' 71', ' 100']
['5', ' 540', ' 1', ' 4', ' 64', ' 0']
['5', ' 540', ' 1', ' 4', ' 71', ' 0']
['5', ' 600', ' 1', ' 4', ' 66', ' 100']
['5', ' 600', ' 1', ' 4', ' 73', ' 100']
['5', ' 600', ' 1', ' 4', ' 64', ' 0']
['5', ' 600', ' 1', ' 4', ' 71', ' 0']
['5', ' 660', ' 1', ' 4', ' 66', ' 0']
['5', ' 660', ' 1', ' 4', ' 73', ' 0']
['5', ' 720', ' 1', ' 4', ' 67', ' 100']
['5', ' 720', ' 1', ' 4', ' 74', ' 100']
['5', ' 780', ' 1', ' 4', ' 74', ' 0']
['5', ' 780', ' 1', ' 4', ' 67', ' 0']
['5', ' 840', ' 1', ' 4', ' 66', ' 100']
['5', ' 840', ' 1', ' 4', ' 73', ' 100']
['5', ' 900', ' 1', ' 4', ' 64', ' 100']
['5', ' 900', ' 1', ' 4', ' 71', ' 100']
['5', ' 900', ' 1', ' 4', ' 73', ' 0']
['5', ' 900', ' 1', ' 4', ' 66', ' 0']
['5', ' 960', ' 1', ' 4', ' 64', ' 100']
['5', ' 960', ' 1', ' 4', ' 71', ' 100']
['5', ' 960', ' 1', ' 4', ' 64', ' 0']
['5', ' 960', ' 1', ' 4', ' 71', ' 0']
['5', ' 1020', ' 1', ' 4', ' 64', ' 100']
['5', ' 1020', ' 1', ' 4', ' 71', ' 100']
['5', ' 1020', ' 1', ' 4', ' 64', ' 0']
['5', ' 1020', ' 1', ' 4', ' 71', ' 0']
['5', ' 1080', ' 1', ' 4', ' 66', ' 100']
['5', ' 1080', ' 1', ' 4', ' 73', ' 100']
['5', ' 1080', ' 1', ' 4', ' 64', ' 0']
['5', ' 1080', ' 1', ' 4', ' 71', ' 0']
['5', ' 1140', ' 1', ' 4', ' 66', ' 0']
['5', ' 1140', ' 1', ' 4', ' 73', ' 0']
['5', ' 1200', ' 1', ' 4', ' 67', ' 100']
['5', ' 1200', ' 1', ' 4', ' 74', ' 100']
['5', ' 1260', ' 1', ' 4', ' 74', ' 0']
['5', ' 1260', ' 1', ' 4', ' 67', ' 0']
['5', ' 1380', ' 1', ' 4', ' 64', ' 100']
['5', ' 1380', ' 1', ' 4', ' 71', ' 100']
['5', ' 1440', ' 1', ' 4', ' 64', ' 100']
['5', ' 1440', ' 1', ' 4', ' 71', ' 100']
['5', ' 1440', ' 1', ' 4', ' 71', ' 0']
['5', ' 1440', ' 1', ' 4', ' 64', ' 0']
['5', ' 1500', ' 1', ' 4', ' 64', ' 100']
['5', ' 1500', ' 1', ' 4', ' 71', ' 100']
['5', ' 1500', ' 1', ' 4', ' 64', ' 0']
['5', ' 1500', ' 1', ' 4', ' 71', ' 0']
['5', ' 1560', ' 1', ' 4', ' 66', ' 100']
['5', ' 1560', ' 1', ' 4', ' 73', ' 100']
['5', ' 1560', ' 1', ' 4', ' 64', ' 0']
['5', ' 1560', ' 1', ' 4', ' 71', ' 0']
['5', ' 1620', ' 1', ' 4', ' 66', ' 0']
['5', ' 1620', ' 1', ' 4', ' 73', ' 0']
['5', ' 1680', ' 1', ' 4', ' 74', ' 100']
['5', ' 1680', ' 1', ' 4', ' 66', ' 100']
['5', ' 1680', ' 1', ' 4', ' 64', ' 100']
['5', ' 1680', ' 1', ' 4', ' 69', ' 100']
['5', ' 1800', ' 1', ' 4', ' 61', ' 100']
['5', ' 1800', ' 1', ' 4', ' 64', ' 100']
['5', ' 1800', ' 1', ' 4', ' 69', ' 100']
['5', ' 1800', ' 1', ' 4', ' 73', ' 100']
['5', ' 1800', ' 1', ' 4', ' 69', ' 0']
['5', ' 1800', ' 1', ' 4', ' 64', ' 0']
['5', ' 1800', ' 1', ' 4', ' 74', ' 0']
['5', ' 1800', ' 1', ' 4', ' 66', ' 0']
['5', ' 1920', ' 1', ' 4', ' 64', ' 100']
['5', ' 1920', ' 1', ' 4', ' 71', ' 100']
['5', ' 1920', ' 1', ' 4', ' 61', ' 0']
['5', ' 1920', ' 1', ' 4', ' 69', ' 0']
['5', ' 1920', ' 1', ' 4', ' 73', ' 0']
['5', ' 1920', ' 1', ' 4', ' 64', ' 0']
['5', ' 1980', ' 1', ' 4', ' 64', ' 100']
['5', ' 1980', ' 1', ' 4', ' 71', ' 100']
['5', ' 1980', ' 1', ' 4', ' 71', ' 0']
['5', ' 1980', ' 1', ' 4', ' 64', ' 0']
['5', ' 2040', ' 1', ' 4', ' 66', ' 100']
['5', ' 2040', ' 1', ' 4', ' 73', ' 100']
['5', ' 2040', ' 1', ' 4', ' 64', ' 0']
['5', ' 2040', ' 1', ' 4', ' 71', ' 0']
['5', ' 2100', ' 1', ' 4', ' 66', ' 0']
['5', ' 2100', ' 1', ' 4', ' 73', ' 0']
['5', ' 2160', ' 1', ' 4', ' 67', ' 100']
['5', ' 2160', ' 1', ' 4', ' 74', ' 100']
['5', ' 2220', ' 1', ' 4', ' 74', ' 0']
['5', ' 2220', ' 1', ' 4', ' 67', ' 0']
['5', ' 2340', ' 1', ' 4', ' 64', ' 100']
['5', ' 2340', ' 1', ' 4', ' 71', ' 100']
['5', ' 2400', ' 1', ' 4', ' 64', ' 100']
['5', ' 2400', ' 1', ' 4', ' 71', ' 100']
['5', ' 2400', ' 1', ' 4', ' 71', ' 0']
['5', ' 2400', ' 1', ' 4', ' 64', ' 0']
['5', ' 2460', ' 1', ' 4', ' 64', ' 100']
['5', ' 2460', ' 1', ' 4', ' 71', ' 100']
['5', ' 2460', ' 1', ' 4', ' 64', ' 0']
['5', ' 2460', ' 1', ' 4', ' 71', ' 0']
['5', ' 2520', ' 1', ' 4', ' 66', ' 100']
['5', ' 2520', ' 1', ' 4', ' 73', ' 100']
['5', ' 2520', ' 1', ' 4', ' 64', ' 0']
['5', ' 2520', ' 1', ' 4', ' 71', ' 0']
['5', ' 2580', ' 1', ' 4', ' 66', ' 0']
['5', ' 2580', ' 1', ' 4', ' 73', ' 0']
['5', ' 2640', ' 1', ' 4', ' 74', ' 100']
['5', ' 2640', ' 1', ' 4', ' 66', ' 100']
['5', ' 2640', ' 1', ' 4', ' 64', ' 100']
['5', ' 2640', ' 1', ' 4', ' 69', ' 100']
['5', ' 2760', ' 1', ' 4', ' 61', ' 100']
['5', ' 2760', ' 1', ' 4', ' 64', ' 100']
['5', ' 2760', ' 1', ' 4', ' 69', ' 100']
['5', ' 2760', ' 1', ' 4', ' 73', ' 100']
['5', ' 2760', ' 1', ' 4', ' 69', ' 0']
['5', ' 2760', ' 1', ' 4', ' 64', ' 0']
['5', ' 2760', ' 1', ' 4', ' 74', ' 0']
['5', ' 2760', ' 1', ' 4', ' 66', ' 0']
['5', ' 2880', ' 1', ' 4', ' 64', ' 100']
['5', ' 2880', ' 1', ' 4', ' 71', ' 100']
['5', ' 2880', ' 1', ' 4', ' 61', ' 0']
['5', ' 2880', ' 1', ' 4', ' 69', ' 0']
['5', ' 2880', ' 1', ' 4', ' 73', ' 0']
['5', ' 2880', ' 1', ' 4', ' 64', ' 0']
['5', ' 2940', ' 1', ' 4', ' 64', ' 100']
['5', ' 2940', ' 1', ' 4', ' 71', ' 100']
['5', ' 2940', ' 1', ' 4', ' 71', ' 0']
['5', ' 2940', ' 1', ' 4', ' 64', ' 0']
['5', ' 3000', ' 1', ' 4', ' 66', ' 100']
['5', ' 3000', ' 1', ' 4', ' 73', ' 100']
['5', ' 3000', ' 1', ' 4', ' 64', ' 0']
['5', ' 3000', ' 1', ' 4', ' 71', ' 0']
['5', ' 3060', ' 1', ' 4', ' 66', ' 0']
['5', ' 3060', ' 1', ' 4', ' 73', ' 0']
['5', ' 3120', ' 1', ' 4', ' 67', ' 100']
['5', ' 3120', ' 1', ' 4', ' 74', ' 100']
['5', ' 3180', ' 1', ' 4', ' 74', ' 0']
['5', ' 3180', ' 1', ' 4', ' 67', ' 0']
['5', ' 3300', ' 1', ' 4', ' 64', ' 100']
['5', ' 3300', ' 1', ' 4', ' 71', ' 100']
['5', ' 3360', ' 1', ' 4', ' 64', ' 100']
['5', ' 3360', ' 1', ' 4', ' 71', ' 100']
['5', ' 3360', ' 1', ' 4', ' 71', ' 0']
['5', ' 3360', ' 1', ' 4', ' 64', ' 0']
['5', ' 3420', ' 1', ' 4', ' 64', ' 100']
['5', ' 3420', ' 1', ' 4', ' 71', ' 100']
['5', ' 3420', ' 1', ' 4', ' 64', ' 0']
['5', ' 3420', ' 1', ' 4', ' 71', ' 0']
['5', ' 3480', ' 1', ' 4', ' 66', ' 100']
['5', ' 3480', ' 1', ' 4', ' 73', ' 100']
['5', ' 3480', ' 1', ' 4', ' 64', ' 0']
['5', ' 3480', ' 1', ' 4', ' 71', ' 0']
['5', ' 3540', ' 1', ' 4', ' 66', ' 0']
['5', ' 3540', ' 1', ' 4', ' 73', ' 0']
['5', ' 3600', ' 1', ' 4', ' 74', ' 100']
['5', ' 3600', ' 1', ' 4', ' 66', ' 100']
['5', ' 3600', ' 1', ' 4', ' 64', ' 100']
['5', ' 3600', ' 1', ' 4', ' 69', ' 100']
['5', ' 3720', ' 1', ' 4', ' 61', ' 100']
['5', ' 3720', ' 1', ' 4', ' 64', ' 100']
['5', ' 3720', ' 1', ' 4', ' 69', ' 100']
['5', ' 3720', ' 1', ' 4', ' 73', ' 100']
['5', ' 3720', ' 1', ' 4', ' 69', ' 0']
['5', ' 3720', ' 1', ' 4', ' 64', ' 0']
['5', ' 3720', ' 1', ' 4', ' 74', ' 0']
['5', ' 3720', ' 1', ' 4', ' 66', ' 0']
['5', ' 3840', ' 1', ' 4', ' 64', ' 100']
['5', ' 3840', ' 1', ' 4', ' 71', ' 100']
['5', ' 3840', ' 1', ' 4', ' 61', ' 0']
['5', ' 3840', ' 1', ' 4', ' 69', ' 0']
['5', ' 3840', ' 1', ' 4', ' 73', ' 0']
['5', ' 3840', ' 1', ' 4', ' 64', ' 0']
['5', ' 3900', ' 1', ' 4', ' 64', ' 100']
['5', ' 3900', ' 1', ' 4', ' 71', ' 100']
['5', ' 3900', ' 1', ' 4', ' 71', ' 0']
['5', ' 3900', ' 1', ' 4', ' 64', ' 0']
['5', ' 3960', ' 1', ' 4', ' 66', ' 100']
['5', ' 3960', ' 1', ' 4', ' 73', ' 100']
['5', ' 3960', ' 1', ' 4', ' 64', ' 0']
['5', ' 3960', ' 1', ' 4', ' 71', ' 0']
['5', ' 4020', ' 1', ' 4', ' 66', ' 0']
['5', ' 4020', ' 1', ' 4', ' 73', ' 0']
['5', ' 4080', ' 1', ' 4', ' 67', ' 100']
['5', ' 4080', ' 1', ' 4', ' 74', ' 100']
['5', ' 4140', ' 1', ' 4', ' 74', ' 0']
['5', ' 4140', ' 1', ' 4', ' 67', ' 0']
['5', ' 4260', ' 1', ' 4', ' 64', ' 100']
['5', ' 4260', ' 1', ' 4', ' 71', ' 100']
['5', ' 4320', ' 1', ' 4', ' 64', ' 100']
['5', ' 4320', ' 1', ' 4', ' 71', ' 100']
['5', ' 4320', ' 1', ' 4', ' 71', ' 0']
['5', ' 4320', ' 1', ' 4', ' 64', ' 0']
['5', ' 4380', ' 1', ' 4', ' 64', ' 100']
['5', ' 4380', ' 1', ' 4', ' 71', ' 100']
['5', ' 4380', ' 1', ' 4', ' 64', ' 0']
['5', ' 4380', ' 1', ' 4', ' 71', ' 0']
['5', ' 4440', ' 1', ' 4', ' 66', ' 100']
['5', ' 4440', ' 1', ' 4', ' 73', ' 100']
['5', ' 4440', ' 1', ' 4', ' 64', ' 0']
['5', ' 4440', ' 1', ' 4', ' 71', ' 0']
['5', ' 4500', ' 1', ' 4', ' 66', ' 0']
['5', ' 4500', ' 1', ' 4', ' 73', ' 0']
['5', ' 4560', ' 1', ' 4', ' 74', ' 100']
['5', ' 4560', ' 1', ' 4', ' 66', ' 100']
['5', ' 4560', ' 1', ' 4', ' 64', ' 100']
['5', ' 4560', ' 1', ' 4', ' 69', ' 100']
['5', ' 4680', ' 1', ' 4', ' 61', ' 100']
['5', ' 4680', ' 1', ' 4', ' 64', ' 100']
['5', ' 4680', ' 1', ' 4', ' 69', ' 100']
['5', ' 4680', ' 1', ' 4', ' 73', ' 100']
['5', ' 4680', ' 1', ' 4', ' 69', ' 0']
['5', ' 4680', ' 1', ' 4', ' 64', ' 0']
['5', ' 4680', ' 1', ' 4', ' 74', ' 0']
['5', ' 4680', ' 1', ' 4', ' 66', ' 0']
['5', ' 4800', ' 1', ' 4', ' 64', ' 100']
['5', ' 4800', ' 1', ' 4', ' 71', ' 100']
['5', ' 4800', ' 1', ' 4', ' 61', ' 0']
['5', ' 4800', ' 1', ' 4', ' 69', ' 0']
['5', ' 4800', ' 1', ' 4', ' 73', ' 0']
['5', ' 4800', ' 1', ' 4', ' 64', ' 0']
['5', ' 4860', ' 1', ' 4', ' 64', ' 100']
['5', ' 4860', ' 1', ' 4', ' 71', ' 100']
['5', ' 4860', ' 1', ' 4', ' 71', ' 0']
['5', ' 4860', ' 1', ' 4', ' 64', ' 0']
['5', ' 4920', ' 1', ' 4', ' 66', ' 100']
['5', ' 4920', ' 1', ' 4', ' 73', ' 100']
['5', ' 4920', ' 1', ' 4', ' 64', ' 0']
['5', ' 4920', ' 1', ' 4', ' 71', ' 0']
['5', ' 4980', ' 1', ' 4', ' 66', ' 0']
['5', ' 4980', ' 1', ' 4', ' 73', ' 0']
['5', ' 5040', ' 1', ' 4', ' 67', ' 100']
['5', ' 5040', ' 1', ' 4', ' 74', ' 100']
['5', ' 5100', ' 1', ' 4', ' 74', ' 0']
['5', ' 5100', ' 1', ' 4', ' 67', ' 0']
['5', ' 5220', ' 1', ' 4', ' 64', ' 100']
['5', ' 5220', ' 1', ' 4', ' 71', ' 100']
['5', ' 5280', ' 1', ' 4', ' 64', ' 100']
['5', ' 5280', ' 1', ' 4', ' 71', ' 100']
['5', ' 5280', ' 1', ' 4', ' 71', ' 0']
['5', ' 5280', ' 1', ' 4', ' 64', ' 0']
['5', ' 5340', ' 1', ' 4', ' 64', ' 100']
['5', ' 5340', ' 1', ' 4', ' 71', ' 100']
['5', ' 5340', ' 1', ' 4', ' 64', ' 0']
['5', ' 5340', ' 1', ' 4', ' 71', ' 0']
['5', ' 5400', ' 1', ' 4', ' 66', ' 100']
['5', ' 5400', ' 1', ' 4', ' 73', ' 100']
['5', ' 5400', ' 1', ' 4', ' 64', ' 0']
['5', ' 5400', ' 1', ' 4', ' 71', ' 0']
['5', ' 5460', ' 1', ' 4', ' 66', ' 0']
['5', ' 5460', ' 1', ' 4', ' 73', ' 0']
['5', ' 5520', ' 1', ' 4', ' 74', ' 100']
['5', ' 5520', ' 1', ' 4', ' 66', ' 100']
['5', ' 5520', ' 1', ' 4', ' 64', ' 100']
['5', ' 5520', ' 1', ' 4', ' 69', ' 100']
['5', ' 5640', ' 1', ' 4', ' 61', ' 100']
['5', ' 5640', ' 1', ' 4', ' 64', ' 100']
['5', ' 5640', ' 1', ' 4', ' 69', ' 100']
['5', ' 5640', ' 1', ' 4', ' 73', ' 100']
['5', ' 5640', ' 1', ' 4', ' 69', ' 0']
['5', ' 5640', ' 1', ' 4', ' 64', ' 0']
['5', ' 5640', ' 1', ' 4', ' 74', ' 0']
['5', ' 5640', ' 1', ' 4', ' 66', ' 0']
['5', ' 5760', ' 1', ' 4', ' 61', ' 0']
['5', ' 5760', ' 1', ' 4', ' 73', ' 0']
['5', ' 5760', ' 1', ' 4', ' 64', ' 0']
['5', ' 5760', ' 1', ' 4', ' 69', ' 0']
['5', ' 5880', ' 1', ' 4', ' 67', ' 100']
['5', ' 5880', ' 1', ' 4', ' 72', ' 100']
['5', ' 5880', ' 1', ' 4', ' 64', ' 100']
['5', ' 5880', ' 1', ' 4', ' 76', ' 100']
['5', ' 6240', ' 1', ' 4', ' 76', ' 0']
['5', ' 6240', ' 1', ' 4', ' 67', ' 0']
['5', ' 6240', ' 1', ' 4', ' 72', ' 0']
['5', ' 6240', ' 1', ' 4', ' 64', ' 0']
['5', ' 6360', ' 1', ' 4', ' 62', ' 100']
['5', ' 6360', ' 1', ' 4', ' 67', ' 100']
['5', ' 6360', ' 1', ' 4', ' 74', ' 100']
['5', ' 6360', ' 1', ' 4', ' 71', ' 100']
['5', ' 6720', ' 1', ' 4', ' 71', ' 0']
['5', ' 6720', ' 1', ' 4', ' 62', ' 0']
['5', ' 6720', ' 1', ' 4', ' 67', ' 0']
['5', ' 6720', ' 1', ' 4', ' 74', ' 0']
['5', ' 6840', ' 1', ' 4', ' 64', ' 100']
['5', ' 6840', ' 1', ' 4', ' 69', ' 100']
['5', ' 6840', ' 1', ' 4', ' 73', ' 100']
['5', ' 6840', ' 1', ' 4', ' 76', ' 100']
