['2', ' 0', ' 3', ' 2', ' 52']
['2', ' 0', ' 2', ' 2', ' 7', ' 120']
['2', ' 0', ' 2', ' 2', ' 10', ' 64']
['2', ' 38784', ' 1', ' 2', ' 69', ' 110']
['2', ' 39040', ' 1', ' 2', ' 69', ' 0']
['2', ' 39072', ' 1', ' 2', ' 66', ' 110']
['2', ' 39406', ' 1', ' 2', ' 66', ' 0']
['2', ' 39408', ' 1', ' 2', ' 64', ' 110']
['2', ' 39646', ' 1', ' 2', ' 64', ' 0']
['2', ' 39648', ' 1', ' 2', ' 62', ' 110']
['2', ' 39904', ' 1', ' 2', ' 62', ' 0']
['2', ' 39936', ' 1', ' 2', ' 64', ' 110']
['2', ' 41232', ' 1', ' 2', ' 64', ' 0']
['2', ' 41856', ' 1', ' 2', ' 69', ' 110']
['2', ' 42112', ' 1', ' 2', ' 69', ' 0']
['2', ' 42144', ' 1', ' 2', ' 66', ' 110']
['2', ' 42478', ' 1', ' 2', ' 66', ' 0']
['2', ' 42480', ' 1', ' 2', ' 64', ' 110']
['2', ' 42718', ' 1', ' 2', ' 64', ' 0']
['2', ' 42720', ' 1', ' 2', ' 62', ' 110']
['2', ' 42976', ' 1', ' 2', ' 62', ' 0']
['2', ' 43008', ' 1', ' 2', ' 64', ' 110']
['2', ' 44304', ' 1', ' 2', ' 64', ' 0']
['2', ' 63360', ' 1', ' 2', ' 69', ' 110']
['2', ' 63616', ' 1', ' 2', ' 69', ' 0']
['2', ' 63648', ' 1', ' 2', ' 66', ' 110']
['2', ' 63982', ' 1', ' 2', ' 66', ' 0']
['2', ' 63984', ' 1', ' 2', ' 64', ' 110']
['2', ' 64222', ' 1', ' 2', ' 64', ' 0']
['2', ' 64224', ' 1', ' 2', ' 62', ' 110']
['2', ' 64480', ' 1', ' 2', ' 62', ' 0']
['2', ' 64512', ' 1', ' 2', ' 64', ' 110']
['2', ' 65808', ' 1', ' 2', ' 64', ' 0']
['2', ' 66432', ' 1', ' 2', ' 69', ' 110']
['2', ' 66688', ' 1', ' 2', ' 69', ' 0']
['2', ' 66720', ' 1', ' 2', ' 66', ' 110']
['2', ' 67054', ' 1', ' 2', ' 66', ' 0']
['2', ' 67056', ' 1', ' 2', ' 64', ' 110']
['2', ' 67294', ' 1', ' 2', ' 64', ' 0']
['2', ' 67296', ' 1', ' 2', ' 62', ' 110']
['2', ' 67552', ' 1', ' 2', ' 62', ' 0']
['2', ' 67584', ' 1', ' 2', ' 64', ' 110']
['2', ' 68880', ' 1', ' 2', ' 64', ' 0']
['2', ' 69504', ' 1', ' 2', ' 69', ' 110']
['2', ' 69760', ' 1', ' 2', ' 69', ' 0']
['2', ' 69792', ' 1', ' 2', ' 66', ' 110']
['2', ' 70126', ' 1', ' 2', ' 66', ' 0']
['2', ' 70128', ' 1', ' 2', ' 64', ' 110']
['2', ' 70366', ' 1', ' 2', ' 64', ' 0']
['2', ' 70368', ' 1', ' 2', ' 62', ' 110']
['2', ' 70624', ' 1', ' 2', ' 62', ' 0']
['2', ' 70656', ' 1', ' 2', ' 64', ' 110']
['2', ' 71952', ' 1', ' 2', ' 64', ' 0']
['2', ' 72576', ' 1', ' 2', ' 69', ' 110']
['2', ' 72832', ' 1', ' 2', ' 69', ' 0']
['2', ' 72864', ' 1', ' 2', ' 66', ' 110']
['2', ' 73198', ' 1', ' 2', ' 66', ' 0']
['2', ' 73200', ' 1', ' 2', ' 64', ' 110']
['2', ' 73438', ' 1', ' 2', ' 64', ' 0']
['2', ' 73440', ' 1', ' 2', ' 62', ' 110']
['2', ' 73696', ' 1', ' 2', ' 62', ' 0']
['2', ' 73728', ' 1', ' 2', ' 64', ' 110']
