['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 29']
['2', ' 0', ' 3', ' 0', ' 29']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 40']
['2', ' 0', ' 2', ' 0', ' 7', ' 40']
['2', ' 0', ' 2', ' 1', ' 10', ' 24']
['2', ' 0', ' 2', ' 0', ' 10', ' 24']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 1920', ' 1', ' 0', ' 57', ' 95']
['2', ' 1920', ' 1', ' 0', ' 52', ' 95']
['2', ' 1920', ' 1', ' 0', ' 45', ' 95']
['2', ' 2160', ' 0', ' 0', ' 57', ' 80']
['2', ' 2160', ' 0', ' 0', ' 52', ' 80']
['2', ' 2160', ' 0', ' 0', ' 45', ' 80']
['2', ' 2160', ' 1', ' 0', ' 57', ' 95']
['2', ' 2160', ' 1', ' 0', ' 52', ' 95']
['2', ' 2160', ' 1', ' 0', ' 45', ' 95']
['2', ' 2400', ' 0', ' 0', ' 57', ' 80']
['2', ' 2400', ' 0', ' 0', ' 52', ' 80']
['2', ' 2400', ' 0', ' 0', ' 45', ' 80']
['2', ' 2400', ' 1', ' 0', ' 57', ' 95']
['2', ' 2400', ' 1', ' 0', ' 52', ' 95']
['2', ' 2400', ' 1', ' 0', ' 45', ' 95']
['2', ' 2640', ' 0', ' 0', ' 57', ' 80']
['2', ' 2640', ' 0', ' 0', ' 52', ' 80']
['2', ' 2640', ' 0', ' 0', ' 45', ' 80']
['2', ' 2640', ' 1', ' 0', ' 57', ' 95']
['2', ' 2640', ' 1', ' 0', ' 52', ' 95']
['2', ' 2640', ' 1', ' 0', ' 45', ' 95']
['2', ' 2880', ' 0', ' 0', ' 57', ' 80']
['2', ' 2880', ' 0', ' 0', ' 52', ' 80']
['2', ' 2880', ' 0', ' 0', ' 45', ' 80']
['2', ' 2880', ' 1', ' 0', ' 57', ' 95']
['2', ' 2880', ' 1', ' 0', ' 52', ' 95']
['2', ' 2880', ' 1', ' 0', ' 45', ' 95']
['2', ' 3120', ' 0', ' 0', ' 57', ' 80']
