['3', ' 0', ' 2', ' 4', ' 10', ' 64']
['3', ' 0', ' 2', ' 4', ' 7', ' 100']
['3', ' 0', ' 2', ' 4', ' 101', ' 0']
['3', ' 0', ' 2', ' 4', ' 100', ' 0']
['3', ' 0', ' 2', ' 4', ' 6', ' 12']
['3', ' 0', ' 2', ' 4', ' 10', ' 64']
['3', ' 0', ' 2', ' 4', ' 7', ' 100']
['3', ' 0', ' 3', ' 4', ' 117']
['3', ' 0', ' 2', ' 4', ' 101', ' 0']
['3', ' 0', ' 2', ' 4', ' 100', ' 0']
['3', ' 0', ' 2', ' 4', ' 6', ' 12']
['3', ' 0', ' 2', ' 4', ' 10', ' 64']
['3', ' 0', ' 2', ' 4', ' 7', ' 100']
['3', ' 0', ' 3', ' 4', ' 117']
['3', ' 0', ' 2', ' 4', ' 101', ' 0']
['3', ' 0', ' 2', ' 4', ' 100', ' 0']
['3', ' 0', ' 2', ' 4', ' 6', ' 12']
['3', ' 0', ' 2', ' 4', ' 10', ' 64']
['3', ' 0', ' 2', ' 4', ' 7', ' 100']
['3', ' 0', ' 3', ' 4', ' 117']
['3', ' 2688', ' 1', ' 4', ' 72', ' 100']
['3', ' 2784', ' 0', ' 4', ' 72', ' 64']
['3', ' 2784', ' 1', ' 4', ' 72', ' 100']
['3', ' 2880', ' 0', ' 4', ' 72', ' 64']
['3', ' 2880', ' 1', ' 4', ' 72', ' 100']
['3', ' 2976', ' 0', ' 4', ' 72', ' 64']
['3', ' 2976', ' 1', ' 4', ' 72', ' 100']
['3', ' 3072', ' 0', ' 4', ' 72', ' 64']
['3', ' 3072', ' 1', ' 4', ' 72', ' 100']
['3', ' 3168', ' 0', ' 4', ' 72', ' 64']
['3', ' 3168', ' 1', ' 4', ' 72', ' 100']
['3', ' 3264', ' 0', ' 4', ' 72', ' 64']
['3', ' 3264', ' 1', ' 4', ' 72', ' 100']
['3', ' 3360', ' 0', ' 4', ' 72', ' 64']
['3', ' 3360', ' 1', ' 4', ' 72', ' 100']
['3', ' 3456', ' 0', ' 4', ' 72', ' 64']
['3', ' 3456', ' 1', ' 4', ' 72', ' 100']
['3', ' 3552', ' 0', ' 4', ' 72', ' 64']
['3', ' 3552', ' 1', ' 4', ' 72', ' 100']
['3', ' 3648', ' 0', ' 4', ' 72', ' 64']
['3', ' 3648', ' 1', ' 4', ' 72', ' 100']
['3', ' 3744', ' 0', ' 4', ' 72', ' 64']
['3', ' 3744', ' 1', ' 4', ' 72', ' 100']
['3', ' 3840', ' 0', ' 4', ' 72', ' 64']
['3', ' 3840', ' 1', ' 4', ' 72', ' 100']
['3', ' 3936', ' 0', ' 4', ' 72', ' 64']
['3', ' 3936', ' 1', ' 4', ' 72', ' 100']
['3', ' 4032', ' 0', ' 4', ' 72', ' 64']
