['16', ' 0', ' 3', ' 1', ' 77']
['16', ' 0', ' 2', ' 1', ' 7', ' 127']
['16', ' 0', ' 2', ' 1', ' 10', ' 64']
['16', ' 0', ' 2', ' 1', ' 64', ' 0']
['16', ' 192', ' 2', ' 1', ' 7', ' 127']
['16', ' 5952', ' 1', ' 1', ' 64', ' 79']
['16', ' 6016', ' 0', ' 1', ' 64', ' 79']
['16', ' 6048', ' 1', ' 1', ' 69', ' 79']
['16', ' 6272', ' 0', ' 1', ' 69', ' 79']
['16', ' 6432', ' 1', ' 1', ' 71', ' 79']
['16', ' 6592', ' 0', ' 1', ' 71', ' 79']
['16', ' 6624', ' 1', ' 1', ' 72', ' 79']
['16', ' 6784', ' 0', ' 1', ' 72', ' 79']
['16', ' 6816', ' 1', ' 1', ' 69', ' 79']
['16', ' 7040', ' 0', ' 1', ' 69', ' 79']
['16', ' 7296', ' 1', ' 1', ' 71', ' 79']
['16', ' 7360', ' 0', ' 1', ' 71', ' 79']
['16', ' 7392', ' 1', ' 1', ' 72', ' 79']
['16', ' 7552', ' 0', ' 1', ' 72', ' 79']
['16', ' 7584', ' 1', ' 1', ' 69', ' 79']
['16', ' 7808', ' 0', ' 1', ' 69', ' 79']
['16', ' 7968', ' 1', ' 1', ' 71', ' 79']
['16', ' 8128', ' 0', ' 1', ' 71', ' 79']
['16', ' 8160', ' 1', ' 1', ' 72', ' 79']
['16', ' 8320', ' 0', ' 1', ' 72', ' 79']
['16', ' 8352', ' 1', ' 1', ' 74', ' 79']
['16', ' 8416', ' 0', ' 1', ' 74', ' 79']
['16', ' 8448', ' 1', ' 1', ' 72', ' 79']
['16', ' 8576', ' 0', ' 1', ' 72', ' 79']
['16', ' 9408', ' 1', ' 1', ' 76', ' 79']
['16', ' 9536', ' 0', ' 1', ' 76', ' 79']
['16', ' 9600', ' 1', ' 1', ' 72', ' 79']
['16', ' 9696', ' 0', ' 1', ' 72', ' 79']
['16', ' 9696', ' 1', ' 1', ' 71', ' 79']
['16', ' 9760', ' 0', ' 1', ' 71', ' 79']
['16', ' 9792', ' 1', ' 1', ' 69', ' 79']
['16', ' 9856', ' 0', ' 1', ' 69', ' 79']
['16', ' 9888', ' 1', ' 1', ' 71', ' 79']
['16', ' 10112', ' 0', ' 1', ' 71', ' 79']
['16', ' 10272', ' 1', ' 1', ' 69', ' 79']
['16', ' 10432', ' 0', ' 1', ' 69', ' 79']
['16', ' 10464', ' 1', ' 1', ' 67', ' 79']
['16', ' 10624', ' 0', ' 1', ' 67', ' 79']
['16', ' 10656', ' 1', ' 1', ' 69', ' 79']
['16', ' 10704', ' 0', ' 1', ' 69', ' 79']
['16', ' 10704', ' 1', ' 1', ' 71', ' 79']
['16', ' 10752', ' 0', ' 1', ' 71', ' 79']
['16', ' 10752', ' 1', ' 1', ' 69', ' 79']
['16', ' 11004', ' 0', ' 1', ' 69', ' 79']
['16', ' 12096', ' 1', ' 1', ' 64', ' 79']
['16', ' 12160', ' 0', ' 1', ' 64', ' 79']
['16', ' 12192', ' 1', ' 1', ' 69', ' 79']
['16', ' 12192', ' 1', ' 1', ' 72', ' 79']
['16', ' 12416', ' 0', ' 1', ' 72', ' 79']
['16', ' 12416', ' 0', ' 1', ' 69', ' 79']
['16', ' 12576', ' 1', ' 1', ' 71', ' 79']
