['2', ' 2880', ' 2', ' 0', ' 0', ' 0']
['2', ' 2882', ' 2', ' 0', ' 32', ' 0']
['2', ' 2884', ' 3', ' 0', ' 89']
['2', ' 2886', ' 2', ' 0', ' 7', ' 100']
['2', ' 2888', ' 2', ' 0', ' 10', ' 64']
['2', ' 2890', ' 2', ' 0', ' 11', ' 80']
['2', ' 2892', ' 2', ' 0', ' 91', ' 40']
['2', ' 2894', ' 2', ' 0', ' 93', ' 110']
['2', ' 3744', ' 1', ' 0', ' 58', ' 107']
['2', ' 4032', ' 0', ' 0', ' 58', ' 107']
['2', ' 4512', ' 1', ' 0', ' 70', ' 107']
['2', ' 4800', ' 0', ' 0', ' 70', ' 107']
['2', ' 6816', ' 1', ' 0', ' 58', ' 107']
['2', ' 7104', ' 0', ' 0', ' 58', ' 107']
['2', ' 7584', ' 1', ' 0', ' 70', ' 107']
['2', ' 7872', ' 0', ' 0', ' 70', ' 107']
['2', ' 32160', ' 1', ' 0', ' 86', ' 60']
['2', ' 32160', ' 1', ' 0', ' 82', ' 60']
['2', ' 32256', ' 0', ' 0', ' 82', ' 60']
['2', ' 32256', ' 0', ' 0', ' 86', ' 60']
['2', ' 32256', ' 1', ' 0', ' 79', ' 60']
['2', ' 32256', ' 1', ' 0', ' 84', ' 60']
['2', ' 32736', ' 0', ' 0', ' 84', ' 60']
['2', ' 32736', ' 0', ' 0', ' 79', ' 60']
['2', ' 32928', ' 1', ' 0', ' 86', ' 60']
['2', ' 32928', ' 1', ' 0', ' 82', ' 60']
['2', ' 33024', ' 1', ' 0', ' 84', ' 60']
['2', ' 33024', ' 1', ' 0', ' 79', ' 60']
['2', ' 33030', ' 0', ' 0', ' 82', ' 60']
['2', ' 33030', ' 0', ' 0', ' 86', ' 60']
['2', ' 33504', ' 0', ' 0', ' 79', ' 60']
['2', ' 33504', ' 0', ' 0', ' 84', ' 60']
['2', ' 33792', ' 1', ' 0', ' 86', ' 40']
['2', ' 33792', ' 1', ' 0', ' 82', ' 40']
['2', ' 33792', ' 1', ' 0', ' 79', ' 40']
['2', ' 34932', ' 0', ' 0', ' 79', ' 40']
['2', ' 34932', ' 0', ' 0', ' 82', ' 40']
['2', ' 34932', ' 0', ' 0', ' 86', ' 40']
['2', ' 35328', ' 1', ' 0', ' 79', ' 60']
['2', ' 35328', ' 1', ' 0', ' 84', ' 60']
['2', ' 35808', ' 0', ' 0', ' 84', ' 60']
['2', ' 35808', ' 0', ' 0', ' 79', ' 60']
['2', ' 36000', ' 1', ' 0', ' 86', ' 60']
['2', ' 36000', ' 1', ' 0', ' 82', ' 60']
['2', ' 36096', ' 1', ' 0', ' 84', ' 60']
['2', ' 36096', ' 1', ' 0', ' 79', ' 60']
['2', ' 36102', ' 0', ' 0', ' 82', ' 60']
['2', ' 36102', ' 0', ' 0', ' 86', ' 60']
['2', ' 36576', ' 0', ' 0', ' 79', ' 60']
['2', ' 36576', ' 0', ' 0', ' 84', ' 60']
['2', ' 36864', ' 1', ' 0', ' 86', ' 40']
['2', ' 36864', ' 1', ' 0', ' 82', ' 40']
['2', ' 36864', ' 1', ' 0', ' 79', ' 40']
['2', ' 37440', ' 0', ' 0', ' 82', ' 40']
['2', ' 37632', ' 1', ' 0', ' 84', ' 60']
['2', ' 37824', ' 0', ' 0', ' 84', ' 60']
['2', ' 37824', ' 1', ' 0', ' 81', ' 60']
['2', ' 37920', ' 0', ' 0', ' 81', ' 60']
['2', ' 37920', ' 1', ' 0', ' 82', ' 60']
['2', ' 38208', ' 0', ' 0', ' 82', ' 60']
['2', ' 38208', ' 0', ' 0', ' 79', ' 40']
['2', ' 38208', ' 0', ' 0', ' 86', ' 40']
['2', ' 38400', ' 1', ' 0', ' 79', ' 60']
['2', ' 38400', ' 1', ' 0', ' 84', ' 60']
['2', ' 38880', ' 0', ' 0', ' 84', ' 60']
['2', ' 38880', ' 0', ' 0', ' 79', ' 60']
['2', ' 39072', ' 1', ' 0', ' 86', ' 60']
['2', ' 39072', ' 1', ' 0', ' 82', ' 60']
['2', ' 39168', ' 1', ' 0', ' 84', ' 60']
['2', ' 39168', ' 1', ' 0', ' 79', ' 60']
['2', ' 39174', ' 0', ' 0', ' 82', ' 60']
['2', ' 39174', ' 0', ' 0', ' 86', ' 60']
['2', ' 39648', ' 0', ' 0', ' 79', ' 60']
['2', ' 39648', ' 0', ' 0', ' 84', ' 60']
['2', ' 39936', ' 1', ' 0', ' 86', ' 40']
['2', ' 39936', ' 1', ' 0', ' 82', ' 40']
['2', ' 39936', ' 1', ' 0', ' 79', ' 40']
['2', ' 40512', ' 0', ' 0', ' 82', ' 40']
['2', ' 40704', ' 1', ' 0', ' 84', ' 60']
['2', ' 40896', ' 0', ' 0', ' 84', ' 60']
['2', ' 40896', ' 1', ' 0', ' 81', ' 60']
['2', ' 40992', ' 0', ' 0', ' 81', ' 60']
['2', ' 40992', ' 1', ' 0', ' 82', ' 60']
['2', ' 41280', ' 0', ' 0', ' 82', ' 60']
['2', ' 41280', ' 0', ' 0', ' 79', ' 40']
['2', ' 41280', ' 0', ' 0', ' 86', ' 40']
['2', ' 41472', ' 1', ' 0', ' 79', ' 60']
['2', ' 41472', ' 1', ' 0', ' 84', ' 60']
['2', ' 41952', ' 0', ' 0', ' 84', ' 60']
['2', ' 41952', ' 0', ' 0', ' 79', ' 60']
['2', ' 42144', ' 1', ' 0', ' 86', ' 60']
['2', ' 42144', ' 1', ' 0', ' 82', ' 60']
['2', ' 42240', ' 1', ' 0', ' 84', ' 60']
['2', ' 42240', ' 1', ' 0', ' 79', ' 60']
['2', ' 42246', ' 0', ' 0', ' 82', ' 60']
['2', ' 42246', ' 0', ' 0', ' 86', ' 60']
['2', ' 42720', ' 0', ' 0', ' 79', ' 60']
['2', ' 42720', ' 0', ' 0', ' 84', ' 60']
['2', ' 43008', ' 1', ' 0', ' 79', ' 110']
['2', ' 43200', ' 0', ' 0', ' 79', ' 110']
['2', ' 43200', ' 1', ' 0', ' 82', ' 110']
['2', ' 43288', ' 0', ' 0', ' 82', ' 110']
['2', ' 43296', ' 1', ' 0', ' 82', ' 110']
['2', ' 43384', ' 0', ' 0', ' 82', ' 110']
['2', ' 43680', ' 1', ' 0', ' 79', ' 110']
['2', ' 43768', ' 0', ' 0', ' 79', ' 110']
['2', ' 43776', ' 1', ' 0', ' 82', ' 110']
['2', ' 43968', ' 0', ' 0', ' 82', ' 110']
['2', ' 43968', ' 1', ' 0', ' 84', ' 110']
['2', ' 44056', ' 0', ' 0', ' 84', ' 110']
['2', ' 44064', ' 1', ' 0', ' 84', ' 110']
['2', ' 44256', ' 0', ' 0', ' 84', ' 110']
['2', ' 44256', ' 1', ' 0', ' 82', ' 110']
['2', ' 44352', ' 0', ' 0', ' 82', ' 110']
['2', ' 44544', ' 1', ' 0', ' 79', ' 110']
['2', ' 44736', ' 0', ' 0', ' 79', ' 110']
['2', ' 44736', ' 1', ' 0', ' 82', ' 110']
['2', ' 44824', ' 0', ' 0', ' 82', ' 110']
['2', ' 44832', ' 1', ' 0', ' 82', ' 110']
['2', ' 45024', ' 0', ' 0', ' 82', ' 110']
['2', ' 45216', ' 1', ' 0', ' 79', ' 110']
['2', ' 45304', ' 0', ' 0', ' 79', ' 110']
['2', ' 45312', ' 1', ' 0', ' 82', ' 110']
['2', ' 45400', ' 0', ' 0', ' 82', ' 110']
['2', ' 45408', ' 1', ' 0', ' 84', ' 110']
['2', ' 45496', ' 0', ' 0', ' 84', ' 110']
['2', ' 45504', ' 1', ' 0', ' 86', ' 110']
['2', ' 45696', ' 0', ' 0', ' 86', ' 110']
['2', ' 45696', ' 1', ' 0', ' 82', ' 110']
['2', ' 45784', ' 0', ' 0', ' 82', ' 110']
['2', ' 46080', ' 1', ' 0', ' 79', ' 110']
['2', ' 46272', ' 0', ' 0', ' 79', ' 110']
['2', ' 46272', ' 1', ' 0', ' 82', ' 110']
['2', ' 46360', ' 0', ' 0', ' 82', ' 110']
['2', ' 46368', ' 1', ' 0', ' 82', ' 110']
['2', ' 46456', ' 0', ' 0', ' 82', ' 110']
['2', ' 47136', ' 1', ' 0', ' 84', ' 110']
['2', ' 47328', ' 0', ' 0', ' 84', ' 110']
['2', ' 47328', ' 1', ' 0', ' 86', ' 110']
['2', ' 47424', ' 0', ' 0', ' 86', ' 110']
['2', ' 47424', ' 1', ' 0', ' 82', ' 110']
['2', ' 47520', ' 0', ' 0', ' 82', ' 110']
['2', ' 47616', ' 1', ' 0', ' 79', ' 110']
['2', ' 47808', ' 0', ' 0', ' 79', ' 110']
['2', ' 47808', ' 1', ' 0', ' 82', ' 110']
['2', ' 47896', ' 0', ' 0', ' 82', ' 110']
['2', ' 47904', ' 1', ' 0', ' 79', ' 110']
['2', ' 47992', ' 0', ' 0', ' 79', ' 110']
['2', ' 48000', ' 1', ' 0', ' 82', ' 110']
['2', ' 48192', ' 0', ' 0', ' 82', ' 110']
['2', ' 48192', ' 1', ' 0', ' 84', ' 110']
['2', ' 48384', ' 0', ' 0', ' 84', ' 110']
['2', ' 48384', ' 1', ' 0', ' 86', ' 110']
['2', ' 48472', ' 0', ' 0', ' 86', ' 110']
['2', ' 48480', ' 1', ' 0', ' 84', ' 110']
['2', ' 48568', ' 0', ' 0', ' 84', ' 110']
['2', ' 48576', ' 1', ' 0', ' 81', ' 110']
['2', ' 48664', ' 0', ' 0', ' 81', ' 110']
['2', ' 48672', ' 1', ' 0', ' 77', ' 110']
['2', ' 49152', ' 0', ' 0', ' 77', ' 110']
['2', ' 50400', ' 1', ' 0', ' 86', ' 60']
['2', ' 50400', ' 1', ' 0', ' 82', ' 60']
['2', ' 50684', ' 0', ' 0', ' 82', ' 60']
['2', ' 50684', ' 0', ' 0', ' 86', ' 60']
['2', ' 50688', ' 1', ' 0', ' 79', ' 60']
['2', ' 50688', ' 1', ' 0', ' 84', ' 60']
['2', ' 51168', ' 0', ' 0', ' 84', ' 60']
['2', ' 51168', ' 0', ' 0', ' 79', ' 60']
['2', ' 51360', ' 1', ' 0', ' 86', ' 60']
['2', ' 51360', ' 1', ' 0', ' 82', ' 60']
['2', ' 51456', ' 1', ' 0', ' 84', ' 60']
['2', ' 51456', ' 1', ' 0', ' 79', ' 60']
['2', ' 51462', ' 0', ' 0', ' 82', ' 60']
['2', ' 51462', ' 0', ' 0', ' 86', ' 60']
['2', ' 51936', ' 0', ' 0', ' 79', ' 60']
['2', ' 51936', ' 0', ' 0', ' 84', ' 60']
['2', ' 52224', ' 1', ' 0', ' 86', ' 40']
['2', ' 52224', ' 1', ' 0', ' 82', ' 40']
['2', ' 52224', ' 1', ' 0', ' 79', ' 40']
['2', ' 53364', ' 0', ' 0', ' 79', ' 40']
['2', ' 53364', ' 0', ' 0', ' 82', ' 40']
['2', ' 53364', ' 0', ' 0', ' 86', ' 40']
['2', ' 53760', ' 1', ' 0', ' 79', ' 60']
['2', ' 53760', ' 1', ' 0', ' 84', ' 60']
['2', ' 54240', ' 0', ' 0', ' 84', ' 60']
['2', ' 54240', ' 0', ' 0', ' 79', ' 60']
['2', ' 54432', ' 1', ' 0', ' 86', ' 60']
['2', ' 54432', ' 1', ' 0', ' 82', ' 60']
['2', ' 54528', ' 1', ' 0', ' 84', ' 60']
['2', ' 54528', ' 1', ' 0', ' 79', ' 60']
['2', ' 54534', ' 0', ' 0', ' 82', ' 60']
['2', ' 54534', ' 0', ' 0', ' 86', ' 60']
['2', ' 55008', ' 0', ' 0', ' 79', ' 60']
['2', ' 55008', ' 0', ' 0', ' 84', ' 60']
['2', ' 55296', ' 1', ' 0', ' 86', ' 40']
['2', ' 55296', ' 1', ' 0', ' 82', ' 40']
['2', ' 55296', ' 1', ' 0', ' 79', ' 40']
['2', ' 55872', ' 0', ' 0', ' 82', ' 40']
['2', ' 56064', ' 1', ' 0', ' 84', ' 60']
['2', ' 56256', ' 0', ' 0', ' 84', ' 60']
['2', ' 56256', ' 1', ' 0', ' 81', ' 60']
['2', ' 56352', ' 0', ' 0', ' 81', ' 60']
['2', ' 56352', ' 1', ' 0', ' 82', ' 60']
['2', ' 56640', ' 0', ' 0', ' 82', ' 60']
['2', ' 56640', ' 0', ' 0', ' 79', ' 40']
['2', ' 56640', ' 0', ' 0', ' 86', ' 40']
['2', ' 56832', ' 1', ' 0', ' 79', ' 60']
['2', ' 56832', ' 1', ' 0', ' 84', ' 60']
['2', ' 57312', ' 0', ' 0', ' 84', ' 60']
['2', ' 57312', ' 0', ' 0', ' 79', ' 60']
['2', ' 57504', ' 1', ' 0', ' 86', ' 60']
['2', ' 57504', ' 1', ' 0', ' 82', ' 60']
['2', ' 57600', ' 1', ' 0', ' 84', ' 60']
['2', ' 57600', ' 1', ' 0', ' 79', ' 60']
['2', ' 57606', ' 0', ' 0', ' 82', ' 60']
['2', ' 57606', ' 0', ' 0', ' 86', ' 60']
['2', ' 58080', ' 0', ' 0', ' 79', ' 60']
['2', ' 58080', ' 0', ' 0', ' 84', ' 60']
['2', ' 58368', ' 1', ' 0', ' 86', ' 40']
['2', ' 58368', ' 1', ' 0', ' 82', ' 40']
['2', ' 58368', ' 1', ' 0', ' 79', ' 40']
['2', ' 58944', ' 0', ' 0', ' 82', ' 40']
['2', ' 59136', ' 1', ' 0', ' 84', ' 60']
['2', ' 59328', ' 0', ' 0', ' 84', ' 60']
['2', ' 59328', ' 1', ' 0', ' 81', ' 60']
['2', ' 59424', ' 0', ' 0', ' 81', ' 60']
['2', ' 59424', ' 1', ' 0', ' 82', ' 60']
['2', ' 59712', ' 0', ' 0', ' 82', ' 60']
['2', ' 59712', ' 0', ' 0', ' 79', ' 40']
['2', ' 59712', ' 0', ' 0', ' 86', ' 40']
['2', ' 59904', ' 1', ' 0', ' 79', ' 60']
['2', ' 59904', ' 1', ' 0', ' 84', ' 60']
['2', ' 60384', ' 0', ' 0', ' 84', ' 60']
['2', ' 60384', ' 0', ' 0', ' 79', ' 60']
['2', ' 60576', ' 1', ' 0', ' 86', ' 60']
['2', ' 60576', ' 1', ' 0', ' 82', ' 60']
