['2', ' 0', ' 2', ' 0', ' 91', ' 90']
['2', ' 122', ' 3', ' 0', ' 81']
['2', ' 123', ' 2', ' 0', ' 7', ' 127']
['2', ' 123', ' 2', ' 0', ' 10', ' 64']
['2', ' 10080', ' 1', ' 0', ' 41', ' 100']
['2', ' 10388', ' 1', ' 0', ' 41', ' 0']
['2', ' 10503', ' 1', ' 0', ' 44', ' 79']
['2', ' 10523', ' 1', ' 0', ' 44', ' 0']
['2', ' 10560', ' 1', ' 0', ' 46', ' 87']
['2', ' 10968', ' 1', ' 0', ' 46', ' 0']
['2', ' 11040', ' 1', ' 0', ' 41', ' 60']
['2', ' 11045', ' 1', ' 0', ' 41', ' 0']
['2', ' 11160', ' 1', ' 0', ' 41', ' 84']
['2', ' 11273', ' 1', ' 0', ' 41', ' 0']
['2', ' 11280', ' 1', ' 0', ' 41', ' 84']
['2', ' 11457', ' 1', ' 0', ' 41', ' 0']
['2', ' 11460', ' 1', ' 0', ' 44', ' 69']
['2', ' 11496', ' 1', ' 0', ' 44', ' 0']
['2', ' 11520', ' 1', ' 0', ' 46', ' 79']
['2', ' 11925', ' 1', ' 0', ' 46', ' 0']
['2', ' 12000', ' 1', ' 0', ' 41', ' 100']
['2', ' 12308', ' 1', ' 0', ' 41', ' 0']
['2', ' 12423', ' 1', ' 0', ' 44', ' 79']
['2', ' 12443', ' 1', ' 0', ' 44', ' 0']
['2', ' 12480', ' 1', ' 0', ' 46', ' 79']
['2', ' 12904', ' 1', ' 0', ' 46', ' 0']
['2', ' 12960', ' 1', ' 0', ' 41', ' 69']
['2', ' 12973', ' 1', ' 0', ' 41', ' 0']
['2', ' 13080', ' 1', ' 0', ' 41', ' 75']
['2', ' 13191', ' 1', ' 0', ' 41', ' 0']
['2', ' 13200', ' 1', ' 0', ' 41', ' 75']
['2', ' 13371', ' 1', ' 0', ' 41', ' 0']
['2', ' 13380', ' 1', ' 0', ' 44', ' 72']
['2', ' 13419', ' 1', ' 0', ' 44', ' 0']
['2', ' 13440', ' 1', ' 0', ' 46', ' 72']
['2', ' 13814', ' 1', ' 0', ' 46', ' 0']
['2', ' 13860', ' 1', ' 0', ' 36', ' 87']
['2', ' 13917', ' 1', ' 0', ' 36', ' 0']
['2', ' 13920', ' 1', ' 0', ' 41', ' 65']
['2', ' 13965', ' 1', ' 0', ' 41', ' 0']
['2', ' 13980', ' 1', ' 0', ' 41', ' 87']
['2', ' 14023', ' 1', ' 0', ' 41', ' 0']
['2', ' 14040', ' 1', ' 0', ' 44', ' 60']
['2', ' 14080', ' 1', ' 0', ' 44', ' 0']
['2', ' 14100', ' 1', ' 0', ' 44', ' 94']
['2', ' 14100', ' 1', ' 0', ' 41', ' 52']
['2', ' 14128', ' 1', ' 0', ' 41', ' 0']
['2', ' 14137', ' 1', ' 0', ' 44', ' 0']
['2', ' 14160', ' 1', ' 0', ' 48', ' 45']
['2', ' 14160', ' 1', ' 0', ' 44', ' 59']
['2', ' 14160', ' 1', ' 0', ' 41', ' 65']
['2', ' 14196', ' 1', ' 0', ' 41', ' 0']
['2', ' 14201', ' 1', ' 0', ' 44', ' 0']
['2', ' 14202', ' 1', ' 0', ' 48', ' 0']
['2', ' 14220', ' 1', ' 0', ' 48', ' 100']
['2', ' 14220', ' 1', ' 0', ' 44', ' 56']
['2', ' 14220', ' 1', ' 0', ' 41', ' 58']
['2', ' 14253', ' 1', ' 0', ' 44', ' 0']
['2', ' 14257', ' 1', ' 0', ' 41', ' 0']
['2', ' 14262', ' 1', ' 0', ' 48', ' 0']
['2', ' 14280', ' 1', ' 0', ' 48', ' 65']
['2', ' 14280', ' 1', ' 0', ' 44', ' 56']
['2', ' 14280', ' 1', ' 0', ' 41', ' 58']
['2', ' 14316', ' 1', ' 0', ' 44', ' 0']
['2', ' 14320', ' 1', ' 0', ' 41', ' 0']
['2', ' 14325', ' 1', ' 0', ' 48', ' 0']
['2', ' 14340', ' 1', ' 0', ' 48', ' 100']
['2', ' 14340', ' 1', ' 0', ' 44', ' 50']
