0, 0, Header, 1, 13, 480
1, 0, Start_track
1, 0, Tempo, 638297
1, 0, Title_t, "15 Step"
1, 0, Time_signature, 10, 3, 9, 189
1, 0, Marker_t, "Intro"
1, 7200, Marker_t, ""
1, 31200, Marker_t, "Solo"
1, 40800, Marker_t, "Verse"
1, 55200, Marker_t, "Chorus"
1, 74400, Marker_t, "Bridge"
1, 88800, Marker_t, "Verse"
1, 112800, Marker_t, "Interlude"
1, 124800, Marker_t, ""
1, 148800, Marker_t, "Chorus"
1, 160800, Marker_t, "Outro"
1, 160800, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@T15 Step"
3, 0, Text_t, "@TRadiohead"
3, 0, Text_t, "@T-Fly-"
3, 7440, Text_t, "\\how"
3, 7680, Text_t, " come"
3, 7920, Text_t, " i"
3, 8160, Text_t, " end"
3, 8400, Text_t, " up"
3, 8640, Text_t, " where"
3, 8880, Text_t, " i"
3, 9120, Text_t, " start"
3, 9360, Text_t, "ed"
3, 9840, Text_t, "/how"
3, 10080, Text_t, " come"
3, 10320, Text_t, " i"
3, 10560, Text_t, " end"
3, 10800, Text_t, " up"
3, 11040, Text_t, " where"
3, 11220, Text_t, " i"
3, 11400, Text_t, " went"
3, 11520, Text_t, " wrong"
3, 12240, Text_t, "/won't"
3, 12480, Text_t, " take"
3, 12720, Text_t, " my"
3, 12960, Text_t, " eyes"
3, 13200, Text_t, " off"
3, 13440, Text_t, " the"
3, 13620, Text_t, " ball"
3, 13800, Text_t, " a"
3, 13920, Text_t, "gain"
3, 14640, Text_t, "/you"
3, 14880, Text_t, " reel"
3, 15120, Text_t, " me"
3, 15360, Text_t, " out"
3, 15600, Text_t, " then"
3, 15840, Text_t, " you"
3, 15960, Text_t, " cut"
3, 16200, Text_t, " the"
3, 16320, Text_t, " string"
3, 21840, Text_t, "\\how"
3, 22080, Text_t, " come"
3, 22320, Text_t, " i"
3, 22560, Text_t, " end"
3, 22800, Text_t, " up"
3, 23040, Text_t, " where"
3, 23280, Text_t, " i"
3, 23520, Text_t, " start"
3, 23760, Text_t, "ed"
3, 24240, Text_t, "/how"
3, 24480, Text_t, " come"
3, 24720, Text_t, " i"
3, 24960, Text_t, " end"
3, 25200, Text_t, " up"
3, 25440, Text_t, " where"
3, 25620, Text_t, " i"
3, 25800, Text_t, " went"
3, 25920, Text_t, " wrong"
3, 26640, Text_t, "/won't"
3, 26880, Text_t, " take"
3, 27120, Text_t, " my"
3, 27360, Text_t, " eyes"
3, 27600, Text_t, " off"
3, 27840, Text_t, " the"
3, 28020, Text_t, " ball"
3, 28200, Text_t, " a"
3, 28320, Text_t, "gain"
3, 29040, Text_t, "/first"
3, 29280, Text_t, " you"
3, 29400, Text_t, " reel.me"
3, 29640, Text_t, " out"
3, 29880, Text_t, " and"
3, 30120, Text_t, " then"
3, 30240, Text_t, " you"
3, 30360, Text_t, " cut"
