['4', ' 0', ' 2', ' 1', ' 100', ' 0']
['4', ' 0', ' 2', ' 1', ' 101', ' 0']
['4', ' 0', ' 2', ' 1', ' 6', ' 12']
['4', ' 0', ' 2', ' 1', ' 101', ' 0']
['4', ' 0', ' 2', ' 1', ' 100', ' 1']
['4', ' 0', ' 2', ' 1', ' 6', ' 64']
['4', ' 0', ' 2', ' 1', ' 38', ' 0']
['4', ' 0', ' 2', ' 1', ' 101', ' 127']
['4', ' 0', ' 2', ' 1', ' 100', ' 127']
['4', ' 0', ' 2', ' 0', ' 100', ' 0']
['4', ' 0', ' 2', ' 0', ' 101', ' 0']
['4', ' 0', ' 2', ' 0', ' 6', ' 12']
['4', ' 0', ' 2', ' 0', ' 101', ' 0']
['4', ' 0', ' 2', ' 0', ' 100', ' 1']
['4', ' 0', ' 2', ' 0', ' 6', ' 64']
['4', ' 0', ' 2', ' 0', ' 38', ' 0']
['4', ' 0', ' 2', ' 0', ' 101', ' 127']
['4', ' 0', ' 2', ' 0', ' 100', ' 127']
['4', ' 0', ' 2', ' 1', ' 101', ' 0']
['4', ' 0', ' 2', ' 1', ' 100', ' 2']
['4', ' 0', ' 2', ' 1', ' 6', ' 64']
['4', ' 0', ' 2', ' 1', ' 101', ' 127']
['4', ' 0', ' 2', ' 1', ' 100', ' 127']
['4', ' 0', ' 2', ' 0', ' 101', ' 0']
['4', ' 0', ' 2', ' 0', ' 100', ' 2']
['4', ' 0', ' 2', ' 0', ' 6', ' 64']
['4', ' 0', ' 2', ' 0', ' 101', ' 127']
['4', ' 0', ' 2', ' 0', ' 100', ' 127']
['4', ' 0', ' 3', ' 1', ' 26']
['4', ' 0', ' 3', ' 0', ' 26']
['4', ' 0', ' 2', ' 1', ' 0', ' 0']
['4', ' 0', ' 2', ' 0', ' 0', ' 0']
['4', ' 0', ' 2', ' 1', ' 7', ' 104']
['4', ' 0', ' 2', ' 0', ' 7', ' 104']
['4', ' 0', ' 2', ' 1', ' 10', ' 64']
['4', ' 0', ' 2', ' 0', ' 10', ' 64']
['4', ' 0', ' 2', ' 1', ' 93', ' 0']
['4', ' 0', ' 2', ' 0', ' 93', ' 0']
['4', ' 0', ' 2', ' 1', ' 91', ' 0']
['4', ' 0', ' 2', ' 0', ' 91', ' 0']
['4', ' 0', ' 2', ' 1', ' 92', ' 0']
['4', ' 0', ' 2', ' 0', ' 92', ' 0']
['4', ' 0', ' 2', ' 1', ' 95', ' 0']
['4', ' 0', ' 2', ' 0', ' 95', ' 0']
['4', ' 31200', ' 1', ' 0', ' 56', ' 95']
['4', ' 31560', ' 0', ' 0', ' 56', ' 80']
['4', ' 31560', ' 1', ' 0', ' 63', ' 63']
['4', ' 31560', ' 1', ' 0', ' 59', ' 63']
['4', ' 31920', ' 0', ' 0', ' 63', ' 80']
['4', ' 31920', ' 0', ' 0', ' 59', ' 80']
['4', ' 31920', ' 1', ' 0', ' 61', ' 63']
['4', ' 31920', ' 1', ' 0', ' 58', ' 63']
['4', ' 32160', ' 0', ' 0', ' 61', ' 80']
['4', ' 32160', ' 0', ' 0', ' 58', ' 80']
['4', ' 32160', ' 1', ' 1', ' 63', ' 63']
['4', ' 32160', ' 1', ' 0', ' 59', ' 63']
['4', ' 32220', ' 0', ' 0', ' 59', ' 80']
['4', ' 32220', ' 1', ' 0', ' 60', ' 63']
['4', ' 32280', ' 0', ' 1', ' 63', ' 80']
['4', ' 32280', ' 0', ' 0', ' 60', ' 80']
['4', ' 32280', ' 1', ' 0', ' 61', ' 63']
['4', ' 32400', ' 1', ' 0', ' 49', ' 95']
['4', ' 32760', ' 0', ' 0', ' 61', ' 80']
['4', ' 32760', ' 1', ' 0', ' 65', ' 63']
['4', ' 32760', ' 1', ' 0', ' 61', ' 63']
['4', ' 33000', ' 0', ' 0', ' 65', ' 80']
['4', ' 33000', ' 1', ' 0', ' 53', ' 63']
['4', ' 33120', ' 0', ' 0', ' 61', ' 80']
['4', ' 33120', ' 0', ' 0', ' 53', ' 80']
['4', ' 33120', ' 1', ' 0', ' 63', ' 63']
['4', ' 33120', ' 1', ' 0', ' 59', ' 63']
['4', ' 33360', ' 0', ' 0', ' 63', ' 80']
['4', ' 33360', ' 1', ' 0', ' 63', ' 63']
['4', ' 33450', ' 0', ' 0', ' 63', ' 80']
['4', ' 33450', ' 1', ' 0', ' 64', ' 63']
['4', ' 33540', ' 0', ' 0', ' 64', ' 80']
['4', ' 33540', ' 1', ' 0', ' 65', ' 63']
['4', ' 33600', ' 0', ' 0', ' 49', ' 80']
['4', ' 33600', ' 0', ' 0', ' 65', ' 80']
['4', ' 33600', ' 1', ' 0', ' 51', ' 95']
['4', ' 33960', ' 0', ' 0', ' 59', ' 80']
['4', ' 33960', ' 0', ' 0', ' 51', ' 80']
['4', ' 33960', ' 1', ' 0', ' 66', ' 63']
['4', ' 33960', ' 1', ' 0', ' 63', ' 63']
['4', ' 34200', ' 0', ' 0', ' 66', ' 80']
['4', ' 34200', ' 0', ' 0', ' 63', ' 80']
['4', ' 34200', ' 1', ' 0', ' 58', ' 63']
['4', ' 34320', ' 0', ' 0', ' 58', ' 80']
['4', ' 34320', ' 1', ' 0', ' 65', ' 63']
['4', ' 34320', ' 1', ' 0', ' 61', ' 63']
['4', ' 34560', ' 0', ' 0', ' 65', ' 80']
['4', ' 34560', ' 0', ' 0', ' 61', ' 80']
['4', ' 34560', ' 1', ' 0', ' 63', ' 63']
['4', ' 34800', ' 0', ' 0', ' 63', ' 80']
['4', ' 34800', ' 1', ' 0', ' 49', ' 95']
['4', ' 35160', ' 0', ' 0', ' 49', ' 80']
['4', ' 35160', ' 1', ' 0', ' 65', ' 63']
['4', ' 35160', ' 1', ' 0', ' 61', ' 63']
['4', ' 35400', ' 0', ' 0', ' 65', ' 80']
['4', ' 35400', ' 0', ' 0', ' 61', ' 80']
['4', ' 35400', ' 1', ' 0', ' 56', ' 63']
['4', ' 35520', ' 0', ' 0', ' 56', ' 80']
['4', ' 35520', ' 1', ' 0', ' 63', ' 63']
['4', ' 35520', ' 1', ' 0', ' 59', ' 63']
['4', ' 35640', ' 0', ' 0', ' 63', ' 80']
['4', ' 35640', ' 0', ' 0', ' 59', ' 80']
['4', ' 35640', ' 1', ' 0', ' 65', ' 63']
['4', ' 35760', ' 0', ' 0', ' 65', ' 80']
['4', ' 35760', ' 1', ' 0', ' 59', ' 63']
['4', ' 35760', ' 1', ' 0', ' 56', ' 63']
['4', ' 35880', ' 0', ' 0', ' 59', ' 80']
['4', ' 35880', ' 0', ' 0', ' 56', ' 80']
['4', ' 35880', ' 1', ' 0', ' 58', ' 63']
['4', ' 36000', ' 0', ' 0', ' 58', ' 80']
['4', ' 36000', ' 1', ' 0', ' 56', ' 95']
['4', ' 36360', ' 0', ' 0', ' 56', ' 80']
['4', ' 36360', ' 1', ' 0', ' 63', ' 63']
['4', ' 36360', ' 1', ' 0', ' 59', ' 63']
['4', ' 36720', ' 0', ' 0', ' 63', ' 80']
['4', ' 36720', ' 0', ' 0', ' 59', ' 80']
['4', ' 36720', ' 1', ' 0', ' 61', ' 63']
['4', ' 36720', ' 1', ' 0', ' 58', ' 63']
['4', ' 36960', ' 0', ' 0', ' 61', ' 80']
['4', ' 36960', ' 0', ' 0', ' 58', ' 80']
['4', ' 36960', ' 1', ' 1', ' 63', ' 63']
['4', ' 36960', ' 1', ' 0', ' 59', ' 63']
['4', ' 37020', ' 0', ' 0', ' 59', ' 80']
['4', ' 37020', ' 1', ' 0', ' 60', ' 63']
['4', ' 37080', ' 0', ' 1', ' 63', ' 80']
['4', ' 37080', ' 0', ' 0', ' 60', ' 80']
['4', ' 37080', ' 1', ' 0', ' 61', ' 63']
['4', ' 37200', ' 1', ' 0', ' 49', ' 95']
['4', ' 37560', ' 0', ' 0', ' 61', ' 80']
['4', ' 37560', ' 1', ' 0', ' 65', ' 63']
['4', ' 37560', ' 1', ' 0', ' 61', ' 63']
['4', ' 37800', ' 0', ' 0', ' 65', ' 80']
['4', ' 37800', ' 1', ' 0', ' 53', ' 63']
['4', ' 37920', ' 0', ' 0', ' 61', ' 80']
['4', ' 37920', ' 0', ' 0', ' 53', ' 80']
['4', ' 37920', ' 1', ' 0', ' 63', ' 63']
['4', ' 37920', ' 1', ' 0', ' 59', ' 63']
['4', ' 38160', ' 0', ' 0', ' 63', ' 80']
['4', ' 38160', ' 1', ' 0', ' 63', ' 63']
['4', ' 38250', ' 0', ' 0', ' 63', ' 80']
['4', ' 38250', ' 1', ' 0', ' 64', ' 63']
['4', ' 38340', ' 0', ' 0', ' 64', ' 80']
['4', ' 38340', ' 1', ' 0', ' 65', ' 63']
['4', ' 38400', ' 0', ' 0', ' 49', ' 80']
['4', ' 38400', ' 0', ' 0', ' 65', ' 80']
['4', ' 38400', ' 1', ' 0', ' 51', ' 95']
['4', ' 38760', ' 0', ' 0', ' 59', ' 80']
['4', ' 38760', ' 0', ' 0', ' 51', ' 80']
['4', ' 38760', ' 1', ' 0', ' 66', ' 63']
['4', ' 38760', ' 1', ' 0', ' 63', ' 63']
['4', ' 39000', ' 0', ' 0', ' 66', ' 80']
['4', ' 39000', ' 0', ' 0', ' 63', ' 80']
['4', ' 39000', ' 1', ' 0', ' 58', ' 63']
['4', ' 39120', ' 0', ' 0', ' 58', ' 80']
['4', ' 39120', ' 1', ' 0', ' 65', ' 63']
['4', ' 39120', ' 1', ' 0', ' 61', ' 63']
['4', ' 39360', ' 0', ' 0', ' 65', ' 80']
['4', ' 39360', ' 0', ' 0', ' 61', ' 80']
['4', ' 39360', ' 1', ' 0', ' 63', ' 63']
['4', ' 39600', ' 0', ' 0', ' 63', ' 80']
['4', ' 39600', ' 1', ' 0', ' 49', ' 95']
['4', ' 39960', ' 0', ' 0', ' 49', ' 80']
['4', ' 39960', ' 1', ' 0', ' 65', ' 63']
['4', ' 39960', ' 1', ' 0', ' 61', ' 63']
['4', ' 40200', ' 0', ' 0', ' 65', ' 80']
['4', ' 40200', ' 0', ' 0', ' 61', ' 80']
['4', ' 40200', ' 1', ' 0', ' 56', ' 63']
['4', ' 40320', ' 0', ' 0', ' 56', ' 80']
['4', ' 40320', ' 1', ' 0', ' 63', ' 63']
['4', ' 40320', ' 1', ' 0', ' 59', ' 63']
['4', ' 40440', ' 0', ' 0', ' 63', ' 80']
['4', ' 40440', ' 0', ' 0', ' 59', ' 80']
