['2', ' 0', ' 3', ' 9', ' 0']
['2', ' 0', ' 1', ' 9', ' 36', ' 110']
['2', ' 0', ' 1', ' 9', ' 47', ' 110']
['2', ' 0', ' 1', ' 9', ' 48', ' 110']
['2', ' 0', ' 1', ' 9', ' 49', ' 110']
['2', ' 28', ' 0', ' 9', ' 36', ' 0']
['2', ' 28', ' 0', ' 9', ' 47', ' 0']
['2', ' 28', ' 0', ' 9', ' 48', ' 0']
['2', ' 28', ' 0', ' 9', ' 49', ' 0']
['2', ' 29', ' 1', ' 9', ' 48', ' 110']
['2', ' 58', ' 0', ' 9', ' 48', ' 0']
['2', ' 59', ' 1', ' 9', ' 48', ' 110']
['2', ' 88', ' 0', ' 9', ' 48', ' 0']
['2', ' 89', ' 1', ' 9', ' 47', ' 110']
['2', ' 89', ' 1', ' 9', ' 48', ' 110']
['2', ' 118', ' 0', ' 9', ' 47', ' 0']
['2', ' 118', ' 0', ' 9', ' 48', ' 0']
['2', ' 119', ' 1', ' 9', ' 36', ' 110']
['2', ' 119', ' 1', ' 9', ' 48', ' 110']
['2', ' 148', ' 0', ' 9', ' 36', ' 0']
['2', ' 148', ' 0', ' 9', ' 48', ' 0']
['2', ' 149', ' 1', ' 9', ' 48', ' 110']
['2', ' 178', ' 0', ' 9', ' 48', ' 0']
['2', ' 179', ' 1', ' 9', ' 48', ' 110']
['2', ' 208', ' 0', ' 9', ' 48', ' 0']
['2', ' 209', ' 1', ' 9', ' 48', ' 110']
['2', ' 238', ' 0', ' 9', ' 48', ' 0']
['2', ' 239', ' 1', ' 9', ' 36', ' 110']
['2', ' 239', ' 1', ' 9', ' 47', ' 110']
['2', ' 239', ' 1', ' 9', ' 48', ' 110']
['2', ' 268', ' 0', ' 9', ' 36', ' 0']
['2', ' 268', ' 0', ' 9', ' 47', ' 0']
['2', ' 268', ' 0', ' 9', ' 48', ' 0']
['2', ' 269', ' 1', ' 9', ' 48', ' 110']
['2', ' 298', ' 0', ' 9', ' 48', ' 0']
['2', ' 299', ' 1', ' 9', ' 48', ' 110']
['2', ' 328', ' 0', ' 9', ' 48', ' 0']
['2', ' 329', ' 1', ' 9', ' 48', ' 110']
['2', ' 358', ' 0', ' 9', ' 48', ' 0']
['2', ' 359', ' 1', ' 9', ' 36', ' 110']
['2', ' 359', ' 1', ' 9', ' 47', ' 110']
['2', ' 359', ' 1', ' 9', ' 48', ' 110']
['2', ' 388', ' 0', ' 9', ' 36', ' 0']
['2', ' 388', ' 0', ' 9', ' 47', ' 0']
['2', ' 388', ' 0', ' 9', ' 48', ' 0']
['2', ' 389', ' 1', ' 9', ' 48', ' 110']
['2', ' 418', ' 0', ' 9', ' 48', ' 0']
['2', ' 419', ' 1', ' 9', ' 48', ' 110']
['2', ' 448', ' 0', ' 9', ' 48', ' 0']
['2', ' 449', ' 1', ' 9', ' 48', ' 110']
['2', ' 478', ' 0', ' 9', ' 48', ' 0']
['2', ' 479', ' 1', ' 9', ' 36', ' 110']
['2', ' 479', ' 1', ' 9', ' 47', ' 110']
['2', ' 479', ' 1', ' 9', ' 48', ' 110']
['2', ' 508', ' 0', ' 9', ' 36', ' 0']
['2', ' 508', ' 0', ' 9', ' 47', ' 0']
['2', ' 508', ' 0', ' 9', ' 48', ' 0']
['2', ' 509', ' 1', ' 9', ' 48', ' 110']
['2', ' 538', ' 0', ' 9', ' 48', ' 0']
['2', ' 539', ' 1', ' 9', ' 48', ' 110']
['2', ' 568', ' 0', ' 9', ' 48', ' 0']
