['2', ' 0', ' 2', ' 0', ' 7', ' 100']
['2', ' 0', ' 3', ' 0', ' 0']
['2', ' 672', ' 1', ' 0', ' 67', ' 67']
['2', ' 766', ' 0', ' 0', ' 67', ' 64']
['2', ' 768', ' 1', ' 0', ' 59', ' 85']
['2', ' 768', ' 1', ' 0', ' 62', ' 85']
['2', ' 768', ' 1', ' 0', ' 67', ' 85']
['2', ' 862', ' 0', ' 0', ' 67', ' 64']
['2', ' 862', ' 0', ' 0', ' 62', ' 64']
['2', ' 862', ' 0', ' 0', ' 59', ' 64']
['2', ' 864', ' 1', ' 0', ' 59', ' 67']
['2', ' 864', ' 1', ' 0', ' 62', ' 67']
['2', ' 864', ' 1', ' 0', ' 67', ' 67']
['2', ' 958', ' 0', ' 0', ' 67', ' 64']
['2', ' 958', ' 0', ' 0', ' 62', ' 64']
['2', ' 958', ' 0', ' 0', ' 59', ' 64']
['2', ' 960', ' 1', ' 0', ' 59', ' 85']
['2', ' 960', ' 1', ' 0', ' 62', ' 85']
['2', ' 960', ' 1', ' 0', ' 67', ' 85']
['2', ' 1054', ' 0', ' 0', ' 62', ' 64']
['2', ' 1056', ' 1', ' 0', ' 62', ' 85']
['2', ' 1102', ' 0', ' 0', ' 67', ' 64']
['2', ' 1118', ' 0', ' 0', ' 59', ' 64']
['2', ' 1150', ' 0', ' 0', ' 62', ' 64']
['2', ' 1152', ' 1', ' 0', ' 59', ' 85']
['2', ' 1152', ' 1', ' 0', ' 62', ' 85']
['2', ' 1152', ' 1', ' 0', ' 66', ' 85']
['2', ' 1246', ' 0', ' 0', ' 66', ' 64']
['2', ' 1246', ' 0', ' 0', ' 62', ' 64']
['2', ' 1246', ' 0', ' 0', ' 59', ' 64']
['2', ' 1248', ' 1', ' 0', ' 62', ' 65']
['2', ' 1248', ' 1', ' 0', ' 59', ' 65']
['2', ' 1248', ' 1', ' 0', ' 66', ' 65']
['2', ' 1342', ' 0', ' 0', ' 66', ' 64']
['2', ' 1342', ' 0', ' 0', ' 59', ' 64']
['2', ' 1342', ' 0', ' 0', ' 62', ' 64']
['2', ' 1344', ' 1', ' 0', ' 62', ' 85']
['2', ' 1344', ' 1', ' 0', ' 59', ' 85']
['2', ' 1344', ' 1', ' 0', ' 66', ' 85']
['2', ' 1438', ' 0', ' 0', ' 62', ' 64']
['2', ' 1440', ' 1', ' 0', ' 62', ' 87']
['2', ' 1470', ' 0', ' 0', ' 66', ' 64']
['2', ' 1486', ' 0', ' 0', ' 59', ' 64']
['2', ' 1534', ' 0', ' 0', ' 62', ' 64']
['2', ' 1536', ' 1', ' 0', ' 55', ' 85']
['2', ' 1536', ' 1', ' 0', ' 59', ' 85']
['2', ' 1536', ' 1', ' 0', ' 64', ' 85']
['2', ' 1630', ' 0', ' 0', ' 64', ' 64']
['2', ' 1630', ' 0', ' 0', ' 59', ' 64']
['2', ' 1630', ' 0', ' 0', ' 55', ' 64']
['2', ' 1632', ' 1', ' 0', ' 55', ' 68']
['2', ' 1632', ' 1', ' 0', ' 59', ' 68']
['2', ' 1632', ' 1', ' 0', ' 64', ' 68']
['2', ' 1726', ' 0', ' 0', ' 64', ' 64']
['2', ' 1726', ' 0', ' 0', ' 59', ' 64']
['2', ' 1726', ' 0', ' 0', ' 55', ' 64']
['2', ' 1728', ' 1', ' 0', ' 55', ' 85']
['2', ' 1728', ' 1', ' 0', ' 59', ' 85']
['2', ' 1728', ' 1', ' 0', ' 64', ' 85']
['2', ' 1822', ' 0', ' 0', ' 64', ' 64']
['2', ' 1822', ' 0', ' 0', ' 59', ' 64']
['2', ' 1822', ' 0', ' 0', ' 55', ' 64']
['2', ' 1824', ' 1', ' 0', ' 55', ' 65']
['2', ' 1824', ' 1', ' 0', ' 59', ' 65']
['2', ' 1824', ' 1', ' 0', ' 64', ' 65']
['2', ' 1918', ' 0', ' 0', ' 64', ' 64']
['2', ' 1918', ' 0', ' 0', ' 59', ' 64']
['2', ' 1918', ' 0', ' 0', ' 55', ' 64']
['2', ' 1920', ' 1', ' 0', ' 55', ' 85']
['2', ' 1920', ' 1', ' 0', ' 59', ' 85']
['2', ' 1920', ' 1', ' 0', ' 62', ' 85']
['2', ' 1920', ' 1', ' 0', ' 64', ' 85']
['2', ' 2014', ' 0', ' 0', ' 64', ' 64']
['2', ' 2014', ' 0', ' 0', ' 62', ' 64']
['2', ' 2014', ' 0', ' 0', ' 59', ' 64']
['2', ' 2014', ' 0', ' 0', ' 55', ' 64']
['2', ' 2016', ' 1', ' 0', ' 55', ' 64']
['2', ' 2016', ' 1', ' 0', ' 59', ' 64']
['2', ' 2016', ' 1', ' 0', ' 62', ' 64']
['2', ' 2016', ' 1', ' 0', ' 64', ' 64']
['2', ' 2110', ' 0', ' 0', ' 64', ' 64']
['2', ' 2110', ' 0', ' 0', ' 62', ' 64']
['2', ' 2110', ' 0', ' 0', ' 59', ' 64']
['2', ' 2110', ' 0', ' 0', ' 55', ' 64']
['2', ' 2112', ' 1', ' 0', ' 55', ' 85']
['2', ' 2112', ' 1', ' 0', ' 59', ' 85']
['2', ' 2112', ' 1', ' 0', ' 62', ' 85']
['2', ' 2112', ' 1', ' 0', ' 64', ' 85']
['2', ' 2206', ' 0', ' 0', ' 64', ' 64']
['2', ' 2206', ' 0', ' 0', ' 62', ' 64']
['2', ' 2206', ' 0', ' 0', ' 59', ' 64']
['2', ' 2206', ' 0', ' 0', ' 55', ' 64']
['2', ' 2208', ' 1', ' 0', ' 55', ' 64']
['2', ' 2208', ' 1', ' 0', ' 59', ' 64']
['2', ' 2208', ' 1', ' 0', ' 62', ' 64']
['2', ' 2208', ' 1', ' 0', ' 64', ' 64']
['2', ' 2302', ' 0', ' 0', ' 64', ' 64']
['2', ' 2302', ' 0', ' 0', ' 62', ' 64']
['2', ' 2302', ' 0', ' 0', ' 59', ' 64']
['2', ' 2302', ' 0', ' 0', ' 55', ' 64']
['2', ' 2304', ' 1', ' 0', ' 55', ' 86']
['2', ' 2304', ' 1', ' 0', ' 60', ' 86']
['2', ' 2304', ' 1', ' 0', ' 64', ' 86']
['2', ' 2398', ' 0', ' 0', ' 60', ' 64']
['2', ' 2400', ' 1', ' 0', ' 59', ' 65']
['2', ' 2494', ' 0', ' 0', ' 55', ' 64']
['2', ' 2494', ' 0', ' 0', ' 64', ' 64']
['2', ' 2494', ' 0', ' 0', ' 59', ' 64']
['2', ' 2496', ' 1', ' 0', ' 55', ' 86']
['2', ' 2496', ' 1', ' 0', ' 60', ' 86']
['2', ' 2496', ' 1', ' 0', ' 64', ' 86']
['2', ' 2590', ' 0', ' 0', ' 60', ' 64']
['2', ' 2592', ' 1', ' 0', ' 59', ' 65']
