['2', ' 0', ' 3', ' 0', ' 30']
['2', ' 0', ' 2', ' 0', ' 7', ' 94']
['2', ' 0', ' 2', ' 0', ' 10', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 100']
['2', ' 0', ' 2', ' 0', ' 93', ' 127']
['2', ' 2', ' 2', ' 0', ' 7', ' 103']
['2', ' 168', ' 1', ' 0', ' 40', ' 100']
['2', ' 192', ' 0', ' 0', ' 40', ' 0']
['2', ' 192', ' 1', ' 0', ' 41', ' 113']
['2', ' 193', ' 2', ' 0', ' 7', ' 71']
['2', ' 195', ' 2', ' 0', ' 7', ' 71']
['2', ' 264', ' 0', ' 0', ' 41', ' 0']
['2', ' 264', ' 1', ' 0', ' 48', ' 127']
['2', ' 336', ' 0', ' 0', ' 48', ' 0']
['2', ' 336', ' 1', ' 0', ' 47', ' 100']
['2', ' 384', ' 0', ' 0', ' 47', ' 0']
['2', ' 384', ' 1', ' 0', ' 49', ' 100']
['2', ' 456', ' 0', ' 0', ' 49', ' 0']
['2', ' 456', ' 1', ' 0', ' 45', ' 100']
['2', ' 528', ' 0', ' 0', ' 45', ' 0']
['2', ' 528', ' 1', ' 0', ' 40', ' 121']
['2', ' 576', ' 0', ' 0', ' 40', ' 0']
['2', ' 576', ' 1', ' 0', ' 41', ' 100']
['2', ' 648', ' 0', ' 0', ' 41', ' 0']
['2', ' 648', ' 1', ' 0', ' 48', ' 100']
['2', ' 720', ' 0', ' 0', ' 48', ' 0']
['2', ' 720', ' 1', ' 0', ' 47', ' 100']
['2', ' 768', ' 0', ' 0', ' 47', ' 0']
['2', ' 768', ' 1', ' 0', ' 45', ' 100']
['2', ' 840', ' 0', ' 0', ' 45', ' 0']
['2', ' 840', ' 1', ' 0', ' 49', ' 100']
['2', ' 912', ' 0', ' 0', ' 49', ' 0']
['2', ' 912', ' 1', ' 0', ' 52', ' 100']
['2', ' 960', ' 0', ' 0', ' 52', ' 0']
['2', ' 960', ' 1', ' 0', ' 53', ' 100']
['2', ' 1032', ' 0', ' 0', ' 53', ' 0']
['2', ' 1032', ' 1', ' 0', ' 48', ' 100']
['2', ' 1104', ' 0', ' 0', ' 48', ' 0']
['2', ' 1104', ' 1', ' 0', ' 47', ' 100']
['2', ' 1152', ' 0', ' 0', ' 47', ' 0']
['2', ' 1152', ' 1', ' 0', ' 49', ' 100']
['2', ' 1224', ' 0', ' 0', ' 49', ' 0']
['2', ' 1224', ' 1', ' 0', ' 45', ' 100']
['2', ' 1296', ' 0', ' 0', ' 45', ' 0']
['2', ' 1296', ' 1', ' 0', ' 40', ' 100']
['2', ' 1344', ' 0', ' 0', ' 40', ' 0']
['2', ' 1344', ' 1', ' 0', ' 41', ' 100']
['2', ' 1416', ' 0', ' 0', ' 41', ' 0']
['2', ' 1416', ' 1', ' 0', ' 48', ' 100']
['2', ' 1488', ' 0', ' 0', ' 48', ' 0']
['2', ' 1488', ' 1', ' 0', ' 47', ' 100']
['2', ' 1536', ' 0', ' 0', ' 47', ' 0']
['2', ' 1536', ' 1', ' 0', ' 45', ' 63']
['2', ' 1536', ' 1', ' 0', ' 57', ' 63']
['2', ' 1536', ' 1', ' 0', ' 59', ' 63']
['2', ' 1536', ' 1', ' 0', ' 64', ' 63']
['2', ' 1548', ' 1', ' 0', ' 61', ' 58']
['2', ' 1908', ' 0', ' 0', ' 59', ' 0']
['2', ' 1920', ' 0', ' 0', ' 45', ' 0']
['2', ' 1920', ' 0', ' 0', ' 57', ' 0']
['2', ' 1920', ' 0', ' 0', ' 64', ' 0']
['2', ' 1920', ' 0', ' 0', ' 61', ' 0']
['2', ' 4224', ' 1', ' 0', ' 47', ' 100']
['2', ' 4224', ' 1', ' 0', ' 54', ' 100']
['2', ' 4248', ' 0', ' 0', ' 47', ' 0']
['2', ' 4248', ' 0', ' 0', ' 54', ' 0']
['2', ' 4248', ' 1', ' 0', ' 47', ' 100']
['2', ' 4248', ' 1', ' 0', ' 54', ' 100']
['2', ' 4272', ' 0', ' 0', ' 47', ' 0']
['2', ' 4272', ' 0', ' 0', ' 54', ' 0']
['2', ' 4272', ' 1', ' 0', ' 47', ' 79']
['2', ' 4272', ' 1', ' 0', ' 54', ' 79']
['2', ' 4296', ' 0', ' 0', ' 47', ' 0']
['2', ' 4296', ' 0', ' 0', ' 54', ' 0']
['2', ' 4296', ' 1', ' 0', ' 47', ' 79']
['2', ' 4296', ' 1', ' 0', ' 54', ' 79']
['2', ' 4320', ' 0', ' 0', ' 47', ' 0']
['2', ' 4320', ' 0', ' 0', ' 54', ' 0']
['2', ' 4320', ' 1', ' 0', ' 47', ' 81']
['2', ' 4320', ' 1', ' 0', ' 54', ' 81']
['2', ' 4344', ' 0', ' 0', ' 47', ' 0']
['2', ' 4344', ' 0', ' 0', ' 54', ' 0']
['2', ' 4344', ' 1', ' 0', ' 47', ' 105']
['2', ' 4344', ' 1', ' 0', ' 54', ' 105']
['2', ' 4368', ' 0', ' 0', ' 47', ' 0']
['2', ' 4368', ' 0', ' 0', ' 54', ' 0']
['2', ' 4368', ' 1', ' 0', ' 47', ' 105']
['2', ' 4368', ' 1', ' 0', ' 54', ' 105']
['2', ' 4392', ' 0', ' 0', ' 47', ' 0']
['2', ' 4392', ' 0', ' 0', ' 54', ' 0']
['2', ' 4392', ' 1', ' 0', ' 47', ' 84']
['2', ' 4392', ' 1', ' 0', ' 54', ' 84']
['2', ' 4416', ' 0', ' 0', ' 47', ' 0']
['2', ' 4416', ' 0', ' 0', ' 54', ' 0']
