['4', ' 0', ' 2', ' 7', ' 100', ' 0']
['4', ' 0', ' 2', ' 7', ' 101', ' 0']
['4', ' 0', ' 2', ' 7', ' 6', ' 12']
['4', ' 0', ' 2', ' 7', ' 101', ' 0']
['4', ' 0', ' 2', ' 7', ' 100', ' 1']
['4', ' 0', ' 2', ' 7', ' 6', ' 64']
['4', ' 0', ' 2', ' 7', ' 38', ' 0']
['4', ' 0', ' 2', ' 7', ' 101', ' 127']
['4', ' 0', ' 2', ' 7', ' 100', ' 127']
['4', ' 0', ' 2', ' 6', ' 100', ' 0']
['4', ' 0', ' 2', ' 6', ' 101', ' 0']
['4', ' 0', ' 2', ' 6', ' 6', ' 12']
['4', ' 0', ' 2', ' 6', ' 101', ' 0']
['4', ' 0', ' 2', ' 6', ' 100', ' 1']
['4', ' 0', ' 2', ' 6', ' 6', ' 64']
['4', ' 0', ' 2', ' 6', ' 38', ' 0']
['4', ' 0', ' 2', ' 6', ' 101', ' 127']
['4', ' 0', ' 2', ' 6', ' 100', ' 127']
['4', ' 0', ' 2', ' 7', ' 101', ' 0']
['4', ' 0', ' 2', ' 7', ' 100', ' 2']
['4', ' 0', ' 2', ' 7', ' 6', ' 64']
['4', ' 0', ' 2', ' 7', ' 101', ' 127']
['4', ' 0', ' 2', ' 7', ' 100', ' 127']
['4', ' 0', ' 2', ' 6', ' 101', ' 0']
['4', ' 0', ' 2', ' 6', ' 100', ' 2']
['4', ' 0', ' 2', ' 6', ' 6', ' 64']
['4', ' 0', ' 2', ' 6', ' 101', ' 127']
['4', ' 0', ' 2', ' 6', ' 100', ' 127']
['4', ' 0', ' 3', ' 7', ' 73']
['4', ' 0', ' 3', ' 6', ' 73']
['4', ' 0', ' 2', ' 7', ' 0', ' 0']
['4', ' 0', ' 2', ' 6', ' 0', ' 0']
['4', ' 0', ' 2', ' 7', ' 7', ' 127']
['4', ' 0', ' 2', ' 6', ' 7', ' 127']
['4', ' 0', ' 2', ' 7', ' 10', ' 64']
['4', ' 0', ' 2', ' 6', ' 10', ' 64']
['4', ' 0', ' 2', ' 7', ' 93', ' 0']
['4', ' 0', ' 2', ' 6', ' 93', ' 0']
['4', ' 0', ' 2', ' 7', ' 91', ' 0']
['4', ' 0', ' 2', ' 6', ' 91', ' 0']
['4', ' 0', ' 2', ' 7', ' 92', ' 0']
['4', ' 0', ' 2', ' 6', ' 92', ' 0']
['4', ' 0', ' 2', ' 7', ' 95', ' 0']
['4', ' 0', ' 2', ' 6', ' 95', ' 0']
['4', ' 23520', ' 1', ' 6', ' 55', ' 95']
['4', ' 23760', ' 0', ' 6', ' 55', ' 80']
['4', ' 23760', ' 1', ' 6', ' 55', ' 95']
['4', ' 24000', ' 0', ' 6', ' 55', ' 80']
['4', ' 24000', ' 1', ' 6', ' 55', ' 95']
['4', ' 24480', ' 0', ' 6', ' 55', ' 80']
['4', ' 24720', ' 1', ' 7', ' 54', ' 95']
['4', ' 25380', ' 0', ' 7', ' 54', ' 80']
['4', ' 26580', ' 1', ' 7', ' 54', ' 95']
['4', ' 27120', ' 0', ' 7', ' 54', ' 80']
['4', ' 27120', ' 1', ' 6', ' 52', ' 95']
['4', ' 27600', ' 0', ' 6', ' 52', ' 80']
['4', ' 27600', ' 1', ' 6', ' 50', ' 95']
['4', ' 28020', ' 0', ' 6', ' 50', ' 80']
['4', ' 28080', ' 1', ' 6', ' 48', ' 95']
['4', ' 28500', ' 1', ' 7', ' 54', ' 95']
['4', ' 28560', ' 0', ' 6', ' 48', ' 80']
['4', ' 29040', ' 0', ' 7', ' 54', ' 80']
['4', ' 33120', ' 1', ' 6', ' 55', ' 95']
['4', ' 33360', ' 0', ' 6', ' 55', ' 80']
['4', ' 33360', ' 1', ' 6', ' 55', ' 95']
['4', ' 33600', ' 0', ' 6', ' 55', ' 80']
['4', ' 33600', ' 1', ' 6', ' 55', ' 95']
['4', ' 33840', ' 0', ' 6', ' 55', ' 80']
['4', ' 33840', ' 1', ' 6', ' 55', ' 95']
['4', ' 34080', ' 0', ' 6', ' 55', ' 80']
['4', ' 34080', ' 1', ' 6', ' 55', ' 95']
['4', ' 34740', ' 0', ' 6', ' 55', ' 80']
['4', ' 36180', ' 1', ' 7', ' 54', ' 95']
['4', ' 36720', ' 0', ' 7', ' 54', ' 80']
['4', ' 36720', ' 1', ' 6', ' 52', ' 95']
['4', ' 37200', ' 0', ' 6', ' 52', ' 80']
['4', ' 37200', ' 1', ' 6', ' 50', ' 95']
['4', ' 37620', ' 0', ' 6', ' 50', ' 80']
['4', ' 37680', ' 1', ' 6', ' 48', ' 95']
['4', ' 38100', ' 1', ' 7', ' 50', ' 95']
['4', ' 38160', ' 0', ' 6', ' 48', ' 80']
['4', ' 38880', ' 0', ' 7', ' 50', ' 80']
['4', ' 42720', ' 1', ' 6', ' 55', ' 95']
['4', ' 42960', ' 0', ' 6', ' 55', ' 80']
['4', ' 42960', ' 1', ' 6', ' 55', ' 95']
['4', ' 43200', ' 0', ' 6', ' 55', ' 80']
['4', ' 43200', ' 1', ' 6', ' 55', ' 95']
['4', ' 43680', ' 0', ' 6', ' 55', ' 80']
['4', ' 43680', ' 1', ' 6', ' 55', ' 95']
['4', ' 43920', ' 0', ' 6', ' 55', ' 80']
['4', ' 43920', ' 1', ' 7', ' 54', ' 95']
['4', ' 44640', ' 0', ' 7', ' 54', ' 80']
['4', ' 45600', ' 1', ' 6', ' 55', ' 95']
['4', ' 45780', ' 0', ' 6', ' 55', ' 80']
['4', ' 45780', ' 1', ' 7', ' 54', ' 95']
['4', ' 46320', ' 0', ' 7', ' 54', ' 80']
