['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 3', ' 0', ' 90']
['2', ' 3072', ' 1', ' 0', ' 65', ' 127']
['2', ' 3424', ' 0', ' 0', ' 65', ' 127']
['2', ' 3456', ' 1', ' 0', ' 63', ' 127']
['2', ' 3456', ' 1', ' 0', ' 70', ' 127']
['2', ' 3808', ' 0', ' 0', ' 63', ' 127']
['2', ' 3808', ' 0', ' 0', ' 70', ' 127']
['2', ' 3840', ' 1', ' 0', ' 62', ' 127']
['2', ' 3840', ' 1', ' 0', ' 69', ' 127']
['2', ' 4188', ' 0', ' 0', ' 62', ' 127']
['2', ' 4192', ' 0', ' 0', ' 69', ' 127']
['2', ' 4224', ' 1', ' 0', ' 63', ' 127']
['2', ' 4224', ' 1', ' 0', ' 70', ' 127']
['2', ' 4572', ' 0', ' 0', ' 63', ' 127']
['2', ' 4572', ' 0', ' 0', ' 70', ' 127']
['2', ' 4592', ' 1', ' 0', ' 60', ' 127']
['2', ' 4608', ' 1', ' 0', ' 67', ' 127']
['2', ' 5932', ' 0', ' 0', ' 60', ' 127']
['2', ' 5948', ' 0', ' 0', ' 67', ' 127']
['2', ' 6144', ' 1', ' 0', ' 65', ' 127']
['2', ' 6492', ' 0', ' 0', ' 65', ' 127']
['2', ' 6528', ' 1', ' 0', ' 53', ' 127']
['2', ' 6528', ' 1', ' 0', ' 63', ' 127']
['2', ' 6876', ' 0', ' 0', ' 63', ' 127']
['2', ' 6912', ' 1', ' 0', ' 61', ' 127']
['2', ' 7260', ' 0', ' 0', ' 61', ' 127']
['2', ' 7296', ' 1', ' 0', ' 59', ' 127']
['2', ' 7644', ' 0', ' 0', ' 59', ' 127']
['2', ' 7680', ' 0', ' 0', ' 53', ' 127']
['2', ' 7680', ' 1', ' 0', ' 66', ' 127']
['2', ' 8028', ' 0', ' 0', ' 66', ' 127']
['2', ' 8064', ' 1', ' 0', ' 64', ' 127']
['2', ' 8412', ' 0', ' 0', ' 64', ' 127']
['2', ' 8448', ' 1', ' 0', ' 53', ' 127']
['2', ' 8448', ' 1', ' 0', ' 62', ' 127']
['2', ' 8796', ' 0', ' 0', ' 62', ' 127']
['2', ' 8832', ' 1', ' 0', ' 60', ' 127']
['2', ' 9180', ' 0', ' 0', ' 60', ' 127']
['2', ' 9216', ' 1', ' 0', ' 65', ' 127']
['2', ' 9248', ' 0', ' 0', ' 53', ' 127']
['2', ' 9564', ' 0', ' 0', ' 65', ' 127']
['2', ' 9600', ' 1', ' 0', ' 55', ' 127']
['2', ' 9600', ' 1', ' 0', ' 63', ' 127']
['2', ' 9948', ' 0', ' 0', ' 63', ' 127']
['2', ' 9984', ' 1', ' 0', ' 62', ' 127']
['2', ' 10332', ' 0', ' 0', ' 62', ' 127']
['2', ' 10368', ' 1', ' 0', ' 60', ' 127']
['2', ' 10716', ' 0', ' 0', ' 60', ' 127']
['2', ' 10752', ' 0', ' 0', ' 55', ' 127']
['2', ' 10752', ' 1', ' 0', ' 66', ' 127']
['2', ' 11100', ' 0', ' 0', ' 66', ' 127']
['2', ' 11136', ' 1', ' 0', ' 64', ' 127']
['2', ' 12056', ' 0', ' 0', ' 64', ' 127']
['2', ' 12288', ' 1', ' 0', ' 66', ' 127']
['2', ' 12636', ' 0', ' 0', ' 66', ' 127']
