0, 0, Header, 1, 12, 480
1, 0, Start_track
1, 0, Tempo, 521739
1, 0, Title_t, "Be My Wife"
1, 0, Time_signature, 4, 2, 7, 246
1, 0, Tempo, 588235
1, 1920, Tempo, 521739
1, 1920, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LENGL"
3, 0, Text_t, "@T< Be My Wife >"
3, 0, Text_t, "@T< David Bowie >"
3, 0, Text_t, "@T< Synchro: François ~ Mees >"
3, 1920, Text_t, "\\Be"
3, 2400, Text_t, " My"
3, 2640, Text_t, " Wife:"
3, 2880, Text_t, " David"
3, 3120, Text_t, " Bowie"
3, 3840, Text_t, "/Synchro:"
3, 4320, Text_t, " François"
3, 4560, Text_t, " ~"
3, 5040, Text_t, " Mees"
3, 9840, Text_t, "/Some"
3, 10080, Text_t, "times"
3, 10440, Text_t, " you"
3, 10560, Text_t, " get"
3, 10800, Text_t, " so"
3, 11040, Text_t, " lone"
3, 11280, Text_t, "ly,"
3, 13680, Text_t, "/Some"
3, 13920, Text_t, "times"
3, 14280, Text_t, " you"
3, 14400, Text_t, " get"
3, 14640, Text_t, " no"
3, 14880, Text_t, "where."
3, 17520, Text_t, "/I've"
3, 17760, Text_t, " li"
3, 18120, Text_t, "ved"
3, 18240, Text_t, " all"
3, 18360, Text_t, " o"
3, 18480, Text_t, "ver"
3, 18720, Text_t, " the"
3, 18960, Text_t, " world,"
3, 21360, Text_t, "/I've"
3, 21600, Text_t, " left"
3, 21960, Text_t, " e"
3, 22080, Text_t, "ve"
3, 22320, Text_t, "ry"
3, 22560, Text_t, " place."
3, 40320, Text_t, "\\Please"
3, 41760, Text_t, " be"
3, 42000, Text_t, " mine,"
3, 44160, Text_t, "/Share"
3, 45600, Text_t, " my"
3, 45840, Text_t, " life,"
3, 48000, Text_t, "/Stay"
3, 49440, Text_t, " with"
3, 49680, Text_t, " me,"
3, 51840, Text_t, "/Be"
3, 53280, Text_t, " my"
3, 53520, Text_t, " wife."
3, 55920, Text_t, "\\Some"
3, 56160, Text_t, "times"
3, 56520, Text_t, " you"
3, 56640, Text_t, " get"
3, 56880, Text_t, " so"
3, 57120, Text_t, " lone"
3, 57360, Text_t, "ly,"
3, 63600, Text_t, "/Some"
3, 63840, Text_t, "times"
3, 64200, Text_t, " you"
3, 64320, Text_t, " get"
3, 64560, Text_t, " no"
3, 64800, Text_t, "where."
3, 71280, Text_t, "/I've"
3, 71520, Text_t, " li"
3, 71880, Text_t, "ved"
3, 72000, Text_t, " all"
3, 72120, Text_t, " o"
3, 72240, Text_t, "ver"
3, 72480, Text_t, " the"
3, 72720, Text_t, " world,"
3, 78960, Text_t, "/I've"
3, 79200, Text_t, " left"
3, 79560, Text_t, " e"
3, 79680, Text_t, "ve"
3, 79920, Text_t, "ry"
3, 80160, Text_t, " place."
3, 86400, Text_t, "\\Please"
3, 87840, Text_t, " be"
3, 88080, Text_t, " mine,"
3, 90240, Text_t, "/Share"
3, 91680, Text_t, " my"
3, 91920, Text_t, " life,"
3, 94080, Text_t, "/Stay"
3, 95520, Text_t, " with"
3, 95760, Text_t, " me,"
3, 97920, Text_t, "/Be"
3, 99360, Text_t, " my"
3, 99600, Text_t, " wife."
3, 102000, Text_t, "\\Some"
3, 102240, Text_t, "times"
3, 102600, Text_t, " you"
3, 102720, Text_t, " get"
3, 102960, Text_t, " so"
3, 103200, Text_t, " lone"
3, 103680, Text_t, "ly."
3, 103920, Text_t, "/[Kar*François*Mees*]"
3, 103920, End_track
4, 0, Start_track
4, 0, Title_t, "Track 1"
4, 0, Control_c, 0, 100, 0
4, 0, Control_c, 0, 101, 0
4, 0, Control_c, 0, 6, 12
4, 0, Pitch_bend_c, 0, 8192
4, 0, Control_c, 1, 100, 0
4, 0, Control_c, 1, 101, 0
4, 0, Control_c, 1, 6, 12
4, 0, Pitch_bend_c, 1, 8192
4, 0, Program_c, 0, 106
4, 0, Program_c, 1, 106
