['4', ' 0', ' 2', ' 0', ' 100', ' 0']
['4', ' 0', ' 2', ' 0', ' 101', ' 0']
['4', ' 0', ' 2', ' 0', ' 6', ' 12']
['4', ' 0', ' 2', ' 1', ' 100', ' 0']
['4', ' 0', ' 2', ' 1', ' 101', ' 0']
['4', ' 0', ' 2', ' 1', ' 6', ' 12']
['4', ' 0', ' 3', ' 0', ' 106']
['4', ' 0', ' 3', ' 1', ' 106']
['4', ' 0', ' 2', ' 0', ' 7', ' 88']
['4', ' 0', ' 2', ' 1', ' 7', ' 88']
['4', ' 0', ' 2', ' 0', ' 10', ' 80']
['4', ' 0', ' 2', ' 1', ' 10', ' 80']
['4', ' 0', ' 2', ' 0', ' 93', ' 24']
['4', ' 0', ' 2', ' 1', ' 93', ' 24']
['4', ' 0', ' 2', ' 0', ' 91', ' 80']
['4', ' 0', ' 2', ' 1', ' 91', ' 80']
['4', ' 0', ' 2', ' 0', ' 92', ' 32']
['4', ' 0', ' 2', ' 1', ' 92', ' 32']
['4', ' 0', ' 2', ' 0', ' 95', ' 0']
['4', ' 0', ' 2', ' 1', ' 95', ' 0']
['4', ' 1920', ' 1', ' 0', ' 77', ' 95']
['4', ' 2040', ' 0', ' 0', ' 77', ' 80']
['4', ' 2400', ' 1', ' 0', ' 76', ' 47']
['4', ' 2640', ' 0', ' 0', ' 76', ' 80']
['4', ' 2640', ' 1', ' 0', ' 77', ' 95']
['4', ' 2880', ' 0', ' 0', ' 77', ' 80']
['4', ' 2880', ' 1', ' 0', ' 77', ' 111']
['4', ' 2880', ' 1', ' 0', ' 76', ' 111']
['4', ' 3000', ' 0', ' 0', ' 77', ' 80']
['4', ' 3000', ' 0', ' 0', ' 76', ' 80']
['4', ' 3120', ' 1', ' 0', ' 74', ' 111']
['4', ' 3120', ' 1', ' 0', ' 67', ' 111']
['4', ' 3240', ' 0', ' 0', ' 74', ' 80']
['4', ' 3240', ' 0', ' 0', ' 67', ' 80']
['4', ' 3840', ' 1', ' 0', ' 77', ' 95']
['4', ' 3960', ' 0', ' 0', ' 77', ' 80']
['4', ' 4320', ' 1', ' 0', ' 77', ' 79']
['4', ' 4320', ' 1', ' 0', ' 76', ' 63']
['4', ' 4560', ' 0', ' 0', ' 77', ' 80']
['4', ' 4560', ' 0', ' 0', ' 76', ' 80']
['4', ' 4560', ' 1', ' 0', ' 74', ' 95']
['4', ' 4560', ' 1', ' 0', ' 67', ' 95']
['4', ' 5040', ' 0', ' 0', ' 74', ' 80']
['4', ' 5040', ' 0', ' 0', ' 67', ' 80']
['4', ' 5040', ' 1', ' 0', ' 74', ' 111']
['4', ' 5040', ' 1', ' 0', ' 71', ' 79']
['4', ' 5280', ' 0', ' 0', ' 74', ' 80']
['4', ' 5280', ' 0', ' 0', ' 71', ' 80']
['4', ' 5280', ' 1', ' 0', ' 76', ' 111']
['4', ' 5280', ' 1', ' 0', ' 69', ' 79']
['4', ' 5520', ' 0', ' 0', ' 76', ' 80']
['4', ' 5520', ' 0', ' 0', ' 69', ' 80']
['4', ' 5520', ' 1', ' 0', ' 74', ' 111']
['4', ' 5520', ' 1', ' 0', ' 67', ' 63']
['4', ' 5760', ' 0', ' 0', ' 74', ' 80']
['4', ' 5760', ' 0', ' 0', ' 67', ' 80']
['4', ' 5760', ' 1', ' 0', ' 77', ' 111']
