['2', ' 0', ' 3', ' 0', ' 71']
['2', ' 0', ' 2', ' 0', ' 7', ' 120']
['2', ' 0', ' 2', ' 0', ' 10', ' 125']
['2', ' 4380', ' 1', ' 0', ' 59', ' 100']
['2', ' 4440', ' 1', ' 0', ' 59', ' 0']
['2', ' 4440', ' 1', ' 0', ' 68', ' 100']
['2', ' 4500', ' 1', ' 0', ' 68', ' 0']
['2', ' 4500', ' 1', ' 0', ' 68', ' 100']
['2', ' 4560', ' 1', ' 0', ' 68', ' 0']
['2', ' 4560', ' 1', ' 0', ' 68', ' 100']
['2', ' 4620', ' 1', ' 0', ' 68', ' 0']
['2', ' 4620', ' 1', ' 0', ' 66', ' 100']
['2', ' 4680', ' 1', ' 0', ' 66', ' 0']
['2', ' 4680', ' 1', ' 0', ' 64', ' 100']
['2', ' 4740', ' 1', ' 0', ' 64', ' 0']
['2', ' 4740', ' 1', ' 0', ' 66', ' 100']
['2', ' 4920', ' 1', ' 0', ' 66', ' 0']
['2', ' 4920', ' 1', ' 0', ' 61', ' 100']
['2', ' 4980', ' 1', ' 0', ' 61', ' 0']
['2', ' 4980', ' 1', ' 0', ' 61', ' 100']
['2', ' 5040', ' 1', ' 0', ' 61', ' 0']
['2', ' 5040', ' 1', ' 0', ' 64', ' 100']
['2', ' 5100', ' 1', ' 0', ' 64', ' 0']
['2', ' 5340', ' 1', ' 0', ' 59', ' 100']
['2', ' 5400', ' 1', ' 0', ' 59', ' 0']
['2', ' 5400', ' 1', ' 0', ' 68', ' 100']
['2', ' 5460', ' 1', ' 0', ' 68', ' 0']
['2', ' 5460', ' 1', ' 0', ' 66', ' 100']
['2', ' 5520', ' 1', ' 0', ' 66', ' 0']
['2', ' 5520', ' 1', ' 0', ' 68', ' 100']
['2', ' 5580', ' 1', ' 0', ' 68', ' 0']
['2', ' 5580', ' 1', ' 0', ' 66', ' 100']
['2', ' 5640', ' 1', ' 0', ' 66', ' 0']
['2', ' 5820', ' 1', ' 0', ' 59', ' 100']
['2', ' 5880', ' 1', ' 0', ' 59', ' 0']
['2', ' 5880', ' 1', ' 0', ' 64', ' 100']
['2', ' 5940', ' 1', ' 0', ' 64', ' 0']
['2', ' 5940', ' 1', ' 0', ' 64', ' 100']
['2', ' 6000', ' 1', ' 0', ' 64', ' 0']
['2', ' 6000', ' 1', ' 0', ' 61', ' 100']
['2', ' 6060', ' 1', ' 0', ' 61', ' 0']
['2', ' 6060', ' 1', ' 0', ' 64', ' 100']
['2', ' 6120', ' 1', ' 0', ' 64', ' 0']
['2', ' 6360', ' 1', ' 0', ' 68', ' 100']
['2', ' 6420', ' 1', ' 0', ' 68', ' 0']
['2', ' 6420', ' 1', ' 0', ' 67', ' 100']
['2', ' 6480', ' 1', ' 0', ' 67', ' 0']
['2', ' 6480', ' 1', ' 0', ' 67', ' 100']
['2', ' 6540', ' 1', ' 0', ' 67', ' 0']
['2', ' 6660', ' 1', ' 0', ' 59', ' 100']
['2', ' 6720', ' 1', ' 0', ' 59', ' 0']
['2', ' 6720', ' 1', ' 0', ' 61', ' 100']
['2', ' 6780', ' 1', ' 0', ' 61', ' 0']
['2', ' 6780', ' 1', ' 0', ' 64', ' 100']
['2', ' 6840', ' 1', ' 0', ' 64', ' 0']
['2', ' 6840', ' 1', ' 0', ' 64', ' 100']
['2', ' 6900', ' 1', ' 0', ' 64', ' 0']
['2', ' 6900', ' 1', ' 0', ' 61', ' 100']
['2', ' 6960', ' 1', ' 0', ' 61', ' 0']
['2', ' 6960', ' 1', ' 0', ' 64', ' 100']
['2', ' 7080', ' 1', ' 0', ' 64', ' 0']
['2', ' 7080', ' 1', ' 0', ' 64', ' 100']
['2', ' 7110', ' 1', ' 0', ' 64', ' 0']
['2', ' 7140', ' 1', ' 0', ' 64', ' 100']
['2', ' 7230', ' 1', ' 0', ' 64', ' 0']
['2', ' 7230', ' 1', ' 0', ' 61', ' 100']
['2', ' 7260', ' 1', ' 0', ' 61', ' 0']
['2', ' 7260', ' 1', ' 0', ' 59', ' 100']
['2', ' 7320', ' 1', ' 0', ' 59', ' 0']
['2', ' 8220', ' 1', ' 0', ' 56', ' 100']
['2', ' 8280', ' 1', ' 0', ' 56', ' 0']
['2', ' 8280', ' 1', ' 0', ' 68', ' 100']
['2', ' 8340', ' 1', ' 0', ' 68', ' 0']
['2', ' 8340', ' 1', ' 0', ' 66', ' 100']
['2', ' 8400', ' 1', ' 0', ' 66', ' 0']
['2', ' 8400', ' 1', ' 0', ' 68', ' 100']
['2', ' 8460', ' 1', ' 0', ' 68', ' 0']
['2', ' 8460', ' 1', ' 0', ' 66', ' 100']
['2', ' 8520', ' 1', ' 0', ' 66', ' 0']
['2', ' 8520', ' 1', ' 0', ' 64', ' 100']
['2', ' 8580', ' 1', ' 0', ' 64', ' 0']
['2', ' 8580', ' 1', ' 0', ' 66', ' 100']
['2', ' 8760', ' 1', ' 0', ' 66', ' 0']
['2', ' 8760', ' 1', ' 0', ' 64', ' 100']
['2', ' 8820', ' 1', ' 0', ' 64', ' 0']
['2', ' 8820', ' 1', ' 0', ' 61', ' 100']
['2', ' 8880', ' 1', ' 0', ' 61', ' 0']
['2', ' 8880', ' 1', ' 0', ' 64', ' 100']
['2', ' 8940', ' 1', ' 0', ' 64', ' 0']
['2', ' 9180', ' 1', ' 0', ' 59', ' 100']
['2', ' 9240', ' 1', ' 0', ' 59', ' 0']
['2', ' 9240', ' 1', ' 0', ' 68', ' 100']
['2', ' 9300', ' 1', ' 0', ' 68', ' 0']
['2', ' 9300', ' 1', ' 0', ' 68', ' 100']
['2', ' 9360', ' 1', ' 0', ' 68', ' 0']
['2', ' 9360', ' 1', ' 0', ' 68', ' 100']
['2', ' 9420', ' 1', ' 0', ' 68', ' 0']
['2', ' 9420', ' 1', ' 0', ' 66', ' 100']
['2', ' 9480', ' 1', ' 0', ' 66', ' 0']
['2', ' 9660', ' 1', ' 0', ' 61', ' 100']
['2', ' 9720', ' 1', ' 0', ' 61', ' 0']
['2', ' 9720', ' 1', ' 0', ' 64', ' 100']
['2', ' 9780', ' 1', ' 0', ' 64', ' 0']
['2', ' 9780', ' 1', ' 0', ' 64', ' 100']
['2', ' 9840', ' 1', ' 0', ' 64', ' 0']
['2', ' 9840', ' 1', ' 0', ' 61', ' 100']
['2', ' 9900', ' 1', ' 0', ' 61', ' 0']
['2', ' 9900', ' 1', ' 0', ' 64', ' 100']
['2', ' 9960', ' 1', ' 0', ' 64', ' 0']
['2', ' 10200', ' 1', ' 0', ' 68', ' 100']
['2', ' 10260', ' 1', ' 0', ' 68', ' 0']
['2', ' 10260', ' 1', ' 0', ' 66', ' 100']
['2', ' 10320', ' 1', ' 0', ' 66', ' 0']
['2', ' 10320', ' 1', ' 0', ' 68', ' 100']
['2', ' 10380', ' 1', ' 0', ' 68', ' 0']
['2', ' 10500', ' 1', ' 0', ' 56', ' 100']
['2', ' 10560', ' 1', ' 0', ' 56', ' 0']
['2', ' 10560', ' 1', ' 0', ' 61', ' 100']
['2', ' 10620', ' 1', ' 0', ' 61', ' 0']
['2', ' 10620', ' 1', ' 0', ' 61', ' 100']
['2', ' 10680', ' 1', ' 0', ' 61', ' 0']
['2', ' 10680', ' 1', ' 0', ' 64', ' 100']
['2', ' 10740', ' 1', ' 0', ' 64', ' 0']
['2', ' 10740', ' 1', ' 0', ' 61', ' 100']
['2', ' 10800', ' 1', ' 0', ' 61', ' 0']
['2', ' 10800', ' 1', ' 0', ' 64', ' 100']
['2', ' 10920', ' 1', ' 0', ' 64', ' 0']
['2', ' 10920', ' 1', ' 0', ' 64', ' 100']
['2', ' 10980', ' 1', ' 0', ' 64', ' 0']
['2', ' 10980', ' 1', ' 0', ' 64', ' 100']
['2', ' 11040', ' 1', ' 0', ' 64', ' 0']
['2', ' 11040', ' 1', ' 0', ' 61', ' 100']
['2', ' 11070', ' 1', ' 0', ' 61', ' 0']
['2', ' 11070', ' 1', ' 0', ' 59', ' 100']
['2', ' 11160', ' 1', ' 0', ' 59', ' 0']
['2', ' 11880', ' 1', ' 0', ' 64', ' 100']
['2', ' 11940', ' 1', ' 0', ' 64', ' 0']
['2', ' 11940', ' 1', ' 0', ' 61', ' 100']
['2', ' 12000', ' 1', ' 0', ' 61', ' 0']
['2', ' 12000', ' 1', ' 0', ' 64', ' 100']
['2', ' 12120', ' 1', ' 0', ' 64', ' 0']
['2', ' 12120', ' 1', ' 0', ' 64', ' 100']
['2', ' 12180', ' 1', ' 0', ' 64', ' 0']
['2', ' 12180', ' 1', ' 0', ' 64', ' 100']
['2', ' 12240', ' 1', ' 0', ' 64', ' 0']
['2', ' 12360', ' 1', ' 0', ' 64', ' 100']
['2', ' 12420', ' 1', ' 0', ' 64', ' 0']
['2', ' 12420', ' 1', ' 0', ' 61', ' 100']
['2', ' 12480', ' 1', ' 0', ' 61', ' 0']
['2', ' 12480', ' 1', ' 0', ' 64', ' 100']
['2', ' 12600', ' 1', ' 0', ' 64', ' 0']
['2', ' 12600', ' 1', ' 0', ' 64', ' 100']
['2', ' 12660', ' 1', ' 0', ' 64', ' 0']
['2', ' 12660', ' 1', ' 0', ' 64', ' 100']
['2', ' 12720', ' 1', ' 0', ' 64', ' 0']
['2', ' 12840', ' 1', ' 0', ' 64', ' 100']
['2', ' 12900', ' 1', ' 0', ' 64', ' 0']
