['2', ' 0', ' 3', ' 0', ' 53']
['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 2', ' 0', ' 10', ' 42']
['2', ' 4440', ' 1', ' 0', ' 64', ' 100']
['2', ' 4560', ' 1', ' 0', ' 64', ' 0']
['2', ' 4560', ' 1', ' 0', ' 64', ' 100']
['2', ' 4620', ' 1', ' 0', ' 64', ' 0']
['2', ' 4620', ' 1', ' 0', ' 64', ' 100']
['2', ' 4740', ' 1', ' 0', ' 64', ' 0']
['2', ' 4740', ' 1', ' 0', ' 63', ' 100']
['2', ' 4980', ' 1', ' 0', ' 63', ' 0']
['2', ' 4980', ' 1', ' 0', ' 61', ' 100']
['2', ' 5040', ' 1', ' 0', ' 61', ' 0']
['2', ' 5040', ' 1', ' 0', ' 59', ' 100']
['2', ' 5160', ' 1', ' 0', ' 59', ' 0']
['2', ' 5220', ' 1', ' 0', ' 62', ' 100']
['2', ' 5280', ' 1', ' 0', ' 62', ' 0']
['2', ' 5280', ' 1', ' 0', ' 62', ' 100']
['2', ' 5340', ' 1', ' 0', ' 62', ' 0']
['2', ' 5340', ' 1', ' 0', ' 62', ' 100']
['2', ' 5400', ' 1', ' 0', ' 62', ' 0']
['2', ' 5400', ' 1', ' 0', ' 62', ' 100']
['2', ' 5460', ' 1', ' 0', ' 62', ' 0']
['2', ' 5460', ' 1', ' 0', ' 64', ' 100']
['2', ' 5520', ' 1', ' 0', ' 64', ' 0']
['2', ' 5520', ' 1', ' 0', ' 64', ' 100']
['2', ' 5640', ' 1', ' 0', ' 64', ' 0']
['2', ' 5640', ' 1', ' 0', ' 64', ' 100']
['2', ' 5760', ' 1', ' 0', ' 64', ' 0']
['2', ' 5760', ' 1', ' 0', ' 66', ' 100']
['2', ' 5820', ' 1', ' 0', ' 66', ' 0']
['2', ' 5820', ' 1', ' 0', ' 63', ' 100']
['2', ' 5940', ' 1', ' 0', ' 63', ' 0']
['2', ' 5940', ' 1', ' 0', ' 63', ' 100']
['2', ' 6120', ' 1', ' 0', ' 63', ' 0']
['2', ' 6180', ' 1', ' 0', ' 61', ' 100']
['2', ' 6300', ' 1', ' 0', ' 61', ' 0']
['2', ' 6300', ' 1', ' 0', ' 63', ' 100']
['2', ' 6360', ' 1', ' 0', ' 63', ' 0']
['2', ' 6360', ' 1', ' 0', ' 61', ' 100']
['2', ' 6420', ' 1', ' 0', ' 61', ' 0']
['2', ' 6420', ' 1', ' 0', ' 59', ' 100']
['2', ' 6540', ' 1', ' 0', ' 59', ' 0']
['2', ' 6540', ' 1', ' 0', ' 59', ' 100']
['2', ' 6600', ' 1', ' 0', ' 59', ' 0']
['2', ' 6900', ' 1', ' 0', ' 64', ' 100']
['2', ' 6960', ' 1', ' 0', ' 64', ' 0']
['2', ' 6960', ' 1', ' 0', ' 64', ' 100']
['2', ' 7020', ' 1', ' 0', ' 64', ' 0']
['2', ' 7020', ' 1', ' 0', ' 64', ' 100']
['2', ' 7140', ' 1', ' 0', ' 64', ' 0']
['2', ' 7140', ' 1', ' 0', ' 63', ' 100']
['2', ' 7380', ' 1', ' 0', ' 63', ' 0']
['2', ' 7380', ' 1', ' 0', ' 61', ' 100']
['2', ' 7440', ' 1', ' 0', ' 61', ' 0']
['2', ' 7440', ' 1', ' 0', ' 59', ' 100']
['2', ' 7560', ' 1', ' 0', ' 59', ' 0']
['2', ' 7620', ' 1', ' 0', ' 62', ' 100']
['2', ' 7680', ' 1', ' 0', ' 62', ' 0']
['2', ' 7680', ' 1', ' 0', ' 62', ' 100']
['2', ' 7740', ' 1', ' 0', ' 62', ' 0']
['2', ' 7740', ' 1', ' 0', ' 62', ' 100']
['2', ' 7860', ' 1', ' 0', ' 62', ' 0']
['2', ' 7860', ' 1', ' 0', ' 64', ' 100']
['2', ' 7980', ' 1', ' 0', ' 64', ' 0']
['2', ' 7980', ' 1', ' 0', ' 64', ' 100']
['2', ' 8040', ' 1', ' 0', ' 64', ' 0']
['2', ' 8100', ' 1', ' 0', ' 64', ' 100']
['2', ' 8160', ' 1', ' 0', ' 64', ' 0']
['2', ' 8160', ' 1', ' 0', ' 66', ' 100']
['2', ' 8280', ' 1', ' 0', ' 66', ' 0']
['2', ' 8280', ' 1', ' 0', ' 63', ' 100']
['2', ' 8340', ' 1', ' 0', ' 63', ' 0']
['2', ' 8340', ' 1', ' 0', ' 63', ' 100']
['2', ' 8520', ' 1', ' 0', ' 63', ' 0']
['2', ' 8580', ' 1', ' 0', ' 61', ' 100']
['2', ' 8700', ' 1', ' 0', ' 61', ' 0']
['2', ' 8700', ' 1', ' 0', ' 63', ' 100']
['2', ' 8760', ' 1', ' 0', ' 63', ' 0']
['2', ' 8760', ' 1', ' 0', ' 61', ' 100']
['2', ' 8820', ' 1', ' 0', ' 61', ' 0']
['2', ' 8820', ' 1', ' 0', ' 59', ' 100']
['2', ' 8940', ' 1', ' 0', ' 59', ' 0']
['2', ' 8940', ' 1', ' 0', ' 59', ' 100']
['2', ' 9000', ' 1', ' 0', ' 59', ' 0']
['2', ' 9180', ' 1', ' 0', ' 61', ' 100']
['2', ' 9240', ' 1', ' 0', ' 61', ' 0']
['2', ' 9240', ' 1', ' 0', ' 61', ' 100']
['2', ' 9360', ' 1', ' 0', ' 61', ' 0']
['2', ' 9360', ' 1', ' 0', ' 64', ' 100']
['2', ' 9420', ' 1', ' 0', ' 64', ' 0']
['2', ' 9420', ' 1', ' 0', ' 64', ' 100']
['2', ' 9540', ' 1', ' 0', ' 64', ' 0']
['2', ' 9540', ' 1', ' 0', ' 66', ' 100']
['2', ' 9660', ' 1', ' 0', ' 66', ' 0']
['2', ' 9660', ' 1', ' 0', ' 63', ' 100']
['2', ' 9780', ' 1', ' 0', ' 63', ' 0']
['2', ' 9780', ' 1', ' 0', ' 64', ' 100']
['2', ' 9840', ' 1', ' 0', ' 64', ' 0']
['2', ' 9840', ' 1', ' 0', ' 66', ' 100']
['2', ' 9900', ' 1', ' 0', ' 66', ' 0']
['2', ' 9900', ' 1', ' 0', ' 66', ' 100']
['2', ' 10020', ' 1', ' 0', ' 66', ' 0']
['2', ' 10080', ' 1', ' 0', ' 64', ' 100']
['2', ' 10380', ' 1', ' 0', ' 64', ' 0']
['2', ' 10380', ' 1', ' 0', ' 66', ' 100']
['2', ' 10500', ' 1', ' 0', ' 66', ' 0']
['2', ' 10500', ' 1', ' 0', ' 68', ' 100']
['2', ' 10680', ' 1', ' 0', ' 68', ' 0']
['2', ' 10980', ' 1', ' 0', ' 68', ' 100']
['2', ' 11040', ' 1', ' 0', ' 68', ' 0']
['2', ' 11040', ' 1', ' 0', ' 71', ' 100']
['2', ' 11100', ' 1', ' 0', ' 71', ' 0']
['2', ' 11100', ' 1', ' 0', ' 68', ' 100']
['2', ' 11220', ' 1', ' 0', ' 68', ' 0']
['2', ' 11220', ' 1', ' 0', ' 66', ' 100']
['2', ' 11340', ' 1', ' 0', ' 66', ' 0']
['2', ' 11340', ' 1', ' 0', ' 68', ' 100']
['2', ' 11460', ' 1', ' 0', ' 68', ' 0']
['2', ' 11460', ' 1', ' 0', ' 68', ' 100']
['2', ' 11520', ' 1', ' 0', ' 68', ' 0']
['2', ' 11520', ' 1', ' 0', ' 71', ' 100']
['2', ' 11580', ' 1', ' 0', ' 71', ' 0']
['2', ' 11580', ' 1', ' 0', ' 68', ' 100']
['2', ' 11700', ' 1', ' 0', ' 68', ' 0']
['2', ' 11700', ' 1', ' 0', ' 66', ' 100']
['2', ' 11820', ' 1', ' 0', ' 66', ' 0']
