['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 27']
['2', ' 0', ' 3', ' 0', ' 27']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 88']
['2', ' 0', ' 2', ' 0', ' 7', ' 88']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 37440', ' 1', ' 0', ' 69', ' 95']
['2', ' 37440', ' 1', ' 0', ' 65', ' 95']
['2', ' 37440', ' 1', ' 0', ' 62', ' 95']
['2', ' 37440', ' 1', ' 0', ' 57', ' 95']
['2', ' 37440', ' 1', ' 0', ' 50', ' 95']
['2', ' 37680', ' 0', ' 0', ' 69', ' 80']
['2', ' 37680', ' 0', ' 0', ' 65', ' 80']
['2', ' 37680', ' 0', ' 0', ' 62', ' 80']
['2', ' 37680', ' 0', ' 0', ' 57', ' 80']
['2', ' 37680', ' 0', ' 0', ' 50', ' 80']
['2', ' 37680', ' 1', ' 0', ' 69', ' 95']
['2', ' 37680', ' 1', ' 0', ' 65', ' 95']
['2', ' 37680', ' 1', ' 0', ' 62', ' 95']
['2', ' 37680', ' 1', ' 0', ' 57', ' 95']
['2', ' 37680', ' 1', ' 0', ' 50', ' 95']
['2', ' 37920', ' 0', ' 0', ' 69', ' 80']
['2', ' 37920', ' 0', ' 0', ' 65', ' 80']
['2', ' 37920', ' 0', ' 0', ' 62', ' 80']
['2', ' 37920', ' 0', ' 0', ' 57', ' 80']
['2', ' 37920', ' 0', ' 0', ' 50', ' 80']
['2', ' 37920', ' 1', ' 0', ' 69', ' 95']
['2', ' 37920', ' 1', ' 0', ' 65', ' 95']
['2', ' 37920', ' 1', ' 0', ' 62', ' 95']
['2', ' 37920', ' 1', ' 0', ' 57', ' 95']
['2', ' 37920', ' 1', ' 0', ' 50', ' 95']
['2', ' 38160', ' 0', ' 0', ' 69', ' 80']
['2', ' 38160', ' 0', ' 0', ' 65', ' 80']
['2', ' 38160', ' 0', ' 0', ' 62', ' 80']
