['2', ' 0', ' 3', ' 1', ' 33']
['2', ' 0', ' 2', ' 1', ' 7', ' 77']
['2', ' 1923', ' 1', ' 1', ' 40', ' 85']
['2', ' 2102', ' 0', ' 1', ' 40', ' 64']
['2', ' 2166', ' 1', ' 1', ' 35', ' 74']
['2', ' 2303', ' 0', ' 1', ' 35', ' 64']
['2', ' 2416', ' 1', ' 1', ' 38', ' 84']
['2', ' 2566', ' 0', ' 1', ' 38', ' 64']
['2', ' 2640', ' 1', ' 1', ' 33', ' 80']
['2', ' 2729', ' 0', ' 1', ' 33', ' 64']
['2', ' 2817', ' 1', ' 1', ' 40', ' 97']
['2', ' 2932', ' 0', ' 1', ' 40', ' 64']
['2', ' 3018', ' 1', ' 1', ' 35', ' 78']
['2', ' 3118', ' 0', ' 1', ' 35', ' 64']
['2', ' 3244', ' 1', ' 1', ' 35', ' 74']
['2', ' 3345', ' 0', ' 1', ' 35', ' 64']
['2', ' 3358', ' 1', ' 1', ' 38', ' 76']
['2', ' 3515', ' 0', ' 1', ' 38', ' 64']
['2', ' 3595', ' 1', ' 1', ' 33', ' 82']
['2', ' 3747', ' 0', ' 1', ' 33', ' 64']
['2', ' 3861', ' 1', ' 1', ' 40', ' 85']
['2', ' 3994', ' 0', ' 1', ' 40', ' 64']
['2', ' 4080', ' 1', ' 1', ' 35', ' 82']
['2', ' 4204', ' 0', ' 1', ' 35', ' 64']
['2', ' 4325', ' 1', ' 1', ' 38', ' 94']
['2', ' 4436', ' 0', ' 1', ' 38', ' 64']
['2', ' 4546', ' 1', ' 1', ' 33', ' 77']
['2', ' 4626', ' 0', ' 1', ' 33', ' 64']
['2', ' 4710', ' 1', ' 1', ' 40', ' 80']
['2', ' 4813', ' 0', ' 1', ' 40', ' 64']
['2', ' 4922', ' 1', ' 1', ' 35', ' 82']
['2', ' 5012', ' 0', ' 1', ' 35', ' 64']
['2', ' 5140', ' 1', ' 1', ' 35', ' 72']
['2', ' 5233', ' 0', ' 1', ' 35', ' 64']
['2', ' 5259', ' 1', ' 1', ' 38', ' 78']
['2', ' 5414', ' 0', ' 1', ' 38', ' 64']
['2', ' 5502', ' 1', ' 1', ' 33', ' 84']
['2', ' 5611', ' 0', ' 1', ' 33', ' 64']
['2', ' 5745', ' 1', ' 1', ' 40', ' 103']
['2', ' 5862', ' 0', ' 1', ' 40', ' 64']
['2', ' 5984', ' 1', ' 1', ' 35', ' 85']
['2', ' 6094', ' 0', ' 1', ' 35', ' 64']
['2', ' 6240', ' 1', ' 1', ' 38', ' 92']
['2', ' 6344', ' 0', ' 1', ' 38', ' 64']
['2', ' 6458', ' 1', ' 1', ' 33', ' 73']
['2', ' 6549', ' 0', ' 1', ' 33', ' 64']
['2', ' 6631', ' 1', ' 1', ' 40', ' 103']
['2', ' 6730', ' 0', ' 1', ' 40', ' 64']
['2', ' 6854', ' 1', ' 1', ' 35', ' 70']
['2', ' 6946', ' 0', ' 1', ' 35', ' 64']
['2', ' 7068', ' 1', ' 1', ' 35', ' 82']
['2', ' 7154', ' 0', ' 1', ' 35', ' 64']
['2', ' 7196', ' 1', ' 1', ' 38', ' 82']
['2', ' 7311', ' 0', ' 1', ' 38', ' 64']
['2', ' 7421', ' 1', ' 1', ' 33', ' 87']
['2', ' 7525', ' 0', ' 1', ' 33', ' 64']
['2', ' 7671', ' 1', ' 1', ' 40', ' 103']
['2', ' 7785', ' 0', ' 1', ' 40', ' 64']
['2', ' 7896', ' 1', ' 1', ' 35', ' 77']
['2', ' 8006', ' 0', ' 1', ' 35', ' 64']
['2', ' 8136', ' 1', ' 1', ' 38', ' 94']
['2', ' 8247', ' 0', ' 1', ' 38', ' 64']
['2', ' 8359', ' 1', ' 1', ' 33', ' 74']
['2', ' 8443', ' 0', ' 1', ' 33', ' 64']
['2', ' 8543', ' 1', ' 1', ' 40', ' 85']
['2', ' 8629', ' 0', ' 1', ' 40', ' 64']
['2', ' 8759', ' 1', ' 1', ' 35', ' 76']
['2', ' 8852', ' 0', ' 1', ' 35', ' 64']
['2', ' 8978', ' 1', ' 1', ' 35', ' 66']
['2', ' 9070', ' 0', ' 1', ' 35', ' 64']
['2', ' 9104', ' 1', ' 1', ' 38', ' 87']
['2', ' 9218', ' 0', ' 1', ' 38', ' 64']
['2', ' 9333', ' 1', ' 1', ' 33', ' 85']
['2', ' 9437', ' 0', ' 1', ' 33', ' 64']
