['2', ' 0', ' 3', ' 0', ' 35']
['2', ' 0', ' 2', ' 0', ' 7', ' 109']
['2', ' 0', ' 2', ' 0', ' 10', ' 63']
['2', ' 0', ' 2', ' 0', ' 91', ' 12']
['2', ' 0', ' 1', ' 0', ' 24', ' 64']
['2', ' 1860', ' 1', ' 0', ' 24', ' 0']
['2', ' 1920', ' 1', ' 0', ' 25', ' 64']
['2', ' 2580', ' 1', ' 0', ' 25', ' 0']
['2', ' 2640', ' 1', ' 0', ' 37', ' 64']
['2', ' 3060', ' 1', ' 0', ' 37', ' 0']
['2', ' 3120', ' 1', ' 0', ' 37', ' 64']
['2', ' 3300', ' 1', ' 0', ' 37', ' 0']
['2', ' 3360', ' 1', ' 0', ' 25', ' 64']
['2', ' 3780', ' 1', ' 0', ' 25', ' 0']
['2', ' 3840', ' 1', ' 0', ' 26', ' 64']
['2', ' 4500', ' 1', ' 0', ' 26', ' 0']
['2', ' 4560', ' 1', ' 0', ' 38', ' 64']
['2', ' 4980', ' 1', ' 0', ' 38', ' 0']
['2', ' 5040', ' 1', ' 0', ' 26', ' 64']
['2', ' 5220', ' 1', ' 0', ' 26', ' 0']
['2', ' 5280', ' 1', ' 0', ' 38', ' 64']
['2', ' 5700', ' 1', ' 0', ' 38', ' 0']
['2', ' 5760', ' 1', ' 0', ' 27', ' 64']
['2', ' 6420', ' 1', ' 0', ' 27', ' 0']
['2', ' 6480', ' 1', ' 0', ' 39', ' 64']
['2', ' 6900', ' 1', ' 0', ' 39', ' 0']
['2', ' 6960', ' 1', ' 0', ' 39', ' 64']
['2', ' 7140', ' 1', ' 0', ' 39', ' 0']
['2', ' 7200', ' 1', ' 0', ' 27', ' 64']
['2', ' 7620', ' 1', ' 0', ' 27', ' 0']
['2', ' 7680', ' 1', ' 0', ' 29', ' 65']
['2', ' 7860', ' 1', ' 0', ' 29', ' 0']
['2', ' 7920', ' 1', ' 0', ' 29', ' 70']
['2', ' 8100', ' 1', ' 0', ' 29', ' 0']
['2', ' 8160', ' 1', ' 0', ' 29', ' 75']
['2', ' 8340', ' 1', ' 0', ' 29', ' 0']
['2', ' 8400', ' 1', ' 0', ' 29', ' 80']
['2', ' 8580', ' 1', ' 0', ' 29', ' 0']
['2', ' 8640', ' 1', ' 0', ' 29', ' 85']
['2', ' 8820', ' 1', ' 0', ' 29', ' 0']
['2', ' 8880', ' 1', ' 0', ' 29', ' 90']
['2', ' 9060', ' 1', ' 0', ' 29', ' 0']
['2', ' 9120', ' 1', ' 0', ' 29', ' 95']
['2', ' 9300', ' 1', ' 0', ' 29', ' 0']
['2', ' 9360', ' 1', ' 0', ' 29', ' 100']
['2', ' 9540', ' 1', ' 0', ' 29', ' 0']
['2', ' 9600', ' 1', ' 0', ' 26', ' 64']
['2', ' 9780', ' 1', ' 0', ' 26', ' 0']
['2', ' 9840', ' 1', ' 0', ' 26', ' 64']
['2', ' 10020', ' 1', ' 0', ' 26', ' 0']
['2', ' 10080', ' 1', ' 0', ' 30', ' 64']
['2', ' 10260', ' 1', ' 0', ' 30', ' 0']
['2', ' 10320', ' 1', ' 0', ' 30', ' 64']
['2', ' 10500', ' 1', ' 0', ' 30', ' 0']
