['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 3', ' 0', ' 30']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 24']
['2', ' 0', ' 2', ' 1', ' 7', ' 127']
['2', ' 0', ' 3', ' 1', ' 30']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 24']
['2', ' 0', ' 1', ' 0', ' 45', ' 104']
['2', ' 0', ' 1', ' 0', ' 52', ' 104']
['2', ' 0', ' 1', ' 0', ' 57', ' 104']
['2', ' 0', ' 1', ' 0', ' 61', ' 104']
['2', ' 0', ' 1', ' 0', ' 64', ' 104']
['2', ' 720', ' 0', ' 0', ' 64', ' 0']
['2', ' 720', ' 0', ' 0', ' 61', ' 0']
['2', ' 720', ' 0', ' 0', ' 57', ' 0']
['2', ' 720', ' 0', ' 0', ' 52', ' 0']
['2', ' 720', ' 0', ' 0', ' 45', ' 0']
['2', ' 720', ' 1', ' 0', ' 45', ' 104']
['2', ' 720', ' 1', ' 0', ' 52', ' 104']
['2', ' 720', ' 1', ' 0', ' 57', ' 104']
['2', ' 720', ' 1', ' 0', ' 61', ' 104']
['2', ' 720', ' 1', ' 0', ' 64', ' 104']
['2', ' 1440', ' 0', ' 0', ' 64', ' 0']
['2', ' 1440', ' 0', ' 0', ' 61', ' 0']
['2', ' 1440', ' 0', ' 0', ' 57', ' 0']
['2', ' 1440', ' 0', ' 0', ' 52', ' 0']
['2', ' 1440', ' 0', ' 0', ' 45', ' 0']
['2', ' 1440', ' 1', ' 0', ' 45', ' 104']
['2', ' 1440', ' 1', ' 0', ' 52', ' 104']
['2', ' 1440', ' 1', ' 0', ' 57', ' 104']
['2', ' 1440', ' 1', ' 0', ' 61', ' 104']
['2', ' 1440', ' 1', ' 0', ' 64', ' 104']
['2', ' 2160', ' 0', ' 0', ' 64', ' 0']
['2', ' 2160', ' 0', ' 0', ' 61', ' 0']
['2', ' 2160', ' 0', ' 0', ' 57', ' 0']
['2', ' 2160', ' 0', ' 0', ' 52', ' 0']
['2', ' 2160', ' 0', ' 0', ' 45', ' 0']
['2', ' 2160', ' 1', ' 0', ' 45', ' 104']
['2', ' 2160', ' 1', ' 0', ' 52', ' 104']
['2', ' 2160', ' 1', ' 0', ' 57', ' 104']
['2', ' 2160', ' 1', ' 0', ' 61', ' 104']
['2', ' 2160', ' 1', ' 0', ' 64', ' 104']
['2', ' 2520', ' 0', ' 0', ' 64', ' 0']
['2', ' 2520', ' 0', ' 0', ' 61', ' 0']
['2', ' 2520', ' 0', ' 0', ' 57', ' 0']
['2', ' 2520', ' 0', ' 0', ' 52', ' 0']
['2', ' 2520', ' 0', ' 0', ' 45', ' 0']
['2', ' 2520', ' 1', ' 0', ' 44', ' 104']
['2', ' 2520', ' 1', ' 0', ' 45', ' 104']
['2', ' 2520', ' 1', ' 0', ' 52', ' 104']
['2', ' 2520', ' 1', ' 0', ' 57', ' 104']
['2', ' 2520', ' 1', ' 0', ' 61', ' 104']
['2', ' 3240', ' 0', ' 0', ' 61', ' 0']
['2', ' 3240', ' 0', ' 0', ' 57', ' 0']
['2', ' 3240', ' 0', ' 0', ' 52', ' 0']
['2', ' 3240', ' 0', ' 0', ' 45', ' 0']
['2', ' 3240', ' 0', ' 0', ' 44', ' 0']
['2', ' 3240', ' 1', ' 0', ' 44', ' 104']
['2', ' 3240', ' 1', ' 0', ' 45', ' 104']
['2', ' 3240', ' 1', ' 0', ' 52', ' 104']
['2', ' 3240', ' 1', ' 0', ' 57', ' 104']
['2', ' 3240', ' 1', ' 0', ' 61', ' 104']
['2', ' 3600', ' 0', ' 0', ' 61', ' 0']
['2', ' 3600', ' 0', ' 0', ' 57', ' 0']
['2', ' 3600', ' 0', ' 0', ' 52', ' 0']
['2', ' 3600', ' 0', ' 0', ' 45', ' 0']
['2', ' 3600', ' 0', ' 0', ' 44', ' 0']
['2', ' 3600', ' 1', ' 0', ' 44', ' 104']
['2', ' 3600', ' 1', ' 0', ' 45', ' 104']
['2', ' 3600', ' 1', ' 0', ' 52', ' 104']
['2', ' 3600', ' 1', ' 0', ' 57', ' 104']
['2', ' 3600', ' 1', ' 0', ' 61', ' 104']
['2', ' 3960', ' 0', ' 0', ' 61', ' 0']
['2', ' 3960', ' 0', ' 0', ' 57', ' 0']
['2', ' 3960', ' 0', ' 0', ' 52', ' 0']
['2', ' 3960', ' 0', ' 0', ' 45', ' 0']
['2', ' 3960', ' 0', ' 0', ' 44', ' 0']
['2', ' 3960', ' 1', ' 0', ' 44', ' 104']
['2', ' 3960', ' 1', ' 0', ' 45', ' 104']
