['2', ' 0', ' 3', ' 1', ' 26']
['2', ' 0', ' 2', ' 1', ' 7', ' 127']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 1', ' 1', ' 50', ' 110']
['2', ' 336', ' 1', ' 1', ' 50', ' 0']
['2', ' 384', ' 1', ' 1', ' 55', ' 110']
['2', ' 720', ' 1', ' 1', ' 55', ' 0']
['2', ' 768', ' 1', ' 1', ' 60', ' 110']
['2', ' 1104', ' 1', ' 1', ' 60', ' 0']
['2', ' 1152', ' 1', ' 1', ' 57', ' 110']
['2', ' 1534', ' 1', ' 1', ' 57', ' 0']
['2', ' 1536', ' 1', ' 1', ' 58', ' 110']
['2', ' 1536', ' 1', ' 1', ' 69', ' 110']
['2', ' 1696', ' 1', ' 1', ' 58', ' 0']
['2', ' 1792', ' 1', ' 1', ' 69', ' 0']
['2', ' 1824', ' 1', ' 1', ' 62', ' 110']
['2', ' 1918', ' 1', ' 1', ' 62', ' 0']
['2', ' 1920', ' 1', ' 1', ' 65', ' 110']
['2', ' 2080', ' 1', ' 1', ' 65', ' 0']
['2', ' 2112', ' 1', ' 1', ' 67', ' 110']
['2', ' 2272', ' 1', ' 1', ' 67', ' 0']
['2', ' 2304', ' 1', ' 1', ' 64', ' 110']
['2', ' 2304', ' 1', ' 1', ' 70', ' 110']
['2', ' 2464', ' 1', ' 1', ' 64', ' 0']
['2', ' 2464', ' 1', ' 1', ' 70', ' 0']
['2', ' 2496', ' 1', ' 1', ' 65', ' 110']
['2', ' 2656', ' 1', ' 1', ' 65', ' 0']
['2', ' 2688', ' 1', ' 1', ' 62', ' 110']
['2', ' 2782', ' 1', ' 1', ' 62', ' 0']
['2', ' 2784', ' 1', ' 1', ' 72', ' 110']
['2', ' 2878', ' 1', ' 1', ' 72', ' 0']
['2', ' 2880', ' 1', ' 1', ' 64', ' 110']
['2', ' 3040', ' 1', ' 1', ' 64', ' 0']
['2', ' 3072', ' 1', ' 1', ' 72', ' 110']
['2', ' 3072', ' 1', ' 1', ' 77', ' 110']
['2', ' 3232', ' 1', ' 1', ' 72', ' 0']
['2', ' 3232', ' 1', ' 1', ' 77', ' 0']
['2', ' 3264', ' 1', ' 1', ' 69', ' 110']
['2', ' 3424', ' 1', ' 1', ' 69', ' 0']
['2', ' 3456', ' 1', ' 1', ' 70', ' 110']
['2', ' 3616', ' 1', ' 1', ' 70', ' 0']
['2', ' 3648', ' 1', ' 1', ' 77', ' 110']
['2', ' 3808', ' 1', ' 1', ' 77', ' 0']
['2', ' 3840', ' 2', ' 1', ' 7', ' 64']
['2', ' 3840', ' 1', ' 1', ' 82', ' 110']
['2', ' 3886', ' 1', ' 1', ' 82', ' 0']
['2', ' 3888', ' 2', ' 1', ' 7', ' 63']
['2', ' 3888', ' 1', ' 1', ' 70', ' 110']
['2', ' 3936', ' 2', ' 1', ' 7', ' 62']
['2', ' 3984', ' 2', ' 1', ' 7', ' 61']
