['2', ' 0', ' 3', ' 1', ' 34']
['2', ' 0', ' 2', ' 1', ' 7', ' 75']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 4']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 3', ' 1', ' 34']
['2', ' 3840', ' 1', ' 1', ' 30', ' 127']
['2', ' 4080', ' 1', ' 1', ' 30', ' 0']
['2', ' 4080', ' 1', ' 1', ' 30', ' 127']
['2', ' 4320', ' 1', ' 1', ' 30', ' 0']
['2', ' 4320', ' 1', ' 1', ' 30', ' 127']
['2', ' 4560', ' 1', ' 1', ' 30', ' 0']
['2', ' 4800', ' 1', ' 1', ' 30', ' 127']
['2', ' 4920', ' 1', ' 1', ' 30', ' 0']
['2', ' 4920', ' 1', ' 1', ' 30', ' 127']
['2', ' 5040', ' 1', ' 1', ' 30', ' 0']
['2', ' 5040', ' 1', ' 1', ' 30', ' 127']
['2', ' 5280', ' 1', ' 1', ' 30', ' 0']
['2', ' 5280', ' 1', ' 1', ' 33', ' 127']
['2', ' 5400', ' 1', ' 1', ' 33', ' 0']
['2', ' 5400', ' 1', ' 1', ' 33', ' 127']
['2', ' 5520', ' 1', ' 1', ' 33', ' 0']
['2', ' 5520', ' 1', ' 1', ' 33', ' 127']
['2', ' 5760', ' 1', ' 1', ' 33', ' 0']
['2', ' 5760', ' 1', ' 1', ' 35', ' 127']
['2', ' 5880', ' 1', ' 1', ' 35', ' 0']
['2', ' 6000', ' 1', ' 1', ' 35', ' 127']
['2', ' 6240', ' 1', ' 1', ' 35', ' 0']
['2', ' 6240', ' 1', ' 1', ' 35', ' 127']
['2', ' 6360', ' 1', ' 1', ' 35', ' 0']
['2', ' 6480', ' 1', ' 1', ' 33', ' 127']
['2', ' 6720', ' 1', ' 1', ' 33', ' 0']
['2', ' 6720', ' 1', ' 1', ' 35', ' 127']
['2', ' 6840', ' 1', ' 1', ' 35', ' 0']
['2', ' 6840', ' 1', ' 1', ' 35', ' 127']
['2', ' 6960', ' 1', ' 1', ' 35', ' 0']
['2', ' 6960', ' 1', ' 1', ' 35', ' 127']
['2', ' 7200', ' 1', ' 1', ' 35', ' 0']
['2', ' 7200', ' 1', ' 1', ' 42', ' 127']
['2', ' 7440', ' 1', ' 1', ' 42', ' 0']
['2', ' 7440', ' 1', ' 1', ' 35', ' 127']
['2', ' 7620', ' 1', ' 1', ' 35', ' 0']
['2', ' 7620', ' 1', ' 1', ' 28', ' 127']
['2', ' 7680', ' 1', ' 1', ' 28', ' 0']
['2', ' 7680', ' 1', ' 1', ' 30', ' 127']
['2', ' 7920', ' 1', ' 1', ' 30', ' 0']
['2', ' 7920', ' 1', ' 1', ' 30', ' 127']
['2', ' 8160', ' 1', ' 1', ' 30', ' 0']
['2', ' 8160', ' 1', ' 1', ' 30', ' 127']
['2', ' 8400', ' 1', ' 1', ' 30', ' 0']
['2', ' 8640', ' 1', ' 1', ' 30', ' 127']
['2', ' 8760', ' 1', ' 1', ' 30', ' 0']
['2', ' 8880', ' 1', ' 1', ' 30', ' 127']
['2', ' 9120', ' 1', ' 1', ' 30', ' 0']
['2', ' 9120', ' 1', ' 1', ' 33', ' 127']
['2', ' 9240', ' 1', ' 1', ' 33', ' 0']
['2', ' 9360', ' 1', ' 1', ' 33', ' 127']
['2', ' 9600', ' 1', ' 1', ' 33', ' 0']
['2', ' 9600', ' 1', ' 1', ' 35', ' 127']
['2', ' 9720', ' 1', ' 1', ' 35', ' 0']
['2', ' 9840', ' 1', ' 1', ' 35', ' 127']
['2', ' 10080', ' 1', ' 1', ' 35', ' 0']
['2', ' 10080', ' 1', ' 1', ' 35', ' 127']
['2', ' 10320', ' 1', ' 1', ' 35', ' 0']
['2', ' 10320', ' 1', ' 1', ' 33', ' 127']
['2', ' 10560', ' 1', ' 1', ' 33', ' 0']
['2', ' 10560', ' 1', ' 1', ' 35', ' 127']
['2', ' 10680', ' 1', ' 1', ' 35', ' 0']
['2', ' 10680', ' 1', ' 1', ' 35', ' 127']
['2', ' 10800', ' 1', ' 1', ' 35', ' 0']
['2', ' 10800', ' 1', ' 1', ' 35', ' 127']
['2', ' 11040', ' 1', ' 1', ' 35', ' 0']
['2', ' 11040', ' 1', ' 1', ' 35', ' 127']
['2', ' 11160', ' 1', ' 1', ' 35', ' 0']
['2', ' 11160', ' 1', ' 1', ' 33', ' 127']
['2', ' 11280', ' 1', ' 1', ' 33', ' 0']
['2', ' 11280', ' 1', ' 1', ' 37', ' 127']
['2', ' 11520', ' 1', ' 1', ' 37', ' 0']
['2', ' 11520', ' 1', ' 1', ' 30', ' 127']
['2', ' 11640', ' 1', ' 1', ' 30', ' 0']
['2', ' 11760', ' 1', ' 1', ' 30', ' 127']
['2', ' 12000', ' 1', ' 1', ' 30', ' 0']
['2', ' 12000', ' 1', ' 1', ' 30', ' 127']
['2', ' 12120', ' 1', ' 1', ' 30', ' 0']
['2', ' 12240', ' 1', ' 1', ' 28', ' 127']
['2', ' 12480', ' 1', ' 1', ' 28', ' 0']
['2', ' 12480', ' 1', ' 1', ' 30', ' 127']
['2', ' 12600', ' 1', ' 1', ' 30', ' 0']
['2', ' 12600', ' 1', ' 1', ' 30', ' 127']
['2', ' 12720', ' 1', ' 1', ' 30', ' 0']
['2', ' 12720', ' 1', ' 1', ' 30', ' 127']
['2', ' 12960', ' 1', ' 1', ' 30', ' 0']
['2', ' 12960', ' 1', ' 1', ' 33', ' 127']
['2', ' 13080', ' 1', ' 1', ' 33', ' 0']
['2', ' 13200', ' 1', ' 1', ' 33', ' 127']
['2', ' 13440', ' 1', ' 1', ' 33', ' 0']
['2', ' 13440', ' 1', ' 1', ' 35', ' 127']
['2', ' 13560', ' 1', ' 1', ' 35', ' 0']
['2', ' 13680', ' 1', ' 1', ' 35', ' 127']
['2', ' 13920', ' 1', ' 1', ' 35', ' 0']
['2', ' 13920', ' 1', ' 1', ' 35', ' 127']
['2', ' 14160', ' 1', ' 1', ' 35', ' 0']
['2', ' 14160', ' 1', ' 1', ' 37', ' 127']
['2', ' 14280', ' 1', ' 1', ' 37', ' 0']
['2', ' 14280', ' 1', ' 1', ' 38', ' 127']
['2', ' 14400', ' 1', ' 1', ' 38', ' 0']
['2', ' 14400', ' 1', ' 1', ' 35', ' 127']
['2', ' 14520', ' 1', ' 1', ' 35', ' 0']
['2', ' 14520', ' 1', ' 1', ' 33', ' 127']
['2', ' 14640', ' 1', ' 1', ' 33', ' 0']
['2', ' 14640', ' 1', ' 1', ' 35', ' 127']
['2', ' 15120', ' 1', ' 1', ' 35', ' 0']
['2', ' 15120', ' 1', ' 1', ' 37', ' 127']
['2', ' 15360', ' 1', ' 1', ' 37', ' 0']
['2', ' 15360', ' 1', ' 1', ' 30', ' 127']
['2', ' 15480', ' 1', ' 1', ' 30', ' 0']
['2', ' 15600', ' 1', ' 1', ' 30', ' 127']
['2', ' 16080', ' 1', ' 1', ' 30', ' 0']
['2', ' 16080', ' 1', ' 1', ' 30', ' 127']
['2', ' 16320', ' 1', ' 1', ' 30', ' 0']
['2', ' 16320', ' 1', ' 1', ' 37', ' 127']
['2', ' 16440', ' 1', ' 1', ' 37', ' 0']
['2', ' 16440', ' 1', ' 1', ' 37', ' 127']
['2', ' 16560', ' 1', ' 1', ' 37', ' 0']
['2', ' 16560', ' 1', ' 1', ' 37', ' 127']
['2', ' 16800', ' 1', ' 1', ' 37', ' 0']
['2', ' 16800', ' 1', ' 1', ' 37', ' 127']
['2', ' 16920', ' 1', ' 1', ' 37', ' 0']
['2', ' 17040', ' 1', ' 1', ' 38', ' 127']
['2', ' 17280', ' 1', ' 1', ' 38', ' 0']
['2', ' 17280', ' 1', ' 1', ' 35', ' 127']
['2', ' 17760', ' 1', ' 1', ' 35', ' 0']
['2', ' 17760', ' 1', ' 1', ' 47', ' 127']
['2', ' 18000', ' 1', ' 1', ' 47', ' 0']
['2', ' 18000', ' 1', ' 1', ' 42', ' 127']
['2', ' 18240', ' 1', ' 1', ' 42', ' 0']
['2', ' 18240', ' 1', ' 1', ' 47', ' 127']
['2', ' 18720', ' 1', ' 1', ' 47', ' 0']
['2', ' 18720', ' 1', ' 1', ' 42', ' 127']
['2', ' 19200', ' 1', ' 1', ' 42', ' 0']
['2', ' 19200', ' 1', ' 1', ' 30', ' 127']
['2', ' 19440', ' 1', ' 1', ' 30', ' 0']
['2', ' 19440', ' 1', ' 1', ' 30', ' 127']
['2', ' 19680', ' 1', ' 1', ' 30', ' 0']
['2', ' 19680', ' 1', ' 1', ' 30', ' 127']
['2', ' 19920', ' 1', ' 1', ' 30', ' 0']
['2', ' 20160', ' 1', ' 1', ' 30', ' 127']
['2', ' 20280', ' 1', ' 1', ' 30', ' 0']
['2', ' 20280', ' 1', ' 1', ' 30', ' 127']
['2', ' 20400', ' 1', ' 1', ' 30', ' 0']
['2', ' 20400', ' 1', ' 1', ' 30', ' 127']
['2', ' 20640', ' 1', ' 1', ' 30', ' 0']
['2', ' 20640', ' 1', ' 1', ' 33', ' 127']
['2', ' 20760', ' 1', ' 1', ' 33', ' 0']
['2', ' 20760', ' 1', ' 1', ' 33', ' 127']
['2', ' 20880', ' 1', ' 1', ' 33', ' 0']
['2', ' 20880', ' 1', ' 1', ' 33', ' 127']
['2', ' 21120', ' 1', ' 1', ' 33', ' 0']
['2', ' 21120', ' 1', ' 1', ' 35', ' 127']
['2', ' 21240', ' 1', ' 1', ' 35', ' 0']
['2', ' 21360', ' 1', ' 1', ' 35', ' 127']
['2', ' 21600', ' 1', ' 1', ' 35', ' 0']
['2', ' 21600', ' 1', ' 1', ' 35', ' 127']
['2', ' 21720', ' 1', ' 1', ' 35', ' 0']
['2', ' 21840', ' 1', ' 1', ' 33', ' 127']
['2', ' 22080', ' 1', ' 1', ' 33', ' 0']
['2', ' 22080', ' 1', ' 1', ' 35', ' 127']
['2', ' 22200', ' 1', ' 1', ' 35', ' 0']
['2', ' 22200', ' 1', ' 1', ' 35', ' 127']
['2', ' 22320', ' 1', ' 1', ' 35', ' 0']
['2', ' 22320', ' 1', ' 1', ' 35', ' 127']
['2', ' 22560', ' 1', ' 1', ' 35', ' 0']
['2', ' 22560', ' 1', ' 1', ' 42', ' 127']
['2', ' 22800', ' 1', ' 1', ' 42', ' 0']
['2', ' 22800', ' 1', ' 1', ' 35', ' 127']
['2', ' 22980', ' 1', ' 1', ' 35', ' 0']
['2', ' 22980', ' 1', ' 1', ' 28', ' 127']
['2', ' 23040', ' 1', ' 1', ' 28', ' 0']
['2', ' 23040', ' 1', ' 1', ' 30', ' 127']
['2', ' 23280', ' 1', ' 1', ' 30', ' 0']
['2', ' 23280', ' 1', ' 1', ' 30', ' 127']
['2', ' 23520', ' 1', ' 1', ' 30', ' 0']
['2', ' 23520', ' 1', ' 1', ' 30', ' 127']
['2', ' 23760', ' 1', ' 1', ' 30', ' 0']
['2', ' 24000', ' 1', ' 1', ' 30', ' 127']
['2', ' 24120', ' 1', ' 1', ' 30', ' 0']
['2', ' 24240', ' 1', ' 1', ' 30', ' 127']
['2', ' 24480', ' 1', ' 1', ' 30', ' 0']
['2', ' 24480', ' 1', ' 1', ' 33', ' 127']
