['2', ' 0', ' 2', ' 9', ' 7', ' 116']
['2', ' 0', ' 2', ' 9', ' 10', ' 64']
['2', ' 0', ' 3', ' 9', ' 1']
['2', ' 0', ' 1', ' 9', ' 44', ' 100']
['2', ' 233', ' 0', ' 9', ' 44', ' 80']
['2', ' 240', ' 1', ' 9', ' 44', ' 100']
['2', ' 480', ' 1', ' 9', ' 42', ' 100']
['2', ' 480', ' 1', ' 9', ' 75', ' 100']
['2', ' 480', ' 1', ' 9', ' 75', ' 100']
['2', ' 487', ' 0', ' 9', ' 44', ' 80']
['2', ' 713', ' 0', ' 9', ' 42', ' 80']
['2', ' 720', ' 0', ' 9', ' 75', ' 80']
['2', ' 720', ' 0', ' 9', ' 75', ' 80']
['2', ' 720', ' 1', ' 9', ' 42', ' 100']
['2', ' 960', ' 1', ' 9', ' 44', ' 100']
['2', ' 967', ' 0', ' 9', ' 42', ' 80']
['2', ' 1200', ' 0', ' 9', ' 44', ' 80']
['2', ' 1200', ' 1', ' 9', ' 44', ' 100']
['2', ' 1440', ' 0', ' 9', ' 44', ' 80']
['2', ' 1440', ' 1', ' 9', ' 42', ' 100']
['2', ' 1440', ' 1', ' 9', ' 75', ' 100']
['2', ' 1440', ' 1', ' 9', ' 75', ' 100']
['2', ' 1673', ' 0', ' 9', ' 42', ' 80']
['2', ' 1680', ' 0', ' 9', ' 75', ' 80']
['2', ' 1680', ' 0', ' 9', ' 75', ' 80']
['2', ' 1680', ' 1', ' 9', ' 42', ' 100']
['2', ' 1920', ' 0', ' 9', ' 42', ' 80']
['2', ' 1920', ' 1', ' 9', ' 44', ' 100']
['2', ' 2153', ' 0', ' 9', ' 44', ' 80']
['2', ' 2160', ' 1', ' 9', ' 44', ' 100']
['2', ' 2400', ' 1', ' 9', ' 42', ' 100']
['2', ' 2400', ' 1', ' 9', ' 75', ' 100']
['2', ' 2400', ' 1', ' 9', ' 75', ' 100']
['2', ' 2407', ' 0', ' 9', ' 44', ' 80']
['2', ' 2633', ' 0', ' 9', ' 42', ' 80']
['2', ' 2640', ' 0', ' 9', ' 75', ' 80']
['2', ' 2640', ' 0', ' 9', ' 75', ' 80']
['2', ' 2640', ' 1', ' 9', ' 42', ' 100']
['2', ' 2880', ' 1', ' 9', ' 44', ' 100']
['2', ' 2887', ' 0', ' 9', ' 42', ' 80']
['2', ' 3120', ' 0', ' 9', ' 44', ' 80']
