['2', ' 121', ' 2', ' 9', ' 7', ' 100']
['2', ' 122', ' 2', ' 9', ' 10', ' 64']
['2', ' 123', ' 2', ' 9', ' 91', ' 64']
['2', ' 125', ' 2', ' 9', ' 93', ' 25']
['2', ' 126', ' 2', ' 9', ' 32', ' 0']
['2', ' 126', ' 2', ' 9', ' 0', ' 0']
['2', ' 126', ' 3', ' 9', ' 0']
['2', ' 2400', ' 1', ' 9', ' 35', ' 110']
['2', ' 2400', ' 1', ' 9', ' 49', ' 110']
['2', ' 2411', ' 1', ' 9', ' 35', ' 0']
['2', ' 2411', ' 1', ' 9', ' 49', ' 0']
['2', ' 2520', ' 1', ' 9', ' 38', ' 110']
['2', ' 2520', ' 1', ' 9', ' 39', ' 120']
['2', ' 2520', ' 1', ' 9', ' 46', ' 95']
['2', ' 2531', ' 1', ' 9', ' 38', ' 0']
['2', ' 2531', ' 1', ' 9', ' 39', ' 0']
['2', ' 2531', ' 1', ' 9', ' 46', ' 0']
['2', ' 2640', ' 1', ' 9', ' 46', ' 95']
['2', ' 2640', ' 1', ' 9', ' 35', ' 110']
['2', ' 2651', ' 1', ' 9', ' 46', ' 0']
['2', ' 2651', ' 1', ' 9', ' 35', ' 0']
['2', ' 2760', ' 1', ' 9', ' 39', ' 120']
['2', ' 2760', ' 1', ' 9', ' 46', ' 95']
['2', ' 2760', ' 1', ' 9', ' 38', ' 110']
['2', ' 2771', ' 1', ' 9', ' 39', ' 0']
['2', ' 2771', ' 1', ' 9', ' 46', ' 0']
['2', ' 2771', ' 1', ' 9', ' 38', ' 0']
['2', ' 2880', ' 1', ' 9', ' 35', ' 110']
['2', ' 2880', ' 1', ' 9', ' 46', ' 95']
['2', ' 2891', ' 1', ' 9', ' 35', ' 0']
['2', ' 2891', ' 1', ' 9', ' 46', ' 0']
['2', ' 3000', ' 1', ' 9', ' 39', ' 120']
['2', ' 3000', ' 1', ' 9', ' 38', ' 110']
['2', ' 3000', ' 1', ' 9', ' 46', ' 95']
['2', ' 3011', ' 1', ' 9', ' 39', ' 0']
['2', ' 3011', ' 1', ' 9', ' 38', ' 0']
['2', ' 3011', ' 1', ' 9', ' 46', ' 0']
['2', ' 3120', ' 1', ' 9', ' 35', ' 110']
['2', ' 3120', ' 1', ' 9', ' 46', ' 95']
['2', ' 3131', ' 1', ' 9', ' 35', ' 0']
['2', ' 3131', ' 1', ' 9', ' 46', ' 0']
['2', ' 3240', ' 1', ' 9', ' 46', ' 95']
['2', ' 3240', ' 1', ' 9', ' 38', ' 110']
['2', ' 3240', ' 1', ' 9', ' 39', ' 120']
['2', ' 3251', ' 1', ' 9', ' 46', ' 0']
['2', ' 3251', ' 1', ' 9', ' 38', ' 0']
['2', ' 3251', ' 1', ' 9', ' 39', ' 0']
['2', ' 3320', ' 1', ' 9', ' 35', ' 110']
['2', ' 3331', ' 1', ' 9', ' 35', ' 0']
['2', ' 3360', ' 1', ' 9', ' 46', ' 95']
['2', ' 3360', ' 1', ' 9', ' 35', ' 110']
['2', ' 3371', ' 1', ' 9', ' 46', ' 0']
['2', ' 3371', ' 1', ' 9', ' 35', ' 0']
['2', ' 3480', ' 1', ' 9', ' 39', ' 120']
['2', ' 3480', ' 1', ' 9', ' 38', ' 110']
['2', ' 3480', ' 1', ' 9', ' 46', ' 95']
['2', ' 3491', ' 1', ' 9', ' 39', ' 0']
['2', ' 3491', ' 1', ' 9', ' 38', ' 0']
['2', ' 3491', ' 1', ' 9', ' 46', ' 0']
['2', ' 3600', ' 1', ' 9', ' 46', ' 95']
['2', ' 3600', ' 1', ' 9', ' 35', ' 110']
['2', ' 3611', ' 1', ' 9', ' 46', ' 0']
['2', ' 3611', ' 1', ' 9', ' 35', ' 0']
['2', ' 3720', ' 1', ' 9', ' 38', ' 110']
['2', ' 3720', ' 1', ' 9', ' 39', ' 120']
['2', ' 3720', ' 1', ' 9', ' 46', ' 95']
['2', ' 3731', ' 1', ' 9', ' 38', ' 0']
['2', ' 3731', ' 1', ' 9', ' 39', ' 0']
['2', ' 3731', ' 1', ' 9', ' 46', ' 0']
['2', ' 3800', ' 1', ' 9', ' 35', ' 110']
['2', ' 3811', ' 1', ' 9', ' 35', ' 0']
['2', ' 3840', ' 1', ' 9', ' 35', ' 110']
['2', ' 3840', ' 1', ' 9', ' 46', ' 95']
['2', ' 3851', ' 1', ' 9', ' 35', ' 0']
['2', ' 3851', ' 1', ' 9', ' 46', ' 0']
['2', ' 3920', ' 1', ' 9', ' 35', ' 110']
['2', ' 3931', ' 1', ' 9', ' 35', ' 0']
['2', ' 3960', ' 1', ' 9', ' 46', ' 95']
['2', ' 3960', ' 1', ' 9', ' 39', ' 120']
['2', ' 3960', ' 1', ' 9', ' 38', ' 110']
['2', ' 3971', ' 1', ' 9', ' 46', ' 0']
['2', ' 3971', ' 1', ' 9', ' 39', ' 0']
['2', ' 3971', ' 1', ' 9', ' 38', ' 0']
['2', ' 4080', ' 1', ' 9', ' 46', ' 95']
['2', ' 4080', ' 1', ' 9', ' 35', ' 110']
['2', ' 4091', ' 1', ' 9', ' 46', ' 0']
['2', ' 4091', ' 1', ' 9', ' 35', ' 0']
['2', ' 4160', ' 1', ' 9', ' 35', ' 110']
['2', ' 4171', ' 1', ' 9', ' 35', ' 0']
['2', ' 4200', ' 1', ' 9', ' 38', ' 110']
['2', ' 4200', ' 1', ' 9', ' 39', ' 120']
['2', ' 4200', ' 1', ' 9', ' 46', ' 95']
['2', ' 4211', ' 1', ' 9', ' 38', ' 0']
['2', ' 4211', ' 1', ' 9', ' 39', ' 0']
['2', ' 4211', ' 1', ' 9', ' 46', ' 0']
['2', ' 4280', ' 1', ' 9', ' 35', ' 110']
['2', ' 4291', ' 1', ' 9', ' 35', ' 0']
['2', ' 4320', ' 1', ' 9', ' 35', ' 110']
['2', ' 4320', ' 1', ' 9', ' 46', ' 95']
['2', ' 4331', ' 1', ' 9', ' 35', ' 0']
['2', ' 4331', ' 1', ' 9', ' 46', ' 0']
['2', ' 4440', ' 1', ' 9', ' 39', ' 120']
['2', ' 4440', ' 1', ' 9', ' 38', ' 110']
['2', ' 4440', ' 1', ' 9', ' 46', ' 95']
['2', ' 4451', ' 1', ' 9', ' 39', ' 0']
['2', ' 4451', ' 1', ' 9', ' 38', ' 0']
['2', ' 4451', ' 1', ' 9', ' 46', ' 0']
['2', ' 4560', ' 1', ' 9', ' 35', ' 110']
['2', ' 4560', ' 1', ' 9', ' 46', ' 95']
['2', ' 4571', ' 1', ' 9', ' 35', ' 0']
['2', ' 4571', ' 1', ' 9', ' 46', ' 0']
['2', ' 4680', ' 1', ' 9', ' 39', ' 120']
