['15', ' 0', ' 2', ' 1', ' 7', ' 110']
['15', ' 0', ' 2', ' 1', ' 10', ' 64']
['15', ' 0', ' 3', ' 1', ' 42']
['15', ' 0', ' 2', ' 1', ' 1', ' 10']
['15', ' 0', ' 2', ' 1', ' 11', ' 127']
['15', ' 0', ' 2', ' 1', ' 64', ' 0']
['15', ' 300', ' 2', ' 1', ' 91', ' 64']
['15', ' 960', ' 2', ' 1', ' 93', ' 0']
['15', ' 2160', ' 1', ' 1', ' 43', ' 120']
['15', ' 2320', ' 0', ' 1', ' 43', ' 64']
['15', ' 2400', ' 1', ' 1', ' 47', ' 100']
['15', ' 2560', ' 0', ' 1', ' 47', ' 64']
['15', ' 2640', ' 1', ' 1', ' 48', ' 90']
['15', ' 3820', ' 0', ' 1', ' 48', ' 64']
['15', ' 3840', ' 2', ' 1', ' 7', ' 100']
['15', ' 3840', ' 1', ' 1', ' 48', ' 90']
['15', ' 4060', ' 2', ' 1', ' 7', ' 90']
['15', ' 4260', ' 2', ' 1', ' 7', ' 100']
['15', ' 4460', ' 2', ' 1', ' 7', ' 110']
['15', ' 4660', ' 2', ' 1', ' 7', ' 120']
['15', ' 4860', ' 2', ' 1', ' 7', ' 127']
['15', ' 5060', ' 2', ' 1', ' 7', ' 120']
['15', ' 5260', ' 2', ' 1', ' 7', ' 110']
['15', ' 5460', ' 2', ' 1', ' 7', ' 100']
['15', ' 5740', ' 0', ' 1', ' 48', ' 64']
['15', ' 5760', ' 1', ' 1', ' 47', ' 90']
['15', ' 6110', ' 0', ' 1', ' 47', ' 64']
['15', ' 6480', ' 2', ' 1', ' 7', ' 110']
['15', ' 6480', ' 1', ' 1', ' 43', ' 120']
['15', ' 6640', ' 0', ' 1', ' 43', ' 64']
['15', ' 6720', ' 1', ' 1', ' 40', ' 90']
['15', ' 7660', ' 0', ' 1', ' 40', ' 64']
['15', ' 7680', ' 1', ' 1', ' 40', ' 90']
['15', ' 8140', ' 2', ' 1', ' 7', ' 105']
['15', ' 8340', ' 2', ' 1', ' 7', ' 100']
['15', ' 8540', ' 2', ' 1', ' 7', ' 95']
['15', ' 8740', ' 2', ' 1', ' 7', ' 90']
['15', ' 8940', ' 2', ' 1', ' 7', ' 85']
['15', ' 9580', ' 0', ' 1', ' 40', ' 64']
['15', ' 9600', ' 2', ' 1', ' 7', ' 110']
['15', ' 9840', ' 1', ' 1', ' 43', ' 120']
['15', ' 10000', ' 0', ' 1', ' 43', ' 64']
['15', ' 10080', ' 1', ' 1', ' 40', ' 120']
['15', ' 10240', ' 0', ' 1', ' 40', ' 64']
['15', ' 10320', ' 1', ' 1', ' 36', ' 110']
['15', ' 11500', ' 0', ' 1', ' 36', ' 64']
['15', ' 11520', ' 2', ' 1', ' 7', ' 100']
['15', ' 11520', ' 1', ' 1', ' 36', ' 110']
['15', ' 11640', ' 2', ' 1', ' 7', ' 110']
['15', ' 11740', ' 2', ' 1', ' 7', ' 120']
['15', ' 11840', ' 2', ' 1', ' 7', ' 127']
['15', ' 12040', ' 2', ' 1', ' 7', ' 120']
['15', ' 12240', ' 2', ' 1', ' 7', ' 110']
['15', ' 12440', ' 2', ' 1', ' 7', ' 100']
['15', ' 12640', ' 2', ' 1', ' 7', ' 90']
['15', ' 12840', ' 2', ' 1', ' 7', ' 80']
['15', ' 13420', ' 0', ' 1', ' 36', ' 64']
['15', ' 13440', ' 2', ' 1', ' 7', ' 110']
['15', ' 13680', ' 1', ' 1', ' 47', ' 110']
['15', ' 13880', ' 0', ' 1', ' 47', ' 64']
['15', ' 13920', ' 1', ' 1', ' 43', ' 120']
['15', ' 14080', ' 0', ' 1', ' 43', ' 64']
['15', ' 14160', ' 1', ' 1', ' 40', ' 100']
['15', ' 15340', ' 0', ' 1', ' 40', ' 64']
['15', ' 15360', ' 1', ' 1', ' 40', ' 100']
['15', ' 15820', ' 2', ' 1', ' 7', ' 105']
['15', ' 16020', ' 2', ' 1', ' 7', ' 100']
['15', ' 16220', ' 2', ' 1', ' 7', ' 95']
['15', ' 16420', ' 2', ' 1', ' 7', ' 90']
['15', ' 16620', ' 2', ' 1', ' 7', ' 85']
['15', ' 17260', ' 0', ' 1', ' 40', ' 64']
['15', ' 17280', ' 2', ' 1', ' 7', ' 110']
['15', ' 17280', ' 3', ' 1', ' 48']
['15', ' 17280', ' 1', ' 1', ' 40', ' 110']
['15', ' 17480', ' 0', ' 1', ' 40', ' 64']
['15', ' 17760', ' 1', ' 1', ' 40', ' 100']
['15', ' 17960', ' 0', ' 1', ' 40', ' 64']
['15', ' 18240', ' 1', ' 1', ' 40', ' 100']
['15', ' 18440', ' 0', ' 1', ' 40', ' 64']
['15', ' 18720', ' 1', ' 1', ' 40', ' 90']
['15', ' 18920', ' 0', ' 1', ' 40', ' 64']
['15', ' 19200', ' 1', ' 1', ' 40', ' 90']
['15', ' 19400', ' 0', ' 1', ' 40', ' 64']
['15', ' 19680', ' 1', ' 1', ' 40', ' 80']
['15', ' 19880', ' 0', ' 1', ' 40', ' 64']
['15', ' 20160', ' 1', ' 1', ' 40', ' 90']
['15', ' 20360', ' 0', ' 1', ' 40', ' 64']
['15', ' 20640', ' 1', ' 1', ' 40', ' 100']
['15', ' 20840', ' 0', ' 1', ' 40', ' 64']
['15', ' 21120', ' 1', ' 1', ' 40', ' 110']
['15', ' 21320', ' 0', ' 1', ' 40', ' 64']
['15', ' 21600', ' 1', ' 1', ' 40', ' 100']
['15', ' 21800', ' 0', ' 1', ' 40', ' 64']
['15', ' 22080', ' 1', ' 1', ' 40', ' 100']
['15', ' 22280', ' 0', ' 1', ' 40', ' 64']
['15', ' 22560', ' 1', ' 1', ' 40', ' 90']
['15', ' 22760', ' 0', ' 1', ' 40', ' 64']
['15', ' 23040', ' 1', ' 1', ' 48', ' 100']
['15', ' 23300', ' 0', ' 1', ' 48', ' 64']
['15', ' 23520', ' 1', ' 1', ' 55', ' 90']
['15', ' 23740', ' 0', ' 1', ' 55', ' 64']
['15', ' 24000', ' 1', ' 1', ' 60', ' 80']
['15', ' 24220', ' 0', ' 1', ' 60', ' 64']
['15', ' 24480', ' 1', ' 1', ' 55', ' 80']
['15', ' 24680', ' 0', ' 1', ' 55', ' 64']
['15', ' 24960', ' 1', ' 1', ' 48', ' 90']
['15', ' 25160', ' 0', ' 1', ' 48', ' 64']
['15', ' 25440', ' 1', ' 1', ' 48', ' 80']
['15', ' 25640', ' 0', ' 1', ' 48', ' 64']
['15', ' 25920', ' 1', ' 1', ' 40', ' 80']
['15', ' 26120', ' 0', ' 1', ' 40', ' 64']
['15', ' 26400', ' 1', ' 1', ' 40', ' 90']
['15', ' 26600', ' 0', ' 1', ' 40', ' 64']
['15', ' 26880', ' 2', ' 1', ' 7', ' 110']
['15', ' 26880', ' 1', ' 1', ' 40', ' 110']
['15', ' 27080', ' 0', ' 1', ' 40', ' 64']
['15', ' 27360', ' 1', ' 1', ' 40', ' 100']
['15', ' 27560', ' 0', ' 1', ' 40', ' 64']
['15', ' 27840', ' 1', ' 1', ' 40', ' 100']
['15', ' 28040', ' 0', ' 1', ' 40', ' 64']
['15', ' 28320', ' 1', ' 1', ' 40', ' 90']
['15', ' 28520', ' 0', ' 1', ' 40', ' 64']
['15', ' 28800', ' 1', ' 1', ' 40', ' 90']
['15', ' 29000', ' 0', ' 1', ' 40', ' 64']
['15', ' 29280', ' 1', ' 1', ' 40', ' 80']
['15', ' 29480', ' 0', ' 1', ' 40', ' 64']
['15', ' 29760', ' 1', ' 1', ' 40', ' 90']
['15', ' 29960', ' 0', ' 1', ' 40', ' 64']
['15', ' 30240', ' 1', ' 1', ' 40', ' 100']
['15', ' 30440', ' 0', ' 1', ' 40', ' 64']
['15', ' 30720', ' 1', ' 1', ' 40', ' 110']
['15', ' 30920', ' 0', ' 1', ' 40', ' 64']
['15', ' 31200', ' 1', ' 1', ' 40', ' 100']
['15', ' 31400', ' 0', ' 1', ' 40', ' 64']
['15', ' 31680', ' 1', ' 1', ' 38', ' 100']
['15', ' 31880', ' 0', ' 1', ' 38', ' 64']
['15', ' 32160', ' 1', ' 1', ' 38', ' 90']
['15', ' 32360', ' 0', ' 1', ' 38', ' 64']
['15', ' 32640', ' 1', ' 1', ' 48', ' 100']
['15', ' 32900', ' 0', ' 1', ' 48', ' 64']
['15', ' 33120', ' 1', ' 1', ' 48', ' 100']
['15', ' 33120', ' 1', ' 1', ' 55', ' 90']
['15', ' 33340', ' 0', ' 1', ' 55', ' 64']
['15', ' 33380', ' 0', ' 1', ' 48', ' 64']
['15', ' 33600', ' 1', ' 1', ' 48', ' 90']
['15', ' 33600', ' 1', ' 1', ' 60', ' 80']
['15', ' 33820', ' 0', ' 1', ' 60', ' 64']
['15', ' 33820', ' 0', ' 1', ' 48', ' 64']
['15', ' 34080', ' 1', ' 1', ' 48', ' 80']
['15', ' 34080', ' 1', ' 1', ' 55', ' 80']
['15', ' 34280', ' 0', ' 1', ' 55', ' 64']
['15', ' 34300', ' 0', ' 1', ' 48', ' 64']
['15', ' 34560', ' 1', ' 1', ' 48', ' 90']
['15', ' 34760', ' 0', ' 1', ' 48', ' 64']
['15', ' 35040', ' 1', ' 1', ' 38', ' 80']
['15', ' 35240', ' 0', ' 1', ' 38', ' 64']
['15', ' 35520', ' 1', ' 1', ' 40', ' 80']
['15', ' 35720', ' 0', ' 1', ' 40', ' 64']
['15', ' 36000', ' 1', ' 1', ' 40', ' 90']
['15', ' 36200', ' 0', ' 1', ' 40', ' 64']
['15', ' 36420', ' 2', ' 1', ' 7', ' 60']
['15', ' 36420', ' 3', ' 1', ' 42']
['15', ' 36420', ' 1', ' 1', ' 40', ' 70']
['15', ' 36480', ' 2', ' 1', ' 7', ' 90']
['15', ' 36540', ' 2', ' 1', ' 7', ' 100']
['15', ' 36600', ' 2', ' 1', ' 7', ' 110']
['15', ' 38340', ' 0', ' 1', ' 40', ' 64']
['15', ' 38400', ' 1', ' 1', ' 40', ' 70']
['15', ' 40300', ' 0', ' 1', ' 40', ' 64']
['15', ' 40320', ' 1', ' 1', ' 40', ' 70']
['15', ' 42220', ' 0', ' 1', ' 40', ' 64']
['15', ' 42240', ' 1', ' 1', ' 40', ' 70']
['15', ' 43040', ' 2', ' 1', ' 7', ' 105']
['15', ' 43240', ' 2', ' 1', ' 7', ' 100']
['15', ' 43440', ' 2', ' 1', ' 7', ' 95']
['15', ' 43640', ' 2', ' 1', ' 7', ' 90']
['15', ' 44040', ' 2', ' 1', ' 7', ' 85']
['15', ' 44080', ' 2', ' 1', ' 7', ' 90']
['15', ' 44120', ' 2', ' 1', ' 7', ' 100']
['15', ' 44140', ' 0', ' 1', ' 40', ' 64']
['15', ' 44160', ' 2', ' 1', ' 7', ' 110']
['15', ' 44160', ' 1', ' 1', ' 40', ' 70']
['15', ' 46060', ' 0', ' 1', ' 40', ' 64']
['15', ' 46080', ' 1', ' 1', ' 40', ' 70']
['15', ' 47980', ' 0', ' 1', ' 40', ' 64']
['15', ' 48000', ' 1', ' 1', ' 40', ' 70']
['15', ' 49900', ' 0', ' 1', ' 40', ' 64']
['15', ' 49920', ' 1', ' 1', ' 40', ' 70']
['15', ' 50440', ' 2', ' 1', ' 7', ' 100']
['15', ' 50640', ' 2', ' 1', ' 7', ' 95']
['15', ' 50840', ' 2', ' 1', ' 7', ' 90']
['15', ' 51040', ' 2', ' 1', ' 7', ' 85']
['15', ' 51820', ' 0', ' 1', ' 40', ' 64']
['15', ' 51840', ' 2', ' 1', ' 7', ' 110']
['15', ' 51840', ' 3', ' 1', ' 48']
['15', ' 51840', ' 1', ' 1', ' 40', ' 110']
['15', ' 52040', ' 0', ' 1', ' 40', ' 64']
['15', ' 52320', ' 1', ' 1', ' 40', ' 100']
['15', ' 52520', ' 0', ' 1', ' 40', ' 64']
['15', ' 52800', ' 1', ' 1', ' 40', ' 100']
['15', ' 53000', ' 0', ' 1', ' 40', ' 64']
['15', ' 53280', ' 1', ' 1', ' 40', ' 90']
['15', ' 53480', ' 0', ' 1', ' 40', ' 64']
['15', ' 53760', ' 1', ' 1', ' 40', ' 90']
['15', ' 53960', ' 0', ' 1', ' 40', ' 64']
['15', ' 54240', ' 1', ' 1', ' 40', ' 80']
['15', ' 54440', ' 0', ' 1', ' 40', ' 64']
['15', ' 54720', ' 1', ' 1', ' 40', ' 90']
['15', ' 54920', ' 0', ' 1', ' 40', ' 64']
['15', ' 55200', ' 1', ' 1', ' 40', ' 100']
['15', ' 55400', ' 0', ' 1', ' 40', ' 64']
['15', ' 55680', ' 1', ' 1', ' 40', ' 110']
['15', ' 55880', ' 0', ' 1', ' 40', ' 64']
['15', ' 56160', ' 1', ' 1', ' 40', ' 100']
['15', ' 56360', ' 0', ' 1', ' 40', ' 64']
['15', ' 56640', ' 1', ' 1', ' 40', ' 100']
['15', ' 56840', ' 0', ' 1', ' 40', ' 64']
['15', ' 57120', ' 1', ' 1', ' 40', ' 90']
['15', ' 57320', ' 0', ' 1', ' 40', ' 64']
['15', ' 57600', ' 1', ' 1', ' 48', ' 100']
['15', ' 57800', ' 0', ' 1', ' 48', ' 64']
['15', ' 57840', ' 1', ' 1', ' 50', ' 90']
['15', ' 57960', ' 0', ' 1', ' 50', ' 64']
['15', ' 58080', ' 1', ' 1', ' 52', ' 90']
['15', ' 58200', ' 0', ' 1', ' 52', ' 64']
['15', ' 58320', ' 1', ' 1', ' 54', ' 90']
['15', ' 58440', ' 0', ' 1', ' 54', ' 64']
['15', ' 58560', ' 1', ' 1', ' 55', ' 90']
['15', ' 58680', ' 0', ' 1', ' 55', ' 64']
['15', ' 58800', ' 1', ' 1', ' 57', ' 90']
['15', ' 58920', ' 0', ' 1', ' 57', ' 64']
['15', ' 59040', ' 1', ' 1', ' 59', ' 90']
['15', ' 59160', ' 0', ' 1', ' 59', ' 64']
['15', ' 59280', ' 1', ' 1', ' 60', ' 80']
['15', ' 60120', ' 0', ' 1', ' 60', ' 64']
['15', ' 60240', ' 1', ' 1', ' 64', ' 70']
['15', ' 60480', ' 1', ' 1', ' 40', ' 100']
['15', ' 60680', ' 0', ' 1', ' 40', ' 64']
['15', ' 60960', ' 1', ' 1', ' 40', ' 100']
['15', ' 61160', ' 0', ' 1', ' 40', ' 64']
['15', ' 61420', ' 0', ' 1', ' 64', ' 64']
['15', ' 61440', ' 2', ' 1', ' 7', ' 110']
['15', ' 61440', ' 1', ' 1', ' 40', ' 110']
['15', ' 61640', ' 0', ' 1', ' 40', ' 64']
['15', ' 61920', ' 1', ' 1', ' 40', ' 100']
['15', ' 62120', ' 0', ' 1', ' 40', ' 64']
['15', ' 62400', ' 1', ' 1', ' 40', ' 100']
['15', ' 62600', ' 0', ' 1', ' 40', ' 64']
['15', ' 62880', ' 1', ' 1', ' 40', ' 90']
['15', ' 63080', ' 0', ' 1', ' 40', ' 64']
['15', ' 63360', ' 1', ' 1', ' 40', ' 90']
['15', ' 63560', ' 0', ' 1', ' 40', ' 64']
['15', ' 63840', ' 1', ' 1', ' 40', ' 80']
['15', ' 64040', ' 0', ' 1', ' 40', ' 64']
['15', ' 64320', ' 1', ' 1', ' 40', ' 90']
['15', ' 64520', ' 0', ' 1', ' 40', ' 64']
['15', ' 64800', ' 1', ' 1', ' 40', ' 100']
['15', ' 65000', ' 0', ' 1', ' 40', ' 64']
['15', ' 65280', ' 1', ' 1', ' 40', ' 110']
['15', ' 65480', ' 0', ' 1', ' 40', ' 64']
['15', ' 65760', ' 1', ' 1', ' 40', ' 100']
['15', ' 65960', ' 0', ' 1', ' 40', ' 64']
['15', ' 66240', ' 1', ' 1', ' 40', ' 100']
['15', ' 66440', ' 0', ' 1', ' 40', ' 64']
['15', ' 66720', ' 1', ' 1', ' 40', ' 90']
['15', ' 66920', ' 0', ' 1', ' 40', ' 64']
['15', ' 67200', ' 1', ' 1', ' 48', ' 100']
['15', ' 67400', ' 0', ' 1', ' 48', ' 64']
['15', ' 67440', ' 1', ' 1', ' 50', ' 90']
['15', ' 67560', ' 0', ' 1', ' 50', ' 64']
['15', ' 67680', ' 1', ' 1', ' 52', ' 90']
['15', ' 67800', ' 0', ' 1', ' 52', ' 64']
['15', ' 67920', ' 1', ' 1', ' 54', ' 90']
['15', ' 68040', ' 0', ' 1', ' 54', ' 64']
['15', ' 68160', ' 1', ' 1', ' 55', ' 90']
['15', ' 68280', ' 0', ' 1', ' 55', ' 64']
['15', ' 68400', ' 1', ' 1', ' 57', ' 90']
['15', ' 68520', ' 0', ' 1', ' 57', ' 64']
['15', ' 68640', ' 1', ' 1', ' 59', ' 90']
['15', ' 68760', ' 0', ' 1', ' 59', ' 64']
['15', ' 68880', ' 1', ' 1', ' 60', ' 80']
['15', ' 69720', ' 0', ' 1', ' 60', ' 64']
