['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 3', ' 0', ' 90']
['2', ' 0', ' 2', ' 0', ' 10', ' 48']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 0', ' 1', ' 0', ' 60', ' 95']
['2', ' 512', ' 1', ' 0', ' 56', ' 95']
['2', ' 1024', ' 0', ' 0', ' 56', ' 80']
['2', ' 1024', ' 1', ' 0', ' 55', ' 95']
['2', ' 1536', ' 0', ' 0', ' 55', ' 80']
['2', ' 1536', ' 1', ' 0', ' 48', ' 95']
['2', ' 2048', ' 0', ' 0', ' 48', ' 80']
['2', ' 2048', ' 0', ' 0', ' 60', ' 80']
['2', ' 2048', ' 1', ' 0', ' 60', ' 95']
['2', ' 2048', ' 1', ' 0', ' 52', ' 95']
['2', ' 2048', ' 1', ' 0', ' 48', ' 95']
['2', ' 3584', ' 0', ' 0', ' 48', ' 80']
['2', ' 3584', ' 0', ' 0', ' 52', ' 80']
['2', ' 3584', ' 0', ' 0', ' 60', ' 80']
['2', ' 3584', ' 1', ' 0', ' 60', ' 95']
['2', ' 3584', ' 1', ' 0', ' 52', ' 95']
['2', ' 3584', ' 1', ' 0', ' 48', ' 95']
['2', ' 4608', ' 0', ' 0', ' 48', ' 80']
['2', ' 4608', ' 0', ' 0', ' 52', ' 80']
['2', ' 4608', ' 0', ' 0', ' 60', ' 80']
['2', ' 4608', ' 1', ' 0', ' 60', ' 95']
['2', ' 4608', ' 1', ' 0', ' 52', ' 95']
['2', ' 4608', ' 1', ' 0', ' 48', ' 95']
['2', ' 5632', ' 0', ' 0', ' 48', ' 80']
['2', ' 5632', ' 0', ' 0', ' 52', ' 80']
['2', ' 5632', ' 0', ' 0', ' 60', ' 80']
['2', ' 5632', ' 1', ' 0', ' 60', ' 95']
['2', ' 5632', ' 1', ' 0', ' 53', ' 95']
['2', ' 5632', ' 1', ' 0', ' 49', ' 95']
['2', ' 6656', ' 0', ' 0', ' 49', ' 80']
['2', ' 6656', ' 0', ' 0', ' 53', ' 80']
['2', ' 6656', ' 0', ' 0', ' 60', ' 80']
['2', ' 6656', ' 1', ' 0', ' 60', ' 95']
['2', ' 6656', ' 1', ' 0', ' 53', ' 95']
['2', ' 6656', ' 1', ' 0', ' 49', ' 95']
['2', ' 7680', ' 0', ' 0', ' 49', ' 80']
['2', ' 7680', ' 0', ' 0', ' 53', ' 80']
['2', ' 7680', ' 0', ' 0', ' 60', ' 80']
['2', ' 7680', ' 1', ' 0', ' 60', ' 95']
['2', ' 7680', ' 1', ' 0', ' 55', ' 95']
['2', ' 7680', ' 1', ' 0', ' 51', ' 95']
['2', ' 8704', ' 0', ' 0', ' 51', ' 80']
['2', ' 8704', ' 0', ' 0', ' 55', ' 80']
['2', ' 8704', ' 0', ' 0', ' 60', ' 80']
['2', ' 8704', ' 1', ' 0', ' 60', ' 95']
['2', ' 8704', ' 1', ' 0', ' 55', ' 95']
['2', ' 8704', ' 1', ' 0', ' 51', ' 95']
['2', ' 9728', ' 0', ' 0', ' 55', ' 80']
['2', ' 9728', ' 1', ' 0', ' 55', ' 95']
['2', ' 10240', ' 0', ' 0', ' 60', ' 80']
['2', ' 10240', ' 1', ' 0', ' 60', ' 95']
['2', ' 10752', ' 0', ' 0', ' 55', ' 80']
['2', ' 10752', ' 0', ' 0', ' 51', ' 80']
['2', ' 10752', ' 1', ' 0', ' 58', ' 95']
['2', ' 11264', ' 0', ' 0', ' 60', ' 80']
['2', ' 11264', ' 1', ' 0', ' 60', ' 95']
['2', ' 11776', ' 1', ' 0', ' 48', ' 95']
['2', ' 12288', ' 0', ' 0', ' 48', ' 80']
['2', ' 12288', ' 0', ' 0', ' 60', ' 80']
['2', ' 12288', ' 0', ' 0', ' 58', ' 80']
['2', ' 12288', ' 1', ' 0', ' 60', ' 95']
['2', ' 12288', ' 1', ' 0', ' 52', ' 95']
['2', ' 12288', ' 1', ' 0', ' 48', ' 95']
['2', ' 13824', ' 0', ' 0', ' 48', ' 80']
['2', ' 13824', ' 0', ' 0', ' 52', ' 80']
['2', ' 13824', ' 0', ' 0', ' 60', ' 80']
['2', ' 13824', ' 1', ' 0', ' 60', ' 95']
['2', ' 13824', ' 1', ' 0', ' 52', ' 95']
['2', ' 13824', ' 1', ' 0', ' 48', ' 95']
['2', ' 14848', ' 0', ' 0', ' 48', ' 80']
['2', ' 14848', ' 0', ' 0', ' 52', ' 80']
['2', ' 14848', ' 0', ' 0', ' 60', ' 80']
['2', ' 14848', ' 1', ' 0', ' 60', ' 95']
['2', ' 14848', ' 1', ' 0', ' 52', ' 95']
['2', ' 14848', ' 1', ' 0', ' 48', ' 95']
['2', ' 15872', ' 0', ' 0', ' 48', ' 80']
['2', ' 15872', ' 0', ' 0', ' 52', ' 80']
['2', ' 15872', ' 0', ' 0', ' 60', ' 80']
['2', ' 15872', ' 1', ' 0', ' 60', ' 95']
['2', ' 15872', ' 1', ' 0', ' 53', ' 95']
['2', ' 15872', ' 1', ' 0', ' 49', ' 95']
['2', ' 16896', ' 0', ' 0', ' 49', ' 80']
['2', ' 16896', ' 0', ' 0', ' 53', ' 80']
['2', ' 16896', ' 0', ' 0', ' 60', ' 80']
['2', ' 16896', ' 1', ' 0', ' 60', ' 95']
['2', ' 16896', ' 1', ' 0', ' 53', ' 95']
['2', ' 16896', ' 1', ' 0', ' 49', ' 95']
['2', ' 17920', ' 0', ' 0', ' 49', ' 80']
['2', ' 17920', ' 0', ' 0', ' 53', ' 80']
['2', ' 17920', ' 0', ' 0', ' 60', ' 80']
['2', ' 17920', ' 1', ' 0', ' 60', ' 95']
['2', ' 17920', ' 1', ' 0', ' 55', ' 95']
['2', ' 17920', ' 1', ' 0', ' 51', ' 95']
['2', ' 18944', ' 0', ' 0', ' 51', ' 80']
['2', ' 18944', ' 0', ' 0', ' 55', ' 80']
