['2', ' 0', ' 2', ' 1', ' 100', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 6', ' 12']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 1']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 38', ' 0']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 6', ' 12']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 1']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 38', ' 0']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 2', ' 1', ' 101', ' 0']
['2', ' 0', ' 2', ' 1', ' 100', ' 2']
['2', ' 0', ' 2', ' 1', ' 6', ' 64']
['2', ' 0', ' 2', ' 1', ' 101', ' 127']
['2', ' 0', ' 2', ' 1', ' 100', ' 127']
['2', ' 0', ' 2', ' 0', ' 101', ' 0']
['2', ' 0', ' 2', ' 0', ' 100', ' 2']
['2', ' 0', ' 2', ' 0', ' 6', ' 64']
['2', ' 0', ' 2', ' 0', ' 101', ' 127']
['2', ' 0', ' 2', ' 0', ' 100', ' 127']
['2', ' 0', ' 3', ' 1', ' 27']
['2', ' 0', ' 3', ' 0', ' 27']
['2', ' 0', ' 2', ' 1', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 1', ' 7', ' 96']
['2', ' 0', ' 2', ' 0', ' 7', ' 96']
['2', ' 0', ' 2', ' 1', ' 10', ' 64']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 2', ' 1', ' 93', ' 0']
['2', ' 0', ' 2', ' 0', ' 93', ' 0']
['2', ' 0', ' 2', ' 1', ' 91', ' 0']
['2', ' 0', ' 2', ' 0', ' 91', ' 0']
['2', ' 0', ' 2', ' 1', ' 92', ' 0']
['2', ' 0', ' 2', ' 0', ' 92', ' 0']
['2', ' 0', ' 2', ' 1', ' 95', ' 0']
['2', ' 0', ' 2', ' 0', ' 95', ' 0']
['2', ' 1920', ' 1', ' 0', ' 71', ' 95']
['2', ' 1920', ' 1', ' 0', ' 66', ' 95']
['2', ' 2160', ' 0', ' 0', ' 71', ' 80']
['2', ' 2160', ' 0', ' 0', ' 66', ' 80']
['2', ' 2160', ' 1', ' 0', ' 71', ' 95']
['2', ' 2160', ' 1', ' 0', ' 66', ' 95']
['2', ' 2400', ' 0', ' 0', ' 71', ' 80']
['2', ' 2400', ' 0', ' 0', ' 66', ' 80']
['2', ' 3120', ' 1', ' 0', ' 69', ' 95']
['2', ' 3120', ' 1', ' 0', ' 64', ' 95']
['2', ' 3600', ' 0', ' 0', ' 69', ' 80']
['2', ' 3600', ' 0', ' 0', ' 64', ' 80']
['2', ' 3840', ' 1', ' 0', ' 71', ' 95']
['2', ' 3840', ' 1', ' 0', ' 66', ' 95']
['2', ' 4080', ' 0', ' 0', ' 71', ' 80']
['2', ' 4080', ' 0', ' 0', ' 66', ' 80']
['2', ' 4080', ' 1', ' 0', ' 71', ' 95']
['2', ' 4080', ' 1', ' 0', ' 66', ' 95']
['2', ' 4320', ' 0', ' 0', ' 71', ' 80']
['2', ' 4320', ' 0', ' 0', ' 66', ' 80']
['2', ' 5040', ' 1', ' 0', ' 69', ' 95']
['2', ' 5040', ' 1', ' 0', ' 64', ' 95']
['2', ' 5520', ' 0', ' 0', ' 69', ' 80']
['2', ' 5520', ' 0', ' 0', ' 64', ' 80']
['2', ' 5760', ' 1', ' 0', ' 71', ' 95']
['2', ' 5760', ' 1', ' 0', ' 66', ' 95']
['2', ' 6000', ' 0', ' 0', ' 71', ' 80']
['2', ' 6000', ' 0', ' 0', ' 66', ' 80']
