['2', ' 122', ' 3', ' 0', ' 1']
['2', ' 123', ' 2', ' 0', ' 7', ' 110']
['2', ' 123', ' 2', ' 0', ' 10', ' 40']
['2', ' 6240', ' 1', ' 0', ' 67', ' 127']
['2', ' 6240', ' 1', ' 0', ' 60', ' 127']
['2', ' 6240', ' 1', ' 0', ' 64', ' 127']
['2', ' 6240', ' 2', ' 0', ' 64', ' 127']
['2', ' 6850', ' 1', ' 0', ' 67', ' 0']
['2', ' 6855', ' 1', ' 0', ' 60', ' 0']
['2', ' 6863', ' 1', ' 0', ' 64', ' 0']
['2', ' 7200', ' 1', ' 0', ' 60', ' 127']
['2', ' 7200', ' 1', ' 0', ' 64', ' 127']
['2', ' 7200', ' 1', ' 0', ' 57', ' 127']
['2', ' 7865', ' 1', ' 0', ' 64', ' 0']
['2', ' 7867', ' 1', ' 0', ' 60', ' 0']
['2', ' 7872', ' 1', ' 0', ' 57', ' 0']
['2', ' 8160', ' 1', ' 0', ' 62', ' 127']
['2', ' 8160', ' 1', ' 0', ' 69', ' 127']
['2', ' 8160', ' 1', ' 0', ' 66', ' 127']
['2', ' 8779', ' 1', ' 0', ' 69', ' 0']
['2', ' 8800', ' 1', ' 0', ' 66', ' 0']
['2', ' 8806', ' 1', ' 0', ' 62', ' 0']
['2', ' 9120', ' 1', ' 0', ' 65', ' 127']
['2', ' 9120', ' 1', ' 0', ' 72', ' 127']
['2', ' 9120', ' 1', ' 0', ' 69', ' 127']
['2', ' 9802', ' 1', ' 0', ' 72', ' 0']
['2', ' 9807', ' 1', ' 0', ' 65', ' 0']
['2', ' 9812', ' 1', ' 0', ' 69', ' 0']
['2', ' 10080', ' 1', ' 0', ' 64', ' 127']
['2', ' 10080', ' 1', ' 0', ' 67', ' 127']
['2', ' 10080', ' 1', ' 0', ' 60', ' 127']
['2', ' 10690', ' 1', ' 0', ' 67', ' 0']
['2', ' 10695', ' 1', ' 0', ' 60', ' 0']
['2', ' 10703', ' 1', ' 0', ' 64', ' 0']
['2', ' 11040', ' 1', ' 0', ' 64', ' 127']
['2', ' 11040', ' 1', ' 0', ' 57', ' 127']
['2', ' 11040', ' 1', ' 0', ' 60', ' 127']
['2', ' 11705', ' 1', ' 0', ' 64', ' 0']
['2', ' 11707', ' 1', ' 0', ' 60', ' 0']
['2', ' 11712', ' 1', ' 0', ' 57', ' 0']
['2', ' 12000', ' 1', ' 0', ' 62', ' 127']
['2', ' 12000', ' 1', ' 0', ' 66', ' 127']
['2', ' 12000', ' 1', ' 0', ' 69', ' 127']
['2', ' 12619', ' 1', ' 0', ' 69', ' 0']
['2', ' 12640', ' 1', ' 0', ' 66', ' 0']
['2', ' 12646', ' 1', ' 0', ' 62', ' 0']
['2', ' 12960', ' 1', ' 0', ' 65', ' 127']
['2', ' 12960', ' 1', ' 0', ' 69', ' 127']
['2', ' 12960', ' 1', ' 0', ' 72', ' 127']
['2', ' 13642', ' 1', ' 0', ' 72', ' 0']
['2', ' 13647', ' 1', ' 0', ' 65', ' 0']
['2', ' 13652', ' 1', ' 0', ' 69', ' 0']
['2', ' 13937', ' 1', ' 0', ' 60', ' 127']
['2', ' 13939', ' 1', ' 0', ' 64', ' 127']
['2', ' 13941', ' 1', ' 0', ' 67', ' 127']
['2', ' 14569', ' 1', ' 0', ' 60', ' 0']
['2', ' 14571', ' 1', ' 0', ' 67', ' 0']
['2', ' 14572', ' 1', ' 0', ' 64', ' 0']
['2', ' 14630', ' 1', ' 0', ' 67', ' 127']
['2', ' 14631', ' 1', ' 0', ' 60', ' 127']
['2', ' 14631', ' 1', ' 0', ' 64', ' 127']
['2', ' 14703', ' 1', ' 0', ' 60', ' 0']
['2', ' 14708', ' 1', ' 0', ' 64', ' 0']
['2', ' 14711', ' 1', ' 0', ' 67', ' 0']
['2', ' 14722', ' 1', ' 0', ' 67', ' 127']
['2', ' 14722', ' 1', ' 0', ' 60', ' 127']
['2', ' 14724', ' 1', ' 0', ' 64', ' 127']
['2', ' 14770', ' 1', ' 0', ' 67', ' 0']
['2', ' 14773', ' 1', ' 0', ' 60', ' 0']
['2', ' 14774', ' 1', ' 0', ' 64', ' 0']
['2', ' 14805', ' 1', ' 0', ' 59', ' 127']
['2', ' 14808', ' 1', ' 0', ' 62', ' 127']
['2', ' 14843', ' 1', ' 0', ' 62', ' 0']
['2', ' 14843', ' 1', ' 0', ' 59', ' 0']
['2', ' 14876', ' 1', ' 0', ' 57', ' 127']
['2', ' 14877', ' 1', ' 0', ' 64', ' 127']
['2', ' 14882', ' 1', ' 0', ' 60', ' 127']
['2', ' 15223', ' 1', ' 0', ' 57', ' 0']
['2', ' 15228', ' 1', ' 0', ' 60', ' 0']
['2', ' 15230', ' 1', ' 0', ' 64', ' 0']
['2', ' 15840', ' 1', ' 0', ' 69', ' 127']
['2', ' 15840', ' 1', ' 0', ' 62', ' 127']
['2', ' 15840', ' 1', ' 0', ' 66', ' 127']
['2', ' 16459', ' 1', ' 0', ' 69', ' 0']
['2', ' 16480', ' 1', ' 0', ' 66', ' 0']
['2', ' 16486', ' 1', ' 0', ' 62', ' 0']
['2', ' 16800', ' 1', ' 0', ' 65', ' 127']
['2', ' 16800', ' 1', ' 0', ' 69', ' 127']
['2', ' 16800', ' 1', ' 0', ' 72', ' 127']
['2', ' 17482', ' 1', ' 0', ' 72', ' 0']
['2', ' 17487', ' 1', ' 0', ' 65', ' 0']
['2', ' 17492', ' 1', ' 0', ' 69', ' 0']
['2', ' 17760', ' 1', ' 0', ' 48', ' 127']
['2', ' 17760', ' 1', ' 0', ' 45', ' 127']
['2', ' 17760', ' 1', ' 0', ' 52', ' 127']
['2', ' 17937', ' 1', ' 0', ' 52', ' 0']
['2', ' 17945', ' 1', ' 0', ' 45', ' 0']
['2', ' 17952', ' 1', ' 0', ' 48', ' 0']
['2', ' 18000', ' 1', ' 0', ' 48', ' 127']
['2', ' 18000', ' 1', ' 0', ' 52', ' 127']
['2', ' 18000', ' 1', ' 0', ' 45', ' 127']
['2', ' 18011', ' 1', ' 0', ' 52', ' 0']
['2', ' 18031', ' 1', ' 0', ' 48', ' 0']
['2', ' 18065', ' 1', ' 0', ' 45', ' 0']
['2', ' 18090', ' 1', ' 0', ' 45', ' 127']
['2', ' 18148', ' 1', ' 0', ' 45', ' 0']
['2', ' 18180', ' 1', ' 0', ' 47', ' 127']
['2', ' 18210', ' 1', ' 0', ' 47', ' 0']
['2', ' 18240', ' 1', ' 0', ' 52', ' 127']
['2', ' 18240', ' 1', ' 0', ' 55', ' 127']
['2', ' 18240', ' 1', ' 0', ' 48', ' 127']
['2', ' 18433', ' 1', ' 0', ' 52', ' 0']
['2', ' 18439', ' 1', ' 0', ' 48', ' 0']
['2', ' 18440', ' 1', ' 0', ' 55', ' 0']
['2', ' 18480', ' 1', ' 0', ' 52', ' 127']
['2', ' 18480', ' 1', ' 0', ' 48', ' 127']
['2', ' 18480', ' 1', ' 0', ' 55', ' 127']
['2', ' 18539', ' 1', ' 0', ' 52', ' 0']
['2', ' 18540', ' 1', ' 0', ' 55', ' 0']
['2', ' 18541', ' 1', ' 0', ' 48', ' 0']
['2', ' 18570', ' 1', ' 0', ' 48', ' 127']
['2', ' 18570', ' 1', ' 0', ' 52', ' 127']
['2', ' 18570', ' 1', ' 0', ' 55', ' 127']
['2', ' 18621', ' 1', ' 0', ' 55', ' 0']
['2', ' 18622', ' 1', ' 0', ' 52', ' 0']
['2', ' 18629', ' 1', ' 0', ' 48', ' 0']
['2', ' 18630', ' 1', ' 0', ' 47', ' 127']
['2', ' 18669', ' 1', ' 0', ' 47', ' 0']
['2', ' 18720', ' 1', ' 0', ' 52', ' 127']
['2', ' 18720', ' 1', ' 0', ' 45', ' 127']
['2', ' 18720', ' 1', ' 0', ' 48', ' 127']
['2', ' 18901', ' 1', ' 0', ' 48', ' 0']
['2', ' 18901', ' 1', ' 0', ' 45', ' 0']
['2', ' 18902', ' 1', ' 0', ' 52', ' 0']
['2', ' 18960', ' 1', ' 0', ' 45', ' 127']
['2', ' 18960', ' 1', ' 0', ' 52', ' 127']
['2', ' 18960', ' 1', ' 0', ' 48', ' 127']
['2', ' 19016', ' 1', ' 0', ' 52', ' 0']
['2', ' 19018', ' 1', ' 0', ' 48', ' 0']
['2', ' 19020', ' 1', ' 0', ' 45', ' 0']
['2', ' 19050', ' 1', ' 0', ' 48', ' 127']
['2', ' 19050', ' 1', ' 0', ' 52', ' 127']
['2', ' 19050', ' 1', ' 0', ' 45', ' 127']
['2', ' 19090', ' 1', ' 0', ' 52', ' 0']
['2', ' 19097', ' 1', ' 0', ' 48', ' 0']
['2', ' 19100', ' 1', ' 0', ' 45', ' 0']
['2', ' 19110', ' 1', ' 0', ' 47', ' 127']
['2', ' 19153', ' 1', ' 0', ' 47', ' 0']
['2', ' 19200', ' 1', ' 0', ' 48', ' 127']
['2', ' 19348', ' 1', ' 0', ' 48', ' 0']
['2', ' 19440', ' 1', ' 0', ' 52', ' 127']
['2', ' 19440', ' 1', ' 0', ' 48', ' 127']
['2', ' 19440', ' 1', ' 0', ' 55', ' 127']
['2', ' 19490', ' 1', ' 0', ' 55', ' 0']
['2', ' 19496', ' 1', ' 0', ' 48', ' 0']
['2', ' 19497', ' 1', ' 0', ' 52', ' 0']
['2', ' 19530', ' 1', ' 0', ' 47', ' 127']
['2', ' 19569', ' 1', ' 0', ' 47', ' 0']
['2', ' 19590', ' 1', ' 0', ' 45', ' 127']
['2', ' 19623', ' 1', ' 0', ' 45', ' 0']
['2', ' 19680', ' 1', ' 0', ' 47', ' 127']
['2', ' 19680', ' 1', ' 0', ' 50', ' 127']
['2', ' 19680', ' 1', ' 0', ' 43', ' 127']
['2', ' 19903', ' 1', ' 0', ' 43', ' 0']
['2', ' 19906', ' 1', ' 0', ' 50', ' 0']
['2', ' 19907', ' 1', ' 0', ' 47', ' 0']
['2', ' 19920', ' 1', ' 0', ' 47', ' 127']
['2', ' 19920', ' 1', ' 0', ' 43', ' 127']
['2', ' 19920', ' 1', ' 0', ' 50', ' 127']
['2', ' 19990', ' 1', ' 0', ' 43', ' 0']
['2', ' 20010', ' 1', ' 0', ' 43', ' 127']
['2', ' 20039', ' 1', ' 0', ' 50', ' 0']
['2', ' 20044', ' 1', ' 0', ' 47', ' 0']
['2', ' 20100', ' 1', ' 0', ' 47', ' 127']
['2', ' 20139', ' 1', ' 0', ' 47', ' 0']
['2', ' 20139', ' 1', ' 0', ' 43', ' 0']
['2', ' 20160', ' 1', ' 0', ' 52', ' 127']
['2', ' 20160', ' 1', ' 0', ' 55', ' 127']
['2', ' 20160', ' 1', ' 0', ' 48', ' 127']
['2', ' 20280', ' 1', ' 0', ' 55', ' 0']
['2', ' 20367', ' 1', ' 0', ' 48', ' 0']
['2', ' 20377', ' 1', ' 0', ' 52', ' 0']
['2', ' 20430', ' 1', ' 0', ' 52', ' 127']
['2', ' 20430', ' 1', ' 0', ' 48', ' 127']
['2', ' 20430', ' 1', ' 0', ' 55', ' 127']
['2', ' 20480', ' 1', ' 0', ' 55', ' 0']
['2', ' 20491', ' 1', ' 0', ' 52', ' 0']
['2', ' 20520', ' 1', ' 0', ' 52', ' 127']
['2', ' 20542', ' 1', ' 0', ' 52', ' 0']
['2', ' 20580', ' 1', ' 0', ' 52', ' 127']
['2', ' 20580', ' 1', ' 0', ' 55', ' 127']
['2', ' 20616', ' 1', ' 0', ' 55', ' 0']
['2', ' 20618', ' 1', ' 0', ' 48', ' 0']
['2', ' 20621', ' 1', ' 0', ' 52', ' 0']
['2', ' 20640', ' 1', ' 0', ' 62', ' 127']
['2', ' 20640', ' 1', ' 0', ' 66', ' 127']
['2', ' 20648', ' 1', ' 0', ' 69', ' 127']
['2', ' 20884', ' 1', ' 0', ' 69', ' 0']
['2', ' 20888', ' 1', ' 0', ' 66', ' 0']
['2', ' 20890', ' 1', ' 0', ' 62', ' 0']
['2', ' 21600', ' 1', ' 0', ' 50', ' 127']
['2', ' 21602', ' 1', ' 0', ' 53', ' 127']
['2', ' 21610', ' 1', ' 0', ' 57', ' 127']
['2', ' 21726', ' 1', ' 0', ' 57', ' 0']
['2', ' 21774', ' 1', ' 0', ' 53', ' 0']
['2', ' 21791', ' 1', ' 0', ' 50', ' 0']
['2', ' 21836', ' 1', ' 0', ' 50', ' 127']
['2', ' 21896', ' 1', ' 0', ' 50', ' 0']
['2', ' 21915', ' 1', ' 0', ' 50', ' 127']
['2', ' 21952', ' 1', ' 0', ' 50', ' 0']
['2', ' 21991', ' 1', ' 0', ' 52', ' 127']
['2', ' 22020', ' 1', ' 0', ' 52', ' 0']
['2', ' 22068', ' 1', ' 0', ' 53', ' 127']
['2', ' 22073', ' 1', ' 0', ' 60', ' 127']
['2', ' 22078', ' 1', ' 0', ' 57', ' 127']
['2', ' 22156', ' 1', ' 0', ' 57', ' 0']
['2', ' 22156', ' 1', ' 0', ' 60', ' 0']
['2', ' 22162', ' 1', ' 0', ' 53', ' 0']
['2', ' 23520', ' 1', ' 0', ' 60', ' 127']
['2', ' 23520', ' 1', ' 0', ' 64', ' 127']
['2', ' 23520', ' 1', ' 0', ' 57', ' 127']
