['2', ' 0', ' 2', ' 0', ' 0', ' 0']
['2', ' 0', ' 2', ' 0', ' 32', ' 0']
['2', ' 0', ' 3', ' 0', ' 25']
['2', ' 0', ' 2', ' 0', ' 7', ' 80']
['2', ' 0', ' 2', ' 0', ' 64', ' 127']
['2', ' 140', ' 2', ' 0', ' 7', ' 0']
['2', ' 143', ' 2', ' 0', ' 7', ' 1']
['2', ' 176', ' 2', ' 0', ' 7', ' 2']
['2', ' 210', ' 2', ' 0', ' 7', ' 3']
['2', ' 240', ' 1', ' 0', ' 71', ' 127']
['2', ' 240', ' 1', ' 0', ' 54', ' 127']
['2', ' 240', ' 1', ' 0', ' 59', ' 127']
['2', ' 240', ' 1', ' 0', ' 66', ' 127']
['2', ' 240', ' 1', ' 0', ' 78', ' 127']
['2', ' 243', ' 2', ' 0', ' 7', ' 1']
['2', ' 246', ' 2', ' 0', ' 7', ' 2']
['2', ' 250', ' 2', ' 0', ' 7', ' 4']
['2', ' 253', ' 2', ' 0', ' 7', ' 5']
['2', ' 256', ' 2', ' 0', ' 7', ' 7']
['2', ' 260', ' 2', ' 0', ' 7', ' 8']
['2', ' 263', ' 2', ' 0', ' 7', ' 9']
['2', ' 266', ' 2', ' 0', ' 7', ' 11']
['2', ' 270', ' 2', ' 0', ' 7', ' 12']
['2', ' 273', ' 2', ' 0', ' 7', ' 14']
['2', ' 276', ' 2', ' 0', ' 7', ' 15']
['2', ' 280', ' 2', ' 0', ' 7', ' 16']
['2', ' 283', ' 2', ' 0', ' 7', ' 18']
['2', ' 286', ' 2', ' 0', ' 7', ' 19']
['2', ' 290', ' 2', ' 0', ' 7', ' 21']
['2', ' 293', ' 2', ' 0', ' 7', ' 22']
['2', ' 296', ' 2', ' 0', ' 7', ' 23']
['2', ' 300', ' 2', ' 0', ' 7', ' 25']
['2', ' 303', ' 2', ' 0', ' 7', ' 26']
['2', ' 306', ' 2', ' 0', ' 7', ' 28']
['2', ' 310', ' 2', ' 0', ' 7', ' 29']
['2', ' 313', ' 2', ' 0', ' 7', ' 31']
['2', ' 316', ' 2', ' 0', ' 7', ' 32']
['2', ' 320', ' 2', ' 0', ' 7', ' 33']
['2', ' 323', ' 2', ' 0', ' 7', ' 35']
['2', ' 326', ' 2', ' 0', ' 7', ' 36']
['2', ' 330', ' 2', ' 0', ' 7', ' 38']
['2', ' 333', ' 2', ' 0', ' 7', ' 39']
['2', ' 336', ' 2', ' 0', ' 7', ' 40']
['2', ' 340', ' 2', ' 0', ' 7', ' 42']
['2', ' 343', ' 2', ' 0', ' 7', ' 43']
['2', ' 346', ' 2', ' 0', ' 7', ' 45']
['2', ' 350', ' 2', ' 0', ' 7', ' 46']
['2', ' 353', ' 2', ' 0', ' 7', ' 47']
['2', ' 356', ' 2', ' 0', ' 7', ' 49']
['2', ' 360', ' 2', ' 0', ' 7', ' 50']
['2', ' 363', ' 2', ' 0', ' 7', ' 52']
['2', ' 366', ' 2', ' 0', ' 7', ' 53']
['2', ' 370', ' 2', ' 0', ' 7', ' 55']
['2', ' 373', ' 2', ' 0', ' 7', ' 56']
['2', ' 376', ' 2', ' 0', ' 7', ' 57']
['2', ' 380', ' 2', ' 0', ' 7', ' 59']
['2', ' 383', ' 2', ' 0', ' 7', ' 60']
['2', ' 386', ' 2', ' 0', ' 7', ' 62']
['2', ' 390', ' 2', ' 0', ' 7', ' 63']
['2', ' 393', ' 2', ' 0', ' 7', ' 64']
['2', ' 396', ' 2', ' 0', ' 7', ' 66']
['2', ' 400', ' 2', ' 0', ' 7', ' 67']
['2', ' 403', ' 2', ' 0', ' 7', ' 69']
['2', ' 406', ' 2', ' 0', ' 7', ' 70']
['2', ' 410', ' 2', ' 0', ' 7', ' 71']
['2', ' 413', ' 2', ' 0', ' 7', ' 73']
['2', ' 416', ' 2', ' 0', ' 7', ' 74']
['2', ' 420', ' 2', ' 0', ' 7', ' 76']
['2', ' 423', ' 2', ' 0', ' 7', ' 77']
['2', ' 426', ' 2', ' 0', ' 7', ' 79']
['2', ' 430', ' 2', ' 0', ' 7', ' 80']
['2', ' 433', ' 2', ' 0', ' 7', ' 81']
['2', ' 436', ' 2', ' 0', ' 7', ' 83']
['2', ' 440', ' 2', ' 0', ' 7', ' 84']
['2', ' 443', ' 2', ' 0', ' 7', ' 86']
['2', ' 446', ' 2', ' 0', ' 7', ' 87']
['2', ' 450', ' 2', ' 0', ' 7', ' 88']
['2', ' 453', ' 2', ' 0', ' 7', ' 90']
['2', ' 456', ' 2', ' 0', ' 7', ' 91']
['2', ' 460', ' 2', ' 0', ' 7', ' 93']
['2', ' 463', ' 2', ' 0', ' 7', ' 94']
['2', ' 466', ' 2', ' 0', ' 7', ' 95']
['2', ' 470', ' 2', ' 0', ' 7', ' 97']
['2', ' 473', ' 2', ' 0', ' 7', ' 98']
['2', ' 476', ' 2', ' 0', ' 7', ' 100']
['2', ' 480', ' 2', ' 0', ' 7', ' 101']
['2', ' 483', ' 2', ' 0', ' 7', ' 103']
['2', ' 486', ' 2', ' 0', ' 7', ' 104']
['2', ' 490', ' 2', ' 0', ' 7', ' 105']
['2', ' 493', ' 2', ' 0', ' 7', ' 107']
['2', ' 496', ' 2', ' 0', ' 7', ' 108']
['2', ' 500', ' 2', ' 0', ' 7', ' 110']
['2', ' 503', ' 2', ' 0', ' 7', ' 111']
['2', ' 506', ' 2', ' 0', ' 7', ' 112']
['2', ' 510', ' 2', ' 0', ' 7', ' 114']
['2', ' 513', ' 2', ' 0', ' 7', ' 115']
['2', ' 516', ' 2', ' 0', ' 7', ' 117']
['2', ' 520', ' 2', ' 0', ' 7', ' 118']
['2', ' 523', ' 2', ' 0', ' 7', ' 119']
['2', ' 526', ' 2', ' 0', ' 7', ' 121']
['2', ' 530', ' 2', ' 0', ' 7', ' 122']
['2', ' 533', ' 2', ' 0', ' 7', ' 124']
['2', ' 536', ' 2', ' 0', ' 7', ' 125']
['2', ' 540', ' 2', ' 0', ' 7', ' 127']
['2', ' 653', ' 2', ' 0', ' 10', ' 48']
['2', ' 683', ' 2', ' 0', ' 7', ' 99']
['2', ' 706', ' 2', ' 0', ' 7', ' 127']
['2', ' 710', ' 2', ' 0', ' 7', ' 98']
['2', ' 720', ' 2', ' 0', ' 64', ' 0']
['2', ' 780', ' 1', ' 0', ' 75', ' 100']
['2', ' 780', ' 1', ' 0', ' 78', ' 100']
['2', ' 780', ' 1', ' 0', ' 54', ' 100']
['2', ' 780', ' 1', ' 0', ' 66', ' 100']
['2', ' 780', ' 1', ' 0', ' 59', ' 100']
['2', ' 780', ' 1', ' 0', ' 71', ' 100']
['2', ' 816', ' 2', ' 0', ' 7', ' 104']
['2', ' 826', ' 2', ' 0', ' 7', ' 103']
['2', ' 834', ' 1', ' 0', ' 75', ' 0']
['2', ' 834', ' 1', ' 0', ' 66', ' 0']
['2', ' 834', ' 1', ' 0', ' 71', ' 0']
['2', ' 834', ' 1', ' 0', ' 59', ' 0']
['2', ' 834', ' 1', ' 0', ' 78', ' 0']
['2', ' 834', ' 1', ' 0', ' 54', ' 0']
['2', ' 840', ' 1', ' 0', ' 75', ' 100']
['2', ' 840', ' 1', ' 0', ' 78', ' 100']
['2', ' 840', ' 1', ' 0', ' 59', ' 100']
['2', ' 840', ' 1', ' 0', ' 54', ' 100']
['2', ' 840', ' 1', ' 0', ' 66', ' 100']
['2', ' 840', ' 1', ' 0', ' 71', ' 100']
['2', ' 894', ' 1', ' 0', ' 75', ' 0']
['2', ' 894', ' 1', ' 0', ' 66', ' 0']
['2', ' 894', ' 1', ' 0', ' 71', ' 0']
['2', ' 894', ' 1', ' 0', ' 59', ' 0']
['2', ' 894', ' 1', ' 0', ' 54', ' 0']
['2', ' 894', ' 1', ' 0', ' 78', ' 0']
['2', ' 900', ' 1', ' 0', ' 59', ' 100']
['2', ' 900', ' 1', ' 0', ' 54', ' 100']
['2', ' 900', ' 1', ' 0', ' 66', ' 100']
['2', ' 900', ' 1', ' 0', ' 78', ' 100']
['2', ' 900', ' 1', ' 0', ' 71', ' 100']
['2', ' 900', ' 1', ' 0', ' 75', ' 100']
['2', ' 954', ' 1', ' 0', ' 75', ' 0']
['2', ' 954', ' 1', ' 0', ' 66', ' 0']
['2', ' 954', ' 1', ' 0', ' 59', ' 0']
['2', ' 954', ' 1', ' 0', ' 71', ' 0']
['2', ' 954', ' 1', ' 0', ' 54', ' 0']
['2', ' 954', ' 1', ' 0', ' 78', ' 0']
['2', ' 960', ' 1', ' 0', ' 59', ' 0']
['2', ' 960', ' 1', ' 0', ' 78', ' 0']
['2', ' 960', ' 1', ' 0', ' 71', ' 0']
['2', ' 960', ' 1', ' 0', ' 54', ' 0']
['2', ' 960', ' 1', ' 0', ' 66', ' 0']
['2', ' 960', ' 1', ' 0', ' 73', ' 100']
['2', ' 960', ' 1', ' 0', ' 68', ' 100']
['2', ' 960', ' 1', ' 0', ' 80', ' 100']
['2', ' 960', ' 1', ' 0', ' 56', ' 100']
['2', ' 960', ' 1', ' 0', ' 61', ' 100']
['2', ' 960', ' 1', ' 0', ' 76', ' 100']
['2', ' 1080', ' 1', ' 0', ' 76', ' 0']
['2', ' 1080', ' 1', ' 0', ' 68', ' 0']
['2', ' 1080', ' 1', ' 0', ' 80', ' 0']
['2', ' 1080', ' 1', ' 0', ' 73', ' 0']
['2', ' 1080', ' 1', ' 0', ' 61', ' 0']
['2', ' 1080', ' 1', ' 0', ' 56', ' 0']
['2', ' 1080', ' 1', ' 0', ' 73', ' 100']
['2', ' 1080', ' 1', ' 0', ' 80', ' 100']
['2', ' 1080', ' 1', ' 0', ' 68', ' 100']
['2', ' 1080', ' 1', ' 0', ' 76', ' 100']
['2', ' 1080', ' 1', ' 0', ' 61', ' 100']
['2', ' 1080', ' 1', ' 0', ' 56', ' 100']
['2', ' 1140', ' 1', ' 0', ' 56', ' 0']
['2', ' 1140', ' 1', ' 0', ' 80', ' 0']
['2', ' 1140', ' 1', ' 0', ' 68', ' 0']
['2', ' 1140', ' 1', ' 0', ' 73', ' 0']
['2', ' 1140', ' 1', ' 0', ' 61', ' 0']
['2', ' 1140', ' 1', ' 0', ' 76', ' 0']
['2', ' 1140', ' 1', ' 0', ' 61', ' 100']
['2', ' 1140', ' 1', ' 0', ' 73', ' 100']
['2', ' 1140', ' 1', ' 0', ' 76', ' 100']
['2', ' 1140', ' 1', ' 0', ' 80', ' 100']
['2', ' 1140', ' 1', ' 0', ' 68', ' 100']
['2', ' 1140', ' 1', ' 0', ' 56', ' 100']
['2', ' 1200', ' 1', ' 0', ' 56', ' 0']
['2', ' 1200', ' 1', ' 0', ' 73', ' 0']
['2', ' 1200', ' 1', ' 0', ' 76', ' 0']
['2', ' 1200', ' 1', ' 0', ' 61', ' 0']
['2', ' 1200', ' 1', ' 0', ' 68', ' 0']
['2', ' 1200', ' 1', ' 0', ' 80', ' 0']
['2', ' 1200', ' 1', ' 0', ' 59', ' 100']
['2', ' 1200', ' 1', ' 0', ' 66', ' 100']
['2', ' 1200', ' 1', ' 0', ' 78', ' 100']
['2', ' 1200', ' 1', ' 0', ' 75', ' 100']
['2', ' 1200', ' 1', ' 0', ' 71', ' 100']
['2', ' 1200', ' 1', ' 0', ' 54', ' 100']
['2', ' 1260', ' 1', ' 0', ' 54', ' 0']
['2', ' 1260', ' 1', ' 0', ' 66', ' 0']
['2', ' 1260', ' 1', ' 0', ' 78', ' 0']
['2', ' 1260', ' 1', ' 0', ' 59', ' 0']
['2', ' 1260', ' 1', ' 0', ' 71', ' 0']
['2', ' 1260', ' 1', ' 0', ' 75', ' 0']
['2', ' 1260', ' 1', ' 0', ' 75', ' 100']
['2', ' 1260', ' 1', ' 0', ' 78', ' 100']
['2', ' 1260', ' 1', ' 0', ' 59', ' 100']
['2', ' 1260', ' 1', ' 0', ' 54', ' 100']
['2', ' 1260', ' 1', ' 0', ' 66', ' 100']
['2', ' 1260', ' 1', ' 0', ' 71', ' 100']
['2', ' 1320', ' 1', ' 0', ' 71', ' 0']
['2', ' 1320', ' 1', ' 0', ' 78', ' 0']
['2', ' 1320', ' 1', ' 0', ' 59', ' 0']
['2', ' 1320', ' 1', ' 0', ' 75', ' 0']
['2', ' 1320', ' 1', ' 0', ' 66', ' 0']
['2', ' 1320', ' 1', ' 0', ' 54', ' 0']
['2', ' 1320', ' 1', ' 0', ' 54', ' 100']
['2', ' 1320', ' 1', ' 0', ' 71', ' 100']
['2', ' 1320', ' 1', ' 0', ' 59', ' 100']
['2', ' 1320', ' 1', ' 0', ' 75', ' 100']
['2', ' 1320', ' 1', ' 0', ' 78', ' 100']
['2', ' 1320', ' 1', ' 0', ' 66', ' 100']
['2', ' 1380', ' 1', ' 0', ' 66', ' 0']
['2', ' 1380', ' 1', ' 0', ' 71', ' 0']
['2', ' 1380', ' 1', ' 0', ' 59', ' 0']
['2', ' 1380', ' 1', ' 0', ' 54', ' 0']
['2', ' 1380', ' 1', ' 0', ' 78', ' 0']
['2', ' 1380', ' 1', ' 0', ' 75', ' 0']
['2', ' 1380', ' 1', ' 0', ' 73', ' 100']
['2', ' 1380', ' 1', ' 0', ' 69', ' 100']
['2', ' 1380', ' 1', ' 0', ' 52', ' 100']
['2', ' 1380', ' 1', ' 0', ' 64', ' 100']
['2', ' 1380', ' 1', ' 0', ' 76', ' 100']
['2', ' 1380', ' 1', ' 0', ' 57', ' 100']
['2', ' 1500', ' 1', ' 0', ' 57', ' 0']
['2', ' 1500', ' 1', ' 0', ' 69', ' 0']
['2', ' 1500', ' 1', ' 0', ' 52', ' 0']
['2', ' 1500', ' 1', ' 0', ' 73', ' 0']
['2', ' 1500', ' 1', ' 0', ' 76', ' 0']
['2', ' 1500', ' 1', ' 0', ' 64', ' 0']
['2', ' 1500', ' 1', ' 0', ' 69', ' 100']
['2', ' 1500', ' 1', ' 0', ' 76', ' 100']
['2', ' 1500', ' 1', ' 0', ' 57', ' 100']
['2', ' 1500', ' 1', ' 0', ' 52', ' 100']
['2', ' 1500', ' 1', ' 0', ' 73', ' 100']
['2', ' 1500', ' 1', ' 0', ' 64', ' 100']
['2', ' 1560', ' 1', ' 0', ' 64', ' 0']
['2', ' 1560', ' 1', ' 0', ' 76', ' 0']
['2', ' 1560', ' 1', ' 0', ' 57', ' 0']
['2', ' 1560', ' 1', ' 0', ' 69', ' 0']
['2', ' 1560', ' 1', ' 0', ' 73', ' 0']
['2', ' 1560', ' 1', ' 0', ' 52', ' 0']
['2', ' 1560', ' 1', ' 0', ' 64', ' 100']
['2', ' 1560', ' 1', ' 0', ' 73', ' 100']
['2', ' 1560', ' 1', ' 0', ' 52', ' 100']
['2', ' 1560', ' 1', ' 0', ' 76', ' 100']
['2', ' 1560', ' 1', ' 0', ' 69', ' 100']
['2', ' 1560', ' 1', ' 0', ' 57', ' 100']
['2', ' 1620', ' 1', ' 0', ' 57', ' 0']
['2', ' 1620', ' 1', ' 0', ' 73', ' 0']
['2', ' 1620', ' 1', ' 0', ' 52', ' 0']
['2', ' 1620', ' 1', ' 0', ' 64', ' 0']
['2', ' 1620', ' 1', ' 0', ' 69', ' 0']
['2', ' 1620', ' 1', ' 0', ' 76', ' 0']
['2', ' 1620', ' 1', ' 0', ' 76', ' 100']
['2', ' 1620', ' 1', ' 0', ' 73', ' 100']
['2', ' 1620', ' 1', ' 0', ' 64', ' 100']
['2', ' 1620', ' 1', ' 0', ' 57', ' 100']
['2', ' 1620', ' 1', ' 0', ' 69', ' 100']
['2', ' 1620', ' 1', ' 0', ' 52', ' 100']
['2', ' 1680', ' 1', ' 0', ' 52', ' 0']
['2', ' 1680', ' 1', ' 0', ' 73', ' 0']
['2', ' 1680', ' 1', ' 0', ' 64', ' 0']
['2', ' 1680', ' 1', ' 0', ' 76', ' 0']
['2', ' 1680', ' 1', ' 0', ' 69', ' 0']
['2', ' 1680', ' 1', ' 0', ' 57', ' 0']
['2', ' 1680', ' 1', ' 0', ' 57', ' 100']
['2', ' 1680', ' 1', ' 0', ' 52', ' 100']
['2', ' 1680', ' 1', ' 0', ' 64', ' 100']
['2', ' 1680', ' 1', ' 0', ' 73', ' 100']
['2', ' 1680', ' 1', ' 0', ' 69', ' 100']
['2', ' 1680', ' 1', ' 0', ' 76', ' 100']
['2', ' 1740', ' 1', ' 0', ' 76', ' 0']
['2', ' 1740', ' 1', ' 0', ' 52', ' 0']
['2', ' 1740', ' 1', ' 0', ' 64', ' 0']
['2', ' 1740', ' 1', ' 0', ' 57', ' 0']
['2', ' 1740', ' 1', ' 0', ' 69', ' 0']
['2', ' 1740', ' 1', ' 0', ' 73', ' 0']
['2', ' 1740', ' 1', ' 0', ' 59', ' 100']
['2', ' 1740', ' 1', ' 0', ' 66', ' 100']
['2', ' 1740', ' 1', ' 0', ' 71', ' 100']
['2', ' 1740', ' 1', ' 0', ' 78', ' 100']
['2', ' 1740', ' 1', ' 0', ' 75', ' 100']
['2', ' 1740', ' 1', ' 0', ' 54', ' 100']
['2', ' 1800', ' 1', ' 0', ' 54', ' 0']
['2', ' 1800', ' 1', ' 0', ' 66', ' 0']
['2', ' 1800', ' 1', ' 0', ' 71', ' 0']
['2', ' 1800', ' 1', ' 0', ' 59', ' 0']
['2', ' 1800', ' 1', ' 0', ' 75', ' 0']
['2', ' 1800', ' 1', ' 0', ' 78', ' 0']
['2', ' 1800', ' 1', ' 0', ' 78', ' 100']
['2', ' 1800', ' 1', ' 0', ' 66', ' 100']
['2', ' 1800', ' 1', ' 0', ' 59', ' 100']
['2', ' 1800', ' 1', ' 0', ' 54', ' 100']
['2', ' 1800', ' 1', ' 0', ' 75', ' 100']
['2', ' 1800', ' 1', ' 0', ' 71', ' 100']
['2', ' 1860', ' 1', ' 0', ' 71', ' 0']
['2', ' 1860', ' 1', ' 0', ' 66', ' 0']
['2', ' 1860', ' 1', ' 0', ' 59', ' 0']
['2', ' 1860', ' 1', ' 0', ' 78', ' 0']
['2', ' 1860', ' 1', ' 0', ' 75', ' 0']
['2', ' 1860', ' 1', ' 0', ' 54', ' 0']
['2', ' 1860', ' 1', ' 0', ' 78', ' 100']
['2', ' 1860', ' 1', ' 0', ' 71', ' 100']
['2', ' 1860', ' 1', ' 0', ' 75', ' 100']
['2', ' 1860', ' 1', ' 0', ' 59', ' 100']
['2', ' 1860', ' 1', ' 0', ' 54', ' 100']
['2', ' 1860', ' 1', ' 0', ' 66', ' 100']
['2', ' 1920', ' 1', ' 0', ' 66', ' 0']
['2', ' 1920', ' 1', ' 0', ' 71', ' 0']
['2', ' 1920', ' 1', ' 0', ' 75', ' 0']
['2', ' 1920', ' 1', ' 0', ' 78', ' 0']
['2', ' 1920', ' 1', ' 0', ' 54', ' 0']
['2', ' 1920', ' 1', ' 0', ' 59', ' 0']
['2', ' 1920', ' 1', ' 0', ' 80', ' 100']
['2', ' 1920', ' 1', ' 0', ' 75', ' 100']
['2', ' 1920', ' 1', ' 0', ' 71', ' 100']
['2', ' 1920', ' 1', ' 0', ' 68', ' 100']
['2', ' 1920', ' 1', ' 0', ' 63', ' 100']
['2', ' 1920', ' 1', ' 0', ' 56', ' 100']
['2', ' 2040', ' 1', ' 0', ' 56', ' 0']
['2', ' 2040', ' 1', ' 0', ' 75', ' 0']
['2', ' 2040', ' 1', ' 0', ' 71', ' 0']
['2', ' 2040', ' 1', ' 0', ' 80', ' 0']
['2', ' 2040', ' 1', ' 0', ' 63', ' 0']
['2', ' 2040', ' 1', ' 0', ' 68', ' 0']
['2', ' 2040', ' 1', ' 0', ' 80', ' 100']
['2', ' 2040', ' 1', ' 0', ' 75', ' 100']
['2', ' 2040', ' 1', ' 0', ' 71', ' 100']
['2', ' 2040', ' 1', ' 0', ' 68', ' 100']
['2', ' 2040', ' 1', ' 0', ' 63', ' 100']
['2', ' 2040', ' 1', ' 0', ' 56', ' 100']
['2', ' 2160', ' 1', ' 0', ' 56', ' 0']
['2', ' 2160', ' 1', ' 0', ' 75', ' 0']
['2', ' 2160', ' 1', ' 0', ' 71', ' 0']
['2', ' 2160', ' 1', ' 0', ' 80', ' 0']
['2', ' 2160', ' 1', ' 0', ' 63', ' 0']
['2', ' 2160', ' 1', ' 0', ' 68', ' 0']
['2', ' 2160', ' 1', ' 0', ' 80', ' 100']
['2', ' 2160', ' 1', ' 0', ' 75', ' 100']
['2', ' 2160', ' 1', ' 0', ' 71', ' 100']
['2', ' 2160', ' 1', ' 0', ' 68', ' 100']
['2', ' 2160', ' 1', ' 0', ' 63', ' 100']
['2', ' 2160', ' 1', ' 0', ' 56', ' 100']
['2', ' 2220', ' 1', ' 0', ' 56', ' 0']
['2', ' 2220', ' 1', ' 0', ' 75', ' 0']
['2', ' 2220', ' 1', ' 0', ' 71', ' 0']
['2', ' 2220', ' 1', ' 0', ' 80', ' 0']
['2', ' 2220', ' 1', ' 0', ' 63', ' 0']
['2', ' 2220', ' 1', ' 0', ' 68', ' 0']
['2', ' 2220', ' 1', ' 0', ' 80', ' 100']
['2', ' 2220', ' 1', ' 0', ' 75', ' 100']
['2', ' 2220', ' 1', ' 0', ' 71', ' 100']
['2', ' 2220', ' 1', ' 0', ' 68', ' 100']
['2', ' 2220', ' 1', ' 0', ' 63', ' 100']
['2', ' 2220', ' 1', ' 0', ' 56', ' 100']
['2', ' 2280', ' 1', ' 0', ' 80', ' 100']
['2', ' 2280', ' 1', ' 0', ' 75', ' 100']
['2', ' 2280', ' 1', ' 0', ' 71', ' 100']
['2', ' 2280', ' 1', ' 0', ' 68', ' 100']
['2', ' 2280', ' 1', ' 0', ' 63', ' 100']
['2', ' 2280', ' 1', ' 0', ' 56', ' 100']
['2', ' 2340', ' 1', ' 0', ' 56', ' 0']
['2', ' 2340', ' 1', ' 0', ' 75', ' 0']
['2', ' 2340', ' 1', ' 0', ' 75', ' 0']
['2', ' 2340', ' 1', ' 0', ' 71', ' 0']
['2', ' 2340', ' 1', ' 0', ' 68', ' 0']
