['2', ' 0', ' 3', ' 0', ' 33']
['2', ' 0', ' 2', ' 0', ' 7', ' 127']
['2', ' 0', ' 2', ' 0', ' 10', ' 64']
['2', ' 0', ' 1', ' 0', ' 31', ' 127']
['2', ' 119', ' 1', ' 0', ' 31', ' 0']
['2', ' 180', ' 1', ' 0', ' 38', ' 127']
['2', ' 269', ' 1', ' 0', ' 38', ' 0']
['2', ' 300', ' 1', ' 0', ' 40', ' 127']
['2', ' 359', ' 1', ' 0', ' 40', ' 0']
['2', ' 360', ' 1', ' 0', ' 40', ' 127']
['2', ' 419', ' 1', ' 0', ' 40', ' 0']
['2', ' 420', ' 1', ' 0', ' 35', ' 127']
['2', ' 479', ' 1', ' 0', ' 35', ' 0']
['2', ' 480', ' 1', ' 0', ' 35', ' 127']
['2', ' 599', ' 1', ' 0', ' 35', ' 0']
['2', ' 660', ' 1', ' 0', ' 36', ' 127']
['2', ' 749', ' 1', ' 0', ' 36', ' 0']
['2', ' 780', ' 1', ' 0', ' 38', ' 127']
['2', ' 839', ' 1', ' 0', ' 38', ' 0']
['2', ' 840', ' 1', ' 0', ' 38', ' 127']
['2', ' 899', ' 1', ' 0', ' 38', ' 0']
['2', ' 900', ' 1', ' 0', ' 31', ' 127']
['2', ' 959', ' 1', ' 0', ' 31', ' 0']
['2', ' 960', ' 1', ' 0', ' 31', ' 127']
['2', ' 1079', ' 1', ' 0', ' 31', ' 0']
['2', ' 1140', ' 1', ' 0', ' 38', ' 127']
['2', ' 1229', ' 1', ' 0', ' 38', ' 0']
['2', ' 1260', ' 1', ' 0', ' 40', ' 127']
['2', ' 1319', ' 1', ' 0', ' 40', ' 0']
['2', ' 1320', ' 1', ' 0', ' 40', ' 127']
['2', ' 1379', ' 1', ' 0', ' 40', ' 0']
['2', ' 1380', ' 1', ' 0', ' 35', ' 127']
['2', ' 1439', ' 1', ' 0', ' 35', ' 0']
['2', ' 1440', ' 1', ' 0', ' 35', ' 127']
['2', ' 1559', ' 1', ' 0', ' 35', ' 0']
['2', ' 1620', ' 1', ' 0', ' 36', ' 127']
['2', ' 1709', ' 1', ' 0', ' 36', ' 0']
['2', ' 1740', ' 1', ' 0', ' 38', ' 127']
['2', ' 1799', ' 1', ' 0', ' 38', ' 0']
['2', ' 1800', ' 1', ' 0', ' 38', ' 127']
['2', ' 1859', ' 1', ' 0', ' 38', ' 0']
['2', ' 1860', ' 1', ' 0', ' 31', ' 127']
['2', ' 1919', ' 1', ' 0', ' 31', ' 0']
['2', ' 1920', ' 1', ' 0', ' 31', ' 127']
['2', ' 2039', ' 1', ' 0', ' 31', ' 0']
['2', ' 2100', ' 1', ' 0', ' 38', ' 127']
['2', ' 2189', ' 1', ' 0', ' 38', ' 0']
['2', ' 2220', ' 1', ' 0', ' 40', ' 127']
['2', ' 2279', ' 1', ' 0', ' 40', ' 0']
['2', ' 2280', ' 1', ' 0', ' 40', ' 127']
['2', ' 2339', ' 1', ' 0', ' 40', ' 0']
['2', ' 2340', ' 1', ' 0', ' 35', ' 127']
['2', ' 2399', ' 1', ' 0', ' 35', ' 0']
['2', ' 2400', ' 1', ' 0', ' 35', ' 127']
['2', ' 2519', ' 1', ' 0', ' 35', ' 0']
['2', ' 2580', ' 1', ' 0', ' 36', ' 127']
['2', ' 2669', ' 1', ' 0', ' 36', ' 0']
['2', ' 2700', ' 1', ' 0', ' 38', ' 127']
['2', ' 2759', ' 1', ' 0', ' 38', ' 0']
['2', ' 2760', ' 1', ' 0', ' 38', ' 127']
['2', ' 2819', ' 1', ' 0', ' 38', ' 0']
['2', ' 2820', ' 1', ' 0', ' 31', ' 127']
['2', ' 2879', ' 1', ' 0', ' 31', ' 0']
['2', ' 2880', ' 1', ' 0', ' 31', ' 127']
['2', ' 2999', ' 1', ' 0', ' 31', ' 0']
['2', ' 3060', ' 1', ' 0', ' 38', ' 127']
['2', ' 3149', ' 1', ' 0', ' 38', ' 0']
['2', ' 3180', ' 1', ' 0', ' 40', ' 127']
['2', ' 3239', ' 1', ' 0', ' 40', ' 0']
['2', ' 3240', ' 1', ' 0', ' 40', ' 127']
['2', ' 3299', ' 1', ' 0', ' 40', ' 0']
['2', ' 3300', ' 1', ' 0', ' 35', ' 127']
['2', ' 3359', ' 1', ' 0', ' 35', ' 0']
['2', ' 3360', ' 1', ' 0', ' 35', ' 127']
['2', ' 3479', ' 1', ' 0', ' 35', ' 0']
['2', ' 3540', ' 1', ' 0', ' 36', ' 127']
['2', ' 3629', ' 1', ' 0', ' 36', ' 0']
['2', ' 3660', ' 1', ' 0', ' 38', ' 127']
['2', ' 3719', ' 1', ' 0', ' 38', ' 0']
['2', ' 3720', ' 1', ' 0', ' 38', ' 127']
['2', ' 3779', ' 1', ' 0', ' 38', ' 0']
['2', ' 3780', ' 1', ' 0', ' 31', ' 127']
['2', ' 3839', ' 1', ' 0', ' 31', ' 0']
['2', ' 3840', ' 1', ' 0', ' 31', ' 127']
['2', ' 3959', ' 1', ' 0', ' 31', ' 0']
['2', ' 4020', ' 1', ' 0', ' 38', ' 127']
['2', ' 4109', ' 1', ' 0', ' 38', ' 0']
['2', ' 4140', ' 1', ' 0', ' 40', ' 127']
['2', ' 4199', ' 1', ' 0', ' 40', ' 0']
['2', ' 4200', ' 1', ' 0', ' 40', ' 127']
['2', ' 4259', ' 1', ' 0', ' 40', ' 0']
['2', ' 4260', ' 1', ' 0', ' 35', ' 127']
['2', ' 4319', ' 1', ' 0', ' 35', ' 0']
['2', ' 4320', ' 1', ' 0', ' 35', ' 127']
['2', ' 4439', ' 1', ' 0', ' 35', ' 0']
['2', ' 4500', ' 1', ' 0', ' 36', ' 127']
['2', ' 4589', ' 1', ' 0', ' 36', ' 0']
['2', ' 4620', ' 1', ' 0', ' 38', ' 127']
['2', ' 4679', ' 1', ' 0', ' 38', ' 0']
['2', ' 4680', ' 1', ' 0', ' 38', ' 127']
['2', ' 4739', ' 1', ' 0', ' 38', ' 0']
['2', ' 4740', ' 1', ' 0', ' 31', ' 127']
['2', ' 4799', ' 1', ' 0', ' 31', ' 0']
['2', ' 4800', ' 1', ' 0', ' 31', ' 127']
['2', ' 4919', ' 1', ' 0', ' 31', ' 0']
['2', ' 4980', ' 1', ' 0', ' 38', ' 127']
['2', ' 5069', ' 1', ' 0', ' 38', ' 0']
['2', ' 5100', ' 1', ' 0', ' 40', ' 127']
['2', ' 5159', ' 1', ' 0', ' 40', ' 0']
['2', ' 5160', ' 1', ' 0', ' 40', ' 127']
['2', ' 5219', ' 1', ' 0', ' 40', ' 0']
['2', ' 5220', ' 1', ' 0', ' 35', ' 127']
['2', ' 5279', ' 1', ' 0', ' 35', ' 0']
['2', ' 5280', ' 1', ' 0', ' 35', ' 127']
